game,2016,11,20161120,201611200ram,mia,"Miami Dolphins",14,ram,"Los Angeles Rams",10
player,201611200ram,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201611200ram,mia,ParkDe01,pass_long,0,,,,,
player,201611200ram,mia,ParkDe01,pass_rating,,,,,,
player,201611200ram,mia,ParkDe01,rush_att,0,,,,,
player,201611200ram,mia,ParkDe01,rush_yds,0,,,,,
player,201611200ram,mia,ParkDe01,rush_td,0,,,,,
player,201611200ram,mia,ParkDe01,rush_long,0,,,,,
player,201611200ram,mia,ParkDe01,targets,10,,,,,
player,201611200ram,mia,ParkDe01,rec,8,,,,,
player,201611200ram,mia,ParkDe01,rec_yds,79,,,,,
player,201611200ram,mia,ParkDe01,rec_td,1,,,,,
player,201611200ram,mia,ParkDe01,rec_long,15,,,,,
player,201611200ram,mia,ParkDe01,fumbles,0,,,,,
player,201611200ram,mia,ParkDe01,fumbles_lost,0,,,,,
player,201611200ram,mia,StilKe00,pass_cmp,0,,,,,
player,201611200ram,mia,StilKe00,pass_att,0,,,,,
player,201611200ram,mia,StilKe00,pass_yds,0,,,,,
player,201611200ram,mia,StilKe00,pass_td,0,,,,,
player,201611200ram,mia,StilKe00,pass_int,0,,,,,
player,201611200ram,mia,StilKe00,pass_sacked,0,,,,,
player,201611200ram,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201611200ram,mia,StilKe00,pass_long,0,,,,,
player,201611200ram,mia,StilKe00,pass_rating,,,,,,
player,201611200ram,mia,StilKe00,rush_att,0,,,,,
player,201611200ram,mia,StilKe00,rush_yds,0,,,,,
player,201611200ram,mia,StilKe00,rush_td,0,,,,,
player,201611200ram,mia,StilKe00,rush_long,0,,,,,
player,201611200ram,mia,StilKe00,targets,9,,,,,
player,201611200ram,mia,StilKe00,rec,4,,,,,
player,201611200ram,mia,StilKe00,rec_yds,33,,,,,
player,201611200ram,mia,StilKe00,rec_td,0,,,,,
player,201611200ram,mia,StilKe00,rec_long,15,,,,,
player,201611200ram,mia,StilKe00,fumbles,0,,,,,
player,201611200ram,mia,StilKe00,fumbles_lost,0,,,,,
player,201611200ram,mia,LandJa00,pass_cmp,0,,,,,
player,201611200ram,mia,LandJa00,pass_att,0,,,,,
player,201611200ram,mia,LandJa00,pass_yds,0,,,,,
player,201611200ram,mia,LandJa00,pass_td,0,,,,,
player,201611200ram,mia,LandJa00,pass_int,0,,,,,
player,201611200ram,mia,LandJa00,pass_sacked,0,,,,,
player,201611200ram,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201611200ram,mia,LandJa00,pass_long,0,,,,,
player,201611200ram,mia,LandJa00,pass_rating,,,,,,
player,201611200ram,mia,LandJa00,rush_att,0,,,,,
player,201611200ram,mia,LandJa00,rush_yds,0,,,,,
player,201611200ram,mia,LandJa00,rush_td,0,,,,,
player,201611200ram,mia,LandJa00,rush_long,0,,,,,
player,201611200ram,mia,LandJa00,targets,5,,,,,
player,201611200ram,mia,LandJa00,rec,5,,,,,
player,201611200ram,mia,LandJa00,rec_yds,28,,,,,
player,201611200ram,mia,LandJa00,rec_td,1,,,,,
player,201611200ram,mia,LandJa00,rec_long,12,,,,,
player,201611200ram,mia,LandJa00,fumbles,0,,,,,
player,201611200ram,mia,LandJa00,fumbles_lost,0,,,,,
player,201611200ram,mia,SimsDi00,pass_cmp,0,,,,,
player,201611200ram,mia,SimsDi00,pass_att,0,,,,,
player,201611200ram,mia,SimsDi00,pass_yds,0,,,,,
player,201611200ram,mia,SimsDi00,pass_td,0,,,,,
player,201611200ram,mia,SimsDi00,pass_int,0,,,,,
player,201611200ram,mia,SimsDi00,pass_sacked,0,,,,,
player,201611200ram,mia,SimsDi00,pass_sacked_yds,0,,,,,
player,201611200ram,mia,SimsDi00,pass_long,0,,,,,
player,201611200ram,mia,SimsDi00,pass_rating,,,,,,
player,201611200ram,mia,SimsDi00,rush_att,0,,,,,
player,201611200ram,mia,SimsDi00,rush_yds,0,,,,,
player,201611200ram,mia,SimsDi00,rush_td,0,,,,,
player,201611200ram,mia,SimsDi00,rush_long,0,,,,,
player,201611200ram,mia,SimsDi00,targets,4,,,,,
player,201611200ram,mia,SimsDi00,rec,3,,,,,
player,201611200ram,mia,SimsDi00,rec_yds,20,,,,,
player,201611200ram,mia,SimsDi00,rec_td,0,,,,,
player,201611200ram,mia,SimsDi00,rec_long,9,,,,,
player,201611200ram,mia,SimsDi00,fumbles,0,,,,,
player,201611200ram,mia,SimsDi00,fumbles_lost,0,,,,,
player,201611200ram,mia,GrayMa00,pass_cmp,0,,,,,
player,201611200ram,mia,GrayMa00,pass_att,0,,,,,
player,201611200ram,mia,GrayMa00,pass_yds,0,,,,,
player,201611200ram,mia,GrayMa00,pass_td,0,,,,,
player,201611200ram,mia,GrayMa00,pass_int,0,,,,,
player,201611200ram,mia,GrayMa00,pass_sacked,0,,,,,
player,201611200ram,mia,GrayMa00,pass_sacked_yds,0,,,,,
player,201611200ram,mia,GrayMa00,pass_long,0,,,,,
player,201611200ram,mia,GrayMa00,pass_rating,,,,,,
player,201611200ram,mia,GrayMa00,rush_att,0,,,,,
player,201611200ram,mia,GrayMa00,rush_yds,0,,,,,
player,201611200ram,mia,GrayMa00,rush_td,0,,,,,
player,201611200ram,mia,GrayMa00,rush_long,0,,,,,
player,201611200ram,mia,GrayMa00,targets,1,,,,,
player,201611200ram,mia,GrayMa00,rec,1,,,,,
player,201611200ram,mia,GrayMa00,rec_yds,5,,,,,
player,201611200ram,mia,GrayMa00,rec_td,0,,,,,
player,201611200ram,mia,GrayMa00,rec_long,5,,,,,
player,201611200ram,mia,GrayMa00,fumbles,0,,,,,
player,201611200ram,mia,GrayMa00,fumbles_lost,0,,,,,
player,201611200ram,mia,WillDa05,pass_cmp,0,,,,,
player,201611200ram,mia,WillDa05,pass_att,0,,,,,
player,201611200ram,mia,WillDa05,pass_yds,0,,,,,
player,201611200ram,mia,WillDa05,pass_td,0,,,,,
player,201611200ram,mia,WillDa05,pass_int,0,,,,,
player,201611200ram,mia,WillDa05,pass_sacked,0,,,,,
player,201611200ram,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201611200ram,mia,WillDa05,pass_long,0,,,,,
player,201611200ram,mia,WillDa05,pass_rating,,,,,,
player,201611200ram,mia,WillDa05,rush_att,0,,,,,
player,201611200ram,mia,WillDa05,rush_yds,0,,,,,
player,201611200ram,mia,WillDa05,rush_td,0,,,,,
player,201611200ram,mia,WillDa05,rush_long,0,,,,,
player,201611200ram,mia,WillDa05,targets,1,,,,,
player,201611200ram,mia,WillDa05,rec,0,,,,,
player,201611200ram,mia,WillDa05,rec_yds,0,,,,,
player,201611200ram,mia,WillDa05,rec_td,0,,,,,
player,201611200ram,mia,WillDa05,rec_long,0,,,,,
player,201611200ram,mia,WillDa05,fumbles,0,,,,,
player,201611200ram,mia,WillDa05,fumbles_lost,0,,,,,
player,201611200ram,ram,GoffJa00,pass_cmp,17,,,,,
player,201611200ram,ram,GoffJa00,pass_att,31,,,,,
player,201611200ram,ram,GoffJa00,pass_yds,134,,,,,
player,201611200ram,ram,GoffJa00,pass_td,0,,,,,
player,201611200ram,ram,GoffJa00,pass_int,0,,,,,
player,201611200ram,ram,GoffJa00,pass_sacked,1,,,,,
player,201611200ram,ram,GoffJa00,pass_sacked_yds,9,,,,,
player,201611200ram,ram,GoffJa00,pass_long,21,,,,,
player,201611200ram,ram,GoffJa00,pass_rating,65.8,,,,,
player,201611200ram,ram,GoffJa00,rush_att,4,,,,,
player,201611200ram,ram,GoffJa00,rush_yds,11,,,,,
player,201611200ram,ram,GoffJa00,rush_td,0,,,,,
player,201611200ram,ram,GoffJa00,rush_long,6,,,,,
player,201611200ram,ram,GoffJa00,targets,0,,,,,
player,201611200ram,ram,GoffJa00,rec,0,,,,,
player,201611200ram,ram,GoffJa00,rec_yds,0,,,,,
player,201611200ram,ram,GoffJa00,rec_td,0,,,,,
player,201611200ram,ram,GoffJa00,rec_long,0,,,,,
player,201611200ram,ram,GoffJa00,fumbles,0,,,,,
player,201611200ram,ram,GoffJa00,fumbles_lost,0,,,,,
player,201611200ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201611200ram,ram,GurlTo01,pass_att,0,,,,,
player,201611200ram,ram,GurlTo01,pass_yds,0,,,,,
player,201611200ram,ram,GurlTo01,pass_td,0,,,,,
player,201611200ram,ram,GurlTo01,pass_int,0,,,,,
player,201611200ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201611200ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201611200ram,ram,GurlTo01,pass_long,0,,,,,
player,201611200ram,ram,GurlTo01,pass_rating,,,,,,
player,201611200ram,ram,GurlTo01,rush_att,20,,,,,
player,201611200ram,ram,GurlTo01,rush_yds,76,,,,,
player,201611200ram,ram,GurlTo01,rush_td,1,,,,,
player,201611200ram,ram,GurlTo01,rush_long,24,,,,,
player,201611200ram,ram,GurlTo01,targets,2,,,,,
player,201611200ram,ram,GurlTo01,rec,0,,,,,
player,201611200ram,ram,GurlTo01,rec_yds,0,,,,,
player,201611200ram,ram,GurlTo01,rec_td,0,,,,,
player,201611200ram,ram,GurlTo01,rec_long,0,,,,,
player,201611200ram,ram,GurlTo01,fumbles,0,,,,,
player,201611200ram,ram,GurlTo01,fumbles_lost,0,,,,,
player,201611200ram,ram,AustTa00,pass_cmp,0,,,,,
player,201611200ram,ram,AustTa00,pass_att,0,,,,,
player,201611200ram,ram,AustTa00,pass_yds,0,,,,,
player,201611200ram,ram,AustTa00,pass_td,0,,,,,
player,201611200ram,ram,AustTa00,pass_int,0,,,,,
player,201611200ram,ram,AustTa00,pass_sacked,0,,,,,
player,201611200ram,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201611200ram,ram,AustTa00,pass_long,0,,,,,
player,201611200ram,ram,AustTa00,pass_rating,,,,,,
player,201611200ram,ram,AustTa00,rush_att,2,,,,,
player,201611200ram,ram,AustTa00,rush_yds,8,,,,,
player,201611200ram,ram,AustTa00,rush_td,0,,,,,
player,201611200ram,ram,AustTa00,rush_long,7,,,,,
player,201611200ram,ram,AustTa00,targets,2,,,,,
player,201611200ram,ram,AustTa00,rec,1,,,,,
player,201611200ram,ram,AustTa00,rec_yds,21,,,,,
player,201611200ram,ram,AustTa00,rec_td,0,,,,,
