game,2016,1,20160911,201609110dal,nyg,"New York Giants",20,dal,"Dallas Cowboys",19
team,201609110dal,nyg,First Downs,18,,,,,,
team,201609110dal,dal,First Downs,24,,,,,,
team,201609110dal,nyg,Rush-Yds-TDs,24-113-0,,,,,,
team,201609110dal,dal,Rush-Yds-TDs,30-101-1,,,,,,
team,201609110dal,nyg,Cmp-Att-Yd-TD-INT,19-28-207-3-1,,,,,,
team,201609110dal,dal,Cmp-Att-Yd-TD-INT,25-45-227-0-0,,,,,,
team,201609110dal,nyg,Sacked-Yards,2-4,,,,,,
team,201609110dal,dal,Sacked-Yards,0-0,,,,,,
team,201609110dal,nyg,Net Pass Yards,203,,,,,,
team,201609110dal,dal,Net Pass Yards,227,,,,,,
team,201609110dal,nyg,Total Yards,316,,,,,,
team,201609110dal,dal,Total Yards,328,,,,,,
team,201609110dal,nyg,Fumbles-Lost,1-0,,,,,,
team,201609110dal,dal,Fumbles-Lost,0-0,,,,,,
team,201609110dal,nyg,Turnovers,1,,,,,,
team,201609110dal,dal,Turnovers,0,,,,,,
team,201609110dal,nyg,Penalties-Yards,4-40,,,,,,
team,201609110dal,dal,Penalties-Yards,6-50,,,,,,
team,201609110dal,nyg,Third Down Conv.,5-10,,,,,,
team,201609110dal,dal,Third Down Conv.,10-17,,,,,,
team,201609110dal,nyg,Fourth Down Conv.,0-0,,,,,,
team,201609110dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201609110dal,nyg,Time of Possession,23:17,,,,,,
team,201609110dal,dal,Time of Possession,36:43,,,,,,
player,201609110dal,nyg,MannEl00,pass_cmp,19,,,,,
player,201609110dal,nyg,MannEl00,pass_att,28,,,,,
player,201609110dal,nyg,MannEl00,pass_yds,207,,,,,
player,201609110dal,nyg,MannEl00,pass_td,3,,,,,
player,201609110dal,nyg,MannEl00,pass_int,1,,,,,
player,201609110dal,nyg,MannEl00,pass_sacked,2,,,,,
player,201609110dal,nyg,MannEl00,pass_sacked_yds,4,,,,,
player,201609110dal,nyg,MannEl00,pass_long,45,,,,,
player,201609110dal,nyg,MannEl00,pass_rating,110.3,,,,,
player,201609110dal,nyg,MannEl00,rush_att,0,,,,,
player,201609110dal,nyg,MannEl00,rush_yds,0,,,,,
player,201609110dal,nyg,MannEl00,rush_td,0,,,,,
player,201609110dal,nyg,MannEl00,rush_long,0,,,,,
player,201609110dal,nyg,MannEl00,targets,0,,,,,
player,201609110dal,nyg,MannEl00,rec,0,,,,,
player,201609110dal,nyg,MannEl00,rec_yds,0,,,,,
player,201609110dal,nyg,MannEl00,rec_td,0,,,,,
player,201609110dal,nyg,MannEl00,rec_long,0,,,,,
player,201609110dal,nyg,MannEl00,fumbles,1,,,,,
player,201609110dal,nyg,MannEl00,fumbles_lost,0,,,,,
player,201609110dal,nyg,JennRa00,pass_cmp,0,,,,,
player,201609110dal,nyg,JennRa00,pass_att,0,,,,,
player,201609110dal,nyg,JennRa00,pass_yds,0,,,,,
player,201609110dal,nyg,JennRa00,pass_td,0,,,,,
player,201609110dal,nyg,JennRa00,pass_int,0,,,,,
player,201609110dal,nyg,JennRa00,pass_sacked,0,,,,,
player,201609110dal,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201609110dal,nyg,JennRa00,pass_long,0,,,,,
player,201609110dal,nyg,JennRa00,pass_rating,,,,,,
player,201609110dal,nyg,JennRa00,rush_att,18,,,,,
player,201609110dal,nyg,JennRa00,rush_yds,75,,,,,
player,201609110dal,nyg,JennRa00,rush_td,0,,,,,
player,201609110dal,nyg,JennRa00,rush_long,17,,,,,
player,201609110dal,nyg,JennRa00,targets,2,,,,,
player,201609110dal,nyg,JennRa00,rec,1,,,,,
player,201609110dal,nyg,JennRa00,rec_yds,3,,,,,
player,201609110dal,nyg,JennRa00,rec_td,0,,,,,
player,201609110dal,nyg,JennRa00,rec_long,3,,,,,
player,201609110dal,nyg,JennRa00,fumbles,0,,,,,
player,201609110dal,nyg,JennRa00,fumbles_lost,0,,,,,
player,201609110dal,nyg,VereSh00,pass_cmp,0,,,,,
player,201609110dal,nyg,VereSh00,pass_att,0,,,,,
player,201609110dal,nyg,VereSh00,pass_yds,0,,,,,
player,201609110dal,nyg,VereSh00,pass_td,0,,,,,
player,201609110dal,nyg,VereSh00,pass_int,0,,,,,
player,201609110dal,nyg,VereSh00,pass_sacked,0,,,,,
player,201609110dal,nyg,VereSh00,pass_sacked_yds,0,,,,,
player,201609110dal,nyg,VereSh00,pass_long,0,,,,,
player,201609110dal,nyg,VereSh00,pass_rating,,,,,,
