game,2016,11,20161120,201611200kan,tam,"Tampa Bay Buccaneers",19,kan,"Kansas City Chiefs",17
player,201611200kan,tam,EvanMi00,pass_cmp,0,,,,,
player,201611200kan,tam,EvanMi00,pass_att,0,,,,,
player,201611200kan,tam,EvanMi00,pass_yds,0,,,,,
player,201611200kan,tam,EvanMi00,pass_td,0,,,,,
player,201611200kan,tam,EvanMi00,pass_int,0,,,,,
player,201611200kan,tam,EvanMi00,pass_sacked,0,,,,,
player,201611200kan,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201611200kan,tam,EvanMi00,pass_long,0,,,,,
player,201611200kan,tam,EvanMi00,pass_rating,,,,,,
player,201611200kan,tam,EvanMi00,rush_att,0,,,,,
player,201611200kan,tam,EvanMi00,rush_yds,0,,,,,
player,201611200kan,tam,EvanMi00,rush_td,0,,,,,
player,201611200kan,tam,EvanMi00,rush_long,0,,,,,
player,201611200kan,tam,EvanMi00,targets,13,,,,,
player,201611200kan,tam,EvanMi00,rec,6,,,,,
player,201611200kan,tam,EvanMi00,rec_yds,105,,,,,
player,201611200kan,tam,EvanMi00,rec_td,0,,,,,
player,201611200kan,tam,EvanMi00,rec_long,31,,,,,
player,201611200kan,tam,EvanMi00,fumbles,0,,,,,
player,201611200kan,tam,EvanMi00,fumbles_lost,0,,,,,
player,201611200kan,tam,ShorCe00,pass_cmp,0,,,,,
player,201611200kan,tam,ShorCe00,pass_att,0,,,,,
player,201611200kan,tam,ShorCe00,pass_yds,0,,,,,
player,201611200kan,tam,ShorCe00,pass_td,0,,,,,
player,201611200kan,tam,ShorCe00,pass_int,0,,,,,
player,201611200kan,tam,ShorCe00,pass_sacked,0,,,,,
player,201611200kan,tam,ShorCe00,pass_sacked_yds,0,,,,,
player,201611200kan,tam,ShorCe00,pass_long,0,,,,,
player,201611200kan,tam,ShorCe00,pass_rating,,,,,,
player,201611200kan,tam,ShorCe00,rush_att,0,,,,,
player,201611200kan,tam,ShorCe00,rush_yds,0,,,,,
player,201611200kan,tam,ShorCe00,rush_td,0,,,,,
player,201611200kan,tam,ShorCe00,rush_long,0,,,,,
player,201611200kan,tam,ShorCe00,targets,7,,,,,
player,201611200kan,tam,ShorCe00,rec,5,,,,,
player,201611200kan,tam,ShorCe00,rec_yds,62,,,,,
player,201611200kan,tam,ShorCe00,rec_td,0,,,,,
player,201611200kan,tam,ShorCe00,rec_long,19,,,,,
player,201611200kan,tam,ShorCe00,fumbles,0,,,,,
player,201611200kan,tam,ShorCe00,fumbles_lost,0,,,,,
player,201611200kan,tam,ShepRu00,pass_cmp,0,,,,,
player,201611200kan,tam,ShepRu00,pass_att,0,,,,,
player,201611200kan,tam,ShepRu00,pass_yds,0,,,,,
player,201611200kan,tam,ShepRu00,pass_td,0,,,,,
player,201611200kan,tam,ShepRu00,pass_int,0,,,,,
player,201611200kan,tam,ShepRu00,pass_sacked,0,,,,,
player,201611200kan,tam,ShepRu00,pass_sacked_yds,0,,,,,
player,201611200kan,tam,ShepRu00,pass_long,0,,,,,
player,201611200kan,tam,ShepRu00,pass_rating,,,,,,
player,201611200kan,tam,ShepRu00,rush_att,0,,,,,
player,201611200kan,tam,ShepRu00,rush_yds,0,,,,,
player,201611200kan,tam,ShepRu00,rush_td,0,,,,,
player,201611200kan,tam,ShepRu00,rush_long,0,,,,,
player,201611200kan,tam,ShepRu00,targets,4,,,,,
player,201611200kan,tam,ShepRu00,rec,3,,,,,
player,201611200kan,tam,ShepRu00,rec_yds,54,,,,,
player,201611200kan,tam,ShepRu00,rec_td,0,,,,,
player,201611200kan,tam,ShepRu00,rec_long,19,,,,,
player,201611200kan,tam,ShepRu00,fumbles,0,,,,,
player,201611200kan,tam,ShepRu00,fumbles_lost,0,,,,,
player,201611200kan,tam,HumpAd00,pass_cmp,0,,,,,
player,201611200kan,tam,HumpAd00,pass_att,0,,,,,
player,201611200kan,tam,HumpAd00,pass_yds,0,,,,,
player,201611200kan,tam,HumpAd00,pass_td,0,,,,,
player,201611200kan,tam,HumpAd00,pass_int,0,,,,,
player,201611200kan,tam,HumpAd00,pass_sacked,0,,,,,
player,201611200kan,tam,HumpAd00,pass_sacked_yds,0,,,,,
player,201611200kan,tam,HumpAd00,pass_long,0,,,,,
player,201611200kan,tam,HumpAd00,pass_rating,,,,,,
player,201611200kan,tam,HumpAd00,rush_att,0,,,,,
player,201611200kan,tam,HumpAd00,rush_yds,0,,,,,
player,201611200kan,tam,HumpAd00,rush_td,0,,,,,
player,201611200kan,tam,HumpAd00,rush_long,0,,,,,
player,201611200kan,tam,HumpAd00,targets,7,,,,,
player,201611200kan,tam,HumpAd00,rec,4,,,,,
player,201611200kan,tam,HumpAd00,rec_yds,47,,,,,
player,201611200kan,tam,HumpAd00,rec_td,0,,,,,
player,201611200kan,tam,HumpAd00,rec_long,18,,,,,
player,201611200kan,tam,HumpAd00,fumbles,0,,,,,
player,201611200kan,tam,HumpAd00,fumbles_lost,0,,,,,
player,201611200kan,tam,BratCa00,pass_cmp,0,,,,,
player,201611200kan,tam,BratCa00,pass_att,0,,,,,
player,201611200kan,tam,BratCa00,pass_yds,0,,,,,
player,201611200kan,tam,BratCa00,pass_td,0,,,,,
player,201611200kan,tam,BratCa00,pass_int,0,,,,,
player,201611200kan,tam,BratCa00,pass_sacked,0,,,,,
player,201611200kan,tam,BratCa00,pass_sacked_yds,0,,,,,
player,201611200kan,tam,BratCa00,pass_long,0,,,,,
player,201611200kan,tam,BratCa00,pass_rating,,,,,,
player,201611200kan,tam,BratCa00,rush_att,0,,,,,
player,201611200kan,tam,BratCa00,rush_yds,0,,,,,
player,201611200kan,tam,BratCa00,rush_td,0,,,,,
player,201611200kan,tam,BratCa00,rush_long,0,,,,,
player,201611200kan,tam,BratCa00,targets,3,,,,,
player,201611200kan,tam,BratCa00,rec,2,,,,,
player,201611200kan,tam,BratCa00,rec_yds,18,,,,,
player,201611200kan,tam,BratCa00,rec_td,0,,,,,
player,201611200kan,tam,BratCa00,rec_long,10,,,,,
player,201611200kan,tam,BratCa00,fumbles,0,,,,,
player,201611200kan,tam,BratCa00,fumbles_lost,0,,,,,
player,201611200kan,tam,CrosAl00,pass_cmp,0,,,,,
player,201611200kan,tam,CrosAl00,pass_att,0,,,,,
player,201611200kan,tam,CrosAl00,pass_yds,0,,,,,
player,201611200kan,tam,CrosAl00,pass_td,0,,,,,
player,201611200kan,tam,CrosAl00,pass_int,0,,,,,
player,201611200kan,tam,CrosAl00,pass_sacked,0,,,,,
player,201611200kan,tam,CrosAl00,pass_sacked_yds,0,,,,,
player,201611200kan,tam,CrosAl00,pass_long,0,,,,,
player,201611200kan,tam,CrosAl00,pass_rating,,,,,,
player,201611200kan,tam,CrosAl00,rush_att,0,,,,,
player,201611200kan,tam,CrosAl00,rush_yds,0,,,,,
player,201611200kan,tam,CrosAl00,rush_td,0,,,,,
player,201611200kan,tam,CrosAl00,rush_long,0,,,,,
player,201611200kan,tam,CrosAl00,targets,1,,,,,
player,201611200kan,tam,CrosAl00,rec,1,,,,,
player,201611200kan,tam,CrosAl00,rec_yds,3,,,,,
player,201611200kan,tam,CrosAl00,rec_td,1,,,,,
player,201611200kan,tam,CrosAl00,rec_long,3,,,,,
player,201611200kan,tam,CrosAl00,fumbles,0,,,,,
player,201611200kan,tam,CrosAl00,fumbles_lost,0,,,,,
player,201611200kan,kan,SmitAl03,pass_cmp,24,,,,,
player,201611200kan,kan,SmitAl03,pass_att,31,,,,,
player,201611200kan,kan,SmitAl03,pass_yds,261,,,,,
player,201611200kan,kan,SmitAl03,pass_td,1,,,,,
player,201611200kan,kan,SmitAl03,pass_int,1,,,,,
player,201611200kan,kan,SmitAl03,pass_sacked,0,,,,,
player,201611200kan,kan,SmitAl03,pass_sacked_yds,0,,,,,
player,201611200kan,kan,SmitAl03,pass_long,44,,,,,
player,201611200kan,kan,SmitAl03,pass_rating,99.0,,,,,
player,201611200kan,kan,SmitAl03,rush_att,2,,,,,
player,201611200kan,kan,SmitAl03,rush_yds,10,,,,,
player,201611200kan,kan,SmitAl03,rush_td,1,,,,,
player,201611200kan,kan,SmitAl03,rush_long,11,,,,,
player,201611200kan,kan,SmitAl03,targets,0,,,,,
player,201611200kan,kan,SmitAl03,rec,0,,,,,
player,201611200kan,kan,SmitAl03,rec_yds,0,,,,,
player,201611200kan,kan,SmitAl03,rec_td,0,,,,,
player,201611200kan,kan,SmitAl03,rec_long,0,,,,,
player,201611200kan,kan,SmitAl03,fumbles,0,,,,,
player,201611200kan,kan,SmitAl03,fumbles_lost,0,,,,,
player,201611200kan,kan,WareSp00,pass_cmp,0,,,,,
player,201611200kan,kan,WareSp00,pass_att,0,,,,,
player,201611200kan,kan,WareSp00,pass_yds,0,,,,,
player,201611200kan,kan,WareSp00,pass_td,0,,,,,
player,201611200kan,kan,WareSp00,pass_int,0,,,,,
player,201611200kan,kan,WareSp00,pass_sacked,0,,,,,
player,201611200kan,kan,WareSp00,pass_sacked_yds,0,,,,,
player,201611200kan,kan,WareSp00,pass_long,0,,,,,
player,201611200kan,kan,WareSp00,pass_rating,,,,,,
player,201611200kan,kan,WareSp00,rush_att,17,,,,,
player,201611200kan,kan,WareSp00,rush_yds,69,,,,,
player,201611200kan,kan,WareSp00,rush_td,0,,,,,
player,201611200kan,kan,WareSp00,rush_long,15,,,,,
player,201611200kan,kan,WareSp00,targets,2,,,,,
player,201611200kan,kan,WareSp00,rec,2,,,,,
player,201611200kan,kan,WareSp00,rec_yds,16,,,,,
player,201611200kan,kan,WareSp00,rec_td,0,,,,,
player,201611200kan,kan,WareSp00,rec_long,9,,,,,
player,201611200kan,kan,WareSp00,fumbles,0,,,,,
player,201611200kan,kan,WareSp00,fumbles_lost,0,,,,,
player,201611200kan,kan,HillTy00,pass_cmp,0,,,,,
player,201611200kan,kan,HillTy00,pass_att,0,,,,,
player,201611200kan,kan,HillTy00,pass_yds,0,,,,,
player,201611200kan,kan,HillTy00,pass_td,0,,,,,
player,201611200kan,kan,HillTy00,pass_int,0,,,,,
player,201611200kan,kan,HillTy00,pass_sacked,0,,,,,
player,201611200kan,kan,HillTy00,pass_sacked_yds,0,,,,,
player,201611200kan,kan,HillTy00,pass_long,0,,,,,
player,201611200kan,kan,HillTy00,pass_rating,,,,,,
player,201611200kan,kan,HillTy00,rush_att,1,,,,,
player,201611200kan,kan,HillTy00,rush_yds,8,,,,,
player,201611200kan,kan,HillTy00,rush_td,0,,,,,
player,201611200kan,kan,HillTy00,rush_long,8,,,,,
player,201611200kan,kan,HillTy00,targets,5,,,,,
player,201611200kan,kan,HillTy00,rec,4,,,,,
player,201611200kan,kan,HillTy00,rec_yds,53,,,,,
player,201611200kan,kan,HillTy00,rec_td,0,,,,,
player,201611200kan,kan,HillTy00,rec_long,42,,,,,
player,201611200kan,kan,HillTy00,fumbles,0,,,,,
player,201611200kan,kan,HillTy00,fumbles_lost,0,,,,,
player,201611200kan,kan,WestCh01,pass_cmp,0,,,,,
player,201611200kan,kan,WestCh01,pass_att,0,,,,,
player,201611200kan,kan,WestCh01,pass_yds,0,,,,,
player,201611200kan,kan,WestCh01,pass_td,0,,,,,
player,201611200kan,kan,WestCh01,pass_int,0,,,,,
player,201611200kan,kan,WestCh01,pass_sacked,0,,,,,
player,201611200kan,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201611200kan,kan,WestCh01,pass_long,0,,,,,
player,201611200kan,kan,WestCh01,pass_rating,,,,,,
player,201611200kan,kan,WestCh01,rush_att,0,,,,,
player,201611200kan,kan,WestCh01,rush_yds,0,,,,,
player,201611200kan,kan,WestCh01,rush_td,0,,,,,
player,201611200kan,kan,WestCh01,rush_long,0,,,,,
player,201611200kan,kan,WestCh01,targets,3,,,,,
player,201611200kan,kan,WestCh01,rec,3,,,,,
player,201611200kan,kan,WestCh01,rec_yds,42,,,,,
player,201611200kan,kan,WestCh01,rec_td,0,,,,,
player,201611200kan,kan,WestCh01,rec_long,17,,,,,
player,201611200kan,kan,WestCh01,fumbles,0,,,,,
player,201611200kan,kan,WestCh01,fumbles_lost,0,,,,,
player,201611200kan,kan,ConlCh00,pass_cmp,0,,,,,
player,201611200kan,kan,ConlCh00,pass_att,0,,,,,
player,201611200kan,kan,ConlCh00,pass_yds,0,,,,,
player,201611200kan,kan,ConlCh00,pass_td,0,,,,,
player,201611200kan,kan,ConlCh00,pass_int,0,,,,,
player,201611200kan,kan,ConlCh00,pass_sacked,0,,,,,
player,201611200kan,kan,ConlCh00,pass_sacked_yds,0,,,,,
player,201611200kan,kan,ConlCh00,pass_long,0,,,,,
player,201611200kan,kan,ConlCh00,pass_rating,,,,,,
player,201611200kan,kan,ConlCh00,rush_att,0,,,,,
player,201611200kan,kan,ConlCh00,rush_yds,0,,,,,
player,201611200kan,kan,ConlCh00,rush_td,0,,,,,
player,201611200kan,kan,ConlCh00,rush_long,0,,,,,
player,201611200kan,kan,ConlCh00,targets,8,,,,,
player,201611200kan,kan,ConlCh00,rec,4,,,,,
player,201611200kan,kan,ConlCh00,rec_yds,28,,,,,
player,201611200kan,kan,ConlCh00,rec_td,0,,,,,
player,201611200kan,kan,ConlCh00,rec_long,9,,,,,
player,201611200kan,kan,ConlCh00,fumbles,1,,,,,
player,201611200kan,kan,ConlCh00,fumbles_lost,0,,,,,
player,201611200kan,kan,WilsAl02,pass_cmp,0,,,,,
player,201611200kan,kan,WilsAl02,pass_att,0,,,,,
player,201611200kan,kan,WilsAl02,pass_yds,0,,,,,
player,201611200kan,kan,WilsAl02,pass_td,0,,,,,
player,201611200kan,kan,WilsAl02,pass_int,0,,,,,
player,201611200kan,kan,WilsAl02,pass_sacked,0,,,,,
player,201611200kan,kan,WilsAl02,pass_sacked_yds,0,,,,,
player,201611200kan,kan,WilsAl02,pass_long,0,,,,,
player,201611200kan,kan,WilsAl02,pass_rating,,,,,,
player,201611200kan,kan,WilsAl02,rush_att,0,,,,,
player,201611200kan,kan,WilsAl02,rush_yds,0,,,,,
player,201611200kan,kan,WilsAl02,rush_td,0,,,,,
player,201611200kan,kan,WilsAl02,rush_long,0,,,,,
player,201611200kan,kan,WilsAl02,targets,4,,,,,
player,201611200kan,kan,WilsAl02,rec,4,,,,,
player,201611200kan,kan,WilsAl02,rec_yds,19,,,,,
player,201611200kan,kan,WilsAl02,rec_td,1,,,,,
player,201611200kan,kan,WilsAl02,rec_long,7,,,,,
player,201611200kan,kan,WilsAl02,fumbles,0,,,,,
player,201611200kan,kan,WilsAl02,fumbles_lost,0,,,,,
player,201611200kan,kan,FishEr00,pass_cmp,0,,,,,
player,201611200kan,kan,FishEr00,pass_att,0,,,,,
player,201611200kan,kan,FishEr00,pass_yds,0,,,,,
player,201611200kan,kan,FishEr00,pass_td,0,,,,,
