game,2016,15,20161218,201612180sdg,rai,"Oakland Raiders",19,sdg,"San Diego Chargers",16
team,201612180sdg,rai,First Downs,18,,,,,,
team,201612180sdg,sdg,First Downs,14,,,,,,
team,201612180sdg,rai,Rush-Yds-TDs,29-145-0,,,,,,
team,201612180sdg,sdg,Rush-Yds-TDs,22-73-0,,,,,,
team,201612180sdg,rai,Cmp-Att-Yd-TD-INT,19-30-213-1-1,,,,,,
team,201612180sdg,sdg,Cmp-Att-Yd-TD-INT,17-30-206-2-1,,,,,,
team,201612180sdg,rai,Sacked-Yards,2-13,,,,,,
team,201612180sdg,sdg,Sacked-Yards,3-16,,,,,,
team,201612180sdg,rai,Net Pass Yards,200,,,,,,
team,201612180sdg,sdg,Net Pass Yards,190,,,,,,
team,201612180sdg,rai,Total Yards,345,,,,,,
team,201612180sdg,sdg,Total Yards,263,,,,,,
team,201612180sdg,rai,Fumbles-Lost,2-1,,,,,,
team,201612180sdg,sdg,Fumbles-Lost,2-1,,,,,,
team,201612180sdg,rai,Turnovers,2,,,,,,
team,201612180sdg,sdg,Turnovers,2,,,,,,
team,201612180sdg,rai,Penalties-Yards,2-15,,,,,,
team,201612180sdg,sdg,Penalties-Yards,6-44,,,,,,
team,201612180sdg,rai,Third Down Conv.,4-13,,,,,,
team,201612180sdg,sdg,Third Down Conv.,8-15,,,,,,
team,201612180sdg,rai,Fourth Down Conv.,0-0,,,,,,
team,201612180sdg,sdg,Fourth Down Conv.,0-1,,,,,,
team,201612180sdg,rai,Time of Possession,32:17,,,,,,
team,201612180sdg,sdg,Time of Possession,27:43,,,,,,
player,201612180sdg,rai,CarrDe02,pass_cmp,19,,,,,
player,201612180sdg,rai,CarrDe02,pass_att,30,,,,,
player,201612180sdg,rai,CarrDe02,pass_yds,213,,,,,
player,201612180sdg,rai,CarrDe02,pass_td,1,,,,,
player,201612180sdg,rai,CarrDe02,pass_int,1,,,,,
player,201612180sdg,rai,CarrDe02,pass_sacked,2,,,,,
player,201612180sdg,rai,CarrDe02,pass_sacked_yds,13,,,,,
player,201612180sdg,rai,CarrDe02,pass_long,28,,,,,
player,201612180sdg,rai,CarrDe02,pass_rating,81.7,,,,,
player,201612180sdg,rai,CarrDe02,rush_att,5,,,,,
player,201612180sdg,rai,CarrDe02,rush_yds,5,,,,,
player,201612180sdg,rai,CarrDe02,rush_td,0,,,,,
player,201612180sdg,rai,CarrDe02,rush_long,8,,,,,
player,201612180sdg,rai,CarrDe02,targets,0,,,,,
player,201612180sdg,rai,CarrDe02,rec,0,,,,,
player,201612180sdg,rai,CarrDe02,rec_yds,0,,,,,
player,201612180sdg,rai,CarrDe02,rec_td,0,,,,,
player,201612180sdg,rai,CarrDe02,rec_long,0,,,,,
player,201612180sdg,rai,CarrDe02,fumbles,0,,,,,
player,201612180sdg,rai,CarrDe02,fumbles_lost,0,,,,,
player,201612180sdg,rai,MurrLa00,pass_cmp,0,,,,,
player,201612180sdg,rai,MurrLa00,pass_att,0,,,,,
player,201612180sdg,rai,MurrLa00,pass_yds,0,,,,,
player,201612180sdg,rai,MurrLa00,pass_td,0,,,,,
player,201612180sdg,rai,MurrLa00,pass_int,0,,,,,
player,201612180sdg,rai,MurrLa00,pass_sacked,,,,,,
player,201612180sdg,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201612180sdg,rai,MurrLa00,pass_long,0,,,,,
player,201612180sdg,rai,MurrLa00,pass_rating,,,,,,
player,201612180sdg,rai,MurrLa00,rush_att,13,,,,,
player,201612180sdg,rai,MurrLa00,rush_yds,81,,,,,
player,201612180sdg,rai,MurrLa00,rush_td,0,,,,,
player,201612180sdg,rai,MurrLa00,rush_long,33,,,,,
player,201612180sdg,rai,MurrLa00,targets,1,,,,,
player,201612180sdg,rai,MurrLa00,rec,1,,,,,
player,201612180sdg,rai,MurrLa00,rec_yds,11,,,,,
player,201612180sdg,rai,MurrLa00,rec_td,0,,,,,
player,201612180sdg,rai,MurrLa00,rec_long,11,,,,,
player,201612180sdg,rai,MurrLa00,fumbles,2,,,,,
player,201612180sdg,rai,MurrLa00,fumbles_lost,1,,,,,
player,201612180sdg,rai,RichJa01,pass_cmp,0,,,,,
player,201612180sdg,rai,RichJa01,pass_att,0,,,,,
