game,2016,13,20161204,201612040atl,kan,"Kansas City Chiefs",29,atl,"Atlanta Falcons",28
player,201612040atl,kan,SmitAl03,rush_att,3,,,,,
player,201612040atl,kan,SmitAl03,rush_yds,-3,,,,,
player,201612040atl,kan,SmitAl03,rush_td,0,,,,,
player,201612040atl,kan,SmitAl03,rush_long,-1,,,,,
player,201612040atl,kan,SmitAl03,targets,0,,,,,
player,201612040atl,kan,SmitAl03,rec,0,,,,,
player,201612040atl,kan,SmitAl03,rec_yds,0,,,,,
player,201612040atl,kan,SmitAl03,rec_td,0,,,,,
player,201612040atl,kan,SmitAl03,rec_long,0,,,,,
player,201612040atl,kan,SmitAl03,fumbles,1,,,,,
player,201612040atl,kan,SmitAl03,fumbles_lost,1,,,,,
player,201612040atl,kan,WilsAl02,pass_cmp,0,,,,,
player,201612040atl,kan,WilsAl02,pass_att,0,,,,,
player,201612040atl,kan,WilsAl02,pass_yds,0,,,,,
player,201612040atl,kan,WilsAl02,pass_td,0,,,,,
player,201612040atl,kan,WilsAl02,pass_int,0,,,,,
player,201612040atl,kan,WilsAl02,pass_sacked,0,,,,,
player,201612040atl,kan,WilsAl02,pass_sacked_yds,0,,,,,
player,201612040atl,kan,WilsAl02,pass_long,0,,,,,
player,201612040atl,kan,WilsAl02,pass_rating,,,,,,
player,201612040atl,kan,WilsAl02,rush_att,1,,,,,
player,201612040atl,kan,WilsAl02,rush_yds,55,,,,,
player,201612040atl,kan,WilsAl02,rush_td,1,,,,,
player,201612040atl,kan,WilsAl02,rush_long,55,,,,,
player,201612040atl,kan,WilsAl02,targets,4,,,,,
player,201612040atl,kan,WilsAl02,rec,4,,,,,
player,201612040atl,kan,WilsAl02,rec_yds,48,,,,,
player,201612040atl,kan,WilsAl02,rec_td,0,,,,,
player,201612040atl,kan,WilsAl02,rec_long,21,,,,,
player,201612040atl,kan,WilsAl02,fumbles,0,,,,,
player,201612040atl,kan,WilsAl02,fumbles_lost,0,,,,,
player,201612040atl,kan,WareSp00,pass_cmp,0,,,,,
player,201612040atl,kan,WareSp00,pass_att,0,,,,,
player,201612040atl,kan,WareSp00,pass_yds,0,,,,,
player,201612040atl,kan,WareSp00,pass_td,0,,,,,
player,201612040atl,kan,WareSp00,pass_int,0,,,,,
player,201612040atl,kan,WareSp00,pass_sacked,0,,,,,
player,201612040atl,kan,WareSp00,pass_sacked_yds,0,,,,,
player,201612040atl,kan,WareSp00,pass_long,0,,,,,
player,201612040atl,kan,WareSp00,pass_rating,,,,,,
player,201612040atl,kan,WareSp00,rush_att,14,,,,,
player,201612040atl,kan,WareSp00,rush_yds,29,,,,,
player,201612040atl,kan,WareSp00,rush_td,1,,,,,
player,201612040atl,kan,WareSp00,rush_long,8,,,,,
player,201612040atl,kan,WareSp00,targets,4,,,,,
player,201612040atl,kan,WareSp00,rec,3,,,,,
player,201612040atl,kan,WareSp00,rec_yds,23,,,,,
player,201612040atl,kan,WareSp00,rec_td,1,,,,,
player,201612040atl,kan,WareSp00,rec_long,14,,,,,
player,201612040atl,kan,WareSp00,fumbles,0,,,,,
player,201612040atl,kan,WareSp00,fumbles_lost,0,,,,,
player,201612040atl,kan,ThomDe05,pass_cmp,0,,,,,
player,201612040atl,kan,ThomDe05,pass_att,0,,,,,
player,201612040atl,kan,ThomDe05,pass_yds,0,,,,,
player,201612040atl,kan,ThomDe05,pass_td,0,,,,,
player,201612040atl,kan,ThomDe05,pass_int,0,,,,,
player,201612040atl,kan,ThomDe05,pass_sacked,0,,,,,
player,201612040atl,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201612040atl,kan,ThomDe05,pass_long,0,,,,,
player,201612040atl,kan,ThomDe05,pass_rating,,,,,,
player,201612040atl,kan,ThomDe05,rush_att,1,,,,,
player,201612040atl,kan,ThomDe05,rush_yds,23,,,,,
player,201612040atl,kan,ThomDe05,rush_td,0,,,,,
player,201612040atl,kan,ThomDe05,rush_long,23,,,,,
player,201612040atl,kan,ThomDe05,targets,0,,,,,
player,201612040atl,kan,ThomDe05,rec,0,,,,,
player,201612040atl,kan,ThomDe05,rec_yds,0,,,,,
player,201612040atl,kan,ThomDe05,rec_td,0,,,,,
player,201612040atl,kan,ThomDe05,rec_long,0,,,,,
player,201612040atl,kan,ThomDe05,fumbles,0,,,,,
player,201612040atl,kan,ThomDe05,fumbles_lost,0,,,,,
player,201612040atl,kan,HillTy00,pass_cmp,0,,,,,
player,201612040atl,kan,HillTy00,pass_att,0,,,,,
player,201612040atl,kan,HillTy00,pass_yds,0,,,,,
player,201612040atl,kan,HillTy00,pass_td,0,,,,,
player,201612040atl,kan,HillTy00,pass_int,0,,,,,
player,201612040atl,kan,HillTy00,pass_sacked,0,,,,,
player,201612040atl,kan,HillTy00,pass_sacked_yds,0,,,,,
player,201612040atl,kan,HillTy00,pass_long,0,,,,,
player,201612040atl,kan,HillTy00,pass_rating,,,,,,
player,201612040atl,kan,HillTy00,rush_att,2,,,,,
player,201612040atl,kan,HillTy00,rush_yds,19,,,,,
player,201612040atl,kan,HillTy00,rush_td,0,,,,,
player,201612040atl,kan,HillTy00,rush_long,13,,,,,
player,201612040atl,kan,HillTy00,targets,6,,,,,
player,201612040atl,kan,HillTy00,rec,5,,,,,
player,201612040atl,kan,HillTy00,rec_yds,53,,,,,
player,201612040atl,kan,HillTy00,rec_td,0,,,,,
player,201612040atl,kan,HillTy00,rec_long,25,,,,,
player,201612040atl,kan,HillTy00,fumbles,0,,,,,
player,201612040atl,kan,HillTy00,fumbles_lost,0,,,,,
player,201612040atl,kan,KelcTr00,pass_cmp,0,,,,,
player,201612040atl,kan,KelcTr00,pass_att,0,,,,,
player,201612040atl,kan,KelcTr00,pass_yds,0,,,,,
player,201612040atl,kan,KelcTr00,pass_td,0,,,,,
player,201612040atl,kan,KelcTr00,pass_int,0,,,,,
player,201612040atl,kan,KelcTr00,pass_sacked,0,,,,,
player,201612040atl,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201612040atl,kan,KelcTr00,pass_long,0,,,,,
player,201612040atl,kan,KelcTr00,pass_rating,,,,,,
player,201612040atl,kan,KelcTr00,rush_att,0,,,,,
player,201612040atl,kan,KelcTr00,rush_yds,0,,,,,
player,201612040atl,kan,KelcTr00,rush_td,0,,,,,
player,201612040atl,kan,KelcTr00,rush_long,0,,,,,
player,201612040atl,kan,KelcTr00,targets,8,,,,,
player,201612040atl,kan,KelcTr00,rec,8,,,,,
player,201612040atl,kan,KelcTr00,rec_yds,140,,,,,
player,201612040atl,kan,KelcTr00,rec_td,0,,,,,
player,201612040atl,kan,KelcTr00,rec_long,35,,,,,
player,201612040atl,kan,KelcTr00,fumbles,0,,,,,
player,201612040atl,kan,KelcTr00,fumbles_lost,0,,,,,
player,201612040atl,kan,HarrDe03,pass_cmp,0,,,,,
player,201612040atl,kan,HarrDe03,pass_att,0,,,,,
player,201612040atl,kan,HarrDe03,pass_yds,0,,,,,
player,201612040atl,kan,HarrDe03,pass_td,0,,,,,
player,201612040atl,kan,HarrDe03,pass_int,0,,,,,
player,201612040atl,kan,HarrDe03,pass_sacked,0,,,,,
player,201612040atl,kan,HarrDe03,pass_sacked_yds,0,,,,,
player,201612040atl,kan,HarrDe03,pass_long,0,,,,,
player,201612040atl,kan,HarrDe03,pass_rating,,,,,,
player,201612040atl,kan,HarrDe03,rush_att,0,,,,,
player,201612040atl,kan,HarrDe03,rush_yds,0,,,,,
player,201612040atl,kan,HarrDe03,rush_td,0,,,,,
player,201612040atl,kan,HarrDe03,rush_long,0,,,,,
player,201612040atl,kan,HarrDe03,targets,1,,,,,
player,201612040atl,kan,HarrDe03,rec,1,,,,,
player,201612040atl,kan,HarrDe03,rec_yds,6,,,,,
player,201612040atl,kan,HarrDe03,rec_td,0,,,,,
player,201612040atl,kan,HarrDe03,rec_long,6,,,,,
player,201612040atl,kan,HarrDe03,fumbles,0,,,,,
player,201612040atl,kan,HarrDe03,fumbles_lost,0,,,,,
player,201612040atl,kan,WestCh01,pass_cmp,0,,,,,
player,201612040atl,kan,WestCh01,pass_att,0,,,,,
player,201612040atl,kan,WestCh01,pass_yds,0,,,,,
player,201612040atl,kan,WestCh01,pass_td,0,,,,,
player,201612040atl,kan,WestCh01,pass_int,0,,,,,
player,201612040atl,kan,WestCh01,pass_sacked,0,,,,,
player,201612040atl,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201612040atl,kan,WestCh01,pass_long,0,,,,,
player,201612040atl,kan,WestCh01,pass_rating,,,,,,
player,201612040atl,kan,WestCh01,rush_att,1,,,,,
player,201612040atl,kan,WestCh01,rush_yds,0,,,,,
player,201612040atl,kan,WestCh01,rush_td,0,,,,,
player,201612040atl,kan,WestCh01,rush_long,0,,,,,
player,201612040atl,kan,WestCh01,targets,0,,,,,
player,201612040atl,kan,WestCh01,rec,0,,,,,
player,201612040atl,kan,WestCh01,rec_yds,0,,,,,
player,201612040atl,kan,WestCh01,rec_td,0,,,,,
player,201612040atl,kan,WestCh01,rec_long,0,,,,,
player,201612040atl,kan,WestCh01,fumbles,0,,,,,
player,201612040atl,kan,WestCh01,fumbles_lost,0,,,,,
player,201612040atl,kan,ConlCh00,pass_cmp,0,,,,,
player,201612040atl,kan,ConlCh00,pass_att,0,,,,,
player,201612040atl,kan,ConlCh00,pass_yds,0,,,,,
player,201612040atl,kan,ConlCh00,pass_td,0,,,,,
player,201612040atl,kan,ConlCh00,pass_int,0,,,,,
player,201612040atl,kan,ConlCh00,pass_sacked,0,,,,,
player,201612040atl,kan,ConlCh00,pass_sacked_yds,0,,,,,
player,201612040atl,kan,ConlCh00,pass_long,0,,,,,
player,201612040atl,kan,ConlCh00,pass_rating,,,,,,
player,201612040atl,kan,ConlCh00,rush_att,0,,,,,
player,201612040atl,kan,ConlCh00,rush_yds,0,,,,,
player,201612040atl,kan,ConlCh00,rush_td,0,,,,,
player,201612040atl,kan,ConlCh00,rush_long,0,,,,,
player,201612040atl,kan,ConlCh00,targets,2,,,,,
player,201612040atl,kan,ConlCh00,rec,0,,,,,
player,201612040atl,kan,ConlCh00,rec_yds,0,,,,,
player,201612040atl,kan,ConlCh00,rec_td,0,,,,,
player,201612040atl,kan,ConlCh00,rec_long,0,,,,,
player,201612040atl,kan,ConlCh00,fumbles,0,,,,,
player,201612040atl,kan,ConlCh00,fumbles_lost,0,,,,,
player,201612040atl,atl,RyanMa00,pass_cmp,22,,,,,
player,201612040atl,atl,RyanMa00,pass_att,34,,,,,
player,201612040atl,atl,RyanMa00,pass_yds,297,,,,,
player,201612040atl,atl,RyanMa00,pass_td,1,,,,,
player,201612040atl,atl,RyanMa00,pass_int,1,,,,,
player,201612040atl,atl,RyanMa00,pass_sacked,2,,,,,
player,201612040atl,atl,RyanMa00,pass_sacked_yds,7,,,,,
player,201612040atl,atl,RyanMa00,pass_long,42,,,,,
player,201612040atl,atl,RyanMa00,pass_rating,90.0,,,,,
player,201612040atl,atl,RyanMa00,rush_att,3,,,,,
player,201612040atl,atl,RyanMa00,rush_yds,23,,,,,
player,201612040atl,atl,RyanMa00,rush_td,0,,,,,
player,201612040atl,atl,RyanMa00,rush_long,12,,,,,
player,201612040atl,atl,RyanMa00,targets,0,,,,,
player,201612040atl,atl,RyanMa00,rec,0,,,,,
player,201612040atl,atl,RyanMa00,rec_yds,0,,,,,
player,201612040atl,atl,RyanMa00,rec_td,0,,,,,
player,201612040atl,atl,RyanMa00,rec_long,0,,,,,
player,201612040atl,atl,RyanMa00,fumbles,0,,,,,
player,201612040atl,atl,RyanMa00,fumbles_lost,0,,,,,
player,201612040atl,atl,FreeDe00,pass_cmp,0,,,,,
player,201612040atl,atl,FreeDe00,pass_att,0,,,,,
player,201612040atl,atl,FreeDe00,pass_yds,0,,,,,
player,201612040atl,atl,FreeDe00,pass_td,0,,,,,
player,201612040atl,atl,FreeDe00,pass_int,0,,,,,
player,201612040atl,atl,FreeDe00,pass_sacked,0,,,,,
player,201612040atl,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201612040atl,atl,FreeDe00,pass_long,0,,,,,
player,201612040atl,atl,FreeDe00,pass_rating,,,,,,
player,201612040atl,atl,FreeDe00,rush_att,15,,,,,
player,201612040atl,atl,FreeDe00,rush_yds,56,,,,,
player,201612040atl,atl,FreeDe00,rush_td,2,,,,,
player,201612040atl,atl,FreeDe00,rush_long,14,,,,,
player,201612040atl,atl,FreeDe00,targets,5,,,,,
player,201612040atl,atl,FreeDe00,rec,4,,,,,
player,201612040atl,atl,FreeDe00,rec_yds,49,,,,,
player,201612040atl,atl,FreeDe00,rec_td,0,,,,,
player,201612040atl,atl,FreeDe00,rec_long,16,,,,,
player,201612040atl,atl,FreeDe00,fumbles,0,,,,,
player,201612040atl,atl,FreeDe00,fumbles_lost,0,,,,,
player,201612040atl,atl,ColeTe01,pass_cmp,0,,,,,
player,201612040atl,atl,ColeTe01,pass_att,0,,,,,
player,201612040atl,atl,ColeTe01,pass_yds,0,,,,,
player,201612040atl,atl,ColeTe01,pass_td,0,,,,,
player,201612040atl,atl,ColeTe01,pass_int,0,,,,,
player,201612040atl,atl,ColeTe01,pass_sacked,0,,,,,
player,201612040atl,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201612040atl,atl,ColeTe01,pass_long,0,,,,,
player,201612040atl,atl,ColeTe01,pass_rating,,,,,,
player,201612040atl,atl,ColeTe01,rush_att,12,,,,,
player,201612040atl,atl,ColeTe01,rush_yds,49,,,,,
player,201612040atl,atl,ColeTe01,rush_td,0,,,,,
player,201612040atl,atl,ColeTe01,rush_long,9,,,,,
player,201612040atl,atl,ColeTe01,targets,2,,,,,
player,201612040atl,atl,ColeTe01,rec,0,,,,,
player,201612040atl,atl,ColeTe01,rec_yds,0,,,,,
player,201612040atl,atl,ColeTe01,rec_td,0,,,,,
player,201612040atl,atl,ColeTe01,rec_long,0,,,,,
player,201612040atl,atl,ColeTe01,fumbles,0,,,,,
player,201612040atl,atl,ColeTe01,fumbles_lost,0,,,,,
player,201612040atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201612040atl,atl,JoneJu02,pass_att,0,,,,,
player,201612040atl,atl,JoneJu02,pass_yds,0,,,,,
player,201612040atl,atl,JoneJu02,pass_td,0,,,,,
player,201612040atl,atl,JoneJu02,pass_int,0,,,,,
player,201612040atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201612040atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201612040atl,atl,JoneJu02,pass_long,0,,,,,
player,201612040atl,atl,JoneJu02,pass_rating,,,,,,
player,201612040atl,atl,JoneJu02,rush_att,0,,,,,
player,201612040atl,atl,JoneJu02,rush_yds,0,,,,,
player,201612040atl,atl,JoneJu02,rush_td,0,,,,,
player,201612040atl,atl,JoneJu02,rush_long,0,,,,,
player,201612040atl,atl,JoneJu02,targets,9,,,,,
player,201612040atl,atl,JoneJu02,rec,7,,,,,
player,201612040atl,atl,JoneJu02,rec_yds,113,,,,,
player,201612040atl,atl,JoneJu02,rec_td,0,,,,,
player,201612040atl,atl,JoneJu02,rec_long,21,,,,,
player,201612040atl,atl,JoneJu02,fumbles,0,,,,,
player,201612040atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201612040atl,atl,GabrTa00,pass_cmp,0,,,,,
player,201612040atl,atl,GabrTa00,pass_att,0,,,,,
player,201612040atl,atl,GabrTa00,pass_yds,0,,,,,
player,201612040atl,atl,GabrTa00,pass_td,0,,,,,
player,201612040atl,atl,GabrTa00,pass_int,0,,,,,
player,201612040atl,atl,GabrTa00,pass_sacked,0,,,,,
player,201612040atl,atl,GabrTa00,pass_sacked_yds,0,,,,,
player,201612040atl,atl,GabrTa00,pass_long,0,,,,,
player,201612040atl,atl,GabrTa00,pass_rating,,,,,,
player,201612040atl,atl,GabrTa00,rush_att,0,,,,,
player,201612040atl,atl,GabrTa00,rush_yds,0,,,,,
player,201612040atl,atl,GabrTa00,rush_td,0,,,,,
player,201612040atl,atl,GabrTa00,rush_long,0,,,,,
player,201612040atl,atl,GabrTa00,targets,6,,,,,
player,201612040atl,atl,GabrTa00,rec,5,,,,,
player,201612040atl,atl,GabrTa00,rec_yds,44,,,,,
player,201612040atl,atl,GabrTa00,rec_td,0,,,,,
player,201612040atl,atl,GabrTa00,rec_long,14,,,,,
player,201612040atl,atl,GabrTa00,fumbles,0,,,,,
player,201612040atl,atl,GabrTa00,fumbles_lost,0,,,,,
player,201612040atl,atl,ToilLe00,pass_cmp,0,,,,,
player,201612040atl,atl,ToilLe00,pass_att,0,,,,,
player,201612040atl,atl,ToilLe00,pass_yds,0,,,,,
player,201612040atl,atl,ToilLe00,pass_td,0,,,,,
player,201612040atl,atl,ToilLe00,pass_int,0,,,,,
player,201612040atl,atl,ToilLe00,pass_sacked,0,,,,,
player,201612040atl,atl,ToilLe00,pass_sacked_yds,0,,,,,
player,201612040atl,atl,ToilLe00,pass_long,0,,,,,
player,201612040atl,atl,ToilLe00,pass_rating,,,,,,
player,201612040atl,atl,ToilLe00,rush_att,0,,,,,
player,201612040atl,atl,ToilLe00,rush_yds,0,,,,,
player,201612040atl,atl,ToilLe00,rush_td,0,,,,,
player,201612040atl,atl,ToilLe00,rush_long,0,,,,,
player,201612040atl,atl,ToilLe00,targets,1,,,,,
player,201612040atl,atl,ToilLe00,rec,1,,,,,
player,201612040atl,atl,ToilLe00,rec_yds,42,,,,,
player,201612040atl,atl,ToilLe00,rec_td,0,,,,,
player,201612040atl,atl,ToilLe00,rec_long,42,,,,,
player,201612040atl,atl,ToilLe00,fumbles,0,,,,,
player,201612040atl,atl,ToilLe00,fumbles_lost,0,,,,,
player,201612040atl,atl,SanuMo00,pass_cmp,0,,,,,
player,201612040atl,atl,SanuMo00,pass_att,0,,,,,
player,201612040atl,atl,SanuMo00,pass_yds,0,,,,,
player,201612040atl,atl,SanuMo00,pass_td,0,,,,,
player,201612040atl,atl,SanuMo00,pass_int,0,,,,,
player,201612040atl,atl,SanuMo00,pass_sacked,0,,,,,
player,201612040atl,atl,SanuMo00,pass_sacked_yds,0,,,,,
player,201612040atl,atl,SanuMo00,pass_long,0,,,,,
player,201612040atl,atl,SanuMo00,pass_rating,,,,,,
player,201612040atl,atl,SanuMo00,rush_att,0,,,,,
player,201612040atl,atl,SanuMo00,rush_yds,0,,,,,
player,201612040atl,atl,SanuMo00,rush_td,0,,,,,
player,201612040atl,atl,SanuMo00,rush_long,0,,,,,
player,201612040atl,atl,SanuMo00,targets,3,,,,,
player,201612040atl,atl,SanuMo00,rec,2,,,,,
