game,2016,7,20161023,201610230kan,nor,"New Orleans Saints",21,kan,"Kansas City Chiefs",27
team,201610230kan,nor,First Downs,27,,,,,,
team,201610230kan,kan,First Downs,20,,,,,,
team,201610230kan,nor,Rush-Yds-TDs,22-104-0,,,,,,
team,201610230kan,kan,Rush-Yds-TDs,28-112-0,,,,,,
team,201610230kan,nor,Cmp-Att-Yd-TD-INT,37-48-367-3-1,,,,,,
team,201610230kan,kan,Cmp-Att-Yd-TD-INT,17-24-214-2-0,,,,,,
team,201610230kan,nor,Sacked-Yards,1-8,,,,,,
team,201610230kan,kan,Sacked-Yards,0-0,,,,,,
team,201610230kan,nor,Net Pass Yards,359,,,,,,
team,201610230kan,kan,Net Pass Yards,214,,,,,,
team,201610230kan,nor,Total Yards,463,,,,,,
team,201610230kan,kan,Total Yards,326,,,,,,
team,201610230kan,nor,Fumbles-Lost,3-1,,,,,,
team,201610230kan,kan,Fumbles-Lost,0-0,,,,,,
team,201610230kan,nor,Turnovers,2,,,,,,
team,201610230kan,kan,Turnovers,0,,,,,,
team,201610230kan,nor,Penalties-Yards,10-75,,,,,,
team,201610230kan,kan,Penalties-Yards,4-30,,,,,,
team,201610230kan,nor,Third Down Conv.,9-14,,,,,,
team,201610230kan,kan,Third Down Conv.,3-9,,,,,,
team,201610230kan,nor,Fourth Down Conv.,0-0,,,,,,
team,201610230kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201610230kan,nor,Time of Possession,32:38,,,,,,
team,201610230kan,kan,Time of Possession,27:22,,,,,,
player,201610230kan,nor,BreeDr00,pass_cmp,37,,,,,
player,201610230kan,nor,BreeDr00,pass_att,48,,,,,
player,201610230kan,nor,BreeDr00,pass_yds,367,,,,,
player,201610230kan,nor,BreeDr00,pass_td,3,,,,,
player,201610230kan,nor,BreeDr00,pass_int,1,,,,,
player,201610230kan,nor,BreeDr00,pass_sacked,1,,,,,
player,201610230kan,nor,BreeDr00,pass_sacked_yds,8,,,,,
player,201610230kan,nor,BreeDr00,pass_long,30,,,,,
player,201610230kan,nor,BreeDr00,pass_rating,110.3,,,,,
