game,2016,13,20161204,201612040crd,was,"Washington Redskins",23,crd,"Arizona Cardinals",31
team,201612040crd,was,First Downs,19,,,,,,
team,201612040crd,crd,First Downs,24,,,,,,
team,201612040crd,was,Rush-Yds-TDs,18-87-1,,,,,,
team,201612040crd,crd,Rush-Yds-TDs,24-88-1,,,,,,
team,201612040crd,was,Cmp-Att-Yd-TD-INT,21-37-271-1-1,,,,,,
team,201612040crd,crd,Cmp-Att-Yd-TD-INT,30-46-300-3-0,,,,,,
team,201612040crd,was,Sacked-Yards,2-25,,,,,,
team,201612040crd,crd,Sacked-Yards,2-19,,,,,,
team,201612040crd,was,Net Pass Yards,246,,,,,,
team,201612040crd,crd,Net Pass Yards,281,,,,,,
team,201612040crd,was,Total Yards,333,,,,,,
team,201612040crd,crd,Total Yards,369,,,,,,
team,201612040crd,was,Fumbles-Lost,2-1,,,,,,
team,201612040crd,crd,Fumbles-Lost,1-0,,,,,,
team,201612040crd,was,Turnovers,2,,,,,,
team,201612040crd,crd,Turnovers,0,,,,,,
team,201612040crd,was,Penalties-Yards,7-35,,,,,,
team,201612040crd,crd,Penalties-Yards,6-51,,,,,,
team,201612040crd,was,Third Down Conv.,5-11,,,,,,
team,201612040crd,crd,Third Down Conv.,10-16,,,,,,
team,201612040crd,was,Fourth Down Conv.,0-0,,,,,,
team,201612040crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201612040crd,was,Time of Possession,26:14,,,,,,
team,201612040crd,crd,Time of Possession,33:46,,,,,,
player,201612040crd,was,CousKi00,pass_cmp,21,,,,,
player,201612040crd,was,CousKi00,pass_att,37,,,,,
player,201612040crd,was,CousKi00,pass_yds,271,,,,,
player,201612040crd,was,CousKi00,pass_td,1,,,,,
player,201612040crd,was,CousKi00,pass_int,1,,,,,
player,201612040crd,was,CousKi00,pass_sacked,2,,,,,
player,201612040crd,was,CousKi00,pass_sacked_yds,25,,,,,
player,201612040crd,was,CousKi00,pass_long,59,,,,,
player,201612040crd,was,CousKi00,pass_rating,77.6,,,,,
player,201612040crd,was,CousKi00,rush_att,2,,,,,
player,201612040crd,was,CousKi00,rush_yds,0,,,,,
player,201612040crd,was,CousKi00,rush_td,1,,,,,
player,201612040crd,was,CousKi00,rush_long,1,,,,,
player,201612040crd,was,CousKi00,targets,0,,,,,
player,201612040crd,was,CousKi00,rec,0,,,,,
player,201612040crd,was,CousKi00,rec_yds,0,,,,,
player,201612040crd,was,CousKi00,rec_td,0,,,,,
player,201612040crd,was,CousKi00,rec_long,0,,,,,
player,201612040crd,was,CousKi00,fumbles,1,,,,,
player,201612040crd,was,CousKi00,fumbles_lost,1,,,,,
player,201612040crd,was,KellRo00,pass_cmp,0,,,,,
player,201612040crd,was,KellRo00,pass_att,0,,,,,
player,201612040crd,was,KellRo00,pass_yds,0,,,,,
player,201612040crd,was,KellRo00,pass_td,0,,,,,
player,201612040crd,was,KellRo00,pass_int,0,,,,,
player,201612040crd,was,KellRo00,pass_sacked,0,,,,,
player,201612040crd,was,KellRo00,pass_sacked_yds,0,,,,,
player,201612040crd,was,KellRo00,pass_long,0,,,,,
player,201612040crd,was,KellRo00,pass_rating,,,,,,
player,201612040crd,was,KellRo00,rush_att,14,,,,,
player,201612040crd,was,KellRo00,rush_yds,63,,,,,
player,201612040crd,was,KellRo00,rush_td,0,,,,,
player,201612040crd,was,KellRo00,rush_long,19,,,,,
player,201612040crd,was,KellRo00,targets,1,,,,,
player,201612040crd,was,KellRo00,rec,0,,,,,
player,201612040crd,was,KellRo00,rec_yds,0,,,,,
player,201612040crd,was,KellRo00,rec_td,0,,,,,
player,201612040crd,was,KellRo00,rec_long,0,,,,,
player,201612040crd,was,KellRo00,fumbles,0,,,,,
player,201612040crd,was,KellRo00,fumbles_lost,0,,,,,
player,201612040crd,was,ThomCh03,pass_cmp,0,,,,,
player,201612040crd,was,ThomCh03,pass_att,0,,,,,
player,201612040crd,was,ThomCh03,pass_yds,0,,,,,
player,201612040crd,was,ThomCh03,pass_td,0,,,,,
player,201612040crd,was,ThomCh03,pass_int,0,,,,,
player,201612040crd,was,ThomCh03,pass_sacked,0,,,,,
player,201612040crd,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201612040crd,was,ThomCh03,pass_long,0,,,,,
player,201612040crd,was,ThomCh03,pass_rating,,,,,,
player,201612040crd,was,ThomCh03,rush_att,2,,,,,
player,201612040crd,was,ThomCh03,rush_yds,24,,,,,
player,201612040crd,was,ThomCh03,rush_td,0,,,,,
player,201612040crd,was,ThomCh03,rush_long,16,,,,,
player,201612040crd,was,ThomCh03,targets,2,,,,,
player,201612040crd,was,ThomCh03,rec,1,,,,,
player,201612040crd,was,ThomCh03,rec_yds,21,,,,,
player,201612040crd,was,ThomCh03,rec_td,0,,,,,
player,201612040crd,was,ThomCh03,rec_long,21,,,,,
player,201612040crd,was,ThomCh03,fumbles,0,,,,,
player,201612040crd,was,ThomCh03,fumbles_lost,0,,,,,
player,201612040crd,was,GarcPi00,pass_cmp,0,,,,,
player,201612040crd,was,GarcPi00,pass_att,0,,,,,
player,201612040crd,was,GarcPi00,pass_yds,0,,,,,
player,201612040crd,was,GarcPi00,pass_td,0,,,,,
player,201612040crd,was,GarcPi00,pass_int,0,,,,,
player,201612040crd,was,GarcPi00,pass_sacked,0,,,,,
player,201612040crd,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201612040crd,was,GarcPi00,pass_long,0,,,,,
player,201612040crd,was,GarcPi00,pass_rating,,,,,,
player,201612040crd,was,GarcPi00,rush_att,0,,,,,
player,201612040crd,was,GarcPi00,rush_yds,0,,,,,
player,201612040crd,was,GarcPi00,rush_td,0,,,,,
player,201612040crd,was,GarcPi00,rush_long,0,,,,,
player,201612040crd,was,GarcPi00,targets,9,,,,,
player,201612040crd,was,GarcPi00,rec,7,,,,,
player,201612040crd,was,GarcPi00,rec_yds,78,,,,,
player,201612040crd,was,GarcPi00,rec_td,0,,,,,
player,201612040crd,was,GarcPi00,rec_long,28,,,,,
player,201612040crd,was,GarcPi00,fumbles,0,,,,,
player,201612040crd,was,GarcPi00,fumbles_lost,0,,,,,
player,201612040crd,was,JackDe00,pass_cmp,0,,,,,
player,201612040crd,was,JackDe00,pass_att,0,,,,,
player,201612040crd,was,JackDe00,pass_yds,0,,,,,
player,201612040crd,was,JackDe00,pass_td,0,,,,,
player,201612040crd,was,JackDe00,pass_int,0,,,,,
player,201612040crd,was,JackDe00,pass_sacked,0,,,,,
player,201612040crd,was,JackDe00,pass_sacked_yds,0,,,,,
player,201612040crd,was,JackDe00,pass_long,0,,,,,
player,201612040crd,was,JackDe00,pass_rating,,,,,,
player,201612040crd,was,JackDe00,rush_att,0,,,,,
player,201612040crd,was,JackDe00,rush_yds,0,,,,,
player,201612040crd,was,JackDe00,rush_td,0,,,,,
player,201612040crd,was,JackDe00,rush_long,0,,,,,
player,201612040crd,was,JackDe00,targets,4,,,,,
player,201612040crd,was,JackDe00,rec,1,,,,,
player,201612040crd,was,JackDe00,rec_yds,59,,,,,
player,201612040crd,was,JackDe00,rec_td,0,,,,,
player,201612040crd,was,JackDe00,rec_long,59,,,,,
player,201612040crd,was,JackDe00,fumbles,0,,,,,
player,201612040crd,was,JackDe00,fumbles_lost,0,,,,,
player,201612040crd,was,DaviVe00,pass_cmp,0,,,,,
player,201612040crd,was,DaviVe00,pass_att,0,,,,,
player,201612040crd,was,DaviVe00,pass_yds,0,,,,,
player,201612040crd,was,DaviVe00,pass_td,0,,,,,
player,201612040crd,was,DaviVe00,pass_int,0,,,,,
player,201612040crd,was,DaviVe00,pass_sacked,0,,,,,
player,201612040crd,was,DaviVe00,pass_sacked_yds,0,,,,,
player,201612040crd,was,DaviVe00,pass_long,0,,,,,
player,201612040crd,was,DaviVe00,pass_rating,,,,,,
player,201612040crd,was,DaviVe00,rush_att,0,,,,,
player,201612040crd,was,DaviVe00,rush_yds,0,,,,,
player,201612040crd,was,DaviVe00,rush_td,0,,,,,
player,201612040crd,was,DaviVe00,rush_long,0,,,,,
player,201612040crd,was,DaviVe00,targets,6,,,,,
player,201612040crd,was,DaviVe00,rec,5,,,,,
player,201612040crd,was,DaviVe00,rec_yds,47,,,,,
player,201612040crd,was,DaviVe00,rec_td,0,,,,,
player,201612040crd,was,DaviVe00,rec_long,18,,,,,
player,201612040crd,was,DaviVe00,fumbles,0,,,,,
player,201612040crd,was,DaviVe00,fumbles_lost,0,,,,,
player,201612040crd,was,CrowJa00,pass_cmp,0,,,,,
player,201612040crd,was,CrowJa00,pass_att,0,,,,,
player,201612040crd,was,CrowJa00,pass_yds,0,,,,,
player,201612040crd,was,CrowJa00,pass_td,0,,,,,
player,201612040crd,was,CrowJa00,pass_int,0,,,,,
player,201612040crd,was,CrowJa00,pass_sacked,0,,,,,
player,201612040crd,was,CrowJa00,pass_sacked_yds,0,,,,,
player,201612040crd,was,CrowJa00,pass_long,0,,,,,
player,201612040crd,was,CrowJa00,pass_rating,,,,,,
player,201612040crd,was,CrowJa00,rush_att,0,,,,,
player,201612040crd,was,CrowJa00,rush_yds,0,,,,,
player,201612040crd,was,CrowJa00,rush_td,0,,,,,
player,201612040crd,was,CrowJa00,rush_long,0,,,,,
player,201612040crd,was,CrowJa00,targets,8,,,,,
player,201612040crd,was,CrowJa00,rec,3,,,,,
player,201612040crd,was,CrowJa00,rec_yds,42,,,,,
player,201612040crd,was,CrowJa00,rec_td,1,,,,,
player,201612040crd,was,CrowJa00,rec_long,26,,,,,
player,201612040crd,was,CrowJa00,fumbles,0,,,,,
player,201612040crd,was,CrowJa00,fumbles_lost,0,,,,,
player,201612040crd,was,GranRy01,pass_cmp,0,,,,,
player,201612040crd,was,GranRy01,pass_att,0,,,,,
player,201612040crd,was,GranRy01,pass_yds,0,,,,,
player,201612040crd,was,GranRy01,pass_td,0,,,,,
player,201612040crd,was,GranRy01,pass_int,0,,,,,
player,201612040crd,was,GranRy01,pass_sacked,0,,,,,
player,201612040crd,was,GranRy01,pass_sacked_yds,0,,,,,
player,201612040crd,was,GranRy01,pass_long,0,,,,,
player,201612040crd,was,GranRy01,pass_rating,,,,,,
player,201612040crd,was,GranRy01,rush_att,0,,,,,
player,201612040crd,was,GranRy01,rush_yds,0,,,,,
player,201612040crd,was,GranRy01,rush_td,0,,,,,
player,201612040crd,was,GranRy01,rush_long,0,,,,,
player,201612040crd,was,GranRy01,targets,2,,,,,
player,201612040crd,was,GranRy01,rec,2,,,,,
player,201612040crd,was,GranRy01,rec_yds,20,,,,,
player,201612040crd,was,GranRy01,rec_td,0,,,,,
player,201612040crd,was,GranRy01,rec_long,13,,,,,
player,201612040crd,was,GranRy01,fumbles,0,,,,,
player,201612040crd,was,GranRy01,fumbles_lost,0,,,,,
player,201612040crd,was,CarrDe00,pass_cmp,0,,,,,
player,201612040crd,was,CarrDe00,pass_att,0,,,,,
player,201612040crd,was,CarrDe00,pass_yds,0,,,,,
player,201612040crd,was,CarrDe00,pass_td,0,,,,,
player,201612040crd,was,CarrDe00,pass_int,0,,,,,
player,201612040crd,was,CarrDe00,pass_sacked,0,,,,,
player,201612040crd,was,CarrDe00,pass_sacked_yds,0,,,,,
player,201612040crd,was,CarrDe00,pass_long,0,,,,,
player,201612040crd,was,CarrDe00,pass_rating,,,,,,
player,201612040crd,was,CarrDe00,rush_att,0,,,,,
player,201612040crd,was,CarrDe00,rush_yds,0,,,,,
player,201612040crd,was,CarrDe00,rush_td,0,,,,,
player,201612040crd,was,CarrDe00,rush_long,0,,,,,
player,201612040crd,was,CarrDe00,targets,1,,,,,
player,201612040crd,was,CarrDe00,rec,1,,,,,
player,201612040crd,was,CarrDe00,rec_yds,6,,,,,
player,201612040crd,was,CarrDe00,rec_td,0,,,,,
player,201612040crd,was,CarrDe00,rec_long,6,,,,,
player,201612040crd,was,CarrDe00,fumbles,0,,,,,
player,201612040crd,was,CarrDe00,fumbles_lost,0,,,,,
player,201612040crd,was,HarrMa05,pass_cmp,0,,,,,
player,201612040crd,was,HarrMa05,pass_att,0,,,,,
player,201612040crd,was,HarrMa05,pass_yds,0,,,,,
player,201612040crd,was,HarrMa05,pass_td,0,,,,,
player,201612040crd,was,HarrMa05,pass_int,0,,,,,
player,201612040crd,was,HarrMa05,pass_sacked,0,,,,,
player,201612040crd,was,HarrMa05,pass_sacked_yds,0,,,,,
player,201612040crd,was,HarrMa05,pass_long,0,,,,,
player,201612040crd,was,HarrMa05,pass_rating,,,,,,
player,201612040crd,was,HarrMa05,rush_att,0,,,,,
player,201612040crd,was,HarrMa05,rush_yds,0,,,,,
player,201612040crd,was,HarrMa05,rush_td,0,,,,,
player,201612040crd,was,HarrMa05,rush_long,0,,,,,
player,201612040crd,was,HarrMa05,targets,1,,,,,
player,201612040crd,was,HarrMa05,rec,1,,,,,
player,201612040crd,was,HarrMa05,rec_yds,-2,,,,,
player,201612040crd,was,HarrMa05,rec_td,0,,,,,
player,201612040crd,was,HarrMa05,rec_long,-2,,,,,
player,201612040crd,was,HarrMa05,fumbles,1,,,,,
player,201612040crd,was,HarrMa05,fumbles_lost,0,,,,,
player,201612040crd,crd,PalmCa00,pass_cmp,30,,,,,
player,201612040crd,crd,PalmCa00,pass_att,46,,,,,
player,201612040crd,crd,PalmCa00,pass_yds,300,,,,,
player,201612040crd,crd,PalmCa00,pass_td,3,,,,,
player,201612040crd,crd,PalmCa00,pass_int,0,,,,,
player,201612040crd,crd,PalmCa00,pass_sacked,2,,,,,
player,201612040crd,crd,PalmCa00,pass_sacked_yds,19,,,,,
player,201612040crd,crd,PalmCa00,pass_long,42,,,,,
player,201612040crd,crd,PalmCa00,pass_rating,105.3,,,,,
player,201612040crd,crd,PalmCa00,rush_att,1,,,,,
player,201612040crd,crd,PalmCa00,rush_yds,-1,,,,,
player,201612040crd,crd,PalmCa00,rush_td,0,,,,,
player,201612040crd,crd,PalmCa00,rush_long,-1,,,,,
player,201612040crd,crd,PalmCa00,targets,0,,,,,
player,201612040crd,crd,PalmCa00,rec,0,,,,,
player,201612040crd,crd,PalmCa00,rec_yds,0,,,,,
player,201612040crd,crd,PalmCa00,rec_td,0,,,,,
player,201612040crd,crd,PalmCa00,rec_long,0,,,,,
player,201612040crd,crd,PalmCa00,fumbles,0,,,,,
player,201612040crd,crd,PalmCa00,fumbles_lost,0,,,,,
player,201612040crd,crd,JohnDa08,pass_cmp,0,,,,,
player,201612040crd,crd,JohnDa08,pass_att,0,,,,,
player,201612040crd,crd,JohnDa08,pass_yds,0,,,,,
player,201612040crd,crd,JohnDa08,pass_td,0,,,,,
player,201612040crd,crd,JohnDa08,pass_int,0,,,,,
player,201612040crd,crd,JohnDa08,pass_sacked,0,,,,,
player,201612040crd,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201612040crd,crd,JohnDa08,pass_long,0,,,,,
player,201612040crd,crd,JohnDa08,pass_rating,,,,,,
player,201612040crd,crd,JohnDa08,rush_att,18,,,,,
player,201612040crd,crd,JohnDa08,rush_yds,84,,,,,
player,201612040crd,crd,JohnDa08,rush_td,1,,,,,
