game,2016,5,20161006,201610060sfo,crd,"Arizona Cardinals",33,sfo,"San Francisco 49ers",21
team,201610060sfo,crd,First Downs,17,,,,,,
team,201610060sfo,sfo,First Downs,25,,,,,,
team,201610060sfo,crd,Rush-Yds-TDs,37-172-2,,,,,,
team,201610060sfo,sfo,Rush-Yds-TDs,36-151-2,,,,,,
team,201610060sfo,crd,Cmp-Att-Yd-TD-INT,11-28-124-2-0,,,,,,
team,201610060sfo,sfo,Cmp-Att-Yd-TD-INT,18-31-162-1-2,,,,,,
team,201610060sfo,crd,Sacked-Yards,1-8,,,,,,
team,201610060sfo,sfo,Sacked-Yards,7-27,,,,,,
team,201610060sfo,crd,Net Pass Yards,116,,,,,,
team,201610060sfo,sfo,Net Pass Yards,135,,,,,,
team,201610060sfo,crd,Total Yards,288,,,,,,
team,201610060sfo,sfo,Total Yards,286,,,,,,
team,201610060sfo,crd,Fumbles-Lost,2-0,,,,,,
team,201610060sfo,sfo,Fumbles-Lost,2-1,,,,,,
team,201610060sfo,crd,Turnovers,0,,,,,,
team,201610060sfo,sfo,Turnovers,3,,,,,,
team,201610060sfo,crd,Penalties-Yards,7-50,,,,,,
team,201610060sfo,sfo,Penalties-Yards,4-34,,,,,,
team,201610060sfo,crd,Third Down Conv.,5-16,,,,,,
team,201610060sfo,sfo,Third Down Conv.,4-14,,,,,,
team,201610060sfo,crd,Fourth Down Conv.,0-0,,,,,,
team,201610060sfo,sfo,Fourth Down Conv.,1-1,,,,,,
team,201610060sfo,crd,Time of Possession,31:44,,,,,,
team,201610060sfo,sfo,Time of Possession,28:16,,,,,,
player,201610060sfo,crd,StanDr00,pass_cmp,11,,,,,
player,201610060sfo,crd,StanDr00,pass_att,28,,,,,
player,201610060sfo,crd,StanDr00,pass_yds,124,,,,,
player,201610060sfo,crd,StanDr00,pass_td,2,,,,,
player,201610060sfo,crd,StanDr00,pass_int,0,,,,,
player,201610060sfo,crd,StanDr00,pass_sacked,1,,,,,
player,201610060sfo,crd,StanDr00,pass_sacked_yds,8,,,,,
player,201610060sfo,crd,StanDr00,pass_long,29,,,,,
player,201610060sfo,crd,StanDr00,pass_rating,77.1,,,,,
player,201610060sfo,crd,StanDr00,rush_att,2,,,,,
player,201610060sfo,crd,StanDr00,rush_yds,-2,,,,,
player,201610060sfo,crd,StanDr00,rush_td,0,,,,,
player,201610060sfo,crd,StanDr00,rush_long,-1,,,,,
player,201610060sfo,crd,StanDr00,targets,0,,,,,
player,201610060sfo,crd,StanDr00,rec,0,,,,,
player,201610060sfo,crd,StanDr00,rec_yds,0,,,,,
player,201610060sfo,crd,StanDr00,rec_td,0,,,,,
player,201610060sfo,crd,StanDr00,rec_long,0,,,,,
player,201610060sfo,crd,StanDr00,fumbles,0,,,,,
player,201610060sfo,crd,StanDr00,fumbles_lost,0,,,,,
player,201610060sfo,crd,JohnDa08,pass_cmp,0,,,,,
player,201610060sfo,crd,JohnDa08,pass_att,0,,,,,
player,201610060sfo,crd,JohnDa08,pass_yds,0,,,,,
player,201610060sfo,crd,JohnDa08,pass_td,0,,,,,
player,201610060sfo,crd,JohnDa08,pass_int,0,,,,,
player,201610060sfo,crd,JohnDa08,pass_sacked,0,,,,,
player,201610060sfo,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201610060sfo,crd,JohnDa08,pass_long,0,,,,,
player,201610060sfo,crd,JohnDa08,pass_rating,,,,,,
player,201610060sfo,crd,JohnDa08,rush_att,27,,,,,
player,201610060sfo,crd,JohnDa08,rush_yds,157,,,,,
player,201610060sfo,crd,JohnDa08,rush_td,2,,,,,
player,201610060sfo,crd,JohnDa08,rush_long,23,,,,,
player,201610060sfo,crd,JohnDa08,targets,6,,,,,
player,201610060sfo,crd,JohnDa08,rec,3,,,,,
player,201610060sfo,crd,JohnDa08,rec_yds,28,,,,,
player,201610060sfo,crd,JohnDa08,rec_td,0,,,,,
player,201610060sfo,crd,JohnDa08,rec_long,21,,,,,
player,201610060sfo,crd,JohnDa08,fumbles,1,,,,,
player,201610060sfo,crd,JohnDa08,fumbles_lost,0,,,,,
player,201610060sfo,crd,ElliAn00,pass_cmp,0,,,,,
player,201610060sfo,crd,ElliAn00,pass_att,0,,,,,
player,201610060sfo,crd,ElliAn00,pass_yds,0,,,,,
player,201610060sfo,crd,ElliAn00,pass_td,0,,,,,
player,201610060sfo,crd,ElliAn00,pass_int,0,,,,,
player,201610060sfo,crd,ElliAn00,pass_sacked,0,,,,,
player,201610060sfo,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201610060sfo,crd,ElliAn00,pass_long,0,,,,,
player,201610060sfo,crd,ElliAn00,pass_rating,,,,,,
player,201610060sfo,crd,ElliAn00,rush_att,6,,,,,
player,201610060sfo,crd,ElliAn00,rush_yds,19,,,,,
player,201610060sfo,crd,ElliAn00,rush_td,0,,,,,
player,201610060sfo,crd,ElliAn00,rush_long,5,,,,,
player,201610060sfo,crd,ElliAn00,targets,0,,,,,
player,201610060sfo,crd,ElliAn00,rec,0,,,,,
player,201610060sfo,crd,ElliAn00,rec_yds,0,,,,,
player,201610060sfo,crd,ElliAn00,rec_td,0,,,,,
player,201610060sfo,crd,ElliAn00,rec_long,0,,,,,
player,201610060sfo,crd,ElliAn00,fumbles,0,,,,,
player,201610060sfo,crd,ElliAn00,fumbles_lost,0,,,,,
player,201610060sfo,crd,FitzLa00,pass_cmp,0,,,,,
player,201610060sfo,crd,FitzLa00,pass_att,0,,,,,
player,201610060sfo,crd,FitzLa00,pass_yds,0,,,,,
player,201610060sfo,crd,FitzLa00,pass_td,0,,,,,
player,201610060sfo,crd,FitzLa00,pass_int,0,,,,,
player,201610060sfo,crd,FitzLa00,pass_sacked,0,,,,,
player,201610060sfo,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201610060sfo,crd,FitzLa00,pass_long,0,,,,,
player,201610060sfo,crd,FitzLa00,pass_rating,,,,,,
player,201610060sfo,crd,FitzLa00,rush_att,0,,,,,
player,201610060sfo,crd,FitzLa00,rush_yds,0,,,,,
player,201610060sfo,crd,FitzLa00,rush_td,0,,,,,
player,201610060sfo,crd,FitzLa00,rush_long,0,,,,,
player,201610060sfo,crd,FitzLa00,targets,8,,,,,
player,201610060sfo,crd,FitzLa00,rec,6,,,,,
player,201610060sfo,crd,FitzLa00,rec_yds,81,,,,,
player,201610060sfo,crd,FitzLa00,rec_td,2,,,,,
player,201610060sfo,crd,FitzLa00,rec_long,29,,,,,
player,201610060sfo,crd,FitzLa00,fumbles,0,,,,,
player,201610060sfo,crd,FitzLa00,fumbles_lost,0,,,,,
player,201610060sfo,crd,BrowJo02,pass_cmp,0,,,,,
player,201610060sfo,crd,BrowJo02,pass_att,0,,,,,
player,201610060sfo,crd,BrowJo02,pass_yds,0,,,,,
player,201610060sfo,crd,BrowJo02,pass_td,0,,,,,
player,201610060sfo,crd,BrowJo02,pass_int,0,,,,,
player,201610060sfo,crd,BrowJo02,pass_sacked,0,,,,,
