game,2016,3,20160925,201609250nyg,was,"Washington Redskins",29,nyg,"New York Giants",27
team,201609250nyg,was,First Downs,20,,,,,,
team,201609250nyg,nyg,First Downs,28,,,,,,
team,201609250nyg,was,Rush-Yds-TDs,30-90-0,,,,,,
team,201609250nyg,nyg,Rush-Yds-TDs,21-120-2,,,,,,
team,201609250nyg,was,Cmp-Att-Yd-TD-INT,22-36-327-2-0,,,,,,
team,201609250nyg,nyg,Cmp-Att-Yd-TD-INT,25-38-350-1-2,,,,,,
team,201609250nyg,was,Sacked-Yards,2-14,,,,,,
team,201609250nyg,nyg,Sacked-Yards,2-13,,,,,,
team,201609250nyg,was,Net Pass Yards,313,,,,,,
team,201609250nyg,nyg,Net Pass Yards,337,,,,,,
team,201609250nyg,was,Total Yards,403,,,,,,
team,201609250nyg,nyg,Total Yards,457,,,,,,
team,201609250nyg,was,Fumbles-Lost,3-1,,,,,,
team,201609250nyg,nyg,Fumbles-Lost,3-1,,,,,,
team,201609250nyg,was,Turnovers,1,,,,,,
team,201609250nyg,nyg,Turnovers,3,,,,,,
team,201609250nyg,was,Penalties-Yards,8-70,,,,,,
team,201609250nyg,nyg,Penalties-Yards,11-128,,,,,,
team,201609250nyg,was,Third Down Conv.,7-16,,,,,,
team,201609250nyg,nyg,Third Down Conv.,4-9,,,,,,
team,201609250nyg,was,Fourth Down Conv.,1-1,,,,,,
team,201609250nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201609250nyg,was,Time of Possession,33:26,,,,,,
team,201609250nyg,nyg,Time of Possession,26:34,,,,,,
player,201609250nyg,was,CousKi00,pass_cmp,21,,,,,
player,201609250nyg,was,CousKi00,pass_att,35,,,,,
player,201609250nyg,was,CousKi00,pass_yds,296,,,,,
player,201609250nyg,was,CousKi00,pass_td,2,,,,,
player,201609250nyg,was,CousKi00,pass_int,0,,,,,
player,201609250nyg,was,CousKi00,pass_sacked,2,,,,,
player,201609250nyg,was,CousKi00,pass_sacked_yds,14,,,,,
player,201609250nyg,was,CousKi00,pass_long,55,,,,,
player,201609250nyg,was,CousKi00,pass_rating,106.4,,,,,
player,201609250nyg,was,CousKi00,rush_att,3,,,,,
player,201609250nyg,was,CousKi00,rush_yds,-5,,,,,
player,201609250nyg,was,CousKi00,rush_td,0,,,,,
player,201609250nyg,was,CousKi00,rush_long,-1,,,,,
player,201609250nyg,was,CousKi00,targets,0,,,,,
player,201609250nyg,was,CousKi00,rec,0,,,,,
player,201609250nyg,was,CousKi00,rec_yds,0,,,,,
player,201609250nyg,was,CousKi00,rec_td,0,,,,,
player,201609250nyg,was,CousKi00,rec_long,0,,,,,
player,201609250nyg,was,CousKi00,fumbles,1,,,,,
player,201609250nyg,was,CousKi00,fumbles_lost,0,,,,,
player,201609250nyg,was,WayxTr00,pass_cmp,1,,,,,
player,201609250nyg,was,WayxTr00,pass_att,1,,,,,
player,201609250nyg,was,WayxTr00,pass_yds,31,,,,,
player,201609250nyg,was,WayxTr00,pass_td,0,,,,,
player,201609250nyg,was,WayxTr00,pass_int,0,,,,,
player,201609250nyg,was,WayxTr00,pass_sacked,0,,,,,
player,201609250nyg,was,WayxTr00,pass_sacked_yds,0,,,,,
player,201609250nyg,was,WayxTr00,pass_long,31,,,,,
player,201609250nyg,was,WayxTr00,pass_rating,118.7,,,,,
player,201609250nyg,was,WayxTr00,rush_att,0,,,,,
player,201609250nyg,was,WayxTr00,rush_yds,0,,,,,
player,201609250nyg,was,WayxTr00,rush_td,0,,,,,
player,201609250nyg,was,WayxTr00,rush_long,0,,,,,
player,201609250nyg,was,WayxTr00,targets,0,,,,,
player,201609250nyg,was,WayxTr00,rec,0,,,,,
player,201609250nyg,was,WayxTr00,rec_yds,0,,,,,
player,201609250nyg,was,WayxTr00,rec_td,0,,,,,
