game,2016,2,20160918,201609180rai,atl,"Atlanta Falcons",35,rai,"Oakland Raiders",28
team,201609180rai,atl,First Downs,27,,,,,,
team,201609180rai,rai,First Downs,29,,,,,,
team,201609180rai,atl,Rush-Yds-TDs,29-139-1,,,,,,
team,201609180rai,rai,Rush-Yds-TDs,25-155-1,,,,,,
team,201609180rai,atl,Cmp-Att-Yd-TD-INT,26-34-396-3-1,,,,,,
team,201609180rai,rai,Cmp-Att-Yd-TD-INT,34-45-299-3-0,,,,,,
team,201609180rai,atl,Sacked-Yards,1-7,,,,,,
team,201609180rai,rai,Sacked-Yards,1-0,,,,,,
team,201609180rai,atl,Net Pass Yards,389,,,,,,
team,201609180rai,rai,Net Pass Yards,299,,,,,,
team,201609180rai,atl,Total Yards,528,,,,,,
team,201609180rai,rai,Total Yards,454,,,,,,
team,201609180rai,atl,Fumbles-Lost,0-0,,,,,,
team,201609180rai,rai,Fumbles-Lost,1-0,,,,,,
team,201609180rai,atl,Turnovers,1,,,,,,
team,201609180rai,rai,Turnovers,0,,,,,,
team,201609180rai,atl,Penalties-Yards,7-73,,,,,,
team,201609180rai,rai,Penalties-Yards,9-58,,,,,,
team,201609180rai,atl,Third Down Conv.,5-10,,,,,,
team,201609180rai,rai,Third Down Conv.,5-12,,,,,,
team,201609180rai,atl,Fourth Down Conv.,0-0,,,,,,
team,201609180rai,rai,Fourth Down Conv.,1-2,,,,,,
team,201609180rai,atl,Time of Possession,27:15,,,,,,
team,201609180rai,rai,Time of Possession,32:45,,,,,,
player,201609180rai,atl,RyanMa00,pass_cmp,26,,,,,
player,201609180rai,atl,RyanMa00,pass_att,34,,,,,
player,201609180rai,atl,RyanMa00,pass_yds,396,,,,,
player,201609180rai,atl,RyanMa00,pass_td,3,,,,,
player,201609180rai,atl,RyanMa00,pass_int,1,,,,,
player,201609180rai,atl,RyanMa00,pass_sacked,1,,,,,
player,201609180rai,atl,RyanMa00,pass_sacked_yds,7,,,,,
player,201609180rai,atl,RyanMa00,pass_long,48,,,,,
player,201609180rai,atl,RyanMa00,pass_rating,131.5,,,,,
player,201609180rai,atl,RyanMa00,rush_att,0,,,,,
player,201609180rai,atl,RyanMa00,rush_yds,0,,,,,
player,201609180rai,atl,RyanMa00,rush_td,0,,,,,
player,201609180rai,atl,RyanMa00,rush_long,0,,,,,
player,201609180rai,atl,RyanMa00,targets,0,,,,,
player,201609180rai,atl,RyanMa00,rec,0,,,,,
player,201609180rai,atl,RyanMa00,rec_yds,0,,,,,
player,201609180rai,atl,RyanMa00,rec_td,0,,,,,
player,201609180rai,atl,RyanMa00,rec_long,0,,,,,
player,201609180rai,atl,RyanMa00,fumbles,0,,,,,
player,201609180rai,atl,RyanMa00,fumbles_lost,0,,,,,
player,201609180rai,atl,FreeDe00,pass_cmp,0,,,,,
player,201609180rai,atl,FreeDe00,pass_att,0,,,,,
player,201609180rai,atl,FreeDe00,pass_yds,0,,,,,
player,201609180rai,atl,FreeDe00,pass_td,0,,,,,
player,201609180rai,atl,FreeDe00,pass_int,0,,,,,
player,201609180rai,atl,FreeDe00,pass_sacked,0,,,,,
player,201609180rai,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201609180rai,atl,FreeDe00,pass_long,0,,,,,
player,201609180rai,atl,FreeDe00,pass_rating,,,,,,
