game,2016,13,20161204,201612040chi,sfo,"San Francisco 49ers",6,chi,"Chicago Bears",26
team,201612040chi,sfo,First Downs,10,,,,,,
team,201612040chi,chi,First Downs,19,,,,,,
team,201612040chi,sfo,Rush-Yds-TDs,34-141-0,,,,,,
team,201612040chi,chi,Rush-Yds-TDs,40-142-3,,,,,,
team,201612040chi,sfo,Cmp-Att-Yd-TD-INT,5-15-39-0-0,,,,,,
team,201612040chi,chi,Cmp-Att-Yd-TD-INT,11-18-192-0-0,,,,,,
team,201612040chi,sfo,Sacked-Yards,6-33,,,,,,
team,201612040chi,chi,Sacked-Yards,1-8,,,,,,
team,201612040chi,sfo,Net Pass Yards,6,,,,,,
team,201612040chi,chi,Net Pass Yards,184,,,,,,
team,201612040chi,sfo,Total Yards,147,,,,,,
team,201612040chi,chi,Total Yards,326,,,,,,
team,201612040chi,sfo,Fumbles-Lost,1-0,,,,,,
team,201612040chi,chi,Fumbles-Lost,2-1,,,,,,
team,201612040chi,sfo,Turnovers,0,,,,,,
team,201612040chi,chi,Turnovers,1,,,,,,
team,201612040chi,sfo,Penalties-Yards,11-106,,,,,,
team,201612040chi,chi,Penalties-Yards,5-40,,,,,,
team,201612040chi,sfo,Third Down Conv.,4-14,,,,,,
team,201612040chi,chi,Third Down Conv.,6-14,,,,,,
team,201612040chi,sfo,Fourth Down Conv.,0-0,,,,,,
team,201612040chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201612040chi,sfo,Time of Possession,28:42,,,,,,
team,201612040chi,chi,Time of Possession,31:18,,,,,,
player,201612040chi,sfo,GabbBl00,pass_cmp,4,,,,,
player,201612040chi,sfo,GabbBl00,pass_att,10,,,,,
player,201612040chi,sfo,GabbBl00,pass_yds,35,,,,,
player,201612040chi,sfo,GabbBl00,pass_td,0,,,,,
player,201612040chi,sfo,GabbBl00,pass_int,0,,,,,
player,201612040chi,sfo,GabbBl00,pass_sacked,1,,,,,
