game,2016,3,20160925,201609250car,min,"Minnesota Vikings",22,car,"Carolina Panthers",10
team,201609250car,min,First Downs,13,,,,,,
team,201609250car,car,First Downs,18,,,,,,
team,201609250car,min,Rush-Yds-TDs,24-58-0,,,,,,
team,201609250car,car,Rush-Yds-TDs,28-105-1,,,,,,
team,201609250car,min,Cmp-Att-Yd-TD-INT,18-28-171-1-0,,,,,,
team,201609250car,car,Cmp-Att-Yd-TD-INT,22-36-265-0-3,,,,,,
team,201609250car,min,Sacked-Yards,2-18,,,,,,
team,201609250car,car,Sacked-Yards,8-64,,,,,,
team,201609250car,min,Net Pass Yards,153,,,,,,
team,201609250car,car,Net Pass Yards,201,,,,,,
team,201609250car,min,Total Yards,211,,,,,,
team,201609250car,car,Total Yards,306,,,,,,
team,201609250car,min,Fumbles-Lost,1-0,,,,,,
team,201609250car,car,Fumbles-Lost,0-0,,,,,,
team,201609250car,min,Turnovers,0,,,,,,
team,201609250car,car,Turnovers,3,,,,,,
team,201609250car,min,Penalties-Yards,6-42,,,,,,
team,201609250car,car,Penalties-Yards,10-65,,,,,,
team,201609250car,min,Third Down Conv.,3-12,,,,,,
team,201609250car,car,Third Down Conv.,6-16,,,,,,
team,201609250car,min,Fourth Down Conv.,0-0,,,,,,
team,201609250car,car,Fourth Down Conv.,0-2,,,,,,
team,201609250car,min,Time of Possession,25:08,,,,,,
team,201609250car,car,Time of Possession,34:52,,,,,,
player,201609250car,min,BradSa00,pass_cmp,18,,,,,
player,201609250car,min,BradSa00,pass_att,28,,,,,
player,201609250car,min,BradSa00,pass_yds,171,,,,,
player,201609250car,min,BradSa00,pass_td,1,,,,,
player,201609250car,min,BradSa00,pass_int,0,,,,,
player,201609250car,min,BradSa00,pass_sacked,2,,,,,
player,201609250car,min,BradSa00,pass_sacked_yds,18,,,,,
player,201609250car,min,BradSa00,pass_long,19,,,,,
player,201609250car,min,BradSa00,pass_rating,93.0,,,,,
player,201609250car,min,BradSa00,rush_att,2,,,,,
player,201609250car,min,BradSa00,rush_yds,-2,,,,,
player,201609250car,min,BradSa00,rush_td,0,,,,,
player,201609250car,min,BradSa00,rush_long,-1,,,,,
player,201609250car,min,BradSa00,targets,0,,,,,
player,201609250car,min,BradSa00,rec,0,,,,,
player,201609250car,min,BradSa00,rec_yds,0,,,,,
player,201609250car,min,BradSa00,rec_td,0,,,,,
player,201609250car,min,BradSa00,rec_long,0,,,,,
player,201609250car,min,BradSa00,fumbles,0,,,,,
player,201609250car,min,BradSa00,fumbles_lost,0,,,,,
player,201609250car,min,McKiJe00,pass_cmp,0,,,,,
player,201609250car,min,McKiJe00,pass_att,0,,,,,
player,201609250car,min,McKiJe00,pass_yds,0,,,,,
player,201609250car,min,McKiJe00,pass_td,0,,,,,
player,201609250car,min,McKiJe00,pass_int,0,,,,,
player,201609250car,min,McKiJe00,pass_sacked,0,,,,,
player,201609250car,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201609250car,min,McKiJe00,pass_long,0,,,,,
player,201609250car,min,McKiJe00,pass_rating,,,,,,
player,201609250car,min,McKiJe00,rush_att,16,,,,,
player,201609250car,min,McKiJe00,rush_yds,45,,,,,
player,201609250car,min,McKiJe00,rush_td,0,,,,,
player,201609250car,min,McKiJe00,rush_long,14,,,,,
player,201609250car,min,McKiJe00,targets,2,,,,,
player,201609250car,min,McKiJe00,rec,1,,,,,
player,201609250car,min,McKiJe00,rec_yds,2,,,,,
player,201609250car,min,McKiJe00,rec_td,0,,,,,
player,201609250car,min,McKiJe00,rec_long,2,,,,,
player,201609250car,min,McKiJe00,fumbles,0,,,,,
player,201609250car,min,McKiJe00,fumbles_lost,0,,,,,
player,201609250car,min,AsiaMa00,pass_cmp,0,,,,,
player,201609250car,min,AsiaMa00,pass_att,0,,,,,
player,201609250car,min,AsiaMa00,pass_yds,0,,,,,
player,201609250car,min,AsiaMa00,pass_td,0,,,,,
player,201609250car,min,AsiaMa00,pass_int,0,,,,,
player,201609250car,min,AsiaMa00,pass_sacked,0,,,,,
player,201609250car,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201609250car,min,AsiaMa00,pass_long,0,,,,,
player,201609250car,min,AsiaMa00,pass_rating,,,,,,
player,201609250car,min,AsiaMa00,rush_att,6,,,,,
player,201609250car,min,AsiaMa00,rush_yds,15,,,,,
player,201609250car,min,AsiaMa00,rush_td,0,,,,,
player,201609250car,min,AsiaMa00,rush_long,8,,,,,
player,201609250car,min,AsiaMa00,targets,1,,,,,
player,201609250car,min,AsiaMa00,rec,1,,,,,
player,201609250car,min,AsiaMa00,rec_yds,4,,,,,
player,201609250car,min,AsiaMa00,rec_td,0,,,,,
player,201609250car,min,AsiaMa00,rec_long,4,,,,,
player,201609250car,min,AsiaMa00,fumbles,0,,,,,
player,201609250car,min,AsiaMa00,fumbles_lost,0,,,,,
player,201609250car,min,RudoKy00,pass_cmp,0,,,,,
player,201609250car,min,RudoKy00,pass_att,0,,,,,
player,201609250car,min,RudoKy00,pass_yds,0,,,,,
player,201609250car,min,RudoKy00,pass_td,0,,,,,
player,201609250car,min,RudoKy00,pass_int,0,,,,,
player,201609250car,min,RudoKy00,pass_sacked,0,,,,,
