game,2016,10,20161113,201611130oti,gnb,"Green Bay Packers",25,oti,"Tennessee Titans",47
team,201611130oti,gnb,First Downs,21,,,,,,
team,201611130oti,oti,First Downs,19,,,,,,
team,201611130oti,gnb,Rush-Yds-TDs,13-69-1,,,,,,
team,201611130oti,oti,Rush-Yds-TDs,31-154-1,,,,,,
team,201611130oti,gnb,Cmp-Att-Yd-TD-INT,32-55-379-2-2,,,,,,
team,201611130oti,oti,Cmp-Att-Yd-TD-INT,20-27-305-5-0,,,,,,
team,201611130oti,gnb,Sacked-Yards,5-46,,,,,,
team,201611130oti,oti,Sacked-Yards,1-13,,,,,,
team,201611130oti,gnb,Net Pass Yards,333,,,,,,
team,201611130oti,oti,Net Pass Yards,292,,,,,,
team,201611130oti,gnb,Total Yards,402,,,,,,
team,201611130oti,oti,Total Yards,446,,,,,,
team,201611130oti,gnb,Fumbles-Lost,1-1,,,,,,
team,201611130oti,oti,Fumbles-Lost,0-0,,,,,,
team,201611130oti,gnb,Turnovers,3,,,,,,
team,201611130oti,oti,Turnovers,0,,,,,,
team,201611130oti,gnb,Penalties-Yards,12-107,,,,,,
team,201611130oti,oti,Penalties-Yards,7-65,,,,,,
team,201611130oti,gnb,Third Down Conv.,4-15,,,,,,
team,201611130oti,oti,Third Down Conv.,7-14,,,,,,
team,201611130oti,gnb,Fourth Down Conv.,2-4,,,,,,
team,201611130oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201611130oti,gnb,Time of Possession,30:29,,,,,,
team,201611130oti,oti,Time of Possession,29:31,,,,,,
player,201611130oti,gnb,RodgAa00,pass_cmp,31,,,,,
player,201611130oti,gnb,RodgAa00,pass_att,51,,,,,
player,201611130oti,gnb,RodgAa00,pass_yds,371,,,,,
player,201611130oti,gnb,RodgAa00,pass_td,2,,,,,
player,201611130oti,gnb,RodgAa00,pass_int,2,,,,,
player,201611130oti,gnb,RodgAa00,pass_sacked,5,,,,,
player,201611130oti,gnb,RodgAa00,pass_sacked_yds,46,,,,,
player,201611130oti,gnb,RodgAa00,pass_long,46,,,,,
player,201611130oti,gnb,RodgAa00,pass_rating,79.8,,,,,
player,201611130oti,gnb,RodgAa00,rush_att,3,,,,,
player,201611130oti,gnb,RodgAa00,rush_yds,27,,,,,
player,201611130oti,gnb,RodgAa00,rush_td,1,,,,,
player,201611130oti,gnb,RodgAa00,rush_long,20,,,,,
player,201611130oti,gnb,RodgAa00,targets,0,,,,,
player,201611130oti,gnb,RodgAa00,rec,0,,,,,
player,201611130oti,gnb,RodgAa00,rec_yds,0,,,,,
player,201611130oti,gnb,RodgAa00,rec_td,0,,,,,
player,201611130oti,gnb,RodgAa00,rec_long,0,,,,,
player,201611130oti,gnb,RodgAa00,fumbles,0,,,,,
player,201611130oti,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201611130oti,gnb,HundBr00,pass_cmp,1,,,,,
player,201611130oti,gnb,HundBr00,pass_att,4,,,,,
player,201611130oti,gnb,HundBr00,pass_yds,8,,,,,
player,201611130oti,gnb,HundBr00,pass_td,0,,,,,
player,201611130oti,gnb,HundBr00,pass_int,0,,,,,
player,201611130oti,gnb,HundBr00,pass_sacked,0,,,,,
player,201611130oti,gnb,HundBr00,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,HundBr00,pass_long,8,,,,,
player,201611130oti,gnb,HundBr00,pass_rating,39.6,,,,,
player,201611130oti,gnb,HundBr00,rush_att,0,,,,,
player,201611130oti,gnb,HundBr00,rush_yds,0,,,,,
player,201611130oti,gnb,HundBr00,rush_td,0,,,,,
player,201611130oti,gnb,HundBr00,rush_long,0,,,,,
player,201611130oti,gnb,HundBr00,targets,0,,,,,
player,201611130oti,gnb,HundBr00,rec,0,,,,,
player,201611130oti,gnb,HundBr00,rec_yds,0,,,,,
player,201611130oti,gnb,HundBr00,rec_td,0,,,,,
player,201611130oti,gnb,HundBr00,rec_long,0,,,,,
player,201611130oti,gnb,HundBr00,fumbles,0,,,,,
player,201611130oti,gnb,HundBr00,fumbles_lost,0,,,,,
player,201611130oti,gnb,StarJa00,pass_cmp,0,,,,,
player,201611130oti,gnb,StarJa00,pass_att,0,,,,,
player,201611130oti,gnb,StarJa00,pass_yds,0,,,,,
player,201611130oti,gnb,StarJa00,pass_td,0,,,,,
player,201611130oti,gnb,StarJa00,pass_int,0,,,,,
player,201611130oti,gnb,StarJa00,pass_sacked,0,,,,,
player,201611130oti,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,StarJa00,pass_long,0,,,,,
player,201611130oti,gnb,StarJa00,pass_rating,,,,,,
player,201611130oti,gnb,StarJa00,rush_att,7,,,,,
player,201611130oti,gnb,StarJa00,rush_yds,33,,,,,
player,201611130oti,gnb,StarJa00,rush_td,0,,,,,
player,201611130oti,gnb,StarJa00,rush_long,11,,,,,
player,201611130oti,gnb,StarJa00,targets,4,,,,,
player,201611130oti,gnb,StarJa00,rec,3,,,,,
player,201611130oti,gnb,StarJa00,rec_yds,11,,,,,
player,201611130oti,gnb,StarJa00,rec_td,1,,,,,
player,201611130oti,gnb,StarJa00,rec_long,13,,,,,
player,201611130oti,gnb,StarJa00,fumbles,0,,,,,
player,201611130oti,gnb,StarJa00,fumbles_lost,0,,,,,
player,201611130oti,gnb,MontTy01,pass_cmp,0,,,,,
player,201611130oti,gnb,MontTy01,pass_att,0,,,,,
player,201611130oti,gnb,MontTy01,pass_yds,0,,,,,
player,201611130oti,gnb,MontTy01,pass_td,0,,,,,
player,201611130oti,gnb,MontTy01,pass_int,0,,,,,
player,201611130oti,gnb,MontTy01,pass_sacked,0,,,,,
player,201611130oti,gnb,MontTy01,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,MontTy01,pass_long,0,,,,,
player,201611130oti,gnb,MontTy01,pass_rating,,,,,,
player,201611130oti,gnb,MontTy01,rush_att,3,,,,,
player,201611130oti,gnb,MontTy01,rush_yds,9,,,,,
player,201611130oti,gnb,MontTy01,rush_td,0,,,,,
player,201611130oti,gnb,MontTy01,rush_long,5,,,,,
player,201611130oti,gnb,MontTy01,targets,2,,,,,
player,201611130oti,gnb,MontTy01,rec,2,,,,,
player,201611130oti,gnb,MontTy01,rec_yds,11,,,,,
player,201611130oti,gnb,MontTy01,rec_td,0,,,,,
player,201611130oti,gnb,MontTy01,rec_long,8,,,,,
player,201611130oti,gnb,MontTy01,fumbles,0,,,,,
player,201611130oti,gnb,MontTy01,fumbles_lost,0,,,,,
player,201611130oti,gnb,AdamDa01,pass_cmp,0,,,,,
player,201611130oti,gnb,AdamDa01,pass_att,0,,,,,
player,201611130oti,gnb,AdamDa01,pass_yds,0,,,,,
player,201611130oti,gnb,AdamDa01,pass_td,0,,,,,
player,201611130oti,gnb,AdamDa01,pass_int,0,,,,,
player,201611130oti,gnb,AdamDa01,pass_sacked,0,,,,,
player,201611130oti,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,AdamDa01,pass_long,0,,,,,
player,201611130oti,gnb,AdamDa01,pass_rating,,,,,,
player,201611130oti,gnb,AdamDa01,rush_att,0,,,,,
player,201611130oti,gnb,AdamDa01,rush_yds,0,,,,,
player,201611130oti,gnb,AdamDa01,rush_td,0,,,,,
player,201611130oti,gnb,AdamDa01,rush_long,0,,,,,
player,201611130oti,gnb,AdamDa01,targets,9,,,,,
player,201611130oti,gnb,AdamDa01,rec,6,,,,,
player,201611130oti,gnb,AdamDa01,rec_yds,156,,,,,
player,201611130oti,gnb,AdamDa01,rec_td,0,,,,,
player,201611130oti,gnb,AdamDa01,rec_long,46,,,,,
player,201611130oti,gnb,AdamDa01,fumbles,0,,,,,
player,201611130oti,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201611130oti,gnb,NelsJo00,pass_cmp,0,,,,,
player,201611130oti,gnb,NelsJo00,pass_att,0,,,,,
player,201611130oti,gnb,NelsJo00,pass_yds,0,,,,,
player,201611130oti,gnb,NelsJo00,pass_td,0,,,,,
player,201611130oti,gnb,NelsJo00,pass_int,0,,,,,
player,201611130oti,gnb,NelsJo00,pass_sacked,0,,,,,
player,201611130oti,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,NelsJo00,pass_long,0,,,,,
player,201611130oti,gnb,NelsJo00,pass_rating,,,,,,
player,201611130oti,gnb,NelsJo00,rush_att,0,,,,,
player,201611130oti,gnb,NelsJo00,rush_yds,0,,,,,
player,201611130oti,gnb,NelsJo00,rush_td,0,,,,,
player,201611130oti,gnb,NelsJo00,rush_long,0,,,,,
player,201611130oti,gnb,NelsJo00,targets,18,,,,,
player,201611130oti,gnb,NelsJo00,rec,12,,,,,
player,201611130oti,gnb,NelsJo00,rec_yds,126,,,,,
player,201611130oti,gnb,NelsJo00,rec_td,1,,,,,
player,201611130oti,gnb,NelsJo00,rec_long,20,,,,,
player,201611130oti,gnb,NelsJo00,fumbles,0,,,,,
player,201611130oti,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201611130oti,gnb,CobbRa00,pass_cmp,0,,,,,
player,201611130oti,gnb,CobbRa00,pass_att,0,,,,,
player,201611130oti,gnb,CobbRa00,pass_yds,0,,,,,
player,201611130oti,gnb,CobbRa00,pass_td,0,,,,,
player,201611130oti,gnb,CobbRa00,pass_int,0,,,,,
player,201611130oti,gnb,CobbRa00,pass_sacked,0,,,,,
player,201611130oti,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,CobbRa00,pass_long,0,,,,,
player,201611130oti,gnb,CobbRa00,pass_rating,,,,,,
player,201611130oti,gnb,CobbRa00,rush_att,0,,,,,
player,201611130oti,gnb,CobbRa00,rush_yds,0,,,,,
player,201611130oti,gnb,CobbRa00,rush_td,0,,,,,
player,201611130oti,gnb,CobbRa00,rush_long,0,,,,,
player,201611130oti,gnb,CobbRa00,targets,8,,,,,
player,201611130oti,gnb,CobbRa00,rec,4,,,,,
player,201611130oti,gnb,CobbRa00,rec_yds,31,,,,,
player,201611130oti,gnb,CobbRa00,rec_td,0,,,,,
player,201611130oti,gnb,CobbRa00,rec_long,11,,,,,
player,201611130oti,gnb,CobbRa00,fumbles,0,,,,,
player,201611130oti,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201611130oti,gnb,RodgRi00,pass_cmp,0,,,,,
player,201611130oti,gnb,RodgRi00,pass_att,0,,,,,
player,201611130oti,gnb,RodgRi00,pass_yds,0,,,,,
player,201611130oti,gnb,RodgRi00,pass_td,0,,,,,
player,201611130oti,gnb,RodgRi00,pass_int,0,,,,,
player,201611130oti,gnb,RodgRi00,pass_sacked,0,,,,,
player,201611130oti,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,RodgRi00,pass_long,0,,,,,
player,201611130oti,gnb,RodgRi00,pass_rating,,,,,,
player,201611130oti,gnb,RodgRi00,rush_att,0,,,,,
player,201611130oti,gnb,RodgRi00,rush_yds,0,,,,,
player,201611130oti,gnb,RodgRi00,rush_td,0,,,,,
player,201611130oti,gnb,RodgRi00,rush_long,0,,,,,
player,201611130oti,gnb,RodgRi00,targets,7,,,,,
player,201611130oti,gnb,RodgRi00,rec,4,,,,,
player,201611130oti,gnb,RodgRi00,rec_yds,27,,,,,
player,201611130oti,gnb,RodgRi00,rec_td,0,,,,,
player,201611130oti,gnb,RodgRi00,rec_long,12,,,,,
player,201611130oti,gnb,RodgRi00,fumbles,0,,,,,
player,201611130oti,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201611130oti,gnb,AlliGe01,pass_cmp,0,,,,,
player,201611130oti,gnb,AlliGe01,pass_att,0,,,,,
player,201611130oti,gnb,AlliGe01,pass_yds,0,,,,,
player,201611130oti,gnb,AlliGe01,pass_td,0,,,,,
player,201611130oti,gnb,AlliGe01,pass_int,0,,,,,
player,201611130oti,gnb,AlliGe01,pass_sacked,0,,,,,
player,201611130oti,gnb,AlliGe01,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,AlliGe01,pass_long,0,,,,,
player,201611130oti,gnb,AlliGe01,pass_rating,,,,,,
player,201611130oti,gnb,AlliGe01,rush_att,0,,,,,
player,201611130oti,gnb,AlliGe01,rush_yds,0,,,,,
player,201611130oti,gnb,AlliGe01,rush_td,0,,,,,
player,201611130oti,gnb,AlliGe01,rush_long,0,,,,,
player,201611130oti,gnb,AlliGe01,targets,2,,,,,
player,201611130oti,gnb,AlliGe01,rec,1,,,,,
player,201611130oti,gnb,AlliGe01,rec_yds,17,,,,,
player,201611130oti,gnb,AlliGe01,rec_td,0,,,,,
player,201611130oti,gnb,AlliGe01,rec_long,17,,,,,
player,201611130oti,gnb,AlliGe01,fumbles,0,,,,,
player,201611130oti,gnb,AlliGe01,fumbles_lost,0,,,,,
player,201611130oti,gnb,JaniJe00,pass_cmp,0,,,,,
player,201611130oti,gnb,JaniJe00,pass_att,0,,,,,
player,201611130oti,gnb,JaniJe00,pass_yds,0,,,,,
player,201611130oti,gnb,JaniJe00,pass_td,0,,,,,
player,201611130oti,gnb,JaniJe00,pass_int,0,,,,,
player,201611130oti,gnb,JaniJe00,pass_sacked,0,,,,,
player,201611130oti,gnb,JaniJe00,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,JaniJe00,pass_long,0,,,,,
player,201611130oti,gnb,JaniJe00,pass_rating,,,,,,
player,201611130oti,gnb,JaniJe00,rush_att,0,,,,,
player,201611130oti,gnb,JaniJe00,rush_yds,0,,,,,
player,201611130oti,gnb,JaniJe00,rush_td,0,,,,,
player,201611130oti,gnb,JaniJe00,rush_long,0,,,,,
player,201611130oti,gnb,JaniJe00,targets,3,,,,,
player,201611130oti,gnb,JaniJe00,rec,0,,,,,
player,201611130oti,gnb,JaniJe00,rec_yds,0,,,,,
player,201611130oti,gnb,JaniJe00,rec_td,0,,,,,
player,201611130oti,gnb,JaniJe00,rec_long,0,,,,,
player,201611130oti,gnb,JaniJe00,fumbles,0,,,,,
player,201611130oti,gnb,JaniJe00,fumbles_lost,0,,,,,
player,201611130oti,gnb,DaviTr03,pass_cmp,0,,,,,
player,201611130oti,gnb,DaviTr03,pass_att,0,,,,,
player,201611130oti,gnb,DaviTr03,pass_yds,0,,,,,
player,201611130oti,gnb,DaviTr03,pass_td,0,,,,,
player,201611130oti,gnb,DaviTr03,pass_int,0,,,,,
player,201611130oti,gnb,DaviTr03,pass_sacked,0,,,,,
player,201611130oti,gnb,DaviTr03,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,DaviTr03,pass_long,0,,,,,
player,201611130oti,gnb,DaviTr03,pass_rating,,,,,,
player,201611130oti,gnb,DaviTr03,rush_att,0,,,,,
player,201611130oti,gnb,DaviTr03,rush_yds,0,,,,,
player,201611130oti,gnb,DaviTr03,rush_td,0,,,,,
player,201611130oti,gnb,DaviTr03,rush_long,0,,,,,
player,201611130oti,gnb,DaviTr03,targets,1,,,,,
player,201611130oti,gnb,DaviTr03,rec,0,,,,,
player,201611130oti,gnb,DaviTr03,rec_yds,0,,,,,
player,201611130oti,gnb,DaviTr03,rec_td,0,,,,,
player,201611130oti,gnb,DaviTr03,rec_long,0,,,,,
player,201611130oti,gnb,DaviTr03,fumbles,1,,,,,
player,201611130oti,gnb,DaviTr03,fumbles_lost,1,,,,,
player,201611130oti,gnb,PeriJu00,pass_cmp,0,,,,,
player,201611130oti,gnb,PeriJu00,pass_att,0,,,,,
player,201611130oti,gnb,PeriJu00,pass_yds,0,,,,,
player,201611130oti,gnb,PeriJu00,pass_td,0,,,,,
