game,2016,8,20161030,201610300atl,gnb,"Green Bay Packers",32,atl,"Atlanta Falcons",33
team,201610300atl,gnb,First Downs,24,,,,,,
team,201610300atl,atl,First Downs,25,,,,,,
team,201610300atl,gnb,Rush-Yds-TDs,19-108-0,,,,,,
team,201610300atl,atl,Rush-Yds-TDs,19-90-1,,,,,,
team,201610300atl,gnb,Cmp-Att-Yd-TD-INT,28-38-246-4-0,,,,,,
team,201610300atl,atl,Cmp-Att-Yd-TD-INT,28-35-288-3-0,,,,,,
team,201610300atl,gnb,Sacked-Yards,3-23,,,,,,
team,201610300atl,atl,Sacked-Yards,2-11,,,,,,
team,201610300atl,gnb,Net Pass Yards,223,,,,,,
team,201610300atl,atl,Net Pass Yards,277,,,,,,
team,201610300atl,gnb,Total Yards,331,,,,,,
team,201610300atl,atl,Total Yards,367,,,,,,
team,201610300atl,gnb,Fumbles-Lost,1-0,,,,,,
team,201610300atl,atl,Fumbles-Lost,0-0,,,,,,
team,201610300atl,gnb,Turnovers,0,,,,,,
team,201610300atl,atl,Turnovers,0,,,,,,
team,201610300atl,gnb,Penalties-Yards,6-68,,,,,,
team,201610300atl,atl,Penalties-Yards,7-46,,,,,,
team,201610300atl,gnb,Third Down Conv.,6-10,,,,,,
team,201610300atl,atl,Third Down Conv.,4-9,,,,,,
team,201610300atl,gnb,Fourth Down Conv.,0-1,,,,,,
team,201610300atl,atl,Fourth Down Conv.,1-1,,,,,,
team,201610300atl,gnb,Time of Possession,31:17,,,,,,
team,201610300atl,atl,Time of Possession,28:43,,,,,,
player,201610300atl,gnb,RodgAa00,pass_cmp,28,,,,,
player,201610300atl,gnb,RodgAa00,pass_att,38,,,,,
player,201610300atl,gnb,RodgAa00,pass_yds,246,,,,,
player,201610300atl,gnb,RodgAa00,pass_td,4,,,,,
player,201610300atl,gnb,RodgAa00,pass_int,0,,,,,
player,201610300atl,gnb,RodgAa00,pass_sacked,3,,,,,
player,201610300atl,gnb,RodgAa00,pass_sacked_yds,23,,,,,
player,201610300atl,gnb,RodgAa00,pass_long,58,,,,,
player,201610300atl,gnb,RodgAa00,pass_rating,125.5,,,,,
player,201610300atl,gnb,RodgAa00,rush_att,6,,,,,
player,201610300atl,gnb,RodgAa00,rush_yds,60,,,,,
player,201610300atl,gnb,RodgAa00,rush_td,0,,,,,
player,201610300atl,gnb,RodgAa00,rush_long,23,,,,,
player,201610300atl,gnb,RodgAa00,targets,0,,,,,
player,201610300atl,gnb,RodgAa00,rec,0,,,,,
player,201610300atl,gnb,RodgAa00,rec_yds,0,,,,,
player,201610300atl,gnb,RodgAa00,rec_td,0,,,,,
player,201610300atl,gnb,RodgAa00,rec_long,0,,,,,
player,201610300atl,gnb,RodgAa00,fumbles,0,,,,,
player,201610300atl,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201610300atl,gnb,RipkAa00,pass_cmp,0,,,,,
player,201610300atl,gnb,RipkAa00,pass_att,0,,,,,
player,201610300atl,gnb,RipkAa00,pass_yds,0,,,,,
player,201610300atl,gnb,RipkAa00,pass_td,0,,,,,
player,201610300atl,gnb,RipkAa00,pass_int,0,,,,,
player,201610300atl,gnb,RipkAa00,pass_sacked,0,,,,,
player,201610300atl,gnb,RipkAa00,pass_sacked_yds,0,,,,,
player,201610300atl,gnb,RipkAa00,pass_long,0,,,,,
player,201610300atl,gnb,RipkAa00,pass_rating,,,,,,
player,201610300atl,gnb,RipkAa00,rush_att,6,,,,,
player,201610300atl,gnb,RipkAa00,rush_yds,34,,,,,
player,201610300atl,gnb,RipkAa00,rush_td,0,,,,,
player,201610300atl,gnb,RipkAa00,rush_long,12,,,,,
player,201610300atl,gnb,RipkAa00,targets,1,,,,,
player,201610300atl,gnb,RipkAa00,rec,1,,,,,
player,201610300atl,gnb,RipkAa00,rec_yds,-1,,,,,
player,201610300atl,gnb,RipkAa00,rec_td,0,,,,,
player,201610300atl,gnb,RipkAa00,rec_long,-1,,,,,
player,201610300atl,gnb,RipkAa00,fumbles,0,,,,,
player,201610300atl,gnb,RipkAa00,fumbles_lost,0,,,,,
player,201610300atl,gnb,JackDo01,pass_cmp,0,,,,,
player,201610300atl,gnb,JackDo01,pass_att,0,,,,,
player,201610300atl,gnb,JackDo01,pass_yds,0,,,,,
player,201610300atl,gnb,JackDo01,pass_td,0,,,,,
player,201610300atl,gnb,JackDo01,pass_int,0,,,,,
player,201610300atl,gnb,JackDo01,pass_sacked,0,,,,,
player,201610300atl,gnb,JackDo01,pass_sacked_yds,0,,,,,
player,201610300atl,gnb,JackDo01,pass_long,0,,,,,
player,201610300atl,gnb,JackDo01,pass_rating,,,,,,
player,201610300atl,gnb,JackDo01,rush_att,4,,,,,
player,201610300atl,gnb,JackDo01,rush_yds,10,,,,,
player,201610300atl,gnb,JackDo01,rush_td,0,,,,,
player,201610300atl,gnb,JackDo01,rush_long,7,,,,,
player,201610300atl,gnb,JackDo01,targets,0,,,,,
player,201610300atl,gnb,JackDo01,rec,0,,,,,
player,201610300atl,gnb,JackDo01,rec_yds,0,,,,,
player,201610300atl,gnb,JackDo01,rec_td,0,,,,,
player,201610300atl,gnb,JackDo01,rec_long,0,,,,,
player,201610300atl,gnb,JackDo01,fumbles,0,,,,,
player,201610300atl,gnb,JackDo01,fumbles_lost,0,,,,,
player,201610300atl,gnb,DaviKn00,pass_cmp,0,,,,,
player,201610300atl,gnb,DaviKn00,pass_att,0,,,,,
player,201610300atl,gnb,DaviKn00,pass_yds,0,,,,,
player,201610300atl,gnb,DaviKn00,pass_td,0,,,,,
player,201610300atl,gnb,DaviKn00,pass_int,0,,,,,
player,201610300atl,gnb,DaviKn00,pass_sacked,0,,,,,
player,201610300atl,gnb,DaviKn00,pass_sacked_yds,0,,,,,
player,201610300atl,gnb,DaviKn00,pass_long,0,,,,,
player,201610300atl,gnb,DaviKn00,pass_rating,,,,,,
player,201610300atl,gnb,DaviKn00,rush_att,3,,,,,
player,201610300atl,gnb,DaviKn00,rush_yds,4,,,,,
player,201610300atl,gnb,DaviKn00,rush_td,0,,,,,
player,201610300atl,gnb,DaviKn00,rush_long,4,,,,,
player,201610300atl,gnb,DaviKn00,targets,2,,,,,
player,201610300atl,gnb,DaviKn00,rec,2,,,,,
player,201610300atl,gnb,DaviKn00,rec_yds,4,,,,,
player,201610300atl,gnb,DaviKn00,rec_td,0,,,,,
player,201610300atl,gnb,DaviKn00,rec_long,10,,,,,
player,201610300atl,gnb,DaviKn00,fumbles,0,,,,,
player,201610300atl,gnb,DaviKn00,fumbles_lost,0,,,,,
player,201610300atl,gnb,NelsJo00,pass_cmp,0,,,,,
player,201610300atl,gnb,NelsJo00,pass_att,0,,,,,
player,201610300atl,gnb,NelsJo00,pass_yds,0,,,,,
player,201610300atl,gnb,NelsJo00,pass_td,0,,,,,
player,201610300atl,gnb,NelsJo00,pass_int,0,,,,,
player,201610300atl,gnb,NelsJo00,pass_sacked,0,,,,,
player,201610300atl,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201610300atl,gnb,NelsJo00,pass_long,0,,,,,
player,201610300atl,gnb,NelsJo00,pass_rating,,,,,,
player,201610300atl,gnb,NelsJo00,rush_att,0,,,,,
player,201610300atl,gnb,NelsJo00,rush_yds,0,,,,,
player,201610300atl,gnb,NelsJo00,rush_td,0,,,,,
player,201610300atl,gnb,NelsJo00,rush_long,0,,,,,
player,201610300atl,gnb,NelsJo00,targets,9,,,,,
player,201610300atl,gnb,NelsJo00,rec,4,,,,,
player,201610300atl,gnb,NelsJo00,rec_yds,94,,,,,
player,201610300atl,gnb,NelsJo00,rec_td,1,,,,,
player,201610300atl,gnb,NelsJo00,rec_long,58,,,,,
player,201610300atl,gnb,NelsJo00,fumbles,0,,,,,
player,201610300atl,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201610300atl,gnb,AdamDa01,pass_cmp,0,,,,,
player,201610300atl,gnb,AdamDa01,pass_att,0,,,,,
player,201610300atl,gnb,AdamDa01,pass_yds,0,,,,,
player,201610300atl,gnb,AdamDa01,pass_td,0,,,,,
player,201610300atl,gnb,AdamDa01,pass_int,0,,,,,
player,201610300atl,gnb,AdamDa01,pass_sacked,0,,,,,
player,201610300atl,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201610300atl,gnb,AdamDa01,pass_long,0,,,,,
player,201610300atl,gnb,AdamDa01,pass_rating,,,,,,
player,201610300atl,gnb,AdamDa01,rush_att,0,,,,,
player,201610300atl,gnb,AdamDa01,rush_yds,0,,,,,
player,201610300atl,gnb,AdamDa01,rush_td,0,,,,,
player,201610300atl,gnb,AdamDa01,rush_long,0,,,,,
