game,2016,9,20161103,201611030tam,atl,"Atlanta Falcons",43,tam,"Tampa Bay Buccaneers",28
team,201611030tam,atl,First Downs,31,,,,,,
team,201611030tam,tam,First Downs,23,,,,,,
team,201611030tam,atl,Rush-Yds-TDs,34-136-1,,,,,,
team,201611030tam,tam,Rush-Yds-TDs,20-70-0,,,,,,
team,201611030tam,atl,Cmp-Att-Yd-TD-INT,25-34-344-4-0,,,,,,
team,201611030tam,tam,Cmp-Att-Yd-TD-INT,33-48-336-4-0,,,,,,
team,201611030tam,atl,Sacked-Yards,2-19,,,,,,
team,201611030tam,tam,Sacked-Yards,2-10,,,,,,
team,201611030tam,atl,Net Pass Yards,325,,,,,,
team,201611030tam,tam,Net Pass Yards,326,,,,,,
team,201611030tam,atl,Total Yards,461,,,,,,
team,201611030tam,tam,Total Yards,396,,,,,,
team,201611030tam,atl,Fumbles-Lost,3-1,,,,,,
team,201611030tam,tam,Fumbles-Lost,2-2,,,,,,
team,201611030tam,atl,Turnovers,1,,,,,,
team,201611030tam,tam,Turnovers,2,,,,,,
team,201611030tam,atl,Penalties-Yards,6-34,,,,,,
team,201611030tam,tam,Penalties-Yards,11-85,,,,,,
team,201611030tam,atl,Third Down Conv.,6-10,,,,,,
team,201611030tam,tam,Third Down Conv.,8-14,,,,,,
team,201611030tam,atl,Fourth Down Conv.,0-0,,,,,,
team,201611030tam,tam,Fourth Down Conv.,1-2,,,,,,
team,201611030tam,atl,Time of Possession,33:28,,,,,,
team,201611030tam,tam,Time of Possession,26:32,,,,,,
player,201611030tam,atl,RyanMa00,pass_cmp,25,,,,,
player,201611030tam,atl,RyanMa00,pass_att,34,,,,,
player,201611030tam,atl,RyanMa00,pass_yds,344,,,,,
player,201611030tam,atl,RyanMa00,pass_td,4,,,,,
player,201611030tam,atl,RyanMa00,pass_int,0,,,,,
player,201611030tam,atl,RyanMa00,pass_sacked,2,,,,,
player,201611030tam,atl,RyanMa00,pass_sacked_yds,19,,,,,
player,201611030tam,atl,RyanMa00,pass_long,32,,,,,
player,201611030tam,atl,RyanMa00,pass_rating,144.7,,,,,
player,201611030tam,atl,RyanMa00,rush_att,2,,,,,
player,201611030tam,atl,RyanMa00,rush_yds,0,,,,,
player,201611030tam,atl,RyanMa00,rush_td,0,,,,,
player,201611030tam,atl,RyanMa00,rush_long,0,,,,,
player,201611030tam,atl,RyanMa00,targets,0,,,,,
player,201611030tam,atl,RyanMa00,rec,0,,,,,
player,201611030tam,atl,RyanMa00,rec_yds,0,,,,,
player,201611030tam,atl,RyanMa00,rec_td,0,,,,,
player,201611030tam,atl,RyanMa00,rec_long,0,,,,,
