game,2016,7,20161023,201610230det,was,"Washington Redskins",17,det,"Detroit Lions",20
team,201610230det,was,First Downs,26,,,,,,
team,201610230det,det,First Downs,19,,,,,,
team,201610230det,was,Rush-Yds-TDs,29-130-1,,,,,,
team,201610230det,det,Rush-Yds-TDs,19-94-1,,,,,,
team,201610230det,was,Cmp-Att-Yd-TD-INT,30-39-301-1-0,,,,,,
team,201610230det,det,Cmp-Att-Yd-TD-INT,18-29-266-1-0,,,,,,
team,201610230det,was,Sacked-Yards,2-18,,,,,,
team,201610230det,det,Sacked-Yards,3-16,,,,,,
team,201610230det,was,Net Pass Yards,283,,,,,,
team,201610230det,det,Net Pass Yards,250,,,,,,
team,201610230det,was,Total Yards,413,,,,,,
team,201610230det,det,Total Yards,344,,,,,,
team,201610230det,was,Fumbles-Lost,4-2,,,,,,
team,201610230det,det,Fumbles-Lost,1-0,,,,,,
team,201610230det,was,Turnovers,2,,,,,,
team,201610230det,det,Turnovers,0,,,,,,
team,201610230det,was,Penalties-Yards,4-20,,,,,,
team,201610230det,det,Penalties-Yards,4-30,,,,,,
team,201610230det,was,Third Down Conv.,9-15,,,,,,
team,201610230det,det,Third Down Conv.,3-9,,,,,,
team,201610230det,was,Fourth Down Conv.,0-0,,,,,,
team,201610230det,det,Fourth Down Conv.,0-0,,,,,,
team,201610230det,was,Time of Possession,34:59,,,,,,
team,201610230det,det,Time of Possession,25:01,,,,,,
player,201610230det,was,CousKi00,pass_cmp,30,,,,,
player,201610230det,was,CousKi00,pass_att,39,,,,,
player,201610230det,was,CousKi00,pass_yds,301,,,,,
player,201610230det,was,CousKi00,pass_td,1,,,,,
player,201610230det,was,CousKi00,pass_int,0,,,,,
player,201610230det,was,CousKi00,pass_sacked,2,,,,,
player,201610230det,was,CousKi00,pass_sacked_yds,18,,,,,
player,201610230det,was,CousKi00,pass_long,27,,,,,
player,201610230det,was,CousKi00,pass_rating,106.9,,,,,
player,201610230det,was,CousKi00,rush_att,3,,,,,
player,201610230det,was,CousKi00,rush_yds,15,,,,,
player,201610230det,was,CousKi00,rush_td,1,,,,,
player,201610230det,was,CousKi00,rush_long,19,,,,,
player,201610230det,was,CousKi00,targets,0,,,,,
player,201610230det,was,CousKi00,rec,0,,,,,
player,201610230det,was,CousKi00,rec_yds,0,,,,,
player,201610230det,was,CousKi00,rec_td,0,,,,,
