game,2016,1,20160911,201609110htx,chi,"Chicago Bears",14,htx,"Houston Texans",23
team,201609110htx,chi,First Downs,14,,,,,,
team,201609110htx,htx,First Downs,17,,,,,,
team,201609110htx,chi,Rush-Yds-TDs,20-73-1,,,,,,
team,201609110htx,htx,Rush-Yds-TDs,35-129-0,,,,,,
team,201609110htx,chi,Cmp-Att-Yd-TD-INT,16-29-216-1-1,,,,,,
team,201609110htx,htx,Cmp-Att-Yd-TD-INT,22-35-231-2-1,,,,,,
team,201609110htx,chi,Sacked-Yards,5-31,,,,,,
team,201609110htx,htx,Sacked-Yards,2-16,,,,,,
team,201609110htx,chi,Net Pass Yards,185,,,,,,
team,201609110htx,htx,Net Pass Yards,215,,,,,,
team,201609110htx,chi,Total Yards,258,,,,,,
team,201609110htx,htx,Total Yards,344,,,,,,
team,201609110htx,chi,Fumbles-Lost,2-0,,,,,,
team,201609110htx,htx,Fumbles-Lost,1-0,,,,,,
team,201609110htx,chi,Turnovers,1,,,,,,
team,201609110htx,htx,Turnovers,1,,,,,,
team,201609110htx,chi,Penalties-Yards,4-30,,,,,,
team,201609110htx,htx,Penalties-Yards,6-69,,,,,,
team,201609110htx,chi,Third Down Conv.,4-13,,,,,,
team,201609110htx,htx,Third Down Conv.,12-20,,,,,,
team,201609110htx,chi,Fourth Down Conv.,0-2,,,,,,
team,201609110htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201609110htx,chi,Time of Possession,23:41,,,,,,
team,201609110htx,htx,Time of Possession,36:19,,,,,,
player,201609110htx,chi,CutlJa00,pass_cmp,16,,,,,
player,201609110htx,chi,CutlJa00,pass_att,29,,,,,
player,201609110htx,chi,CutlJa00,pass_yds,216,,,,,
player,201609110htx,chi,CutlJa00,pass_td,1,,,,,
player,201609110htx,chi,CutlJa00,pass_int,1,,,,,
player,201609110htx,chi,CutlJa00,pass_sacked,5,,,,,
player,201609110htx,chi,CutlJa00,pass_sacked_yds,31,,,,,
player,201609110htx,chi,CutlJa00,pass_long,54,,,,,
player,201609110htx,chi,CutlJa00,pass_rating,76.2,,,,,
player,201609110htx,chi,CutlJa00,rush_att,2,,,,,
player,201609110htx,chi,CutlJa00,rush_yds,12,,,,,
player,201609110htx,chi,CutlJa00,rush_td,0,,,,,
player,201609110htx,chi,CutlJa00,rush_long,12,,,,,
player,201609110htx,chi,CutlJa00,targets,0,,,,,
player,201609110htx,chi,CutlJa00,rec,0,,,,,
player,201609110htx,chi,CutlJa00,rec_yds,0,,,,,
player,201609110htx,chi,CutlJa00,rec_td,0,,,,,
player,201609110htx,chi,CutlJa00,rec_long,0,,,,,
player,201609110htx,chi,CutlJa00,fumbles,2,,,,,
player,201609110htx,chi,CutlJa00,fumbles_lost,0,,,,,
player,201609110htx,chi,LangJe00,pass_cmp,0,,,,,
player,201609110htx,chi,LangJe00,pass_att,0,,,,,
player,201609110htx,chi,LangJe00,pass_yds,0,,,,,
player,201609110htx,chi,LangJe00,pass_td,0,,,,,
player,201609110htx,chi,LangJe00,pass_int,0,,,,,
player,201609110htx,chi,LangJe00,pass_sacked,0,,,,,
player,201609110htx,chi,LangJe00,pass_sacked_yds,0,,,,,
player,201609110htx,chi,LangJe00,pass_long,0,,,,,
player,201609110htx,chi,LangJe00,pass_rating,,,,,,
player,201609110htx,chi,LangJe00,rush_att,17,,,,,
player,201609110htx,chi,LangJe00,rush_yds,57,,,,,
player,201609110htx,chi,LangJe00,rush_td,1,,,,,
player,201609110htx,chi,LangJe00,rush_long,15,,,,,
player,201609110htx,chi,LangJe00,targets,4,,,,,
player,201609110htx,chi,LangJe00,rec,2,,,,,
player,201609110htx,chi,LangJe00,rec_yds,6,,,,,
player,201609110htx,chi,LangJe00,rec_td,0,,,,,
player,201609110htx,chi,LangJe00,rec_long,5,,,,,
player,201609110htx,chi,LangJe00,fumbles,0,,,,,
player,201609110htx,chi,LangJe00,fumbles_lost,0,,,,,
player,201609110htx,chi,CareKa00,pass_cmp,0,,,,,
player,201609110htx,chi,CareKa00,pass_att,0,,,,,
player,201609110htx,chi,CareKa00,pass_yds,0,,,,,
player,201609110htx,chi,CareKa00,pass_td,0,,,,,
player,201609110htx,chi,CareKa00,pass_int,0,,,,,
player,201609110htx,chi,CareKa00,pass_sacked,0,,,,,
player,201609110htx,chi,CareKa00,pass_sacked_yds,0,,,,,
player,201609110htx,chi,CareKa00,pass_long,0,,,,,
player,201609110htx,chi,CareKa00,pass_rating,,,,,,
player,201609110htx,chi,CareKa00,rush_att,1,,,,,
player,201609110htx,chi,CareKa00,rush_yds,4,,,,,
player,201609110htx,chi,CareKa00,rush_td,0,,,,,
player,201609110htx,chi,CareKa00,rush_long,4,,,,,
player,201609110htx,chi,CareKa00,targets,0,,,,,
player,201609110htx,chi,CareKa00,rec,0,,,,,
player,201609110htx,chi,CareKa00,rec_yds,0,,,,,
player,201609110htx,chi,CareKa00,rec_td,0,,,,,
player,201609110htx,chi,CareKa00,rec_long,0,,,,,
player,201609110htx,chi,CareKa00,fumbles,0,,,,,
player,201609110htx,chi,CareKa00,fumbles_lost,0,,,,,
player,201609110htx,chi,JeffAl00,pass_cmp,0,,,,,
player,201609110htx,chi,JeffAl00,pass_att,0,,,,,
player,201609110htx,chi,JeffAl00,pass_yds,0,,,,,
player,201609110htx,chi,JeffAl00,pass_td,0,,,,,
player,201609110htx,chi,JeffAl00,pass_int,0,,,,,
player,201609110htx,chi,JeffAl00,pass_sacked,0,,,,,
player,201609110htx,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201609110htx,chi,JeffAl00,pass_long,0,,,,,
player,201609110htx,chi,JeffAl00,pass_rating,,,,,,
player,201609110htx,chi,JeffAl00,rush_att,0,,,,,
player,201609110htx,chi,JeffAl00,rush_yds,0,,,,,
player,201609110htx,chi,JeffAl00,rush_td,0,,,,,
player,201609110htx,chi,JeffAl00,rush_long,0,,,,,
player,201609110htx,chi,JeffAl00,targets,6,,,,,
player,201609110htx,chi,JeffAl00,rec,4,,,,,
player,201609110htx,chi,JeffAl00,rec_yds,105,,,,,
player,201609110htx,chi,JeffAl00,rec_td,0,,,,,
player,201609110htx,chi,JeffAl00,rec_long,54,,,,,
player,201609110htx,chi,JeffAl00,fumbles,0,,,,,
player,201609110htx,chi,JeffAl00,fumbles_lost,0,,,,,
player,201609110htx,chi,RoyaEd00,pass_cmp,0,,,,,
player,201609110htx,chi,RoyaEd00,pass_att,0,,,,,
player,201609110htx,chi,RoyaEd00,pass_yds,0,,,,,
player,201609110htx,chi,RoyaEd00,pass_td,0,,,,,
player,201609110htx,chi,RoyaEd00,pass_int,0,,,,,
player,201609110htx,chi,RoyaEd00,pass_sacked,0,,,,,
player,201609110htx,chi,RoyaEd00,pass_sacked_yds,0,,,,,
player,201609110htx,chi,RoyaEd00,pass_long,0,,,,,
player,201609110htx,chi,RoyaEd00,pass_rating,,,,,,
player,201609110htx,chi,RoyaEd00,rush_att,0,,,,,
player,201609110htx,chi,RoyaEd00,rush_yds,0,,,,,
player,201609110htx,chi,RoyaEd00,rush_td,0,,,,,
player,201609110htx,chi,RoyaEd00,rush_long,0,,,,,
player,201609110htx,chi,RoyaEd00,targets,6,,,,,
player,201609110htx,chi,RoyaEd00,rec,4,,,,,
player,201609110htx,chi,RoyaEd00,rec_yds,57,,,,,
player,201609110htx,chi,RoyaEd00,rec_td,1,,,,,
player,201609110htx,chi,RoyaEd00,rec_long,19,,,,,
player,201609110htx,chi,RoyaEd00,fumbles,0,,,,,
player,201609110htx,chi,RoyaEd00,fumbles_lost,0,,,,,
player,201609110htx,chi,WhitKe00,pass_cmp,0,,,,,
player,201609110htx,chi,WhitKe00,pass_att,0,,,,,
player,201609110htx,chi,WhitKe00,pass_yds,0,,,,,
player,201609110htx,chi,WhitKe00,pass_td,0,,,,,
player,201609110htx,chi,WhitKe00,pass_int,0,,,,,
player,201609110htx,chi,WhitKe00,pass_sacked,0,,,,,
player,201609110htx,chi,WhitKe00,pass_sacked_yds,0,,,,,
player,201609110htx,chi,WhitKe00,pass_long,0,,,,,
player,201609110htx,chi,WhitKe00,pass_rating,,,,,,
player,201609110htx,chi,WhitKe00,rush_att,0,,,,,
player,201609110htx,chi,WhitKe00,rush_yds,0,,,,,
player,201609110htx,chi,WhitKe00,rush_td,0,,,,,
player,201609110htx,chi,WhitKe00,rush_long,0,,,,,
player,201609110htx,chi,WhitKe00,targets,7,,,,,
player,201609110htx,chi,WhitKe00,rec,3,,,,,
player,201609110htx,chi,WhitKe00,rec_yds,34,,,,,
player,201609110htx,chi,WhitKe00,rec_td,0,,,,,
player,201609110htx,chi,WhitKe00,rec_long,19,,,,,
player,201609110htx,chi,WhitKe00,fumbles,0,,,,,
player,201609110htx,chi,WhitKe00,fumbles_lost,0,,,,,
player,201609110htx,chi,MillZa02,pass_cmp,0,,,,,
player,201609110htx,chi,MillZa02,pass_att,0,,,,,
player,201609110htx,chi,MillZa02,pass_yds,0,,,,,
player,201609110htx,chi,MillZa02,pass_td,0,,,,,
player,201609110htx,chi,MillZa02,pass_int,0,,,,,
player,201609110htx,chi,MillZa02,pass_sacked,0,,,,,
player,201609110htx,chi,MillZa02,pass_sacked_yds,0,,,,,
player,201609110htx,chi,MillZa02,pass_long,0,,,,,
player,201609110htx,chi,MillZa02,pass_rating,,,,,,
player,201609110htx,chi,MillZa02,rush_att,0,,,,,
player,201609110htx,chi,MillZa02,rush_yds,0,,,,,
player,201609110htx,chi,MillZa02,rush_td,0,,,,,
player,201609110htx,chi,MillZa02,rush_long,0,,,,,
player,201609110htx,chi,MillZa02,targets,4,,,,,
player,201609110htx,chi,MillZa02,rec,3,,,,,
player,201609110htx,chi,MillZa02,rec_yds,14,,,,,
player,201609110htx,chi,MillZa02,rec_td,0,,,,,
player,201609110htx,chi,MillZa02,rec_long,5,,,,,
player,201609110htx,chi,MillZa02,fumbles,0,,,,,
player,201609110htx,chi,MillZa02,fumbles_lost,0,,,,,
player,201609110htx,chi,PaulLo00,pass_cmp,0,,,,,
player,201609110htx,chi,PaulLo00,pass_att,0,,,,,
player,201609110htx,chi,PaulLo00,pass_yds,0,,,,,
player,201609110htx,chi,PaulLo00,pass_td,0,,,,,
player,201609110htx,chi,PaulLo00,pass_int,0,,,,,
player,201609110htx,chi,PaulLo00,pass_sacked,0,,,,,
player,201609110htx,chi,PaulLo00,pass_sacked_yds,0,,,,,
player,201609110htx,chi,PaulLo00,pass_long,0,,,,,
player,201609110htx,chi,PaulLo00,pass_rating,,,,,,
player,201609110htx,chi,PaulLo00,rush_att,0,,,,,
player,201609110htx,chi,PaulLo00,rush_yds,0,,,,,
player,201609110htx,chi,PaulLo00,rush_td,0,,,,,
player,201609110htx,chi,PaulLo00,rush_long,0,,,,,
player,201609110htx,chi,PaulLo00,targets,1,,,,,
player,201609110htx,chi,PaulLo00,rec,0,,,,,
player,201609110htx,chi,PaulLo00,rec_yds,0,,,,,
player,201609110htx,chi,PaulLo00,rec_td,0,,,,,
