game,2016,5,20161009,201610090det,phi,"Philadelphia Eagles",23,det,"Detroit Lions",24
team,201610090det,phi,First Downs,18,,,,,,
team,201610090det,det,First Downs,21,,,,,,
team,201610090det,phi,Rush-Yds-TDs,21-116-0,,,,,,
team,201610090det,det,Rush-Yds-TDs,27-80-0,,,,,,
team,201610090det,phi,Cmp-Att-Yd-TD-INT,25-33-238-2-1,,,,,,
team,201610090det,det,Cmp-Att-Yd-TD-INT,19-25-180-3-0,,,,,,
team,201610090det,phi,Sacked-Yards,3-8,,,,,,
team,201610090det,det,Sacked-Yards,4-16,,,,,,
team,201610090det,phi,Net Pass Yards,230,,,,,,
team,201610090det,det,Net Pass Yards,164,,,,,,
team,201610090det,phi,Total Yards,346,,,,,,
team,201610090det,det,Total Yards,244,,,,,,
team,201610090det,phi,Fumbles-Lost,2-1,,,,,,
team,201610090det,det,Fumbles-Lost,1-1,,,,,,
team,201610090det,phi,Turnovers,2,,,,,,
team,201610090det,det,Turnovers,1,,,,,,
team,201610090det,phi,Penalties-Yards,14-111,,,,,,
team,201610090det,det,Penalties-Yards,2-18,,,,,,
team,201610090det,phi,Third Down Conv.,5-11,,,,,,
team,201610090det,det,Third Down Conv.,3-9,,,,,,
team,201610090det,phi,Fourth Down Conv.,0-0,,,,,,
team,201610090det,det,Fourth Down Conv.,2-2,,,,,,
team,201610090det,phi,Time of Possession,29:36,,,,,,
team,201610090det,det,Time of Possession,30:24,,,,,,
player,201610090det,phi,WentCa00,pass_cmp,25,,,,,
player,201610090det,phi,WentCa00,pass_att,33,,,,,
player,201610090det,phi,WentCa00,pass_yds,238,,,,,
player,201610090det,phi,WentCa00,pass_td,2,,,,,
player,201610090det,phi,WentCa00,pass_int,1,,,,,
player,201610090det,phi,WentCa00,pass_sacked,3,,,,,
player,201610090det,phi,WentCa00,pass_sacked_yds,8,,,,,
player,201610090det,phi,WentCa00,pass_long,27,,,,,
player,201610090det,phi,WentCa00,pass_rating,102.8,,,,,
player,201610090det,phi,WentCa00,rush_att,2,,,,,
player,201610090det,phi,WentCa00,rush_yds,14,,,,,
player,201610090det,phi,WentCa00,rush_td,0,,,,,
player,201610090det,phi,WentCa00,rush_long,10,,,,,
player,201610090det,phi,WentCa00,targets,0,,,,,
player,201610090det,phi,WentCa00,rec,0,,,,,
player,201610090det,phi,WentCa00,rec_yds,0,,,,,
player,201610090det,phi,WentCa00,rec_td,0,,,,,
player,201610090det,phi,WentCa00,rec_long,0,,,,,
player,201610090det,phi,WentCa00,fumbles,0,,,,,
player,201610090det,phi,WentCa00,fumbles_lost,0,,,,,
player,201610090det,phi,SproDa00,pass_cmp,0,,,,,
