game,2016,14,20161211,201612110car,sdg,"San Diego Chargers",16,car,"Carolina Panthers",28
team,201612110car,sdg,First Downs,17,,,,,,
team,201612110car,car,First Downs,17,,,,,,
team,201612110car,sdg,Rush-Yds-TDs,20-58-0,,,,,,
team,201612110car,car,Rush-Yds-TDs,38-126-1,,,,,,
team,201612110car,sdg,Cmp-Att-Yd-TD-INT,21-39-236-2-3,,,,,,
team,201612110car,car,Cmp-Att-Yd-TD-INT,10-27-160-1-1,,,,,,
team,201612110car,sdg,Sacked-Yards,5-16,,,,,,
team,201612110car,car,Sacked-Yards,2-14,,,,,,
team,201612110car,sdg,Net Pass Yards,220,,,,,,
team,201612110car,car,Net Pass Yards,146,,,,,,
team,201612110car,sdg,Total Yards,278,,,,,,
team,201612110car,car,Total Yards,272,,,,,,
team,201612110car,sdg,Fumbles-Lost,2-2,,,,,,
team,201612110car,car,Fumbles-Lost,0-0,,,,,,
team,201612110car,sdg,Turnovers,5,,,,,,
team,201612110car,car,Turnovers,1,,,,,,
team,201612110car,sdg,Penalties-Yards,7-32,,,,,,
team,201612110car,car,Penalties-Yards,5-35,,,,,,
team,201612110car,sdg,Third Down Conv.,5-13,,,,,,
team,201612110car,car,Third Down Conv.,5-15,,,,,,
team,201612110car,sdg,Fourth Down Conv.,0-1,,,,,,
team,201612110car,car,Fourth Down Conv.,1-1,,,,,,
team,201612110car,sdg,Time of Possession,27:23,,,,,,
team,201612110car,car,Time of Possession,32:37,,,,,,
player,201612110car,sdg,RivePh00,pass_cmp,21,,,,,
player,201612110car,sdg,RivePh00,pass_att,39,,,,,
player,201612110car,sdg,RivePh00,pass_yds,236,,,,,
player,201612110car,sdg,RivePh00,pass_td,2,,,,,
player,201612110car,sdg,RivePh00,pass_int,3,,,,,
player,201612110car,sdg,RivePh00,pass_sacked,5,,,,,
player,201612110car,sdg,RivePh00,pass_sacked_yds,16,,,,,
player,201612110car,sdg,RivePh00,pass_long,46,,,,,
player,201612110car,sdg,RivePh00,pass_rating,57.2,,,,,
player,201612110car,sdg,RivePh00,rush_att,0,,,,,
player,201612110car,sdg,RivePh00,rush_yds,0,,,,,
player,201612110car,sdg,RivePh00,rush_td,0,,,,,
player,201612110car,sdg,RivePh00,rush_long,0,,,,,
player,201612110car,sdg,RivePh00,targets,0,,,,,
player,201612110car,sdg,RivePh00,rec,0,,,,,
player,201612110car,sdg,RivePh00,rec_yds,0,,,,,
player,201612110car,sdg,RivePh00,rec_td,0,,,,,
player,201612110car,sdg,RivePh00,rec_long,0,,,,,
player,201612110car,sdg,RivePh00,fumbles,2,,,,,
player,201612110car,sdg,RivePh00,fumbles_lost,2,,,,,
player,201612110car,sdg,FarrKe02,pass_cmp,0,,,,,
player,201612110car,sdg,FarrKe02,pass_att,0,,,,,
player,201612110car,sdg,FarrKe02,pass_yds,0,,,,,
player,201612110car,sdg,FarrKe02,pass_td,0,,,,,
player,201612110car,sdg,FarrKe02,pass_int,0,,,,,
player,201612110car,sdg,FarrKe02,pass_sacked,0,,,,,
player,201612110car,sdg,FarrKe02,pass_sacked_yds,0,,,,,
player,201612110car,sdg,FarrKe02,pass_long,0,,,,,
player,201612110car,sdg,FarrKe02,pass_rating,,,,,,
player,201612110car,sdg,FarrKe02,rush_att,16,,,,,
player,201612110car,sdg,FarrKe02,rush_yds,55,,,,,
player,201612110car,sdg,FarrKe02,rush_td,0,,,,,
player,201612110car,sdg,FarrKe02,rush_long,11,,,,,
player,201612110car,sdg,FarrKe02,targets,6,,,,,
player,201612110car,sdg,FarrKe02,rec,6,,,,,
player,201612110car,sdg,FarrKe02,rec_yds,23,,,,,
player,201612110car,sdg,FarrKe02,rec_td,0,,,,,
player,201612110car,sdg,FarrKe02,rec_long,9,,,,,
player,201612110car,sdg,FarrKe02,fumbles,0,,,,,
player,201612110car,sdg,FarrKe02,fumbles_lost,0,,,,,
player,201612110car,sdg,GordMe00,pass_cmp,0,,,,,
player,201612110car,sdg,GordMe00,pass_att,0,,,,,
player,201612110car,sdg,GordMe00,pass_yds,0,,,,,
player,201612110car,sdg,GordMe00,pass_td,0,,,,,
player,201612110car,sdg,GordMe00,pass_int,0,,,,,
player,201612110car,sdg,GordMe00,pass_sacked,0,,,,,
player,201612110car,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201612110car,sdg,GordMe00,pass_long,0,,,,,
player,201612110car,sdg,GordMe00,pass_rating,,,,,,
player,201612110car,sdg,GordMe00,rush_att,3,,,,,
player,201612110car,sdg,GordMe00,rush_yds,5,,,,,
player,201612110car,sdg,GordMe00,rush_td,0,,,,,
player,201612110car,sdg,GordMe00,rush_long,4,,,,,
player,201612110car,sdg,GordMe00,targets,1,,,,,
player,201612110car,sdg,GordMe00,rec,0,,,,,
player,201612110car,sdg,GordMe00,rec_yds,0,,,,,
player,201612110car,sdg,GordMe00,rec_td,0,,,,,
player,201612110car,sdg,GordMe00,rec_long,0,,,,,
player,201612110car,sdg,GordMe00,fumbles,0,,,,,
player,201612110car,sdg,GordMe00,fumbles_lost,0,,,,,
player,201612110car,sdg,InmaDo00,pass_cmp,0,,,,,
player,201612110car,sdg,InmaDo00,pass_att,0,,,,,
player,201612110car,sdg,InmaDo00,pass_yds,0,,,,,
player,201612110car,sdg,InmaDo00,pass_td,0,,,,,
player,201612110car,sdg,InmaDo00,pass_int,0,,,,,
player,201612110car,sdg,InmaDo00,pass_sacked,0,,,,,
player,201612110car,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201612110car,sdg,InmaDo00,pass_long,0,,,,,
player,201612110car,sdg,InmaDo00,pass_rating,,,,,,
player,201612110car,sdg,InmaDo00,rush_att,0,,,,,
player,201612110car,sdg,InmaDo00,rush_yds,0,,,,,
player,201612110car,sdg,InmaDo00,rush_td,0,,,,,
player,201612110car,sdg,InmaDo00,rush_long,0,,,,,
player,201612110car,sdg,InmaDo00,targets,7,,,,,
player,201612110car,sdg,InmaDo00,rec,6,,,,,
player,201612110car,sdg,InmaDo00,rec_yds,71,,,,,
player,201612110car,sdg,InmaDo00,rec_td,1,,,,,
player,201612110car,sdg,InmaDo00,rec_long,20,,,,,
player,201612110car,sdg,InmaDo00,fumbles,0,,,,,
