game,2016,13,20161204,201612040gnb,htx,"Houston Texans",13,gnb,"Green Bay Packers",21
team,201612040gnb,htx,First Downs,17,,,,,,
team,201612040gnb,gnb,First Downs,16,,,,,,
team,201612040gnb,htx,Rush-Yds-TDs,27-123-0,,,,,,
team,201612040gnb,gnb,Rush-Yds-TDs,26-109-1,,,,,,
team,201612040gnb,htx,Cmp-Att-Yd-TD-INT,22-35-202-2-0,,,,,,
team,201612040gnb,gnb,Cmp-Att-Yd-TD-INT,20-30-209-2-0,,,,,,
team,201612040gnb,htx,Sacked-Yards,2-18,,,,,,
team,201612040gnb,gnb,Sacked-Yards,1-9,,,,,,
team,201612040gnb,htx,Net Pass Yards,184,,,,,,
team,201612040gnb,gnb,Net Pass Yards,200,,,,,,
team,201612040gnb,htx,Total Yards,307,,,,,,
team,201612040gnb,gnb,Total Yards,309,,,,,,
team,201612040gnb,htx,Fumbles-Lost,1-1,,,,,,
team,201612040gnb,gnb,Fumbles-Lost,1-1,,,,,,
team,201612040gnb,htx,Turnovers,1,,,,,,
team,201612040gnb,gnb,Turnovers,1,,,,,,
team,201612040gnb,htx,Penalties-Yards,3-12,,,,,,
team,201612040gnb,gnb,Penalties-Yards,4-30,,,,,,
team,201612040gnb,htx,Third Down Conv.,6-15,,,,,,
team,201612040gnb,gnb,Third Down Conv.,4-12,,,,,,
team,201612040gnb,htx,Fourth Down Conv.,1-2,,,,,,
team,201612040gnb,gnb,Fourth Down Conv.,1-2,,,,,,
team,201612040gnb,htx,Time of Possession,31:31,,,,,,
team,201612040gnb,gnb,Time of Possession,28:29,,,,,,
player,201612040gnb,htx,OsweBr00,pass_cmp,22,,,,,
player,201612040gnb,htx,OsweBr00,pass_att,35,,,,,
player,201612040gnb,htx,OsweBr00,pass_yds,202,,,,,
player,201612040gnb,htx,OsweBr00,pass_td,2,,,,,
player,201612040gnb,htx,OsweBr00,pass_int,0,,,,,
player,201612040gnb,htx,OsweBr00,pass_sacked,2,,,,,
player,201612040gnb,htx,OsweBr00,pass_sacked_yds,18,,,,,
player,201612040gnb,htx,OsweBr00,pass_long,44,,,,,
player,201612040gnb,htx,OsweBr00,pass_rating,97.6,,,,,
player,201612040gnb,htx,OsweBr00,rush_att,3,,,,,
player,201612040gnb,htx,OsweBr00,rush_yds,20,,,,,
player,201612040gnb,htx,OsweBr00,rush_td,0,,,,,
player,201612040gnb,htx,OsweBr00,rush_long,9,,,,,
player,201612040gnb,htx,OsweBr00,targets,0,,,,,
player,201612040gnb,htx,OsweBr00,rec,0,,,,,
player,201612040gnb,htx,OsweBr00,rec_yds,-8,,,,,
player,201612040gnb,htx,OsweBr00,rec_td,0,,,,,
player,201612040gnb,htx,OsweBr00,rec_long,0,,,,,
player,201612040gnb,htx,OsweBr00,fumbles,0,,,,,
player,201612040gnb,htx,OsweBr00,fumbles_lost,0,,,,,
player,201612040gnb,htx,GrimJo01,pass_cmp,0,,,,,
player,201612040gnb,htx,GrimJo01,pass_att,0,,,,,
player,201612040gnb,htx,GrimJo01,pass_yds,0,,,,,
player,201612040gnb,htx,GrimJo01,pass_td,0,,,,,
player,201612040gnb,htx,GrimJo01,pass_int,0,,,,,
player,201612040gnb,htx,GrimJo01,pass_sacked,0,,,,,
player,201612040gnb,htx,GrimJo01,pass_sacked_yds,0,,,,,
player,201612040gnb,htx,GrimJo01,pass_long,0,,,,,
player,201612040gnb,htx,GrimJo01,pass_rating,,,,,,
player,201612040gnb,htx,GrimJo01,rush_att,5,,,,,
player,201612040gnb,htx,GrimJo01,rush_yds,43,,,,,
player,201612040gnb,htx,GrimJo01,rush_td,0,,,,,
player,201612040gnb,htx,GrimJo01,rush_long,14,,,,,
player,201612040gnb,htx,GrimJo01,targets,1,,,,,
player,201612040gnb,htx,GrimJo01,rec,1,,,,,
player,201612040gnb,htx,GrimJo01,rec_yds,15,,,,,
player,201612040gnb,htx,GrimJo01,rec_td,0,,,,,
player,201612040gnb,htx,GrimJo01,rec_long,15,,,,,
player,201612040gnb,htx,GrimJo01,fumbles,0,,,,,
player,201612040gnb,htx,GrimJo01,fumbles_lost,0,,,,,
player,201612040gnb,htx,BlueAl00,pass_cmp,0,,,,,
player,201612040gnb,htx,BlueAl00,pass_att,0,,,,,
player,201612040gnb,htx,BlueAl00,pass_yds,0,,,,,
player,201612040gnb,htx,BlueAl00,pass_td,0,,,,,
player,201612040gnb,htx,BlueAl00,pass_int,0,,,,,
player,201612040gnb,htx,BlueAl00,pass_sacked,0,,,,,
player,201612040gnb,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201612040gnb,htx,BlueAl00,pass_long,0,,,,,
player,201612040gnb,htx,BlueAl00,pass_rating,,,,,,
player,201612040gnb,htx,BlueAl00,rush_att,5,,,,,
player,201612040gnb,htx,BlueAl00,rush_yds,38,,,,,
player,201612040gnb,htx,BlueAl00,rush_td,0,,,,,
player,201612040gnb,htx,BlueAl00,rush_long,25,,,,,
player,201612040gnb,htx,BlueAl00,targets,2,,,,,
player,201612040gnb,htx,BlueAl00,rec,2,,,,,
player,201612040gnb,htx,BlueAl00,rec_yds,3,,,,,
player,201612040gnb,htx,BlueAl00,rec_td,0,,,,,
player,201612040gnb,htx,BlueAl00,rec_long,12,,,,,
player,201612040gnb,htx,BlueAl00,fumbles,0,,,,,
player,201612040gnb,htx,BlueAl00,fumbles_lost,0,,,,,
player,201612040gnb,htx,MillLa01,pass_cmp,0,,,,,
player,201612040gnb,htx,MillLa01,pass_att,0,,,,,
player,201612040gnb,htx,MillLa01,pass_yds,0,,,,,
player,201612040gnb,htx,MillLa01,pass_td,0,,,,,
player,201612040gnb,htx,MillLa01,pass_int,0,,,,,
player,201612040gnb,htx,MillLa01,pass_sacked,0,,,,,
player,201612040gnb,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201612040gnb,htx,MillLa01,pass_long,0,,,,,
player,201612040gnb,htx,MillLa01,pass_rating,,,,,,
player,201612040gnb,htx,MillLa01,rush_att,14,,,,,
player,201612040gnb,htx,MillLa01,rush_yds,22,,,,,
player,201612040gnb,htx,MillLa01,rush_td,0,,,,,
player,201612040gnb,htx,MillLa01,rush_long,5,,,,,
player,201612040gnb,htx,MillLa01,targets,1,,,,,
player,201612040gnb,htx,MillLa01,rec,1,,,,,
player,201612040gnb,htx,MillLa01,rec_yds,-4,,,,,
player,201612040gnb,htx,MillLa01,rec_td,0,,,,,
player,201612040gnb,htx,MillLa01,rec_long,7,,,,,
player,201612040gnb,htx,MillLa01,fumbles,0,,,,,
