game,2016,12,20161127,201611270htx,sdg,"San Diego Chargers",21,htx,"Houston Texans",13
team,201611270htx,sdg,First Downs,18,,,,,,
team,201611270htx,htx,First Downs,22,,,,,,
team,201611270htx,sdg,Rush-Yds-TDs,18-67-0,,,,,,
team,201611270htx,htx,Rush-Yds-TDs,27-114-1,,,,,,
team,201611270htx,sdg,Cmp-Att-Yd-TD-INT,22-30-242-3-1,,,,,,
team,201611270htx,htx,Cmp-Att-Yd-TD-INT,22-37-246-0-3,,,,,,
team,201611270htx,sdg,Sacked-Yards,1-7,,,,,,
team,201611270htx,htx,Sacked-Yards,1-7,,,,,,
team,201611270htx,sdg,Net Pass Yards,235,,,,,,
team,201611270htx,htx,Net Pass Yards,239,,,,,,
team,201611270htx,sdg,Total Yards,302,,,,,,
team,201611270htx,htx,Total Yards,353,,,,,,
team,201611270htx,sdg,Fumbles-Lost,0-0,,,,,,
team,201611270htx,htx,Fumbles-Lost,2-1,,,,,,
team,201611270htx,sdg,Turnovers,1,,,,,,
team,201611270htx,htx,Turnovers,4,,,,,,
team,201611270htx,sdg,Penalties-Yards,10-78,,,,,,
team,201611270htx,htx,Penalties-Yards,9-58,,,,,,
team,201611270htx,sdg,Third Down Conv.,4-11,,,,,,
team,201611270htx,htx,Third Down Conv.,4-11,,,,,,
team,201611270htx,sdg,Fourth Down Conv.,0-0,,,,,,
team,201611270htx,htx,Fourth Down Conv.,1-2,,,,,,
team,201611270htx,sdg,Time of Possession,29:59,,,,,,
team,201611270htx,htx,Time of Possession,30:01,,,,,,
player,201611270htx,sdg,RivePh00,pass_cmp,22,,,,,
player,201611270htx,sdg,RivePh00,pass_att,30,,,,,
player,201611270htx,sdg,RivePh00,pass_yds,242,,,,,
player,201611270htx,sdg,RivePh00,pass_td,3,,,,,
player,201611270htx,sdg,RivePh00,pass_int,1,,,,,
player,201611270htx,sdg,RivePh00,pass_sacked,1,,,,,
player,201611270htx,sdg,RivePh00,pass_sacked_yds,7,,,,,
player,201611270htx,sdg,RivePh00,pass_long,52,,,,,
player,201611270htx,sdg,RivePh00,pass_rating,116.3,,,,,
player,201611270htx,sdg,RivePh00,rush_att,0,,,,,
player,201611270htx,sdg,RivePh00,rush_yds,0,,,,,
player,201611270htx,sdg,RivePh00,rush_td,0,,,,,
player,201611270htx,sdg,RivePh00,rush_long,0,,,,,
player,201611270htx,sdg,RivePh00,targets,0,,,,,
player,201611270htx,sdg,RivePh00,rec,0,,,,,
player,201611270htx,sdg,RivePh00,rec_yds,0,,,,,
player,201611270htx,sdg,RivePh00,rec_td,0,,,,,
player,201611270htx,sdg,RivePh00,rec_long,0,,,,,
player,201611270htx,sdg,RivePh00,fumbles,0,,,,,
player,201611270htx,sdg,RivePh00,fumbles_lost,0,,,,,
player,201611270htx,sdg,GordMe00,pass_cmp,0,,,,,
player,201611270htx,sdg,GordMe00,pass_att,0,,,,,
player,201611270htx,sdg,GordMe00,pass_yds,0,,,,,
player,201611270htx,sdg,GordMe00,pass_td,0,,,,,
player,201611270htx,sdg,GordMe00,pass_int,0,,,,,
player,201611270htx,sdg,GordMe00,pass_sacked,0,,,,,
player,201611270htx,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201611270htx,sdg,GordMe00,pass_long,0,,,,,
player,201611270htx,sdg,GordMe00,pass_rating,,,,,,
player,201611270htx,sdg,GordMe00,rush_att,17,,,,,
player,201611270htx,sdg,GordMe00,rush_yds,70,,,,,
player,201611270htx,sdg,GordMe00,rush_td,0,,,,,
player,201611270htx,sdg,GordMe00,rush_long,18,,,,,
player,201611270htx,sdg,GordMe00,targets,4,,,,,
player,201611270htx,sdg,GordMe00,rec,4,,,,,
player,201611270htx,sdg,GordMe00,rec_yds,19,,,,,
player,201611270htx,sdg,GordMe00,rec_td,0,,,,,
player,201611270htx,sdg,GordMe00,rec_long,10,,,,,
player,201611270htx,sdg,GordMe00,fumbles,0,,,,,
player,201611270htx,sdg,GordMe00,fumbles_lost,0,,,,,
player,201611270htx,sdg,InmaDo00,pass_cmp,0,,,,,
player,201611270htx,sdg,InmaDo00,pass_att,0,,,,,
player,201611270htx,sdg,InmaDo00,pass_yds,0,,,,,
player,201611270htx,sdg,InmaDo00,pass_td,0,,,,,
player,201611270htx,sdg,InmaDo00,pass_int,0,,,,,
player,201611270htx,sdg,InmaDo00,pass_sacked,0,,,,,
player,201611270htx,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201611270htx,sdg,InmaDo00,pass_long,0,,,,,
player,201611270htx,sdg,InmaDo00,pass_rating,,,,,,
player,201611270htx,sdg,InmaDo00,rush_att,0,,,,,
player,201611270htx,sdg,InmaDo00,rush_yds,0,,,,,
player,201611270htx,sdg,InmaDo00,rush_td,0,,,,,
player,201611270htx,sdg,InmaDo00,rush_long,0,,,,,
player,201611270htx,sdg,InmaDo00,targets,6,,,,,
player,201611270htx,sdg,InmaDo00,rec,6,,,,,
player,201611270htx,sdg,InmaDo00,rec_yds,119,,,,,
player,201611270htx,sdg,InmaDo00,rec_td,1,,,,,
player,201611270htx,sdg,InmaDo00,rec_long,52,,,,,
player,201611270htx,sdg,InmaDo00,fumbles,0,,,,,
player,201611270htx,sdg,InmaDo00,fumbles_lost,0,,,,,
player,201611270htx,sdg,WillTy00,pass_cmp,0,,,,,
