game,2016,1,20160911,201609110oti,min,"Minnesota Vikings",25,oti,"Tennessee Titans",16
team,201609110oti,min,First Downs,15,,,,,,
team,201609110oti,oti,First Downs,19,,,,,,
team,201609110oti,min,Rush-Yds-TDs,28-65-0,,,,,,
team,201609110oti,oti,Rush-Yds-TDs,22-64-0,,,,,,
team,201609110oti,min,Cmp-Att-Yd-TD-INT,18-33-236-0-0,,,,,,
team,201609110oti,oti,Cmp-Att-Yd-TD-INT,25-41-271-2-1,,,,,,
team,201609110oti,min,Sacked-Yards,0-0,,,,,,
team,201609110oti,oti,Sacked-Yards,2-19,,,,,,
team,201609110oti,min,Net Pass Yards,236,,,,,,
team,201609110oti,oti,Net Pass Yards,252,,,,,,
team,201609110oti,min,Total Yards,301,,,,,,
team,201609110oti,oti,Total Yards,316,,,,,,
team,201609110oti,min,Fumbles-Lost,0-0,,,,,,
team,201609110oti,oti,Fumbles-Lost,2-2,,,,,,
team,201609110oti,min,Turnovers,0,,,,,,
team,201609110oti,oti,Turnovers,3,,,,,,
team,201609110oti,min,Penalties-Yards,3-39,,,,,,
team,201609110oti,oti,Penalties-Yards,2-10,,,,,,
team,201609110oti,min,Third Down Conv.,6-14,,,,,,
team,201609110oti,oti,Third Down Conv.,8-14,,,,,,
team,201609110oti,min,Fourth Down Conv.,0-0,,,,,,
team,201609110oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201609110oti,min,Time of Possession,29:35,,,,,,
team,201609110oti,oti,Time of Possession,30:25,,,,,,
player,201609110oti,min,HillSh00,pass_cmp,18,,,,,
player,201609110oti,min,HillSh00,pass_att,33,,,,,
player,201609110oti,min,HillSh00,pass_yds,236,,,,,
player,201609110oti,min,HillSh00,pass_td,0,,,,,
player,201609110oti,min,HillSh00,pass_int,0,,,,,
player,201609110oti,min,HillSh00,pass_sacked,0,,,,,
player,201609110oti,min,HillSh00,pass_sacked_yds,0,,,,,
player,201609110oti,min,HillSh00,pass_long,33,,,,,
player,201609110oti,min,HillSh00,pass_rating,77.3,,,,,
player,201609110oti,min,HillSh00,rush_att,2,,,,,
player,201609110oti,min,HillSh00,rush_yds,8,,,,,
player,201609110oti,min,HillSh00,rush_td,0,,,,,
player,201609110oti,min,HillSh00,rush_long,9,,,,,
player,201609110oti,min,HillSh00,targets,0,,,,,
player,201609110oti,min,HillSh00,rec,0,,,,,
player,201609110oti,min,HillSh00,rec_yds,0,,,,,
player,201609110oti,min,HillSh00,rec_td,0,,,,,
player,201609110oti,min,HillSh00,rec_long,0,,,,,
player,201609110oti,min,HillSh00,fumbles,0,,,,,
player,201609110oti,min,HillSh00,fumbles_lost,0,,,,,
player,201609110oti,min,PeteAd01,pass_cmp,0,,,,,
player,201609110oti,min,PeteAd01,pass_att,0,,,,,
player,201609110oti,min,PeteAd01,pass_yds,0,,,,,
player,201609110oti,min,PeteAd01,pass_td,0,,,,,
player,201609110oti,min,PeteAd01,pass_int,0,,,,,
player,201609110oti,min,PeteAd01,pass_sacked,0,,,,,
player,201609110oti,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201609110oti,min,PeteAd01,pass_long,0,,,,,
player,201609110oti,min,PeteAd01,pass_rating,,,,,,
player,201609110oti,min,PeteAd01,rush_att,19,,,,,
player,201609110oti,min,PeteAd01,rush_yds,31,,,,,
player,201609110oti,min,PeteAd01,rush_td,0,,,,,
player,201609110oti,min,PeteAd01,rush_long,9,,,,,
player,201609110oti,min,PeteAd01,targets,2,,,,,
player,201609110oti,min,PeteAd01,rec,0,,,,,
player,201609110oti,min,PeteAd01,rec_yds,0,,,,,
player,201609110oti,min,PeteAd01,rec_td,0,,,,,
player,201609110oti,min,PeteAd01,rec_long,0,,,,,
player,201609110oti,min,PeteAd01,fumbles,0,,,,,
player,201609110oti,min,PeteAd01,fumbles_lost,0,,,,,
player,201609110oti,min,AsiaMa00,pass_cmp,0,,,,,
player,201609110oti,min,AsiaMa00,pass_att,0,,,,,
player,201609110oti,min,AsiaMa00,pass_yds,0,,,,,
player,201609110oti,min,AsiaMa00,pass_td,0,,,,,
player,201609110oti,min,AsiaMa00,pass_int,0,,,,,
player,201609110oti,min,AsiaMa00,pass_sacked,0,,,,,
player,201609110oti,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201609110oti,min,AsiaMa00,pass_long,0,,,,,
player,201609110oti,min,AsiaMa00,pass_rating,,,,,,
player,201609110oti,min,AsiaMa00,rush_att,4,,,,,
player,201609110oti,min,AsiaMa00,rush_yds,13,,,,,
player,201609110oti,min,AsiaMa00,rush_td,0,,,,,
player,201609110oti,min,AsiaMa00,rush_long,6,,,,,
player,201609110oti,min,AsiaMa00,targets,0,,,,,
player,201609110oti,min,AsiaMa00,rec,0,,,,,
player,201609110oti,min,AsiaMa00,rec_yds,0,,,,,
player,201609110oti,min,AsiaMa00,rec_td,0,,,,,
player,201609110oti,min,AsiaMa00,rec_long,0,,,,,
player,201609110oti,min,AsiaMa00,fumbles,0,,,,,
player,201609110oti,min,AsiaMa00,fumbles_lost,0,,,,,
player,201609110oti,min,PattCo00,pass_cmp,0,,,,,
player,201609110oti,min,PattCo00,pass_att,0,,,,,
player,201609110oti,min,PattCo00,pass_yds,0,,,,,
player,201609110oti,min,PattCo00,pass_td,0,,,,,
player,201609110oti,min,PattCo00,pass_int,0,,,,,
player,201609110oti,min,PattCo00,pass_sacked,0,,,,,
player,201609110oti,min,PattCo00,pass_sacked_yds,0,,,,,
player,201609110oti,min,PattCo00,pass_long,0,,,,,
player,201609110oti,min,PattCo00,pass_rating,,,,,,
player,201609110oti,min,PattCo00,rush_att,1,,,,,
player,201609110oti,min,PattCo00,rush_yds,8,,,,,
