game,2016,9,20161106,201611060ram,car,"Carolina Panthers",13,ram,"Los Angeles Rams",10
team,201611060ram,car,First Downs,16,,,,,,
team,201611060ram,ram,First Downs,18,,,,,,
team,201611060ram,car,Rush-Yds-TDs,25-59-0,,,,,,
team,201611060ram,ram,Rush-Yds-TDs,17-59-0,,,,,,
team,201611060ram,car,Cmp-Att-Yd-TD-INT,20-32-225-1-0,,,,,,
team,201611060ram,ram,Cmp-Att-Yd-TD-INT,27-46-296-1-1,,,,,,
team,201611060ram,car,Sacked-Yards,5-40,,,,,,
team,201611060ram,ram,Sacked-Yards,4-16,,,,,,
team,201611060ram,car,Net Pass Yards,185,,,,,,
team,201611060ram,ram,Net Pass Yards,280,,,,,,
team,201611060ram,car,Total Yards,244,,,,,,
team,201611060ram,ram,Total Yards,339,,,,,,
team,201611060ram,car,Fumbles-Lost,0-0,,,,,,
team,201611060ram,ram,Fumbles-Lost,1-0,,,,,,
team,201611060ram,car,Turnovers,0,,,,,,
team,201611060ram,ram,Turnovers,1,,,,,,
team,201611060ram,car,Penalties-Yards,5-35,,,,,,
team,201611060ram,ram,Penalties-Yards,10-109,,,,,,
team,201611060ram,car,Third Down Conv.,6-15,,,,,,
team,201611060ram,ram,Third Down Conv.,4-14,,,,,,
team,201611060ram,car,Fourth Down Conv.,0-0,,,,,,
team,201611060ram,ram,Fourth Down Conv.,2-3,,,,,,
team,201611060ram,car,Time of Possession,34:12,,,,,,
team,201611060ram,ram,Time of Possession,25:48,,,,,,
player,201611060ram,car,NewtCa00,pass_cmp,20,,,,,
player,201611060ram,car,NewtCa00,pass_att,32,,,,,
player,201611060ram,car,NewtCa00,pass_yds,225,,,,,
player,201611060ram,car,NewtCa00,pass_td,1,,,,,
player,201611060ram,car,NewtCa00,pass_int,0,,,,,
player,201611060ram,car,NewtCa00,pass_sacked,5,,,,,
player,201611060ram,car,NewtCa00,pass_sacked_yds,40,,,,,
player,201611060ram,car,NewtCa00,pass_long,28,,,,,
player,201611060ram,car,NewtCa00,pass_rating,93.9,,,,,
player,201611060ram,car,NewtCa00,rush_att,7,,,,,
player,201611060ram,car,NewtCa00,rush_yds,16,,,,,
player,201611060ram,car,NewtCa00,rush_td,0,,,,,
player,201611060ram,car,NewtCa00,rush_long,6,,,,,
player,201611060ram,car,NewtCa00,targets,0,,,,,
player,201611060ram,car,NewtCa00,rec,0,,,,,
player,201611060ram,car,NewtCa00,rec_yds,0,,,,,
player,201611060ram,car,NewtCa00,rec_td,0,,,,,
player,201611060ram,car,NewtCa00,rec_long,0,,,,,
player,201611060ram,car,NewtCa00,fumbles,0,,,,,
player,201611060ram,car,NewtCa00,fumbles_lost,0,,,,,
player,201611060ram,car,StewJo00,pass_cmp,0,,,,,
player,201611060ram,car,StewJo00,pass_att,0,,,,,
player,201611060ram,car,StewJo00,pass_yds,0,,,,,
player,201611060ram,car,StewJo00,pass_td,0,,,,,
player,201611060ram,car,StewJo00,pass_int,0,,,,,
player,201611060ram,car,StewJo00,pass_sacked,0,,,,,
player,201611060ram,car,StewJo00,pass_sacked_yds,0,,,,,
player,201611060ram,car,StewJo00,pass_long,0,,,,,
player,201611060ram,car,StewJo00,pass_rating,,,,,,
player,201611060ram,car,StewJo00,rush_att,15,,,,,
player,201611060ram,car,StewJo00,rush_yds,42,,,,,
player,201611060ram,car,StewJo00,rush_td,0,,,,,
player,201611060ram,car,StewJo00,rush_long,17,,,,,
player,201611060ram,car,StewJo00,targets,0,,,,,
player,201611060ram,car,StewJo00,rec,0,,,,,
player,201611060ram,car,StewJo00,rec_yds,0,,,,,
player,201611060ram,car,StewJo00,rec_td,0,,,,,
player,201611060ram,car,StewJo00,rec_long,0,,,,,
player,201611060ram,car,StewJo00,fumbles,0,,,,,
player,201611060ram,car,StewJo00,fumbles_lost,0,,,,,
player,201611060ram,car,TolbMi00,pass_cmp,0,,,,,
player,201611060ram,car,TolbMi00,pass_att,0,,,,,
player,201611060ram,car,TolbMi00,pass_yds,0,,,,,
player,201611060ram,car,TolbMi00,pass_td,0,,,,,
player,201611060ram,car,TolbMi00,pass_int,0,,,,,
player,201611060ram,car,TolbMi00,pass_sacked,0,,,,,
player,201611060ram,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201611060ram,car,TolbMi00,pass_long,0,,,,,
player,201611060ram,car,TolbMi00,pass_rating,,,,,,
player,201611060ram,car,TolbMi00,rush_att,2,,,,,
player,201611060ram,car,TolbMi00,rush_yds,1,,,,,
player,201611060ram,car,TolbMi00,rush_td,0,,,,,
player,201611060ram,car,TolbMi00,rush_long,2,,,,,
player,201611060ram,car,TolbMi00,targets,0,,,,,
player,201611060ram,car,TolbMi00,rec,0,,,,,
player,201611060ram,car,TolbMi00,rec_yds,0,,,,,
player,201611060ram,car,TolbMi00,rec_td,0,,,,,
player,201611060ram,car,TolbMi00,rec_long,0,,,,,
player,201611060ram,car,TolbMi00,fumbles,0,,,,,
player,201611060ram,car,TolbMi00,fumbles_lost,0,,,,,
player,201611060ram,car,BenjKe00,pass_cmp,0,,,,,
player,201611060ram,car,BenjKe00,pass_att,0,,,,,
player,201611060ram,car,BenjKe00,pass_yds,0,,,,,
player,201611060ram,car,BenjKe00,pass_td,0,,,,,
player,201611060ram,car,BenjKe00,pass_int,0,,,,,
player,201611060ram,car,BenjKe00,pass_sacked,0,,,,,
player,201611060ram,car,BenjKe00,pass_sacked_yds,0,,,,,
player,201611060ram,car,BenjKe00,pass_long,0,,,,,
player,201611060ram,car,BenjKe00,pass_rating,,,,,,
player,201611060ram,car,BenjKe00,rush_att,0,,,,,
player,201611060ram,car,BenjKe00,rush_yds,0,,,,,
player,201611060ram,car,BenjKe00,rush_td,0,,,,,
player,201611060ram,car,BenjKe00,rush_long,0,,,,,
player,201611060ram,car,BenjKe00,targets,7,,,,,
player,201611060ram,car,BenjKe00,rec,5,,,,,
player,201611060ram,car,BenjKe00,rec_yds,76,,,,,
player,201611060ram,car,BenjKe00,rec_td,0,,,,,
player,201611060ram,car,BenjKe00,rec_long,24,,,,,
player,201611060ram,car,BenjKe00,fumbles,0,,,,,
player,201611060ram,car,BenjKe00,fumbles_lost,0,,,,,
player,201611060ram,car,OlseGr00,pass_cmp,0,,,,,
player,201611060ram,car,OlseGr00,pass_att,0,,,,,
player,201611060ram,car,OlseGr00,pass_yds,0,,,,,
player,201611060ram,car,OlseGr00,pass_td,0,,,,,
player,201611060ram,car,OlseGr00,pass_int,0,,,,,
player,201611060ram,car,OlseGr00,pass_sacked,0,,,,,
player,201611060ram,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201611060ram,car,OlseGr00,pass_long,0,,,,,
player,201611060ram,car,OlseGr00,pass_rating,,,,,,
player,201611060ram,car,OlseGr00,rush_att,0,,,,,
player,201611060ram,car,OlseGr00,rush_yds,0,,,,,
player,201611060ram,car,OlseGr00,rush_td,0,,,,,
player,201611060ram,car,OlseGr00,rush_long,0,,,,,
player,201611060ram,car,OlseGr00,targets,7,,,,,
player,201611060ram,car,OlseGr00,rec,5,,,,,
player,201611060ram,car,OlseGr00,rec_yds,52,,,,,
player,201611060ram,car,OlseGr00,rec_td,1,,,,,
player,201611060ram,car,OlseGr00,rec_long,18,,,,,
player,201611060ram,car,OlseGr00,fumbles,0,,,,,
player,201611060ram,car,OlseGr00,fumbles_lost,0,,,,,
player,201611060ram,car,GinnTe00,pass_cmp,0,,,,,
player,201611060ram,car,GinnTe00,pass_att,0,,,,,
player,201611060ram,car,GinnTe00,pass_yds,0,,,,,
player,201611060ram,car,GinnTe00,pass_td,0,,,,,
player,201611060ram,car,GinnTe00,pass_int,0,,,,,
player,201611060ram,car,GinnTe00,pass_sacked,0,,,,,
player,201611060ram,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201611060ram,car,GinnTe00,pass_long,0,,,,,
player,201611060ram,car,GinnTe00,pass_rating,,,,,,
player,201611060ram,car,GinnTe00,rush_att,0,,,,,
player,201611060ram,car,GinnTe00,rush_yds,0,,,,,
player,201611060ram,car,GinnTe00,rush_td,0,,,,,
player,201611060ram,car,GinnTe00,rush_long,0,,,,,
player,201611060ram,car,GinnTe00,targets,7,,,,,
player,201611060ram,car,GinnTe00,rec,5,,,,,
player,201611060ram,car,GinnTe00,rec_yds,40,,,,,
player,201611060ram,car,GinnTe00,rec_td,0,,,,,
player,201611060ram,car,GinnTe00,rec_long,12,,,,,
player,201611060ram,car,GinnTe00,fumbles,0,,,,,
player,201611060ram,car,GinnTe00,fumbles_lost,0,,,,,
player,201611060ram,car,FuncDe00,pass_cmp,0,,,,,
player,201611060ram,car,FuncDe00,pass_att,0,,,,,
player,201611060ram,car,FuncDe00,pass_yds,0,,,,,
player,201611060ram,car,FuncDe00,pass_td,0,,,,,
player,201611060ram,car,FuncDe00,pass_int,0,,,,,
player,201611060ram,car,FuncDe00,pass_sacked,0,,,,,
player,201611060ram,car,FuncDe00,pass_sacked_yds,0,,,,,
player,201611060ram,car,FuncDe00,pass_long,0,,,,,
player,201611060ram,car,FuncDe00,pass_rating,,,,,,
player,201611060ram,car,FuncDe00,rush_att,0,,,,,
player,201611060ram,car,FuncDe00,rush_yds,0,,,,,
player,201611060ram,car,FuncDe00,rush_td,0,,,,,
player,201611060ram,car,FuncDe00,rush_long,0,,,,,
player,201611060ram,car,FuncDe00,targets,5,,,,,
player,201611060ram,car,FuncDe00,rec,1,,,,,
player,201611060ram,car,FuncDe00,rec_yds,28,,,,,
player,201611060ram,car,FuncDe00,rec_td,0,,,,,
player,201611060ram,car,FuncDe00,rec_long,28,,,,,
player,201611060ram,car,FuncDe00,fumbles,0,,,,,
player,201611060ram,car,FuncDe00,fumbles_lost,0,,,,,
player,201611060ram,car,DickEd00,pass_cmp,0,,,,,
player,201611060ram,car,DickEd00,pass_att,0,,,,,
player,201611060ram,car,DickEd00,pass_yds,0,,,,,
player,201611060ram,car,DickEd00,pass_td,0,,,,,
player,201611060ram,car,DickEd00,pass_int,0,,,,,
player,201611060ram,car,DickEd00,pass_sacked,0,,,,,
player,201611060ram,car,DickEd00,pass_sacked_yds,0,,,,,
player,201611060ram,car,DickEd00,pass_long,0,,,,,
player,201611060ram,car,DickEd00,pass_rating,,,,,,
