game,2016,4,20161002,201610020was,cle,"Cleveland Browns",20,was,"Washington Redskins",31
team,201610020was,cle,First Downs,26,,,,,,
team,201610020was,was,First Downs,24,,,,,,
team,201610020was,cle,Rush-Yds-TDs,28-163-1,,,,,,
team,201610020was,was,Rush-Yds-TDs,26-145-1,,,,,,
team,201610020was,cle,Cmp-Att-Yd-TD-INT,28-40-223-1-1,,,,,,
team,201610020was,was,Cmp-Att-Yd-TD-INT,21-27-183-3-1,,,,,,
team,201610020was,cle,Sacked-Yards,1-6,,,,,,
team,201610020was,was,Sacked-Yards,3-27,,,,,,
team,201610020was,cle,Net Pass Yards,217,,,,,,
team,201610020was,was,Net Pass Yards,156,,,,,,
team,201610020was,cle,Total Yards,380,,,,,,
team,201610020was,was,Total Yards,301,,,,,,
team,201610020was,cle,Fumbles-Lost,3-2,,,,,,
team,201610020was,was,Fumbles-Lost,1-0,,,,,,
team,201610020was,cle,Turnovers,3,,,,,,
team,201610020was,was,Turnovers,1,,,,,,
team,201610020was,cle,Penalties-Yards,7-101,,,,,,
team,201610020was,was,Penalties-Yards,9-75,,,,,,
team,201610020was,cle,Third Down Conv.,8-12,,,,,,
team,201610020was,was,Third Down Conv.,4-8,,,,,,
team,201610020was,cle,Fourth Down Conv.,0-1,,,,,,
team,201610020was,was,Fourth Down Conv.,0-0,,,,,,
team,201610020was,cle,Time of Possession,28:57,,,,,,
team,201610020was,was,Time of Possession,31:03,,,,,,
player,201610020was,cle,KessCo00,pass_cmp,28,,,,,
player,201610020was,cle,KessCo00,pass_att,40,,,,,
player,201610020was,cle,KessCo00,pass_yds,223,,,,,
player,201610020was,cle,KessCo00,pass_td,1,,,,,
player,201610020was,cle,KessCo00,pass_int,1,,,,,
player,201610020was,cle,KessCo00,pass_sacked,1,,,,,
player,201610020was,cle,KessCo00,pass_sacked_yds,6,,,,,
player,201610020was,cle,KessCo00,pass_long,14,,,,,
player,201610020was,cle,KessCo00,pass_rating,81.6,,,,,
player,201610020was,cle,KessCo00,rush_att,2,,,,,
player,201610020was,cle,KessCo00,rush_yds,2,,,,,
player,201610020was,cle,KessCo00,rush_td,0,,,,,
player,201610020was,cle,KessCo00,rush_long,2,,,,,
player,201610020was,cle,KessCo00,targets,0,,,,,
player,201610020was,cle,KessCo00,rec,0,,,,,
player,201610020was,cle,KessCo00,rec_yds,0,,,,,
player,201610020was,cle,KessCo00,rec_td,0,,,,,
player,201610020was,cle,KessCo00,rec_long,0,,,,,
player,201610020was,cle,KessCo00,fumbles,1,,,,,
player,201610020was,cle,KessCo00,fumbles_lost,0,,,,,
player,201610020was,cle,CrowIs00,pass_cmp,0,,,,,
player,201610020was,cle,CrowIs00,pass_att,0,,,,,
player,201610020was,cle,CrowIs00,pass_yds,0,,,,,
player,201610020was,cle,CrowIs00,pass_td,0,,,,,
player,201610020was,cle,CrowIs00,pass_int,0,,,,,
player,201610020was,cle,CrowIs00,pass_sacked,0,,,,,
player,201610020was,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201610020was,cle,CrowIs00,pass_long,0,,,,,
player,201610020was,cle,CrowIs00,pass_rating,,,,,,
player,201610020was,cle,CrowIs00,rush_att,16,,,,,
player,201610020was,cle,CrowIs00,rush_yds,120,,,,,
player,201610020was,cle,CrowIs00,rush_td,1,,,,,
player,201610020was,cle,CrowIs00,rush_long,19,,,,,
player,201610020was,cle,CrowIs00,targets,4,,,,,
player,201610020was,cle,CrowIs00,rec,3,,,,,
player,201610020was,cle,CrowIs00,rec_yds,22,,,,,
player,201610020was,cle,CrowIs00,rec_td,0,,,,,
player,201610020was,cle,CrowIs00,rec_long,14,,,,,
player,201610020was,cle,CrowIs00,fumbles,0,,,,,
player,201610020was,cle,CrowIs00,fumbles_lost,0,,,,,
player,201610020was,cle,JohnDu00,pass_cmp,0,,,,,
player,201610020was,cle,JohnDu00,pass_att,0,,,,,
player,201610020was,cle,JohnDu00,pass_yds,0,,,,,
player,201610020was,cle,JohnDu00,pass_td,0,,,,,
player,201610020was,cle,JohnDu00,pass_int,0,,,,,
player,201610020was,cle,JohnDu00,pass_sacked,0,,,,,
player,201610020was,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201610020was,cle,JohnDu00,pass_long,0,,,,,
player,201610020was,cle,JohnDu00,pass_rating,,,,,,
player,201610020was,cle,JohnDu00,rush_att,8,,,,,
player,201610020was,cle,JohnDu00,rush_yds,45,,,,,
player,201610020was,cle,JohnDu00,rush_td,0,,,,,
player,201610020was,cle,JohnDu00,rush_long,13,,,,,
player,201610020was,cle,JohnDu00,targets,8,,,,,
player,201610020was,cle,JohnDu00,rec,6,,,,,
player,201610020was,cle,JohnDu00,rec_yds,31,,,,,
player,201610020was,cle,JohnDu00,rec_td,0,,,,,
player,201610020was,cle,JohnDu00,rec_long,12,,,,,
player,201610020was,cle,JohnDu00,fumbles,1,,,,,
player,201610020was,cle,JohnDu00,fumbles_lost,1,,,,,
player,201610020was,cle,JohnMa06,pass_cmp,0,,,,,
player,201610020was,cle,JohnMa06,pass_att,0,,,,,
player,201610020was,cle,JohnMa06,pass_yds,0,,,,,
player,201610020was,cle,JohnMa06,pass_td,0,,,,,
player,201610020was,cle,JohnMa06,pass_int,0,,,,,
player,201610020was,cle,JohnMa06,pass_sacked,0,,,,,
player,201610020was,cle,JohnMa06,pass_sacked_yds,0,,,,,
player,201610020was,cle,JohnMa06,pass_long,0,,,,,
player,201610020was,cle,JohnMa06,pass_rating,,,,,,
player,201610020was,cle,JohnMa06,rush_att,1,,,,,
player,201610020was,cle,JohnMa06,rush_yds,2,,,,,
player,201610020was,cle,JohnMa06,rush_td,0,,,,,
player,201610020was,cle,JohnMa06,rush_long,2,,,,,
player,201610020was,cle,JohnMa06,targets,1,,,,,
player,201610020was,cle,JohnMa06,rec,1,,,,,
player,201610020was,cle,JohnMa06,rec_yds,11,,,,,
player,201610020was,cle,JohnMa06,rec_td,0,,,,,
player,201610020was,cle,JohnMa06,rec_long,11,,,,,
player,201610020was,cle,JohnMa06,fumbles,1,,,,,
player,201610020was,cle,JohnMa06,fumbles_lost,1,,,,,
player,201610020was,cle,BarnGa01,pass_cmp,0,,,,,
player,201610020was,cle,BarnGa01,pass_att,0,,,,,
player,201610020was,cle,BarnGa01,pass_yds,0,,,,,
player,201610020was,cle,BarnGa01,pass_td,0,,,,,
player,201610020was,cle,BarnGa01,pass_int,0,,,,,
player,201610020was,cle,BarnGa01,pass_sacked,0,,,,,
player,201610020was,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201610020was,cle,BarnGa01,pass_long,0,,,,,
player,201610020was,cle,BarnGa01,pass_rating,,,,,,
player,201610020was,cle,BarnGa01,rush_att,0,,,,,
player,201610020was,cle,BarnGa01,rush_yds,0,,,,,
player,201610020was,cle,BarnGa01,rush_td,0,,,,,
player,201610020was,cle,BarnGa01,rush_long,0,,,,,
player,201610020was,cle,BarnGa01,targets,7,,,,,
player,201610020was,cle,BarnGa01,rec,7,,,,,
player,201610020was,cle,BarnGa01,rec_yds,57,,,,,
player,201610020was,cle,BarnGa01,rec_td,0,,,,,
player,201610020was,cle,BarnGa01,rec_long,13,,,,,
player,201610020was,cle,BarnGa01,fumbles,0,,,,,
player,201610020was,cle,BarnGa01,fumbles_lost,0,,,,,
player,201610020was,cle,HawkAn00,pass_cmp,0,,,,,
player,201610020was,cle,HawkAn00,pass_att,0,,,,,
player,201610020was,cle,HawkAn00,pass_yds,0,,,,,
player,201610020was,cle,HawkAn00,pass_td,0,,,,,
player,201610020was,cle,HawkAn00,pass_int,0,,,,,
player,201610020was,cle,HawkAn00,pass_sacked,0,,,,,
player,201610020was,cle,HawkAn00,pass_sacked_yds,0,,,,,
player,201610020was,cle,HawkAn00,pass_long,0,,,,,
