game,2016,15,20161218,201612180kan,oti,"Tennessee Titans",19,kan,"Kansas City Chiefs",17
team,201612180kan,oti,First Downs,21,,,,,,
team,201612180kan,kan,First Downs,13,,,,,,
team,201612180kan,oti,Rush-Yds-TDs,29-148-2,,,,,,
team,201612180kan,kan,Rush-Yds-TDs,28-157-2,,,,,,
team,201612180kan,oti,Cmp-Att-Yd-TD-INT,19-33-241-0-1,,,,,,
team,201612180kan,kan,Cmp-Att-Yd-TD-INT,15-28-163-0-1,,,,,,
team,201612180kan,oti,Sacked-Yards,1-0,,,,,,
team,201612180kan,kan,Sacked-Yards,1-4,,,,,,
team,201612180kan,oti,Net Pass Yards,241,,,,,,
team,201612180kan,kan,Net Pass Yards,159,,,,,,
team,201612180kan,oti,Total Yards,389,,,,,,
team,201612180kan,kan,Total Yards,316,,,,,,
team,201612180kan,oti,Fumbles-Lost,2-2,,,,,,
team,201612180kan,kan,Fumbles-Lost,2-0,,,,,,
team,201612180kan,oti,Turnovers,3,,,,,,
team,201612180kan,kan,Turnovers,1,,,,,,
team,201612180kan,oti,Penalties-Yards,2-25,,,,,,
team,201612180kan,kan,Penalties-Yards,5-40,,,,,,
team,201612180kan,oti,Third Down Conv.,6-14,,,,,,
team,201612180kan,kan,Third Down Conv.,4-14,,,,,,
team,201612180kan,oti,Fourth Down Conv.,1-1,,,,,,
team,201612180kan,kan,Fourth Down Conv.,1-2,,,,,,
team,201612180kan,oti,Time of Possession,30:35,,,,,,
team,201612180kan,kan,Time of Possession,29:25,,,,,,
player,201612180kan,oti,MariMa01,pass_cmp,19,,,,,
player,201612180kan,oti,MariMa01,pass_att,33,,,,,
player,201612180kan,oti,MariMa01,pass_yds,241,,,,,
player,201612180kan,oti,MariMa01,pass_td,0,,,,,
player,201612180kan,oti,MariMa01,pass_int,1,,,,,
player,201612180kan,oti,MariMa01,pass_sacked,1,,,,,
player,201612180kan,oti,MariMa01,pass_sacked_yds,0,,,,,
player,201612180kan,oti,MariMa01,pass_long,46,,,,,
player,201612180kan,oti,MariMa01,pass_rating,67.9,,,,,
player,201612180kan,oti,MariMa01,rush_att,1,,,,,
player,201612180kan,oti,MariMa01,rush_yds,-2,,,,,
player,201612180kan,oti,MariMa01,rush_td,0,,,,,
player,201612180kan,oti,MariMa01,rush_long,-2,,,,,
player,201612180kan,oti,MariMa01,targets,0,,,,,
player,201612180kan,oti,MariMa01,rec,0,,,,,
player,201612180kan,oti,MariMa01,rec_yds,0,,,,,
player,201612180kan,oti,MariMa01,rec_td,0,,,,,
player,201612180kan,oti,MariMa01,rec_long,0,,,,,
player,201612180kan,oti,MariMa01,fumbles,1,,,,,
player,201612180kan,oti,MariMa01,fumbles_lost,1,,,,,
