game,2016,15,20161218,201612180nyg,det,"Detroit Lions",6,nyg,"New York Giants",17
team,201612180nyg,det,First Downs,16,,,,,,
team,201612180nyg,nyg,First Downs,17,,,,,,
team,201612180nyg,det,Rush-Yds-TDs,19-56-0,,,,,,
team,201612180nyg,nyg,Rush-Yds-TDs,32-114-0,,,,,,
team,201612180nyg,det,Cmp-Att-Yd-TD-INT,24-39-273-0-1,,,,,,
team,201612180nyg,nyg,Cmp-Att-Yd-TD-INT,20-28-201-2-0,,,,,,
team,201612180nyg,det,Sacked-Yards,1-5,,,,,,
team,201612180nyg,nyg,Sacked-Yards,2-15,,,,,,
team,201612180nyg,det,Net Pass Yards,268,,,,,,
team,201612180nyg,nyg,Net Pass Yards,186,,,,,,
team,201612180nyg,det,Total Yards,324,,,,,,
team,201612180nyg,nyg,Total Yards,300,,,,,,
team,201612180nyg,det,Fumbles-Lost,2-1,,,,,,
team,201612180nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201612180nyg,det,Turnovers,2,,,,,,
team,201612180nyg,nyg,Turnovers,0,,,,,,
team,201612180nyg,det,Penalties-Yards,2-15,,,,,,
team,201612180nyg,nyg,Penalties-Yards,5-46,,,,,,
team,201612180nyg,det,Third Down Conv.,5-14,,,,,,
team,201612180nyg,nyg,Third Down Conv.,7-15,,,,,,
team,201612180nyg,det,Fourth Down Conv.,0-0,,,,,,
team,201612180nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201612180nyg,det,Time of Possession,29:44,,,,,,
team,201612180nyg,nyg,Time of Possession,30:16,,,,,,
player,201612180nyg,det,StafMa00,pass_cmp,24,,,,,
player,201612180nyg,det,StafMa00,pass_att,39,,,,,
player,201612180nyg,det,StafMa00,pass_yds,273,,,,,
player,201612180nyg,det,StafMa00,pass_td,0,,,,,
player,201612180nyg,det,StafMa00,pass_int,1,,,,,
player,201612180nyg,det,StafMa00,pass_sacked,1,,,,,
player,201612180nyg,det,StafMa00,pass_sacked_yds,5,,,,,
player,201612180nyg,det,StafMa00,pass_long,67,,,,,
player,201612180nyg,det,StafMa00,pass_rating,71.8,,,,,
player,201612180nyg,det,StafMa00,rush_att,2,,,,,
player,201612180nyg,det,StafMa00,rush_yds,13,,,,,
player,201612180nyg,det,StafMa00,rush_td,0,,,,,
player,201612180nyg,det,StafMa00,rush_long,8,,,,,
player,201612180nyg,det,StafMa00,targets,0,,,,,
player,201612180nyg,det,StafMa00,rec,0,,,,,
player,201612180nyg,det,StafMa00,rec_yds,0,,,,,
player,201612180nyg,det,StafMa00,rec_td,0,,,,,
player,201612180nyg,det,StafMa00,rec_long,0,,,,,
player,201612180nyg,det,StafMa00,fumbles,0,,,,,
