game,2016,6,20161016,201610160oti,cle,"Cleveland Browns",26,oti,"Tennessee Titans",28
team,201610160oti,cle,First Downs,16,,,,,,
team,201610160oti,oti,First Downs,19,,,,,,
team,201610160oti,cle,Rush-Yds-TDs,15-40-1,,,,,,
team,201610160oti,oti,Rush-Yds-TDs,31-137-1,,,,,,
team,201610160oti,cle,Cmp-Att-Yd-TD-INT,27-42-337-2-0,,,,,,
team,201610160oti,oti,Cmp-Att-Yd-TD-INT,17-24-284-3-1,,,,,,
team,201610160oti,cle,Sacked-Yards,6-36,,,,,,
team,201610160oti,oti,Sacked-Yards,2-14,,,,,,
team,201610160oti,cle,Net Pass Yards,301,,,,,,
team,201610160oti,oti,Net Pass Yards,270,,,,,,
team,201610160oti,cle,Total Yards,341,,,,,,
team,201610160oti,oti,Total Yards,407,,,,,,
team,201610160oti,cle,Fumbles-Lost,0-0,,,,,,
team,201610160oti,oti,Fumbles-Lost,0-0,,,,,,
team,201610160oti,cle,Turnovers,0,,,,,,
team,201610160oti,oti,Turnovers,1,,,,,,
team,201610160oti,cle,Penalties-Yards,11-69,,,,,,
team,201610160oti,oti,Penalties-Yards,7-96,,,,,,
team,201610160oti,cle,Third Down Conv.,3-14,,,,,,
team,201610160oti,oti,Third Down Conv.,7-13,,,,,,
team,201610160oti,cle,Fourth Down Conv.,2-2,,,,,,
team,201610160oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201610160oti,cle,Time of Possession,28:59,,,,,,
team,201610160oti,oti,Time of Possession,31:01,,,,,,
player,201610160oti,cle,KessCo00,pass_cmp,26,,,,,
player,201610160oti,cle,KessCo00,pass_att,41,,,,,
player,201610160oti,cle,KessCo00,pass_yds,336,,,,,
player,201610160oti,cle,KessCo00,pass_td,2,,,,,
player,201610160oti,cle,KessCo00,pass_int,0,,,,,
player,201610160oti,cle,KessCo00,pass_sacked,6,,,,,
player,201610160oti,cle,KessCo00,pass_sacked_yds,36,,,,,
player,201610160oti,cle,KessCo00,pass_long,43,,,,,
player,201610160oti,cle,KessCo00,pass_rating,105.3,,,,,
player,201610160oti,cle,KessCo00,rush_att,1,,,,,
player,201610160oti,cle,KessCo00,rush_yds,3,,,,,
player,201610160oti,cle,KessCo00,rush_td,0,,,,,
player,201610160oti,cle,KessCo00,rush_long,3,,,,,
player,201610160oti,cle,KessCo00,targets,0,,,,,
player,201610160oti,cle,KessCo00,rec,0,,,,,
player,201610160oti,cle,KessCo00,rec_yds,0,,,,,
player,201610160oti,cle,KessCo00,rec_td,0,,,,,
player,201610160oti,cle,KessCo00,rec_long,0,,,,,
player,201610160oti,cle,KessCo00,fumbles,0,,,,,
player,201610160oti,cle,KessCo00,fumbles_lost,0,,,,,
player,201610160oti,cle,PryoTe00,pass_cmp,1,,,,,
player,201610160oti,cle,PryoTe00,pass_att,1,,,,,
player,201610160oti,cle,PryoTe00,pass_yds,1,,,,,
player,201610160oti,cle,PryoTe00,pass_td,0,,,,,
player,201610160oti,cle,PryoTe00,pass_int,0,,,,,
player,201610160oti,cle,PryoTe00,pass_sacked,0,,,,,
player,201610160oti,cle,PryoTe00,pass_sacked_yds,0,,,,,
player,201610160oti,cle,PryoTe00,pass_long,1,,,,,
player,201610160oti,cle,PryoTe00,pass_rating,79.2,,,,,
player,201610160oti,cle,PryoTe00,rush_att,1,,,,,
player,201610160oti,cle,PryoTe00,rush_yds,3,,,,,
player,201610160oti,cle,PryoTe00,rush_td,0,,,,,
player,201610160oti,cle,PryoTe00,rush_long,3,,,,,
player,201610160oti,cle,PryoTe00,targets,13,,,,,
player,201610160oti,cle,PryoTe00,rec,9,,,,,
player,201610160oti,cle,PryoTe00,rec_yds,75,,,,,
