game,2016,15,20161218,201612180den,nwe,"New England Patriots",16,den,"Denver Broncos",3
team,201612180den,nwe,First Downs,20,,,,,,
team,201612180den,den,First Downs,15,,,,,,
team,201612180den,nwe,Rush-Yds-TDs,39-136-1,,,,,,
team,201612180den,den,Rush-Yds-TDs,17-58-0,,,,,,
team,201612180den,nwe,Cmp-Att-Yd-TD-INT,16-32-188-0-0,,,,,,
team,201612180den,den,Cmp-Att-Yd-TD-INT,25-40-282-0-1,,,,,,
team,201612180den,nwe,Sacked-Yards,2-11,,,,,,
team,201612180den,den,Sacked-Yards,4-31,,,,,,
team,201612180den,nwe,Net Pass Yards,177,,,,,,
team,201612180den,den,Net Pass Yards,251,,,,,,
team,201612180den,nwe,Total Yards,313,,,,,,
team,201612180den,den,Total Yards,309,,,,,,
team,201612180den,nwe,Fumbles-Lost,3-0,,,,,,
team,201612180den,den,Fumbles-Lost,2-2,,,,,,
team,201612180den,nwe,Turnovers,0,,,,,,
team,201612180den,den,Turnovers,3,,,,,,
team,201612180den,nwe,Penalties-Yards,4-30,,,,,,
team,201612180den,den,Penalties-Yards,5-49,,,,,,
team,201612180den,nwe,Third Down Conv.,5-17,,,,,,
team,201612180den,den,Third Down Conv.,2-12,,,,,,
team,201612180den,nwe,Fourth Down Conv.,0-1,,,,,,
team,201612180den,den,Fourth Down Conv.,0-1,,,,,,
team,201612180den,nwe,Time of Possession,33:36,,,,,,
team,201612180den,den,Time of Possession,26:24,,,,,,
player,201612180den,nwe,BradTo00,pass_cmp,16,,,,,
player,201612180den,nwe,BradTo00,pass_att,32,,,,,
player,201612180den,nwe,BradTo00,pass_yds,188,,,,,
player,201612180den,nwe,BradTo00,pass_td,0,,,,,
player,201612180den,nwe,BradTo00,pass_int,0,,,,,
player,201612180den,nwe,BradTo00,pass_sacked,2,,,,,
player,201612180den,nwe,BradTo00,pass_sacked_yds,11,,,,,
player,201612180den,nwe,BradTo00,pass_long,34,,,,,
player,201612180den,nwe,BradTo00,pass_rating,68.2,,,,,
player,201612180den,nwe,BradTo00,rush_att,1,,,,,
player,201612180den,nwe,BradTo00,rush_yds,-1,,,,,
player,201612180den,nwe,BradTo00,rush_td,0,,,,,
player,201612180den,nwe,BradTo00,rush_long,-1,,,,,
player,201612180den,nwe,BradTo00,targets,0,,,,,
player,201612180den,nwe,BradTo00,rec,0,,,,,
player,201612180den,nwe,BradTo00,rec_yds,0,,,,,
player,201612180den,nwe,BradTo00,rec_td,0,,,,,
player,201612180den,nwe,BradTo00,rec_long,0,,,,,
player,201612180den,nwe,BradTo00,fumbles,2,,,,,
player,201612180den,nwe,BradTo00,fumbles_lost,0,,,,,
player,201612180den,nwe,LewiDi00,pass_cmp,0,,,,,
player,201612180den,nwe,LewiDi00,pass_att,0,,,,,
player,201612180den,nwe,LewiDi00,pass_yds,0,,,,,
player,201612180den,nwe,LewiDi00,pass_td,0,,,,,
player,201612180den,nwe,LewiDi00,pass_int,0,,,,,
player,201612180den,nwe,LewiDi00,pass_sacked,0,,,,,
player,201612180den,nwe,LewiDi00,pass_sacked_yds,0,,,,,
player,201612180den,nwe,LewiDi00,pass_long,0,,,,,
player,201612180den,nwe,LewiDi00,pass_rating,,,,,,
player,201612180den,nwe,LewiDi00,rush_att,18,,,,,
player,201612180den,nwe,LewiDi00,rush_yds,95,,,,,
player,201612180den,nwe,LewiDi00,rush_td,0,,,,,
player,201612180den,nwe,LewiDi00,rush_long,14,,,,,
player,201612180den,nwe,LewiDi00,targets,3,,,,,
player,201612180den,nwe,LewiDi00,rec,2,,,,,
player,201612180den,nwe,LewiDi00,rec_yds,9,,,,,
player,201612180den,nwe,LewiDi00,rec_td,0,,,,,
player,201612180den,nwe,LewiDi00,rec_long,5,,,,,
player,201612180den,nwe,LewiDi00,fumbles,1,,,,,
player,201612180den,nwe,LewiDi00,fumbles_lost,0,,,,,
player,201612180den,nwe,BlouLe00,pass_cmp,0,,,,,
player,201612180den,nwe,BlouLe00,pass_att,0,,,,,
player,201612180den,nwe,BlouLe00,pass_yds,0,,,,,
player,201612180den,nwe,BlouLe00,pass_td,0,,,,,
player,201612180den,nwe,BlouLe00,pass_int,0,,,,,
player,201612180den,nwe,BlouLe00,pass_sacked,0,,,,,
player,201612180den,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201612180den,nwe,BlouLe00,pass_long,0,,,,,
player,201612180den,nwe,BlouLe00,pass_rating,,,,,,
player,201612180den,nwe,BlouLe00,rush_att,17,,,,,
player,201612180den,nwe,BlouLe00,rush_yds,31,,,,,
player,201612180den,nwe,BlouLe00,rush_td,1,,,,,
player,201612180den,nwe,BlouLe00,rush_long,5,,,,,
player,201612180den,nwe,BlouLe00,targets,0,,,,,
player,201612180den,nwe,BlouLe00,rec,0,,,,,
player,201612180den,nwe,BlouLe00,rec_yds,0,,,,,
player,201612180den,nwe,BlouLe00,rec_td,0,,,,,
player,201612180den,nwe,BlouLe00,rec_long,0,,,,,
player,201612180den,nwe,BlouLe00,fumbles,0,,,,,
player,201612180den,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201612180den,nwe,WhitJa02,pass_cmp,0,,,,,
player,201612180den,nwe,WhitJa02,pass_att,0,,,,,
player,201612180den,nwe,WhitJa02,pass_yds,0,,,,,
player,201612180den,nwe,WhitJa02,pass_td,0,,,,,
player,201612180den,nwe,WhitJa02,pass_int,0,,,,,
player,201612180den,nwe,WhitJa02,pass_sacked,0,,,,,
player,201612180den,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201612180den,nwe,WhitJa02,pass_long,0,,,,,
player,201612180den,nwe,WhitJa02,pass_rating,,,,,,
player,201612180den,nwe,WhitJa02,rush_att,3,,,,,
player,201612180den,nwe,WhitJa02,rush_yds,11,,,,,
player,201612180den,nwe,WhitJa02,rush_td,0,,,,,
player,201612180den,nwe,WhitJa02,rush_long,8,,,,,
player,201612180den,nwe,WhitJa02,targets,8,,,,,
player,201612180den,nwe,WhitJa02,rec,3,,,,,
player,201612180den,nwe,WhitJa02,rec_yds,24,,,,,
player,201612180den,nwe,WhitJa02,rec_td,0,,,,,
player,201612180den,nwe,WhitJa02,rec_long,16,,,,,
player,201612180den,nwe,WhitJa02,fumbles,0,,,,,
player,201612180den,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201612180den,nwe,EdelJu00,pass_cmp,0,,,,,
player,201612180den,nwe,EdelJu00,pass_att,0,,,,,
player,201612180den,nwe,EdelJu00,pass_yds,0,,,,,
player,201612180den,nwe,EdelJu00,pass_td,0,,,,,
player,201612180den,nwe,EdelJu00,pass_int,0,,,,,
player,201612180den,nwe,EdelJu00,pass_sacked,0,,,,,
player,201612180den,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201612180den,nwe,EdelJu00,pass_long,0,,,,,
player,201612180den,nwe,EdelJu00,pass_rating,,,,,,
player,201612180den,nwe,EdelJu00,rush_att,0,,,,,
player,201612180den,nwe,EdelJu00,rush_yds,0,,,,,
player,201612180den,nwe,EdelJu00,rush_td,0,,,,,
player,201612180den,nwe,EdelJu00,rush_long,0,,,,,
player,201612180den,nwe,EdelJu00,targets,12,,,,,
player,201612180den,nwe,EdelJu00,rec,6,,,,,
player,201612180den,nwe,EdelJu00,rec_yds,75,,,,,
player,201612180den,nwe,EdelJu00,rec_td,0,,,,,
player,201612180den,nwe,EdelJu00,rec_long,17,,,,,
player,201612180den,nwe,EdelJu00,fumbles,0,,,,,
player,201612180den,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201612180den,nwe,BennMa00,pass_cmp,0,,,,,
player,201612180den,nwe,BennMa00,pass_att,0,,,,,
player,201612180den,nwe,BennMa00,pass_yds,0,,,,,
player,201612180den,nwe,BennMa00,pass_td,0,,,,,
player,201612180den,nwe,BennMa00,pass_int,0,,,,,
player,201612180den,nwe,BennMa00,pass_sacked,0,,,,,
player,201612180den,nwe,BennMa00,pass_sacked_yds,0,,,,,
player,201612180den,nwe,BennMa00,pass_long,0,,,,,
player,201612180den,nwe,BennMa00,pass_rating,,,,,,
player,201612180den,nwe,BennMa00,rush_att,0,,,,,
player,201612180den,nwe,BennMa00,rush_yds,0,,,,,
player,201612180den,nwe,BennMa00,rush_td,0,,,,,
player,201612180den,nwe,BennMa00,rush_long,0,,,,,
player,201612180den,nwe,BennMa00,targets,4,,,,,
player,201612180den,nwe,BennMa00,rec,2,,,,,
player,201612180den,nwe,BennMa00,rec_yds,35,,,,,
player,201612180den,nwe,BennMa00,rec_td,0,,,,,
player,201612180den,nwe,BennMa00,rec_long,34,,,,,
player,201612180den,nwe,BennMa00,fumbles,0,,,,,
player,201612180den,nwe,BennMa00,fumbles_lost,0,,,,,
player,201612180den,nwe,HogaCh00,pass_cmp,0,,,,,
player,201612180den,nwe,HogaCh00,pass_att,0,,,,,
player,201612180den,nwe,HogaCh00,pass_yds,0,,,,,
player,201612180den,nwe,HogaCh00,pass_td,0,,,,,
player,201612180den,nwe,HogaCh00,pass_int,0,,,,,
player,201612180den,nwe,HogaCh00,pass_sacked,0,,,,,
player,201612180den,nwe,HogaCh00,pass_sacked_yds,0,,,,,
player,201612180den,nwe,HogaCh00,pass_long,0,,,,,
player,201612180den,nwe,HogaCh00,pass_rating,,,,,,
player,201612180den,nwe,HogaCh00,rush_att,0,,,,,
player,201612180den,nwe,HogaCh00,rush_yds,0,,,,,
player,201612180den,nwe,HogaCh00,rush_td,0,,,,,
player,201612180den,nwe,HogaCh00,rush_long,0,,,,,
player,201612180den,nwe,HogaCh00,targets,2,,,,,
player,201612180den,nwe,HogaCh00,rec,1,,,,,
player,201612180den,nwe,HogaCh00,rec_yds,18,,,,,
player,201612180den,nwe,HogaCh00,rec_td,0,,,,,
player,201612180den,nwe,HogaCh00,rec_long,18,,,,,
player,201612180den,nwe,HogaCh00,fumbles,0,,,,,
player,201612180den,nwe,HogaCh00,fumbles_lost,0,,,,,
player,201612180den,nwe,MitcMa01,pass_cmp,0,,,,,
player,201612180den,nwe,MitcMa01,pass_att,0,,,,,
player,201612180den,nwe,MitcMa01,pass_yds,0,,,,,
player,201612180den,nwe,MitcMa01,pass_td,0,,,,,
player,201612180den,nwe,MitcMa01,pass_int,0,,,,,
player,201612180den,nwe,MitcMa01,pass_sacked,0,,,,,
player,201612180den,nwe,MitcMa01,pass_sacked_yds,0,,,,,
player,201612180den,nwe,MitcMa01,pass_long,0,,,,,
player,201612180den,nwe,MitcMa01,pass_rating,,,,,,
player,201612180den,nwe,MitcMa01,rush_att,0,,,,,
player,201612180den,nwe,MitcMa01,rush_yds,0,,,,,
player,201612180den,nwe,MitcMa01,rush_td,0,,,,,
player,201612180den,nwe,MitcMa01,rush_long,0,,,,,
player,201612180den,nwe,MitcMa01,targets,1,,,,,
player,201612180den,nwe,MitcMa01,rec,1,,,,,
player,201612180den,nwe,MitcMa01,rec_yds,14,,,,,
player,201612180den,nwe,MitcMa01,rec_td,0,,,,,
player,201612180den,nwe,MitcMa01,rec_long,14,,,,,
player,201612180den,nwe,MitcMa01,fumbles,0,,,,,
player,201612180den,nwe,MitcMa01,fumbles_lost,0,,,,,
player,201612180den,nwe,DeveJa00,pass_cmp,0,,,,,
player,201612180den,nwe,DeveJa00,pass_att,0,,,,,
player,201612180den,nwe,DeveJa00,pass_yds,0,,,,,
player,201612180den,nwe,DeveJa00,pass_td,0,,,,,
player,201612180den,nwe,DeveJa00,pass_int,0,,,,,
player,201612180den,nwe,DeveJa00,pass_sacked,0,,,,,
player,201612180den,nwe,DeveJa00,pass_sacked_yds,0,,,,,
player,201612180den,nwe,DeveJa00,pass_long,0,,,,,
player,201612180den,nwe,DeveJa00,pass_rating,,,,,,
player,201612180den,nwe,DeveJa00,rush_att,0,,,,,
player,201612180den,nwe,DeveJa00,rush_yds,0,,,,,
player,201612180den,nwe,DeveJa00,rush_td,0,,,,,
player,201612180den,nwe,DeveJa00,rush_long,0,,,,,
player,201612180den,nwe,DeveJa00,targets,1,,,,,
player,201612180den,nwe,DeveJa00,rec,1,,,,,
player,201612180den,nwe,DeveJa00,rec_yds,13,,,,,
player,201612180den,nwe,DeveJa00,rec_td,0,,,,,
player,201612180den,nwe,DeveJa00,rec_long,13,,,,,
player,201612180den,nwe,DeveJa00,fumbles,0,,,,,
player,201612180den,nwe,DeveJa00,fumbles_lost,0,,,,,
player,201612180den,den,SiemTr00,pass_cmp,25,,,,,
player,201612180den,den,SiemTr00,pass_att,40,,,,,
player,201612180den,den,SiemTr00,pass_yds,282,,,,,
player,201612180den,den,SiemTr00,pass_td,0,,,,,
player,201612180den,den,SiemTr00,pass_int,1,,,,,
player,201612180den,den,SiemTr00,pass_sacked,4,,,,,
