game,2016,12,20161128,201611280phi,gnb,"Green Bay Packers",27,phi,"Philadelphia Eagles",13
player,201611280phi,gnb,MontTy01,pass_sacked,0,,,,,
player,201611280phi,gnb,MontTy01,pass_sacked_yds,0,,,,,
player,201611280phi,gnb,MontTy01,pass_long,0,,,,,
player,201611280phi,gnb,MontTy01,pass_rating,,,,,,
player,201611280phi,gnb,MontTy01,rush_att,1,,,,,
player,201611280phi,gnb,MontTy01,rush_yds,2,,,,,
player,201611280phi,gnb,MontTy01,rush_td,0,,,,,
player,201611280phi,gnb,MontTy01,rush_long,2,,,,,
player,201611280phi,gnb,MontTy01,targets,2,,,,,
player,201611280phi,gnb,MontTy01,rec,2,,,,,
player,201611280phi,gnb,MontTy01,rec_yds,12,,,,,
player,201611280phi,gnb,MontTy01,rec_td,0,,,,,
player,201611280phi,gnb,MontTy01,rec_long,9,,,,,
player,201611280phi,gnb,MontTy01,fumbles,0,,,,,
player,201611280phi,gnb,MontTy01,fumbles_lost,0,,,,,
player,201611280phi,gnb,RipkAa00,pass_cmp,0,,,,,
player,201611280phi,gnb,RipkAa00,pass_att,0,,,,,
player,201611280phi,gnb,RipkAa00,pass_yds,0,,,,,
player,201611280phi,gnb,RipkAa00,pass_td,0,,,,,
player,201611280phi,gnb,RipkAa00,pass_int,0,,,,,
player,201611280phi,gnb,RipkAa00,pass_sacked,0,,,,,
player,201611280phi,gnb,RipkAa00,pass_sacked_yds,0,,,,,
player,201611280phi,gnb,RipkAa00,pass_long,0,,,,,
player,201611280phi,gnb,RipkAa00,pass_rating,,,,,,
player,201611280phi,gnb,RipkAa00,rush_att,3,,,,,
player,201611280phi,gnb,RipkAa00,rush_yds,1,,,,,
player,201611280phi,gnb,RipkAa00,rush_td,1,,,,,
player,201611280phi,gnb,RipkAa00,rush_long,2,,,,,
player,201611280phi,gnb,RipkAa00,targets,2,,,,,
player,201611280phi,gnb,RipkAa00,rec,2,,,,,
