game,2016,17,20170101,201701010min,chi,"Chicago Bears",10,min,"Minnesota Vikings",38
player,201701010min,chi,LangJe00,pass_td,0,,,,,
player,201701010min,chi,LangJe00,pass_int,0,,,,,
player,201701010min,chi,LangJe00,pass_sacked,0,,,,,
player,201701010min,chi,LangJe00,pass_sacked_yds,0,,,,,
player,201701010min,chi,LangJe00,pass_long,0,,,,,
player,201701010min,chi,LangJe00,pass_rating,,,,,,
player,201701010min,chi,LangJe00,rush_att,10,,,,,
player,201701010min,chi,LangJe00,rush_yds,26,,,,,
player,201701010min,chi,LangJe00,rush_td,0,,,,,
player,201701010min,chi,LangJe00,rush_long,5,,,,,
player,201701010min,chi,LangJe00,targets,3,,,,,
player,201701010min,chi,LangJe00,rec,3,,,,,
player,201701010min,chi,LangJe00,rec_yds,41,,,,,
player,201701010min,chi,LangJe00,rec_td,0,,,,,
player,201701010min,chi,LangJe00,rec_long,19,,,,,
player,201701010min,chi,LangJe00,fumbles,1,,,,,
player,201701010min,chi,LangJe00,fumbles_lost,1,,,,,
player,201701010min,chi,BellJo02,pass_cmp,0,,,,,
player,201701010min,chi,BellJo02,pass_att,0,,,,,
player,201701010min,chi,BellJo02,pass_yds,0,,,,,
player,201701010min,chi,BellJo02,pass_td,0,,,,,
player,201701010min,chi,BellJo02,pass_int,0,,,,,
player,201701010min,chi,BellJo02,pass_sacked,0,,,,,
player,201701010min,chi,BellJo02,pass_sacked_yds,0,,,,,
player,201701010min,chi,BellJo02,pass_long,0,,,,,
player,201701010min,chi,BellJo02,pass_rating,,,,,,
player,201701010min,chi,BellJo02,rush_att,2,,,,,
player,201701010min,chi,BellJo02,rush_yds,18,,,,,
player,201701010min,chi,BellJo02,rush_td,0,,,,,
player,201701010min,chi,BellJo02,rush_long,22,,,,,
player,201701010min,chi,BellJo02,targets,1,,,,,
player,201701010min,chi,BellJo02,rec,0,,,,,
player,201701010min,chi,BellJo02,rec_yds,0,,,,,
player,201701010min,chi,BellJo02,rec_td,0,,,,,
player,201701010min,chi,BellJo02,rec_long,0,,,,,
