game,2016,2,20160918,201609180crd,tam,"Tampa Bay Buccaneers",7,crd,"Arizona Cardinals",40
team,201609180crd,tam,First Downs,21,,,,,,
team,201609180crd,crd,First Downs,20,,,,,,
team,201609180crd,tam,Rush-Yds-TDs,21-85-0,,,,,,
team,201609180crd,crd,Rush-Yds-TDs,30-105-1,,,,,,
team,201609180crd,tam,Cmp-Att-Yd-TD-INT,27-52-243-1-4,,,,,,
team,201609180crd,crd,Cmp-Att-Yd-TD-INT,18-34-315-3-0,,,,,,
team,201609180crd,tam,Sacked-Yards,3-22,,,,,,
team,201609180crd,crd,Sacked-Yards,1-4,,,,,,
team,201609180crd,tam,Net Pass Yards,221,,,,,,
team,201609180crd,crd,Net Pass Yards,311,,,,,,
team,201609180crd,tam,Total Yards,306,,,,,,
team,201609180crd,crd,Total Yards,416,,,,,,
team,201609180crd,tam,Fumbles-Lost,1-1,,,,,,
team,201609180crd,crd,Fumbles-Lost,0-0,,,,,,
team,201609180crd,tam,Turnovers,5,,,,,,
team,201609180crd,crd,Turnovers,0,,,,,,
team,201609180crd,tam,Penalties-Yards,5-39,,,,,,
team,201609180crd,crd,Penalties-Yards,3-30,,,,,,
team,201609180crd,tam,Third Down Conv.,5-13,,,,,,
team,201609180crd,crd,Third Down Conv.,6-14,,,,,,
team,201609180crd,tam,Fourth Down Conv.,0-1,,,,,,
team,201609180crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201609180crd,tam,Time of Possession,30:57,,,,,,
team,201609180crd,crd,Time of Possession,29:03,,,,,,
player,201609180crd,tam,WinsJa00,pass_cmp,27,,,,,
player,201609180crd,tam,WinsJa00,pass_att,52,,,,,
player,201609180crd,tam,WinsJa00,pass_yds,243,,,,,
player,201609180crd,tam,WinsJa00,pass_td,1,,,,,
player,201609180crd,tam,WinsJa00,pass_int,4,,,,,
player,201609180crd,tam,WinsJa00,pass_sacked,3,,,,,
player,201609180crd,tam,WinsJa00,pass_sacked_yds,22,,,,,
player,201609180crd,tam,WinsJa00,pass_long,24,,,,,
player,201609180crd,tam,WinsJa00,pass_rating,39.2,,,,,
player,201609180crd,tam,WinsJa00,rush_att,3,,,,,
player,201609180crd,tam,WinsJa00,rush_yds,9,,,,,
player,201609180crd,tam,WinsJa00,rush_td,0,,,,,
player,201609180crd,tam,WinsJa00,rush_long,8,,,,,
player,201609180crd,tam,WinsJa00,targets,0,,,,,
player,201609180crd,tam,WinsJa00,rec,0,,,,,
player,201609180crd,tam,WinsJa00,rec_yds,0,,,,,
player,201609180crd,tam,WinsJa00,rec_td,0,,,,,
player,201609180crd,tam,WinsJa00,rec_long,0,,,,,
player,201609180crd,tam,WinsJa00,fumbles,1,,,,,
player,201609180crd,tam,WinsJa00,fumbles_lost,1,,,,,
player,201609180crd,tam,RodgJa00,pass_cmp,0,,,,,
player,201609180crd,tam,RodgJa00,pass_att,0,,,,,
player,201609180crd,tam,RodgJa00,pass_yds,0,,,,,
player,201609180crd,tam,RodgJa00,pass_td,0,,,,,
player,201609180crd,tam,RodgJa00,pass_int,0,,,,,
player,201609180crd,tam,RodgJa00,pass_sacked,0,,,,,
player,201609180crd,tam,RodgJa00,pass_sacked_yds,0,,,,,
player,201609180crd,tam,RodgJa00,pass_long,0,,,,,
player,201609180crd,tam,RodgJa00,pass_rating,,,,,,
player,201609180crd,tam,RodgJa00,rush_att,2,,,,,
player,201609180crd,tam,RodgJa00,rush_yds,29,,,,,
player,201609180crd,tam,RodgJa00,rush_td,0,,,,,
player,201609180crd,tam,RodgJa00,rush_long,24,,,,,
player,201609180crd,tam,RodgJa00,targets,1,,,,,
player,201609180crd,tam,RodgJa00,rec,0,,,,,
player,201609180crd,tam,RodgJa00,rec_yds,0,,,,,
player,201609180crd,tam,RodgJa00,rec_td,0,,,,,
player,201609180crd,tam,RodgJa00,rec_long,0,,,,,
player,201609180crd,tam,RodgJa00,fumbles,0,,,,,
player,201609180crd,tam,RodgJa00,fumbles_lost,0,,,,,
player,201609180crd,tam,SimsCh00,pass_cmp,0,,,,,
player,201609180crd,tam,SimsCh00,pass_att,0,,,,,
player,201609180crd,tam,SimsCh00,pass_yds,0,,,,,
player,201609180crd,tam,SimsCh00,pass_td,0,,,,,
player,201609180crd,tam,SimsCh00,pass_int,0,,,,,
player,201609180crd,tam,SimsCh00,pass_sacked,0,,,,,
player,201609180crd,tam,SimsCh00,pass_sacked_yds,0,,,,,
player,201609180crd,tam,SimsCh00,pass_long,0,,,,,
player,201609180crd,tam,SimsCh00,pass_rating,,,,,,
player,201609180crd,tam,SimsCh00,rush_att,9,,,,,
player,201609180crd,tam,SimsCh00,rush_yds,24,,,,,
player,201609180crd,tam,SimsCh00,rush_td,0,,,,,
player,201609180crd,tam,SimsCh00,rush_long,9,,,,,
player,201609180crd,tam,SimsCh00,targets,5,,,,,
player,201609180crd,tam,SimsCh00,rec,3,,,,,
player,201609180crd,tam,SimsCh00,rec_yds,4,,,,,
player,201609180crd,tam,SimsCh00,rec_td,0,,,,,
player,201609180crd,tam,SimsCh00,rec_long,3,,,,,
player,201609180crd,tam,SimsCh00,fumbles,0,,,,,
player,201609180crd,tam,SimsCh00,fumbles_lost,0,,,,,
player,201609180crd,tam,MartDo00,pass_cmp,0,,,,,
player,201609180crd,tam,MartDo00,pass_att,0,,,,,
player,201609180crd,tam,MartDo00,pass_yds,0,,,,,
player,201609180crd,tam,MartDo00,pass_td,0,,,,,
player,201609180crd,tam,MartDo00,pass_int,0,,,,,
player,201609180crd,tam,MartDo00,pass_sacked,0,,,,,
player,201609180crd,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201609180crd,tam,MartDo00,pass_long,0,,,,,
player,201609180crd,tam,MartDo00,pass_rating,,,,,,
player,201609180crd,tam,MartDo00,rush_att,7,,,,,
player,201609180crd,tam,MartDo00,rush_yds,23,,,,,
player,201609180crd,tam,MartDo00,rush_td,0,,,,,
player,201609180crd,tam,MartDo00,rush_long,12,,,,,
player,201609180crd,tam,MartDo00,targets,0,,,,,
player,201609180crd,tam,MartDo00,rec,0,,,,,
player,201609180crd,tam,MartDo00,rec_yds,0,,,,,
player,201609180crd,tam,MartDo00,rec_td,0,,,,,
player,201609180crd,tam,MartDo00,rec_long,0,,,,,
player,201609180crd,tam,MartDo00,fumbles,0,,,,,
player,201609180crd,tam,MartDo00,fumbles_lost,0,,,,,
player,201609180crd,tam,EvanMi00,pass_cmp,0,,,,,
player,201609180crd,tam,EvanMi00,pass_att,0,,,,,
player,201609180crd,tam,EvanMi00,pass_yds,0,,,,,
player,201609180crd,tam,EvanMi00,pass_td,0,,,,,
player,201609180crd,tam,EvanMi00,pass_int,0,,,,,
player,201609180crd,tam,EvanMi00,pass_sacked,0,,,,,
player,201609180crd,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201609180crd,tam,EvanMi00,pass_long,0,,,,,
player,201609180crd,tam,EvanMi00,pass_rating,,,,,,
player,201609180crd,tam,EvanMi00,rush_att,0,,,,,
player,201609180crd,tam,EvanMi00,rush_yds,0,,,,,
player,201609180crd,tam,EvanMi00,rush_td,0,,,,,
player,201609180crd,tam,EvanMi00,rush_long,0,,,,,
