game,2016,15,20161218,201612180chi,gnb,"Green Bay Packers",30,chi,"Chicago Bears",27
team,201612180chi,gnb,First Downs,20,,,,,,
team,201612180chi,chi,First Downs,29,,,,,,
team,201612180chi,gnb,Rush-Yds-TDs,23-226-3,,,,,,
team,201612180chi,chi,Rush-Yds-TDs,19-95-1,,,,,,
team,201612180chi,gnb,Cmp-Att-Yd-TD-INT,19-31-252-0-0,,,,,,
team,201612180chi,chi,Cmp-Att-Yd-TD-INT,30-43-362-2-3,,,,,,
team,201612180chi,gnb,Sacked-Yards,4-27,,,,,,
team,201612180chi,chi,Sacked-Yards,1-8,,,,,,
team,201612180chi,gnb,Net Pass Yards,225,,,,,,
team,201612180chi,chi,Net Pass Yards,354,,,,,,
team,201612180chi,gnb,Total Yards,451,,,,,,
team,201612180chi,chi,Total Yards,449,,,,,,
team,201612180chi,gnb,Fumbles-Lost,0-0,,,,,,
team,201612180chi,chi,Fumbles-Lost,1-1,,,,,,
team,201612180chi,gnb,Turnovers,0,,,,,,
team,201612180chi,chi,Turnovers,4,,,,,,
team,201612180chi,gnb,Penalties-Yards,8-64,,,,,,
team,201612180chi,chi,Penalties-Yards,6-40,,,,,,
team,201612180chi,gnb,Third Down Conv.,3-10,,,,,,
team,201612180chi,chi,Third Down Conv.,3-8,,,,,,
team,201612180chi,gnb,Fourth Down Conv.,0-1,,,,,,
team,201612180chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201612180chi,gnb,Time of Possession,32:47,,,,,,
team,201612180chi,chi,Time of Possession,27:13,,,,,,
player,201612180chi,gnb,RodgAa00,pass_cmp,19,,,,,
player,201612180chi,gnb,RodgAa00,pass_att,31,,,,,
player,201612180chi,gnb,RodgAa00,pass_yds,252,,,,,
player,201612180chi,gnb,RodgAa00,pass_td,0,,,,,
player,201612180chi,gnb,RodgAa00,pass_int,0,,,,,
player,201612180chi,gnb,RodgAa00,pass_sacked,4,,,,,
player,201612180chi,gnb,RodgAa00,pass_sacked_yds,27,,,,,
player,201612180chi,gnb,RodgAa00,pass_long,60,,,,,
player,201612180chi,gnb,RodgAa00,pass_rating,87.0,,,,,
player,201612180chi,gnb,RodgAa00,rush_att,3,,,,,
player,201612180chi,gnb,RodgAa00,rush_yds,19,,,,,
player,201612180chi,gnb,RodgAa00,rush_td,0,,,,,
player,201612180chi,gnb,RodgAa00,rush_long,8,,,,,
player,201612180chi,gnb,RodgAa00,targets,0,,,,,
player,201612180chi,gnb,RodgAa00,rec,0,,,,,
player,201612180chi,gnb,RodgAa00,rec_yds,0,,,,,
player,201612180chi,gnb,RodgAa00,rec_td,0,,,,,
player,201612180chi,gnb,RodgAa00,rec_long,0,,,,,
player,201612180chi,gnb,RodgAa00,fumbles,0,,,,,
player,201612180chi,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201612180chi,gnb,MontTy01,pass_cmp,0,,,,,
player,201612180chi,gnb,MontTy01,pass_att,0,,,,,
player,201612180chi,gnb,MontTy01,pass_yds,0,,,,,
player,201612180chi,gnb,MontTy01,pass_td,0,,,,,
player,201612180chi,gnb,MontTy01,pass_int,0,,,,,
player,201612180chi,gnb,MontTy01,pass_sacked,0,,,,,
player,201612180chi,gnb,MontTy01,pass_sacked_yds,0,,,,,
player,201612180chi,gnb,MontTy01,pass_long,0,,,,,
player,201612180chi,gnb,MontTy01,pass_rating,,,,,,
