game,2016,9,20161106,201611060sdg,oti,"Tennessee Titans",35,sdg,"San Diego Chargers",43
team,201611060sdg,oti,First Downs,24,,,,,,
team,201611060sdg,sdg,First Downs,31,,,,,,
team,201611060sdg,oti,Rush-Yds-TDs,19-80-2,,,,,,
team,201611060sdg,sdg,Rush-Yds-TDs,39-208-1,,,,,,
team,201611060sdg,oti,Cmp-Att-Yd-TD-INT,27-43-313-3-2,,,,,,
team,201611060sdg,sdg,Cmp-Att-Yd-TD-INT,24-33-275-2-0,,,,,,
team,201611060sdg,oti,Sacked-Yards,0-0,,,,,,
team,201611060sdg,sdg,Sacked-Yards,1-7,,,,,,
team,201611060sdg,oti,Net Pass Yards,313,,,,,,
team,201611060sdg,sdg,Net Pass Yards,268,,,,,,
team,201611060sdg,oti,Total Yards,393,,,,,,
team,201611060sdg,sdg,Total Yards,476,,,,,,
team,201611060sdg,oti,Fumbles-Lost,1-1,,,,,,
team,201611060sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201611060sdg,oti,Turnovers,3,,,,,,
team,201611060sdg,sdg,Turnovers,0,,,,,,
team,201611060sdg,oti,Penalties-Yards,8-57,,,,,,
team,201611060sdg,sdg,Penalties-Yards,14-107,,,,,,
team,201611060sdg,oti,Third Down Conv.,5-11,,,,,,
team,201611060sdg,sdg,Third Down Conv.,5-11,,,,,,
team,201611060sdg,oti,Fourth Down Conv.,1-1,,,,,,
team,201611060sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201611060sdg,oti,Time of Possession,23:31,,,,,,
team,201611060sdg,sdg,Time of Possession,36:29,,,,,,
player,201611060sdg,oti,MariMa01,pass_cmp,27,,,,,
player,201611060sdg,oti,MariMa01,pass_att,43,,,,,
player,201611060sdg,oti,MariMa01,pass_yds,313,,,,,
player,201611060sdg,oti,MariMa01,pass_td,3,,,,,
player,201611060sdg,oti,MariMa01,pass_int,2,,,,,
player,201611060sdg,oti,MariMa01,pass_sacked,0,,,,,
player,201611060sdg,oti,MariMa01,pass_sacked_yds,0,,,,,
player,201611060sdg,oti,MariMa01,pass_long,48,,,,,
player,201611060sdg,oti,MariMa01,pass_rating,88.6,,,,,
player,201611060sdg,oti,MariMa01,rush_att,3,,,,,
player,201611060sdg,oti,MariMa01,rush_yds,14,,,,,
player,201611060sdg,oti,MariMa01,rush_td,1,,,,,
player,201611060sdg,oti,MariMa01,rush_long,14,,,,,
player,201611060sdg,oti,MariMa01,targets,0,,,,,
player,201611060sdg,oti,MariMa01,rec,0,,,,,
player,201611060sdg,oti,MariMa01,rec_yds,0,,,,,
player,201611060sdg,oti,MariMa01,rec_td,0,,,,,
player,201611060sdg,oti,MariMa01,rec_long,0,,,,,
player,201611060sdg,oti,MariMa01,fumbles,1,,,,,
player,201611060sdg,oti,MariMa01,fumbles_lost,1,,,,,
player,201611060sdg,oti,MurrDe00,pass_cmp,0,,,,,
player,201611060sdg,oti,MurrDe00,pass_att,0,,,,,
player,201611060sdg,oti,MurrDe00,pass_yds,0,,,,,
player,201611060sdg,oti,MurrDe00,pass_td,0,,,,,
player,201611060sdg,oti,MurrDe00,pass_int,0,,,,,
player,201611060sdg,oti,MurrDe00,pass_sacked,0,,,,,
player,201611060sdg,oti,MurrDe00,pass_sacked_yds,0,,,,,
player,201611060sdg,oti,MurrDe00,pass_long,0,,,,,
player,201611060sdg,oti,MurrDe00,pass_rating,,,,,,
player,201611060sdg,oti,MurrDe00,rush_att,14,,,,,
player,201611060sdg,oti,MurrDe00,rush_yds,51,,,,,
