game,2016,1,20160908,201609080den,car,"Carolina Panthers",20,den,"Denver Broncos",21
team,201609080den,car,First Downs,21,,,,,,
team,201609080den,den,First Downs,21,,,,,,
team,201609080den,car,Rush-Yds-TDs,32-157-1,,,,,,
team,201609080den,den,Rush-Yds-TDs,29-148-2,,,,,,
team,201609080den,car,Cmp-Att-Yd-TD-INT,18-33-194-1-1,,,,,,
team,201609080den,den,Cmp-Att-Yd-TD-INT,18-26-178-1-2,,,,,,
team,201609080den,car,Sacked-Yards,3-18,,,,,,
team,201609080den,den,Sacked-Yards,2-19,,,,,,
team,201609080den,car,Net Pass Yards,176,,,,,,
team,201609080den,den,Net Pass Yards,159,,,,,,
team,201609080den,car,Total Yards,333,,,,,,
team,201609080den,den,Total Yards,307,,,,,,
team,201609080den,car,Fumbles-Lost,0-0,,,,,,
team,201609080den,den,Fumbles-Lost,1-1,,,,,,
team,201609080den,car,Turnovers,1,,,,,,
team,201609080den,den,Turnovers,3,,,,,,
team,201609080den,car,Penalties-Yards,8-85,,,,,,
team,201609080den,den,Penalties-Yards,4-22,,,,,,
team,201609080den,car,Third Down Conv.,9-15,,,,,,
team,201609080den,den,Third Down Conv.,5-10,,,,,,
team,201609080den,car,Fourth Down Conv.,0-0,,,,,,
team,201609080den,den,Fourth Down Conv.,1-1,,,,,,
team,201609080den,car,Time of Possession,32:19,,,,,,
team,201609080den,den,Time of Possession,27:41,,,,,,
player,201609080den,car,NewtCa00,pass_cmp,18,,,,,
player,201609080den,car,NewtCa00,pass_att,33,,,,,
player,201609080den,car,NewtCa00,pass_yds,194,,,,,
player,201609080den,car,NewtCa00,pass_td,1,,,,,
player,201609080den,car,NewtCa00,pass_int,1,,,,,
player,201609080den,car,NewtCa00,pass_sacked,3,,,,,
player,201609080den,car,NewtCa00,pass_sacked_yds,18,,,,,
player,201609080den,car,NewtCa00,pass_long,18,,,,,
player,201609080den,car,NewtCa00,pass_rating,69.5,,,,,
player,201609080den,car,NewtCa00,rush_att,11,,,,,
player,201609080den,car,NewtCa00,rush_yds,54,,,,,
player,201609080den,car,NewtCa00,rush_td,1,,,,,
player,201609080den,car,NewtCa00,rush_long,12,,,,,
player,201609080den,car,NewtCa00,targets,0,,,,,
player,201609080den,car,NewtCa00,rec,0,,,,,
player,201609080den,car,NewtCa00,rec_yds,0,,,,,
player,201609080den,car,NewtCa00,rec_td,0,,,,,
player,201609080den,car,NewtCa00,rec_long,0,,,,,
player,201609080den,car,NewtCa00,fumbles,0,,,,,
player,201609080den,car,NewtCa00,fumbles_lost,0,,,,,
player,201609080den,car,StewJo00,pass_cmp,0,,,,,
player,201609080den,car,StewJo00,pass_att,0,,,,,
player,201609080den,car,StewJo00,pass_yds,0,,,,,
player,201609080den,car,StewJo00,pass_td,0,,,,,
player,201609080den,car,StewJo00,pass_int,0,,,,,
player,201609080den,car,StewJo00,pass_sacked,0,,,,,
player,201609080den,car,StewJo00,pass_sacked_yds,0,,,,,
player,201609080den,car,StewJo00,pass_long,0,,,,,
player,201609080den,car,StewJo00,pass_rating,,,,,,
player,201609080den,car,StewJo00,rush_att,15,,,,,
player,201609080den,car,StewJo00,rush_yds,64,,,,,
player,201609080den,car,StewJo00,rush_td,0,,,,,
player,201609080den,car,StewJo00,rush_long,11,,,,,
player,201609080den,car,StewJo00,targets,1,,,,,
player,201609080den,car,StewJo00,rec,0,,,,,
player,201609080den,car,StewJo00,rec_yds,0,,,,,
player,201609080den,car,StewJo00,rec_td,0,,,,,
player,201609080den,car,StewJo00,rec_long,0,,,,,
player,201609080den,car,StewJo00,fumbles,0,,,,,
player,201609080den,car,StewJo00,fumbles_lost,0,,,,,
player,201609080den,car,GinnTe00,pass_cmp,0,,,,,
player,201609080den,car,GinnTe00,pass_att,0,,,,,
player,201609080den,car,GinnTe00,pass_yds,0,,,,,
player,201609080den,car,GinnTe00,pass_td,0,,,,,
player,201609080den,car,GinnTe00,pass_int,0,,,,,
player,201609080den,car,GinnTe00,pass_sacked,0,,,,,
player,201609080den,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201609080den,car,GinnTe00,pass_long,0,,,,,
player,201609080den,car,GinnTe00,pass_rating,,,,,,
player,201609080den,car,GinnTe00,rush_att,1,,,,,
player,201609080den,car,GinnTe00,rush_yds,20,,,,,
player,201609080den,car,GinnTe00,rush_td,0,,,,,
player,201609080den,car,GinnTe00,rush_long,20,,,,,
player,201609080den,car,GinnTe00,targets,1,,,,,
player,201609080den,car,GinnTe00,rec,1,,,,,
player,201609080den,car,GinnTe00,rec_yds,5,,,,,
player,201609080den,car,GinnTe00,rec_td,0,,,,,
player,201609080den,car,GinnTe00,rec_long,5,,,,,
player,201609080den,car,GinnTe00,fumbles,0,,,,,
player,201609080den,car,GinnTe00,fumbles_lost,0,,,,,
player,201609080den,car,WhitFo00,pass_cmp,0,,,,,
player,201609080den,car,WhitFo00,pass_att,0,,,,,
player,201609080den,car,WhitFo00,pass_yds,0,,,,,
player,201609080den,car,WhitFo00,pass_td,0,,,,,
player,201609080den,car,WhitFo00,pass_int,0,,,,,
player,201609080den,car,WhitFo00,pass_sacked,0,,,,,
player,201609080den,car,WhitFo00,pass_sacked_yds,0,,,,,
player,201609080den,car,WhitFo00,pass_long,0,,,,,
player,201609080den,car,WhitFo00,pass_rating,,,,,,
player,201609080den,car,WhitFo00,rush_att,3,,,,,
player,201609080den,car,WhitFo00,rush_yds,13,,,,,
player,201609080den,car,WhitFo00,rush_td,0,,,,,
player,201609080den,car,WhitFo00,rush_long,6,,,,,
player,201609080den,car,WhitFo00,targets,1,,,,,
player,201609080den,car,WhitFo00,rec,1,,,,,
player,201609080den,car,WhitFo00,rec_yds,4,,,,,
player,201609080den,car,WhitFo00,rec_td,0,,,,,
player,201609080den,car,WhitFo00,rec_long,4,,,,,
player,201609080den,car,WhitFo00,fumbles,0,,,,,
player,201609080den,car,WhitFo00,fumbles_lost,0,,,,,
player,201609080den,car,TolbMi00,pass_cmp,0,,,,,
player,201609080den,car,TolbMi00,pass_att,0,,,,,
player,201609080den,car,TolbMi00,pass_yds,0,,,,,
player,201609080den,car,TolbMi00,pass_td,0,,,,,
player,201609080den,car,TolbMi00,pass_int,0,,,,,
player,201609080den,car,TolbMi00,pass_sacked,0,,,,,
player,201609080den,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201609080den,car,TolbMi00,pass_long,0,,,,,
player,201609080den,car,TolbMi00,pass_rating,,,,,,
player,201609080den,car,TolbMi00,rush_att,2,,,,,
player,201609080den,car,TolbMi00,rush_yds,6,,,,,
player,201609080den,car,TolbMi00,rush_td,0,,,,,
player,201609080den,car,TolbMi00,rush_long,5,,,,,
player,201609080den,car,TolbMi00,targets,1,,,,,
player,201609080den,car,TolbMi00,rec,1,,,,,
player,201609080den,car,TolbMi00,rec_yds,1,,,,,
player,201609080den,car,TolbMi00,rec_td,0,,,,,
player,201609080den,car,TolbMi00,rec_long,1,,,,,
player,201609080den,car,TolbMi00,fumbles,0,,,,,
