game,2016,15,20161218,201612180atl,sfo,"San Francisco 49ers",13,atl,"Atlanta Falcons",41
team,201612180atl,sfo,First Downs,15,,,,,,
team,201612180atl,atl,First Downs,29,,,,,,
team,201612180atl,sfo,Rush-Yds-TDs,20-107-0,,,,,,
team,201612180atl,atl,Rush-Yds-TDs,41-248-3,,,,,,
team,201612180atl,sfo,Cmp-Att-Yd-TD-INT,20-33-183-2-0,,,,,,
team,201612180atl,atl,Cmp-Att-Yd-TD-INT,18-24-302-2-0,,,,,,
team,201612180atl,sfo,Sacked-Yards,2-18,,,,,,
team,201612180atl,atl,Sacked-Yards,1-0,,,,,,
team,201612180atl,sfo,Net Pass Yards,165,,,,,,
team,201612180atl,atl,Net Pass Yards,302,,,,,,
team,201612180atl,sfo,Total Yards,272,,,,,,
team,201612180atl,atl,Total Yards,550,,,,,,
team,201612180atl,sfo,Fumbles-Lost,1-1,,,,,,
team,201612180atl,atl,Fumbles-Lost,2-1,,,,,,
team,201612180atl,sfo,Turnovers,1,,,,,,
team,201612180atl,atl,Turnovers,1,,,,,,
team,201612180atl,sfo,Penalties-Yards,4-20,,,,,,
team,201612180atl,atl,Penalties-Yards,4-27,,,,,,
team,201612180atl,sfo,Third Down Conv.,6-13,,,,,,
team,201612180atl,atl,Third Down Conv.,5-9,,,,,,
team,201612180atl,sfo,Fourth Down Conv.,0-0,,,,,,
team,201612180atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201612180atl,sfo,Time of Possession,23:59,,,,,,
team,201612180atl,atl,Time of Possession,36:01,,,,,,
player,201612180atl,sfo,KaepCo00,pass_cmp,20,,,,,
player,201612180atl,sfo,KaepCo00,pass_att,33,,,,,
player,201612180atl,sfo,KaepCo00,pass_yds,183,,,,,
player,201612180atl,sfo,KaepCo00,pass_td,2,,,,,
player,201612180atl,sfo,KaepCo00,pass_int,0,,,,,
player,201612180atl,sfo,KaepCo00,pass_sacked,2,,,,,
player,201612180atl,sfo,KaepCo00,pass_sacked_yds,18,,,,,
player,201612180atl,sfo,KaepCo00,pass_long,45,,,,,
player,201612180atl,sfo,KaepCo00,pass_rating,95.9,,,,,
player,201612180atl,sfo,KaepCo00,rush_att,3,,,,,
player,201612180atl,sfo,KaepCo00,rush_yds,21,,,,,
player,201612180atl,sfo,KaepCo00,rush_td,0,,,,,
player,201612180atl,sfo,KaepCo00,rush_long,17,,,,,
player,201612180atl,sfo,KaepCo00,targets,0,,,,,
player,201612180atl,sfo,KaepCo00,rec,0,,,,,
player,201612180atl,sfo,KaepCo00,rec_yds,0,,,,,
player,201612180atl,sfo,KaepCo00,rec_td,0,,,,,
player,201612180atl,sfo,KaepCo00,rec_long,0,,,,,
player,201612180atl,sfo,KaepCo00,fumbles,0,,,,,
player,201612180atl,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201612180atl,sfo,HydeCa00,pass_cmp,0,,,,,
player,201612180atl,sfo,HydeCa00,pass_att,0,,,,,
