game,2016,13,20161204,201612040sdg,tam,"Tampa Bay Buccaneers",28,sdg,"San Diego Chargers",21
team,201612040sdg,tam,First Downs,20,,,,,,
team,201612040sdg,sdg,First Downs,18,,,,,,
team,201612040sdg,tam,Rush-Yds-TDs,30-81-1,,,,,,
team,201612040sdg,sdg,Rush-Yds-TDs,25-119-1,,,,,,
team,201612040sdg,tam,Cmp-Att-Yd-TD-INT,20-30-280-1-1,,,,,,
team,201612040sdg,sdg,Cmp-Att-Yd-TD-INT,15-26-225-2-2,,,,,,
team,201612040sdg,tam,Sacked-Yards,1-12,,,,,,
team,201612040sdg,sdg,Sacked-Yards,2-14,,,,,,
team,201612040sdg,tam,Net Pass Yards,268,,,,,,
team,201612040sdg,sdg,Net Pass Yards,211,,,,,,
team,201612040sdg,tam,Total Yards,349,,,,,,
team,201612040sdg,sdg,Total Yards,330,,,,,,
team,201612040sdg,tam,Fumbles-Lost,0-0,,,,,,
team,201612040sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201612040sdg,tam,Turnovers,1,,,,,,
team,201612040sdg,sdg,Turnovers,2,,,,,,
team,201612040sdg,tam,Penalties-Yards,6-35,,,,,,
team,201612040sdg,sdg,Penalties-Yards,6-45,,,,,,
team,201612040sdg,tam,Third Down Conv.,5-13,,,,,,
team,201612040sdg,sdg,Third Down Conv.,4-8,,,,,,
team,201612040sdg,tam,Fourth Down Conv.,1-1,,,,,,
team,201612040sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201612040sdg,tam,Time of Possession,31:41,,,,,,
team,201612040sdg,sdg,Time of Possession,28:19,,,,,,
player,201612040sdg,tam,WinsJa00,pass_cmp,20,,,,,
player,201612040sdg,tam,WinsJa00,pass_att,30,,,,,
player,201612040sdg,tam,WinsJa00,pass_yds,280,,,,,
player,201612040sdg,tam,WinsJa00,pass_td,1,,,,,
player,201612040sdg,tam,WinsJa00,pass_int,1,,,,,
player,201612040sdg,tam,WinsJa00,pass_sacked,1,,,,,
player,201612040sdg,tam,WinsJa00,pass_sacked_yds,12,,,,,
player,201612040sdg,tam,WinsJa00,pass_long,0,,,,,
player,201612040sdg,tam,WinsJa00,pass_rating,93.7,,,,,
player,201612040sdg,tam,WinsJa00,rush_att,4,,,,,
player,201612040sdg,tam,WinsJa00,rush_yds,1,,,,,
player,201612040sdg,tam,WinsJa00,rush_td,0,,,,,
player,201612040sdg,tam,WinsJa00,rush_long,5,,,,,
player,201612040sdg,tam,WinsJa00,targets,0,,,,,
player,201612040sdg,tam,WinsJa00,rec,0,,,,,
player,201612040sdg,tam,WinsJa00,rec_yds,0,,,,,
player,201612040sdg,tam,WinsJa00,rec_td,0,,,,,
