game,2016,12,20161127,201611270cle,nyg,"New York Giants",27,cle,"Cleveland Browns",13
team,201611270cle,nyg,First Downs,13,,,,,,
team,201611270cle,cle,First Downs,21,,,,,,
team,201611270cle,nyg,Rush-Yds-TDs,27-104-0,,,,,,
team,201611270cle,cle,Rush-Yds-TDs,21-58-0,,,,,,
team,201611270cle,nyg,Cmp-Att-Yd-TD-INT,15-27-194-3-0,,,,,,
team,201611270cle,cle,Cmp-Att-Yd-TD-INT,25-44-322-1-0,,,,,,
team,201611270cle,nyg,Sacked-Yards,1-2,,,,,,
team,201611270cle,cle,Sacked-Yards,7-37,,,,,,
team,201611270cle,nyg,Net Pass Yards,192,,,,,,
team,201611270cle,cle,Net Pass Yards,285,,,,,,
team,201611270cle,nyg,Total Yards,296,,,,,,
team,201611270cle,cle,Total Yards,343,,,,,,
team,201611270cle,nyg,Fumbles-Lost,1-1,,,,,,
team,201611270cle,cle,Fumbles-Lost,3-3,,,,,,
team,201611270cle,nyg,Turnovers,1,,,,,,
team,201611270cle,cle,Turnovers,3,,,,,,
team,201611270cle,nyg,Penalties-Yards,9-100,,,,,,
team,201611270cle,cle,Penalties-Yards,5-35,,,,,,
team,201611270cle,nyg,Third Down Conv.,4-13,,,,,,
team,201611270cle,cle,Third Down Conv.,3-14,,,,,,
team,201611270cle,nyg,Fourth Down Conv.,0-0,,,,,,
team,201611270cle,cle,Fourth Down Conv.,1-2,,,,,,
team,201611270cle,nyg,Time of Possession,26:09,,,,,,
team,201611270cle,cle,Time of Possession,33:51,,,,,,
player,201611270cle,nyg,MannEl00,pass_cmp,15,,,,,
player,201611270cle,nyg,MannEl00,pass_att,27,,,,,
player,201611270cle,nyg,MannEl00,pass_yds,194,,,,,
player,201611270cle,nyg,MannEl00,pass_td,3,,,,,
player,201611270cle,nyg,MannEl00,pass_int,0,,,,,
player,201611270cle,nyg,MannEl00,pass_sacked,1,,,,,
player,201611270cle,nyg,MannEl00,pass_sacked_yds,2,,,,,
player,201611270cle,nyg,MannEl00,pass_long,41,,,,,
player,201611270cle,nyg,MannEl00,pass_rating,115.4,,,,,
player,201611270cle,nyg,MannEl00,rush_att,2,,,,,
player,201611270cle,nyg,MannEl00,rush_yds,-2,,,,,
player,201611270cle,nyg,MannEl00,rush_td,0,,,,,
player,201611270cle,nyg,MannEl00,rush_long,-1,,,,,
player,201611270cle,nyg,MannEl00,targets,0,,,,,
player,201611270cle,nyg,MannEl00,rec,0,,,,,
player,201611270cle,nyg,MannEl00,rec_yds,0,,,,,
player,201611270cle,nyg,MannEl00,rec_td,0,,,,,
player,201611270cle,nyg,MannEl00,rec_long,0,,,,,
player,201611270cle,nyg,MannEl00,fumbles,0,,,,,
player,201611270cle,nyg,MannEl00,fumbles_lost,0,,,,,
