game,2016,9,20161106,201611060min,det,"Detroit Lions",22,min,"Minnesota Vikings",16
team,201611060min,det,First Downs,18,,,,,,
team,201611060min,min,First Downs,22,,,,,,
team,201611060min,det,Rush-Yds-TDs,25-97-0,,,,,,
team,201611060min,min,Rush-Yds-TDs,25-78-1,,,,,,
team,201611060min,det,Cmp-Att-Yd-TD-INT,23-36-219-2-1,,,,,,
team,201611060min,min,Cmp-Att-Yd-TD-INT,31-40-273-1-0,,,,,,
team,201611060min,det,Sacked-Yards,1-5,,,,,,
team,201611060min,min,Sacked-Yards,2-14,,,,,,
team,201611060min,det,Net Pass Yards,214,,,,,,
team,201611060min,min,Net Pass Yards,259,,,,,,
team,201611060min,det,Total Yards,311,,,,,,
team,201611060min,min,Total Yards,337,,,,,,
team,201611060min,det,Fumbles-Lost,0-0,,,,,,
team,201611060min,min,Fumbles-Lost,0-0,,,,,,
team,201611060min,det,Turnovers,1,,,,,,
team,201611060min,min,Turnovers,0,,,,,,
team,201611060min,det,Penalties-Yards,6-57,,,,,,
team,201611060min,min,Penalties-Yards,8-54,,,,,,
team,201611060min,det,Third Down Conv.,7-14,,,,,,
team,201611060min,min,Third Down Conv.,6-14,,,,,,
team,201611060min,det,Fourth Down Conv.,0-0,,,,,,
team,201611060min,min,Fourth Down Conv.,1-2,,,,,,
team,201611060min,det,Time of Possession,33:31,,,,,,
team,201611060min,min,Time of Possession,33:08,,,,,,
player,201611060min,det,StafMa00,pass_cmp,23,,,,,
player,201611060min,det,StafMa00,pass_att,36,,,,,
player,201611060min,det,StafMa00,pass_yds,219,,,,,
player,201611060min,det,StafMa00,pass_td,2,,,,,
player,201611060min,det,StafMa00,pass_int,1,,,,,
player,201611060min,det,StafMa00,pass_sacked,1,,,,,
player,201611060min,det,StafMa00,pass_sacked_yds,5,,,,,
player,201611060min,det,StafMa00,pass_long,28,,,,,
player,201611060min,det,StafMa00,pass_rating,87.6,,,,,
player,201611060min,det,StafMa00,rush_att,0,,,,,
player,201611060min,det,StafMa00,rush_yds,0,,,,,
player,201611060min,det,StafMa00,rush_td,0,,,,,
player,201611060min,det,StafMa00,rush_long,0,,,,,
player,201611060min,det,StafMa00,targets,1,,,,,
player,201611060min,det,StafMa00,rec,0,,,,,
player,201611060min,det,StafMa00,rec_yds,0,,,,,
player,201611060min,det,StafMa00,rec_td,0,,,,,
player,201611060min,det,StafMa00,rec_long,0,,,,,
player,201611060min,det,StafMa00,fumbles,0,,,,,
player,201611060min,det,StafMa00,fumbles_lost,0,,,,,
player,201611060min,det,RiddTh00,pass_cmp,0,,,,,
player,201611060min,det,RiddTh00,pass_att,0,,,,,
player,201611060min,det,RiddTh00,pass_yds,0,,,,,
player,201611060min,det,RiddTh00,pass_td,0,,,,,
player,201611060min,det,RiddTh00,pass_int,0,,,,,
player,201611060min,det,RiddTh00,pass_sacked,0,,,,,
player,201611060min,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201611060min,det,RiddTh00,pass_long,0,,,,,
player,201611060min,det,RiddTh00,pass_rating,,,,,,
player,201611060min,det,RiddTh00,rush_att,14,,,,,
player,201611060min,det,RiddTh00,rush_yds,70,,,,,
player,201611060min,det,RiddTh00,rush_td,0,,,,,
player,201611060min,det,RiddTh00,rush_long,42,,,,,
player,201611060min,det,RiddTh00,targets,3,,,,,
player,201611060min,det,RiddTh00,rec,1,,,,,
player,201611060min,det,RiddTh00,rec_yds,6,,,,,
player,201611060min,det,RiddTh00,rec_td,0,,,,,
player,201611060min,det,RiddTh00,rec_long,6,,,,,
player,201611060min,det,RiddTh00,fumbles,0,,,,,
player,201611060min,det,RiddTh00,fumbles_lost,0,,,,,
player,201611060min,det,WashDw00,pass_cmp,0,,,,,
player,201611060min,det,WashDw00,pass_att,0,,,,,
player,201611060min,det,WashDw00,pass_yds,0,,,,,
player,201611060min,det,WashDw00,pass_td,0,,,,,
player,201611060min,det,WashDw00,pass_int,0,,,,,
player,201611060min,det,WashDw00,pass_sacked,0,,,,,
player,201611060min,det,WashDw00,pass_sacked_yds,0,,,,,
player,201611060min,det,WashDw00,pass_long,0,,,,,
player,201611060min,det,WashDw00,pass_rating,,,,,,
player,201611060min,det,WashDw00,rush_att,10,,,,,
player,201611060min,det,WashDw00,rush_yds,26,,,,,
player,201611060min,det,WashDw00,rush_td,0,,,,,
player,201611060min,det,WashDw00,rush_long,8,,,,,
player,201611060min,det,WashDw00,targets,1,,,,,
player,201611060min,det,WashDw00,rec,0,,,,,
player,201611060min,det,WashDw00,rec_yds,0,,,,,
player,201611060min,det,WashDw00,rec_td,0,,,,,
player,201611060min,det,WashDw00,rec_long,0,,,,,
player,201611060min,det,WashDw00,fumbles,0,,,,,
player,201611060min,det,WashDw00,fumbles_lost,0,,,,,
player,201611060min,det,TateGo00,pass_cmp,0,,,,,
player,201611060min,det,TateGo00,pass_att,0,,,,,
player,201611060min,det,TateGo00,pass_yds,0,,,,,
player,201611060min,det,TateGo00,pass_td,0,,,,,
player,201611060min,det,TateGo00,pass_int,0,,,,,
player,201611060min,det,TateGo00,pass_sacked,0,,,,,
player,201611060min,det,TateGo00,pass_sacked_yds,0,,,,,
player,201611060min,det,TateGo00,pass_long,0,,,,,
player,201611060min,det,TateGo00,pass_rating,,,,,,
player,201611060min,det,TateGo00,rush_att,1,,,,,
player,201611060min,det,TateGo00,rush_yds,1,,,,,
player,201611060min,det,TateGo00,rush_td,0,,,,,
player,201611060min,det,TateGo00,rush_long,1,,,,,
player,201611060min,det,TateGo00,targets,12,,,,,
player,201611060min,det,TateGo00,rec,11,,,,,
player,201611060min,det,TateGo00,rec_yds,79,,,,,
player,201611060min,det,TateGo00,rec_td,1,,,,,
player,201611060min,det,TateGo00,rec_long,28,,,,,
player,201611060min,det,TateGo00,fumbles,0,,,,,
player,201611060min,det,TateGo00,fumbles_lost,0,,,,,
player,201611060min,det,EbroEr00,pass_cmp,0,,,,,
player,201611060min,det,EbroEr00,pass_att,0,,,,,
player,201611060min,det,EbroEr00,pass_yds,0,,,,,
player,201611060min,det,EbroEr00,pass_td,0,,,,,
player,201611060min,det,EbroEr00,pass_int,0,,,,,
player,201611060min,det,EbroEr00,pass_sacked,0,,,,,
player,201611060min,det,EbroEr00,pass_sacked_yds,0,,,,,
player,201611060min,det,EbroEr00,pass_long,0,,,,,
player,201611060min,det,EbroEr00,pass_rating,,,,,,
player,201611060min,det,EbroEr00,rush_att,0,,,,,
player,201611060min,det,EbroEr00,rush_yds,0,,,,,
player,201611060min,det,EbroEr00,rush_td,0,,,,,
player,201611060min,det,EbroEr00,rush_long,0,,,,,
player,201611060min,det,EbroEr00,targets,8,,,,,
player,201611060min,det,EbroEr00,rec,7,,,,,
player,201611060min,det,EbroEr00,rec_yds,92,,,,,
player,201611060min,det,EbroEr00,rec_td,0,,,,,
player,201611060min,det,EbroEr00,rec_long,23,,,,,
player,201611060min,det,EbroEr00,fumbles,0,,,,,
player,201611060min,det,EbroEr00,fumbles_lost,0,,,,,
player,201611060min,det,RobeAn00,pass_cmp,0,,,,,
