game,2016,11,20161120,201611200nyg,chi,"Chicago Bears",16,nyg,"New York Giants",22
team,201611200nyg,chi,First Downs,17,,,,,,
team,201611200nyg,nyg,First Downs,19,,,,,,
team,201611200nyg,chi,Rush-Yds-TDs,25-93-1,,,,,,
team,201611200nyg,nyg,Rush-Yds-TDs,29-102-1,,,,,,
team,201611200nyg,chi,Cmp-Att-Yd-TD-INT,17-30-252-1-1,,,,,,
team,201611200nyg,nyg,Cmp-Att-Yd-TD-INT,21-36-227-2-0,,,,,,
team,201611200nyg,chi,Sacked-Yards,4-30,,,,,,
team,201611200nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201611200nyg,chi,Net Pass Yards,222,,,,,,
team,201611200nyg,nyg,Net Pass Yards,227,,,,,,
team,201611200nyg,chi,Total Yards,315,,,,,,
team,201611200nyg,nyg,Total Yards,329,,,,,,
team,201611200nyg,chi,Fumbles-Lost,2-0,,,,,,
team,201611200nyg,nyg,Fumbles-Lost,2-0,,,,,,
team,201611200nyg,chi,Turnovers,1,,,,,,
team,201611200nyg,nyg,Turnovers,0,,,,,,
team,201611200nyg,chi,Penalties-Yards,5-40,,,,,,
team,201611200nyg,nyg,Penalties-Yards,4-35,,,,,,
team,201611200nyg,chi,Third Down Conv.,4-12,,,,,,
team,201611200nyg,nyg,Third Down Conv.,5-14,,,,,,
team,201611200nyg,chi,Fourth Down Conv.,0-0,,,,,,
team,201611200nyg,nyg,Fourth Down Conv.,2-2,,,,,,
team,201611200nyg,chi,Time of Possession,30:29,,,,,,
team,201611200nyg,nyg,Time of Possession,29:31,,,,,,
player,201611200nyg,chi,CutlJa00,pass_cmp,17,,,,,
player,201611200nyg,chi,CutlJa00,pass_att,30,,,,,
player,201611200nyg,chi,CutlJa00,pass_yds,252,,,,,
player,201611200nyg,chi,CutlJa00,pass_td,1,,,,,
player,201611200nyg,chi,CutlJa00,pass_int,1,,,,,
player,201611200nyg,chi,CutlJa00,pass_sacked,4,,,,,
player,201611200nyg,chi,CutlJa00,pass_sacked_yds,30,,,,,
player,201611200nyg,chi,CutlJa00,pass_long,35,,,,,
player,201611200nyg,chi,CutlJa00,pass_rating,81.5,,,,,
player,201611200nyg,chi,CutlJa00,rush_att,1,,,,,
player,201611200nyg,chi,CutlJa00,rush_yds,3,,,,,
player,201611200nyg,chi,CutlJa00,rush_td,0,,,,,
player,201611200nyg,chi,CutlJa00,rush_long,3,,,,,
