game,2016,1,20160911,201609110crd,nwe,"New England Patriots",23,crd,"Arizona Cardinals",21
team,201609110crd,nwe,First Downs,19,,,,,,
team,201609110crd,crd,First Downs,21,,,,,,
team,201609110crd,nwe,Rush-Yds-TDs,31-106-1,,,,,,
team,201609110crd,crd,Rush-Yds-TDs,19-92-1,,,,,,
team,201609110crd,nwe,Cmp-Att-Yd-TD-INT,24-33-264-1-0,,,,,,
team,201609110crd,crd,Cmp-Att-Yd-TD-INT,24-37-271-2-0,,,,,,
team,201609110crd,nwe,Sacked-Yards,2-7,,,,,,
team,201609110crd,crd,Sacked-Yards,3-19,,,,,,
team,201609110crd,nwe,Net Pass Yards,257,,,,,,
team,201609110crd,crd,Net Pass Yards,252,,,,,,
team,201609110crd,nwe,Total Yards,363,,,,,,
team,201609110crd,crd,Total Yards,344,,,,,,
team,201609110crd,nwe,Fumbles-Lost,3-2,,,,,,
team,201609110crd,crd,Fumbles-Lost,1-0,,,,,,
team,201609110crd,nwe,Turnovers,2,,,,,,
team,201609110crd,crd,Turnovers,0,,,,,,
team,201609110crd,nwe,Penalties-Yards,8-69,,,,,,
team,201609110crd,crd,Penalties-Yards,6-58,,,,,,
team,201609110crd,nwe,Third Down Conv.,10-16,,,,,,
team,201609110crd,crd,Third Down Conv.,6-12,,,,,,
team,201609110crd,nwe,Fourth Down Conv.,0-0,,,,,,
team,201609110crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201609110crd,nwe,Time of Possession,33:59,,,,,,
team,201609110crd,crd,Time of Possession,26:01,,,,,,
player,201609110crd,nwe,GaroJi00,pass_cmp,24,,,,,
player,201609110crd,nwe,GaroJi00,pass_att,33,,,,,
player,201609110crd,nwe,GaroJi00,pass_yds,264,,,,,
player,201609110crd,nwe,GaroJi00,pass_td,1,,,,,
player,201609110crd,nwe,GaroJi00,pass_int,0,,,,,
player,201609110crd,nwe,GaroJi00,pass_sacked,2,,,,,
player,201609110crd,nwe,GaroJi00,pass_sacked_yds,7,,,,,
player,201609110crd,nwe,GaroJi00,pass_long,37,,,,,
player,201609110crd,nwe,GaroJi00,pass_rating,106.1,,,,,
player,201609110crd,nwe,GaroJi00,rush_att,4,,,,,
player,201609110crd,nwe,GaroJi00,rush_yds,12,,,,,
player,201609110crd,nwe,GaroJi00,rush_td,0,,,,,
player,201609110crd,nwe,GaroJi00,rush_long,10,,,,,
player,201609110crd,nwe,GaroJi00,targets,1,,,,,
