game,2016,1,20160911,201609110clt,det,"Detroit Lions",39,clt,"Indianapolis Colts",35
team,201609110clt,det,First Downs,28,,,,,,
team,201609110clt,clt,First Downs,25,,,,,,
team,201609110clt,det,Rush-Yds-TDs,24-116-2,,,,,,
team,201609110clt,clt,Rush-Yds-TDs,19-82-0,,,,,,
team,201609110clt,det,Cmp-Att-Yd-TD-INT,31-39-340-3-0,,,,,,
team,201609110clt,clt,Cmp-Att-Yd-TD-INT,31-47-385-4-0,,,,,,
team,201609110clt,det,Sacked-Yards,1-8,,,,,,
team,201609110clt,clt,Sacked-Yards,2-17,,,,,,
team,201609110clt,det,Net Pass Yards,332,,,,,,
team,201609110clt,clt,Net Pass Yards,368,,,,,,
team,201609110clt,det,Total Yards,448,,,,,,
team,201609110clt,clt,Total Yards,450,,,,,,
team,201609110clt,det,Fumbles-Lost,0-0,,,,,,
team,201609110clt,clt,Fumbles-Lost,0-0,,,,,,
team,201609110clt,det,Turnovers,0,,,,,,
team,201609110clt,clt,Turnovers,0,,,,,,
team,201609110clt,det,Penalties-Yards,8-70,,,,,,
team,201609110clt,clt,Penalties-Yards,5-45,,,,,,
team,201609110clt,det,Third Down Conv.,5-9,,,,,,
team,201609110clt,clt,Third Down Conv.,9-16,,,,,,
team,201609110clt,det,Fourth Down Conv.,0-0,,,,,,
team,201609110clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201609110clt,det,Time of Possession,30:36,,,,,,
team,201609110clt,clt,Time of Possession,29:24,,,,,,
player,201609110clt,det,StafMa00,pass_cmp,31,,,,,
player,201609110clt,det,StafMa00,pass_att,39,,,,,
player,201609110clt,det,StafMa00,pass_yds,340,,,,,
player,201609110clt,det,StafMa00,pass_td,3,,,,,
player,201609110clt,det,StafMa00,pass_int,0,,,,,
player,201609110clt,det,StafMa00,pass_sacked,1,,,,,
player,201609110clt,det,StafMa00,pass_sacked_yds,8,,,,,
player,201609110clt,det,StafMa00,pass_long,32,,,,,
player,201609110clt,det,StafMa00,pass_rating,128.6,,,,,
player,201609110clt,det,StafMa00,rush_att,2,,,,,
player,201609110clt,det,StafMa00,rush_yds,5,,,,,
player,201609110clt,det,StafMa00,rush_td,0,,,,,
player,201609110clt,det,StafMa00,rush_long,6,,,,,
player,201609110clt,det,StafMa00,targets,0,,,,,
player,201609110clt,det,StafMa00,rec,0,,,,,
player,201609110clt,det,StafMa00,rec_yds,0,,,,,
player,201609110clt,det,StafMa00,rec_td,0,,,,,
player,201609110clt,det,StafMa00,rec_long,0,,,,,
player,201609110clt,det,StafMa00,fumbles,0,,,,,
player,201609110clt,det,StafMa00,fumbles_lost,0,,,,,
player,201609110clt,det,AbduAm00,pass_cmp,0,,,,,
player,201609110clt,det,AbduAm00,pass_att,0,,,,,
player,201609110clt,det,AbduAm00,pass_yds,0,,,,,
player,201609110clt,det,AbduAm00,pass_td,0,,,,,
player,201609110clt,det,AbduAm00,pass_int,0,,,,,
player,201609110clt,det,AbduAm00,pass_sacked,0,,,,,
player,201609110clt,det,AbduAm00,pass_sacked_yds,0,,,,,
player,201609110clt,det,AbduAm00,pass_long,0,,,,,
player,201609110clt,det,AbduAm00,pass_rating,,,,,,
player,201609110clt,det,AbduAm00,rush_att,12,,,,,
player,201609110clt,det,AbduAm00,rush_yds,63,,,,,
player,201609110clt,det,AbduAm00,rush_td,0,,,,,
player,201609110clt,det,AbduAm00,rush_long,13,,,,,
player,201609110clt,det,AbduAm00,targets,5,,,,,
player,201609110clt,det,AbduAm00,rec,5,,,,,
player,201609110clt,det,AbduAm00,rec_yds,57,,,,,
player,201609110clt,det,AbduAm00,rec_td,1,,,,,
player,201609110clt,det,AbduAm00,rec_long,18,,,,,
player,201609110clt,det,AbduAm00,fumbles,0,,,,,
player,201609110clt,det,AbduAm00,fumbles_lost,0,,,,,
player,201609110clt,det,RiddTh00,pass_cmp,0,,,,,
player,201609110clt,det,RiddTh00,pass_att,0,,,,,
player,201609110clt,det,RiddTh00,pass_yds,0,,,,,
player,201609110clt,det,RiddTh00,pass_td,0,,,,,
player,201609110clt,det,RiddTh00,pass_int,0,,,,,
player,201609110clt,det,RiddTh00,pass_sacked,0,,,,,
player,201609110clt,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201609110clt,det,RiddTh00,pass_long,0,,,,,
player,201609110clt,det,RiddTh00,pass_rating,,,,,,
player,201609110clt,det,RiddTh00,rush_att,7,,,,,
player,201609110clt,det,RiddTh00,rush_yds,45,,,,,
player,201609110clt,det,RiddTh00,rush_td,1,,,,,
player,201609110clt,det,RiddTh00,rush_long,21,,,,,
player,201609110clt,det,RiddTh00,targets,5,,,,,
player,201609110clt,det,RiddTh00,rec,5,,,,,
player,201609110clt,det,RiddTh00,rec_yds,63,,,,,
player,201609110clt,det,RiddTh00,rec_td,1,,,,,
player,201609110clt,det,RiddTh00,rec_long,19,,,,,
player,201609110clt,det,RiddTh00,fumbles,0,,,,,
player,201609110clt,det,RiddTh00,fumbles_lost,0,,,,,
player,201609110clt,det,TateGo00,pass_cmp,0,,,,,
player,201609110clt,det,TateGo00,pass_att,0,,,,,
player,201609110clt,det,TateGo00,pass_yds,0,,,,,
player,201609110clt,det,TateGo00,pass_td,0,,,,,
player,201609110clt,det,TateGo00,pass_int,0,,,,,
player,201609110clt,det,TateGo00,pass_sacked,0,,,,,
player,201609110clt,det,TateGo00,pass_sacked_yds,0,,,,,
player,201609110clt,det,TateGo00,pass_long,0,,,,,
player,201609110clt,det,TateGo00,pass_rating,,,,,,
player,201609110clt,det,TateGo00,rush_att,1,,,,,
player,201609110clt,det,TateGo00,rush_yds,2,,,,,
player,201609110clt,det,TateGo00,rush_td,0,,,,,
player,201609110clt,det,TateGo00,rush_long,2,,,,,
player,201609110clt,det,TateGo00,targets,7,,,,,
player,201609110clt,det,TateGo00,rec,7,,,,,
player,201609110clt,det,TateGo00,rec_yds,41,,,,,
player,201609110clt,det,TateGo00,rec_td,0,,,,,
player,201609110clt,det,TateGo00,rec_long,11,,,,,
player,201609110clt,det,TateGo00,fumbles,0,,,,,
player,201609110clt,det,TateGo00,fumbles_lost,0,,,,,
player,201609110clt,det,WashDw00,pass_cmp,0,,,,,
player,201609110clt,det,WashDw00,pass_att,0,,,,,
player,201609110clt,det,WashDw00,pass_yds,0,,,,,
player,201609110clt,det,WashDw00,pass_td,0,,,,,
player,201609110clt,det,WashDw00,pass_int,0,,,,,
player,201609110clt,det,WashDw00,pass_sacked,0,,,,,
player,201609110clt,det,WashDw00,pass_sacked_yds,0,,,,,
player,201609110clt,det,WashDw00,pass_long,0,,,,,
player,201609110clt,det,WashDw00,pass_rating,,,,,,
player,201609110clt,det,WashDw00,rush_att,2,,,,,
player,201609110clt,det,WashDw00,rush_yds,1,,,,,
player,201609110clt,det,WashDw00,rush_td,1,,,,,
player,201609110clt,det,WashDw00,rush_long,1,,,,,
player,201609110clt,det,WashDw00,targets,0,,,,,
player,201609110clt,det,WashDw00,rec,0,,,,,
player,201609110clt,det,WashDw00,rec_yds,0,,,,,
player,201609110clt,det,WashDw00,rec_td,0,,,,,
player,201609110clt,det,WashDw00,rec_long,0,,,,,
player,201609110clt,det,WashDw00,fumbles,0,,,,,
player,201609110clt,det,WashDw00,fumbles_lost,0,,,,,
player,201609110clt,det,JoneMa02,pass_cmp,0,,,,,
player,201609110clt,det,JoneMa02,pass_att,0,,,,,
player,201609110clt,det,JoneMa02,pass_yds,0,,,,,
player,201609110clt,det,JoneMa02,pass_td,0,,,,,
player,201609110clt,det,JoneMa02,pass_int,0,,,,,
player,201609110clt,det,JoneMa02,pass_sacked,0,,,,,
player,201609110clt,det,JoneMa02,pass_sacked_yds,0,,,,,
player,201609110clt,det,JoneMa02,pass_long,0,,,,,
player,201609110clt,det,JoneMa02,pass_rating,,,,,,
player,201609110clt,det,JoneMa02,rush_att,0,,,,,
player,201609110clt,det,JoneMa02,rush_yds,0,,,,,
player,201609110clt,det,JoneMa02,rush_td,0,,,,,
player,201609110clt,det,JoneMa02,rush_long,0,,,,,
player,201609110clt,det,JoneMa02,targets,10,,,,,
player,201609110clt,det,JoneMa02,rec,4,,,,,
player,201609110clt,det,JoneMa02,rec_yds,85,,,,,
player,201609110clt,det,JoneMa02,rec_td,0,,,,,
player,201609110clt,det,JoneMa02,rec_long,32,,,,,
player,201609110clt,det,JoneMa02,fumbles,0,,,,,
player,201609110clt,det,JoneMa02,fumbles_lost,0,,,,,
player,201609110clt,det,EbroEr00,pass_cmp,0,,,,,
player,201609110clt,det,EbroEr00,pass_att,0,,,,,
player,201609110clt,det,EbroEr00,pass_yds,0,,,,,
player,201609110clt,det,EbroEr00,pass_td,0,,,,,
player,201609110clt,det,EbroEr00,pass_int,0,,,,,
player,201609110clt,det,EbroEr00,pass_sacked,0,,,,,
player,201609110clt,det,EbroEr00,pass_sacked_yds,0,,,,,
player,201609110clt,det,EbroEr00,pass_long,0,,,,,
player,201609110clt,det,EbroEr00,pass_rating,,,,,,
player,201609110clt,det,EbroEr00,rush_att,0,,,,,
player,201609110clt,det,EbroEr00,rush_yds,0,,,,,
player,201609110clt,det,EbroEr00,rush_td,0,,,,,
player,201609110clt,det,EbroEr00,rush_long,0,,,,,
player,201609110clt,det,EbroEr00,targets,5,,,,,
player,201609110clt,det,EbroEr00,rec,5,,,,,
player,201609110clt,det,EbroEr00,rec_yds,46,,,,,
player,201609110clt,det,EbroEr00,rec_td,1,,,,,
player,201609110clt,det,EbroEr00,rec_long,13,,,,,
player,201609110clt,det,EbroEr00,fumbles,0,,,,,
player,201609110clt,det,EbroEr00,fumbles_lost,0,,,,,
player,201609110clt,det,BoldAn00,pass_cmp,0,,,,,
player,201609110clt,det,BoldAn00,pass_att,0,,,,,
player,201609110clt,det,BoldAn00,pass_yds,0,,,,,
player,201609110clt,det,BoldAn00,pass_td,0,,,,,
player,201609110clt,det,BoldAn00,pass_int,0,,,,,
player,201609110clt,det,BoldAn00,pass_sacked,0,,,,,
player,201609110clt,det,BoldAn00,pass_sacked_yds,0,,,,,
player,201609110clt,det,BoldAn00,pass_long,0,,,,,
player,201609110clt,det,BoldAn00,pass_rating,,,,,,
player,201609110clt,det,BoldAn00,rush_att,0,,,,,
player,201609110clt,det,BoldAn00,rush_yds,0,,,,,
player,201609110clt,det,BoldAn00,rush_td,0,,,,,
player,201609110clt,det,BoldAn00,rush_long,0,,,,,
player,201609110clt,det,BoldAn00,targets,3,,,,,
player,201609110clt,det,BoldAn00,rec,3,,,,,
player,201609110clt,det,BoldAn00,rec_yds,35,,,,,
player,201609110clt,det,BoldAn00,rec_td,0,,,,,
player,201609110clt,det,BoldAn00,rec_long,18,,,,,
player,201609110clt,det,BoldAn00,fumbles,0,,,,,
player,201609110clt,det,BoldAn00,fumbles_lost,0,,,,,
player,201609110clt,det,RobeAn00,pass_cmp,0,,,,,
player,201609110clt,det,RobeAn00,pass_att,0,,,,,
player,201609110clt,det,RobeAn00,pass_yds,0,,,,,
player,201609110clt,det,RobeAn00,pass_td,0,,,,,
player,201609110clt,det,RobeAn00,pass_int,0,,,,,
player,201609110clt,det,RobeAn00,pass_sacked,0,,,,,
player,201609110clt,det,RobeAn00,pass_sacked_yds,0,,,,,
player,201609110clt,det,RobeAn00,pass_long,0,,,,,
player,201609110clt,det,RobeAn00,pass_rating,,,,,,
