game,2016,10,20161113,201611130nor,den,"Denver Broncos",25,nor,"New Orleans Saints",23
team,201611130nor,den,First Downs,24,,,,,,
team,201611130nor,nor,First Downs,19,,,,,,
team,201611130nor,den,Rush-Yds-TDs,37-103-0,,,,,,
team,201611130nor,nor,Rush-Yds-TDs,21-80-0,,,,,,
team,201611130nor,den,Cmp-Att-Yd-TD-INT,25-40-258-2-2,,,,,,
team,201611130nor,nor,Cmp-Att-Yd-TD-INT,21-29-303-3-2,,,,,,
team,201611130nor,den,Sacked-Yards,6-24,,,,,,
team,201611130nor,nor,Sacked-Yards,1-10,,,,,,
team,201611130nor,den,Net Pass Yards,234,,,,,,
team,201611130nor,nor,Net Pass Yards,293,,,,,,
team,201611130nor,den,Total Yards,337,,,,,,
team,201611130nor,nor,Total Yards,373,,,,,,
team,201611130nor,den,Fumbles-Lost,0-0,,,,,,
team,201611130nor,nor,Fumbles-Lost,2-2,,,,,,
team,201611130nor,den,Turnovers,2,,,,,,
team,201611130nor,nor,Turnovers,4,,,,,,
team,201611130nor,den,Penalties-Yards,1-10,,,,,,
team,201611130nor,nor,Penalties-Yards,3-25,,,,,,
team,201611130nor,den,Third Down Conv.,11-19,,,,,,
team,201611130nor,nor,Third Down Conv.,4-9,,,,,,
team,201611130nor,den,Fourth Down Conv.,0-0,,,,,,
team,201611130nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201611130nor,den,Time of Possession,39:22,,,,,,
team,201611130nor,nor,Time of Possession,20:38,,,,,,
player,201611130nor,den,SiemTr00,pass_cmp,25,,,,,
player,201611130nor,den,SiemTr00,pass_att,40,,,,,
player,201611130nor,den,SiemTr00,pass_yds,258,,,,,
player,201611130nor,den,SiemTr00,pass_td,2,,,,,
player,201611130nor,den,SiemTr00,pass_int,2,,,,,
player,201611130nor,den,SiemTr00,pass_sacked,6,,,,,
player,201611130nor,den,SiemTr00,pass_sacked_yds,24,,,,,
player,201611130nor,den,SiemTr00,pass_long,18,,,,,
player,201611130nor,den,SiemTr00,pass_rating,76.9,,,,,
player,201611130nor,den,SiemTr00,rush_att,6,,,,,
player,201611130nor,den,SiemTr00,rush_yds,5,,,,,
player,201611130nor,den,SiemTr00,rush_td,0,,,,,
player,201611130nor,den,SiemTr00,rush_long,3,,,,,
player,201611130nor,den,SiemTr00,targets,0,,,,,
player,201611130nor,den,SiemTr00,rec,0,,,,,
player,201611130nor,den,SiemTr00,rec_yds,0,,,,,
player,201611130nor,den,SiemTr00,rec_td,0,,,,,
player,201611130nor,den,SiemTr00,rec_long,0,,,,,
player,201611130nor,den,SiemTr00,fumbles,0,,,,,
player,201611130nor,den,SiemTr00,fumbles_lost,0,,,,,
player,201611130nor,den,BookDe00,pass_cmp,0,,,,,
player,201611130nor,den,BookDe00,pass_att,0,,,,,
player,201611130nor,den,BookDe00,pass_yds,0,,,,,
player,201611130nor,den,BookDe00,pass_td,0,,,,,
player,201611130nor,den,BookDe00,pass_int,0,,,,,
player,201611130nor,den,BookDe00,pass_sacked,0,,,,,
player,201611130nor,den,BookDe00,pass_sacked_yds,0,,,,,
player,201611130nor,den,BookDe00,pass_long,0,,,,,
player,201611130nor,den,BookDe00,pass_rating,,,,,,
player,201611130nor,den,BookDe00,rush_att,24,,,,,
player,201611130nor,den,BookDe00,rush_yds,76,,,,,
player,201611130nor,den,BookDe00,rush_td,0,,,,,
player,201611130nor,den,BookDe00,rush_long,11,,,,,
player,201611130nor,den,BookDe00,targets,2,,,,,
player,201611130nor,den,BookDe00,rec,2,,,,,
player,201611130nor,den,BookDe00,rec_yds,12,,,,,
player,201611130nor,den,BookDe00,rec_td,0,,,,,
player,201611130nor,den,BookDe00,rec_long,10,,,,,
player,201611130nor,den,BookDe00,fumbles,0,,,,,
player,201611130nor,den,BookDe00,fumbles_lost,0,,,,,
player,201611130nor,den,BibbKa00,pass_cmp,0,,,,,
player,201611130nor,den,BibbKa00,pass_att,0,,,,,
player,201611130nor,den,BibbKa00,pass_yds,0,,,,,
player,201611130nor,den,BibbKa00,pass_td,0,,,,,
player,201611130nor,den,BibbKa00,pass_int,0,,,,,
player,201611130nor,den,BibbKa00,pass_sacked,0,,,,,
player,201611130nor,den,BibbKa00,pass_sacked_yds,0,,,,,
player,201611130nor,den,BibbKa00,pass_long,0,,,,,
player,201611130nor,den,BibbKa00,pass_rating,,,,,,
player,201611130nor,den,BibbKa00,rush_att,7,,,,,
player,201611130nor,den,BibbKa00,rush_yds,22,,,,,
player,201611130nor,den,BibbKa00,rush_td,0,,,,,
player,201611130nor,den,BibbKa00,rush_long,9,,,,,
player,201611130nor,den,BibbKa00,targets,1,,,,,
player,201611130nor,den,BibbKa00,rec,0,,,,,
player,201611130nor,den,BibbKa00,rec_yds,0,,,,,
player,201611130nor,den,BibbKa00,rec_td,0,,,,,
player,201611130nor,den,BibbKa00,rec_long,0,,,,,
player,201611130nor,den,BibbKa00,fumbles,0,,,,,
player,201611130nor,den,BibbKa00,fumbles_lost,0,,,,,
player,201611130nor,den,ThomDe03,pass_cmp,0,,,,,
player,201611130nor,den,ThomDe03,pass_att,0,,,,,
player,201611130nor,den,ThomDe03,pass_yds,0,,,,,
player,201611130nor,den,ThomDe03,pass_td,0,,,,,
player,201611130nor,den,ThomDe03,pass_int,0,,,,,
player,201611130nor,den,ThomDe03,pass_sacked,0,,,,,
player,201611130nor,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201611130nor,den,ThomDe03,pass_long,0,,,,,
player,201611130nor,den,ThomDe03,pass_rating,,,,,,
player,201611130nor,den,ThomDe03,rush_att,0,,,,,
player,201611130nor,den,ThomDe03,rush_yds,0,,,,,
player,201611130nor,den,ThomDe03,rush_td,0,,,,,
player,201611130nor,den,ThomDe03,rush_long,0,,,,,
player,201611130nor,den,ThomDe03,targets,11,,,,,
player,201611130nor,den,ThomDe03,rec,8,,,,,
player,201611130nor,den,ThomDe03,rec_yds,87,,,,,
player,201611130nor,den,ThomDe03,rec_td,1,,,,,
player,201611130nor,den,ThomDe03,rec_long,18,,,,,
player,201611130nor,den,ThomDe03,fumbles,0,,,,,
player,201611130nor,den,ThomDe03,fumbles_lost,0,,,,,
player,201611130nor,den,SandEm00,pass_cmp,0,,,,,
player,201611130nor,den,SandEm00,pass_att,0,,,,,
player,201611130nor,den,SandEm00,pass_yds,0,,,,,
player,201611130nor,den,SandEm00,pass_td,0,,,,,
player,201611130nor,den,SandEm00,pass_int,0,,,,,
player,201611130nor,den,SandEm00,pass_sacked,0,,,,,
player,201611130nor,den,SandEm00,pass_sacked_yds,0,,,,,
player,201611130nor,den,SandEm00,pass_long,0,,,,,
player,201611130nor,den,SandEm00,pass_rating,,,,,,
player,201611130nor,den,SandEm00,rush_att,0,,,,,
player,201611130nor,den,SandEm00,rush_yds,0,,,,,
player,201611130nor,den,SandEm00,rush_td,0,,,,,
player,201611130nor,den,SandEm00,rush_long,0,,,,,
player,201611130nor,den,SandEm00,targets,9,,,,,
