game,2016,10,20161113,201611130car,kan,"Kansas City Chiefs",20,car,"Carolina Panthers",17
team,201611130car,kan,First Downs,18,,,,,,
team,201611130car,car,First Downs,22,,,,,,
team,201611130car,kan,Rush-Yds-TDs,20-91-0,,,,,,
team,201611130car,car,Rush-Yds-TDs,29-99-1,,,,,,
team,201611130car,kan,Cmp-Att-Yd-TD-INT,25-38-178-0-1,,,,,,
team,201611130car,car,Cmp-Att-Yd-TD-INT,23-38-261-1-1,,,,,,
team,201611130car,kan,Sacked-Yards,3-13,,,,,,
team,201611130car,car,Sacked-Yards,2-19,,,,,,
team,201611130car,kan,Net Pass Yards,165,,,,,,
team,201611130car,car,Net Pass Yards,242,,,,,,
team,201611130car,kan,Total Yards,256,,,,,,
team,201611130car,car,Total Yards,341,,,,,,
team,201611130car,kan,Fumbles-Lost,2-0,,,,,,
team,201611130car,car,Fumbles-Lost,1-1,,,,,,
team,201611130car,kan,Turnovers,1,,,,,,
team,201611130car,car,Turnovers,2,,,,,,
team,201611130car,kan,Penalties-Yards,9-45,,,,,,
team,201611130car,car,Penalties-Yards,6-53,,,,,,
team,201611130car,kan,Third Down Conv.,2-12,,,,,,
team,201611130car,car,Third Down Conv.,6-14,,,,,,
team,201611130car,kan,Fourth Down Conv.,1-1,,,,,,
team,201611130car,car,Fourth Down Conv.,1-1,,,,,,
team,201611130car,kan,Time of Possession,24:48,,,,,,
team,201611130car,car,Time of Possession,35:12,,,,,,
player,201611130car,kan,SmitAl03,pass_cmp,25,,,,,
player,201611130car,kan,SmitAl03,pass_att,38,,,,,
player,201611130car,kan,SmitAl03,pass_yds,178,,,,,
player,201611130car,kan,SmitAl03,pass_td,0,,,,,
player,201611130car,kan,SmitAl03,pass_int,1,,,,,
player,201611130car,kan,SmitAl03,pass_sacked,3,,,,,
player,201611130car,kan,SmitAl03,pass_sacked_yds,13,,,,,
player,201611130car,kan,SmitAl03,pass_long,27,,,,,
player,201611130car,kan,SmitAl03,pass_rating,65.5,,,,,
player,201611130car,kan,SmitAl03,rush_att,4,,,,,
player,201611130car,kan,SmitAl03,rush_yds,13,,,,,
player,201611130car,kan,SmitAl03,rush_td,0,,,,,
player,201611130car,kan,SmitAl03,rush_long,6,,,,,
player,201611130car,kan,SmitAl03,targets,0,,,,,
player,201611130car,kan,SmitAl03,rec,0,,,,,
player,201611130car,kan,SmitAl03,rec_yds,0,,,,,
player,201611130car,kan,SmitAl03,rec_td,0,,,,,
player,201611130car,kan,SmitAl03,rec_long,0,,,,,
player,201611130car,kan,SmitAl03,fumbles,0,,,,,
player,201611130car,kan,SmitAl03,fumbles_lost,0,,,,,
player,201611130car,kan,WareSp00,pass_cmp,0,,,,,
player,201611130car,kan,WareSp00,pass_att,0,,,,,
player,201611130car,kan,WareSp00,pass_yds,0,,,,,
player,201611130car,kan,WareSp00,pass_td,0,,,,,
player,201611130car,kan,WareSp00,pass_int,0,,,,,
player,201611130car,kan,WareSp00,pass_sacked,0,,,,,
player,201611130car,kan,WareSp00,pass_sacked_yds,0,,,,,
player,201611130car,kan,WareSp00,pass_long,0,,,,,
player,201611130car,kan,WareSp00,pass_rating,,,,,,
player,201611130car,kan,WareSp00,rush_att,13,,,,,
player,201611130car,kan,WareSp00,rush_yds,61,,,,,
player,201611130car,kan,WareSp00,rush_td,0,,,,,
player,201611130car,kan,WareSp00,rush_long,12,,,,,
player,201611130car,kan,WareSp00,targets,3,,,,,
player,201611130car,kan,WareSp00,rec,3,,,,,
player,201611130car,kan,WareSp00,rec_yds,11,,,,,
player,201611130car,kan,WareSp00,rec_td,0,,,,,
player,201611130car,kan,WareSp00,rec_long,5,,,,,
player,201611130car,kan,WareSp00,fumbles,0,,,,,
player,201611130car,kan,WareSp00,fumbles_lost,0,,,,,
player,201611130car,kan,HillTy00,pass_cmp,0,,,,,
player,201611130car,kan,HillTy00,pass_att,0,,,,,
player,201611130car,kan,HillTy00,pass_yds,0,,,,,
player,201611130car,kan,HillTy00,pass_td,0,,,,,
player,201611130car,kan,HillTy00,pass_int,0,,,,,
player,201611130car,kan,HillTy00,pass_sacked,0,,,,,
player,201611130car,kan,HillTy00,pass_sacked_yds,0,,,,,
player,201611130car,kan,HillTy00,pass_long,0,,,,,
player,201611130car,kan,HillTy00,pass_rating,,,,,,
player,201611130car,kan,HillTy00,rush_att,1,,,,,
player,201611130car,kan,HillTy00,rush_yds,12,,,,,
player,201611130car,kan,HillTy00,rush_td,0,,,,,
player,201611130car,kan,HillTy00,rush_long,12,,,,,
player,201611130car,kan,HillTy00,targets,13,,,,,
player,201611130car,kan,HillTy00,rec,10,,,,,
player,201611130car,kan,HillTy00,rec_yds,89,,,,,
player,201611130car,kan,HillTy00,rec_td,0,,,,,
player,201611130car,kan,HillTy00,rec_long,27,,,,,
player,201611130car,kan,HillTy00,fumbles,2,,,,,
player,201611130car,kan,HillTy00,fumbles_lost,0,,,,,
player,201611130car,kan,WestCh01,pass_cmp,0,,,,,
player,201611130car,kan,WestCh01,pass_att,0,,,,,
player,201611130car,kan,WestCh01,pass_yds,0,,,,,
player,201611130car,kan,WestCh01,pass_td,0,,,,,
player,201611130car,kan,WestCh01,pass_int,0,,,,,
player,201611130car,kan,WestCh01,pass_sacked,0,,,,,
player,201611130car,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201611130car,kan,WestCh01,pass_long,0,,,,,
