game,2016,4,20161003,201610030min,nyg,"New York Giants",10,min,"Minnesota Vikings",24
team,201610030min,nyg,First Downs,18,,,,,,
team,201610030min,min,First Downs,22,,,,,,
team,201610030min,nyg,Rush-Yds-TDs,18-78-1,,,,,,
team,201610030min,min,Rush-Yds-TDs,33-104-2,,,,,,
team,201610030min,nyg,Cmp-Att-Yd-TD-INT,25-45-261-0-1,,,,,,
team,201610030min,min,Cmp-Att-Yd-TD-INT,26-36-262-1-0,,,,,,
team,201610030min,nyg,Sacked-Yards,0-0,,,,,,
team,201610030min,min,Sacked-Yards,0-0,,,,,,
team,201610030min,nyg,Net Pass Yards,261,,,,,,
team,201610030min,min,Net Pass Yards,262,,,,,,
team,201610030min,nyg,Total Yards,339,,,,,,
team,201610030min,min,Total Yards,366,,,,,,
team,201610030min,nyg,Fumbles-Lost,1-1,,,,,,
team,201610030min,min,Fumbles-Lost,0-0,,,,,,
team,201610030min,nyg,Turnovers,2,,,,,,
team,201610030min,min,Turnovers,0,,,,,,
team,201610030min,nyg,Penalties-Yards,8-69,,,,,,
team,201610030min,min,Penalties-Yards,6-37,,,,,,
team,201610030min,nyg,Third Down Conv.,2-12,,,,,,
team,201610030min,min,Third Down Conv.,8-16,,,,,,
team,201610030min,nyg,Fourth Down Conv.,0-2,,,,,,
team,201610030min,min,Fourth Down Conv.,0-0,,,,,,
team,201610030min,nyg,Time of Possession,24:28,,,,,,
team,201610030min,min,Time of Possession,35:32,,,,,,
player,201610030min,nyg,MannEl00,pass_cmp,25,,,,,
player,201610030min,nyg,MannEl00,pass_att,45,,,,,
player,201610030min,nyg,MannEl00,pass_yds,261,,,,,
player,201610030min,nyg,MannEl00,pass_td,0,,,,,
player,201610030min,nyg,MannEl00,pass_int,1,,,,,
player,201610030min,nyg,MannEl00,pass_sacked,0,,,,,
player,201610030min,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201610030min,nyg,MannEl00,pass_long,67,,,,,
player,201610030min,nyg,MannEl00,pass_rating,63.3,,,,,
player,201610030min,nyg,MannEl00,rush_att,0,,,,,
player,201610030min,nyg,MannEl00,rush_yds,0,,,,,
player,201610030min,nyg,MannEl00,rush_td,0,,,,,
player,201610030min,nyg,MannEl00,rush_long,0,,,,,
player,201610030min,nyg,MannEl00,targets,0,,,,,
player,201610030min,nyg,MannEl00,rec,0,,,,,
player,201610030min,nyg,MannEl00,rec_yds,0,,,,,
player,201610030min,nyg,MannEl00,rec_td,0,,,,,
player,201610030min,nyg,MannEl00,rec_long,0,,,,,
player,201610030min,nyg,MannEl00,fumbles,0,,,,,
player,201610030min,nyg,MannEl00,fumbles_lost,0,,,,,
player,201610030min,nyg,DarkOr00,pass_cmp,0,,,,,
player,201610030min,nyg,DarkOr00,pass_att,0,,,,,
player,201610030min,nyg,DarkOr00,pass_yds,0,,,,,
player,201610030min,nyg,DarkOr00,pass_td,0,,,,,
player,201610030min,nyg,DarkOr00,pass_int,0,,,,,
player,201610030min,nyg,DarkOr00,pass_sacked,0,,,,,
player,201610030min,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201610030min,nyg,DarkOr00,pass_long,0,,,,,
player,201610030min,nyg,DarkOr00,pass_rating,,,,,,
player,201610030min,nyg,DarkOr00,rush_att,12,,,,,
player,201610030min,nyg,DarkOr00,rush_yds,48,,,,,
player,201610030min,nyg,DarkOr00,rush_td,1,,,,,
player,201610030min,nyg,DarkOr00,rush_long,17,,,,,
player,201610030min,nyg,DarkOr00,targets,2,,,,,
player,201610030min,nyg,DarkOr00,rec,0,,,,,
player,201610030min,nyg,DarkOr00,rec_yds,0,,,,,
player,201610030min,nyg,DarkOr00,rec_td,0,,,,,
player,201610030min,nyg,DarkOr00,rec_long,0,,,,,
player,201610030min,nyg,DarkOr00,fumbles,0,,,,,
player,201610030min,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201610030min,nyg,RainBo00,pass_cmp,0,,,,,
player,201610030min,nyg,RainBo00,pass_att,0,,,,,
player,201610030min,nyg,RainBo00,pass_yds,0,,,,,
player,201610030min,nyg,RainBo00,pass_td,0,,,,,
player,201610030min,nyg,RainBo00,pass_int,0,,,,,
player,201610030min,nyg,RainBo00,pass_sacked,0,,,,,
player,201610030min,nyg,RainBo00,pass_sacked_yds,0,,,,,
player,201610030min,nyg,RainBo00,pass_long,0,,,,,
player,201610030min,nyg,RainBo00,pass_rating,,,,,,
player,201610030min,nyg,RainBo00,rush_att,4,,,,,
player,201610030min,nyg,RainBo00,rush_yds,22,,,,,
player,201610030min,nyg,RainBo00,rush_td,0,,,,,
player,201610030min,nyg,RainBo00,rush_long,9,,,,,
player,201610030min,nyg,RainBo00,targets,9,,,,,
player,201610030min,nyg,RainBo00,rec,7,,,,,
player,201610030min,nyg,RainBo00,rec_yds,43,,,,,
player,201610030min,nyg,RainBo00,rec_td,0,,,,,
player,201610030min,nyg,RainBo00,rec_long,11,,,,,
player,201610030min,nyg,RainBo00,fumbles,0,,,,,
player,201610030min,nyg,RainBo00,fumbles_lost,0,,,,,
player,201610030min,nyg,PerkPa00,pass_cmp,0,,,,,
player,201610030min,nyg,PerkPa00,pass_att,0,,,,,
player,201610030min,nyg,PerkPa00,pass_yds,0,,,,,
player,201610030min,nyg,PerkPa00,pass_td,0,,,,,
player,201610030min,nyg,PerkPa00,pass_int,0,,,,,
player,201610030min,nyg,PerkPa00,pass_sacked,0,,,,,
player,201610030min,nyg,PerkPa00,pass_sacked_yds,0,,,,,
player,201610030min,nyg,PerkPa00,pass_long,0,,,,,
player,201610030min,nyg,PerkPa00,pass_rating,,,,,,
player,201610030min,nyg,PerkPa00,rush_att,2,,,,,
player,201610030min,nyg,PerkPa00,rush_yds,8,,,,,
player,201610030min,nyg,PerkPa00,rush_td,0,,,,,
player,201610030min,nyg,PerkPa00,rush_long,5,,,,,
player,201610030min,nyg,PerkPa00,targets,3,,,,,
player,201610030min,nyg,PerkPa00,rec,2,,,,,
player,201610030min,nyg,PerkPa00,rec_yds,72,,,,,
player,201610030min,nyg,PerkPa00,rec_td,0,,,,,
player,201610030min,nyg,PerkPa00,rec_long,67,,,,,
player,201610030min,nyg,PerkPa00,fumbles,0,,,,,
player,201610030min,nyg,PerkPa00,fumbles_lost,0,,,,,
player,201610030min,nyg,CruzVi00,pass_cmp,0,,,,,
player,201610030min,nyg,CruzVi00,pass_att,0,,,,,
player,201610030min,nyg,CruzVi00,pass_yds,0,,,,,
player,201610030min,nyg,CruzVi00,pass_td,0,,,,,
player,201610030min,nyg,CruzVi00,pass_int,0,,,,,
player,201610030min,nyg,CruzVi00,pass_sacked,0,,,,,
player,201610030min,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201610030min,nyg,CruzVi00,pass_long,0,,,,,
player,201610030min,nyg,CruzVi00,pass_rating,,,,,,
player,201610030min,nyg,CruzVi00,rush_att,0,,,,,
player,201610030min,nyg,CruzVi00,rush_yds,0,,,,,
player,201610030min,nyg,CruzVi00,rush_td,0,,,,,
player,201610030min,nyg,CruzVi00,rush_long,0,,,,,
player,201610030min,nyg,CruzVi00,targets,9,,,,,
player,201610030min,nyg,CruzVi00,rec,5,,,,,
player,201610030min,nyg,CruzVi00,rec_yds,50,,,,,
player,201610030min,nyg,CruzVi00,rec_td,0,,,,,
player,201610030min,nyg,CruzVi00,rec_long,14,,,,,
player,201610030min,nyg,CruzVi00,fumbles,0,,,,,
player,201610030min,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201610030min,nyg,TyexWi00,pass_cmp,0,,,,,
player,201610030min,nyg,TyexWi00,pass_att,0,,,,,
player,201610030min,nyg,TyexWi00,pass_yds,0,,,,,
player,201610030min,nyg,TyexWi00,pass_td,0,,,,,
player,201610030min,nyg,TyexWi00,pass_int,0,,,,,
player,201610030min,nyg,TyexWi00,pass_sacked,0,,,,,
player,201610030min,nyg,TyexWi00,pass_sacked_yds,0,,,,,
player,201610030min,nyg,TyexWi00,pass_long,0,,,,,
player,201610030min,nyg,TyexWi00,pass_rating,,,,,,
player,201610030min,nyg,TyexWi00,rush_att,0,,,,,
player,201610030min,nyg,TyexWi00,rush_yds,0,,,,,
player,201610030min,nyg,TyexWi00,rush_td,0,,,,,
player,201610030min,nyg,TyexWi00,rush_long,0,,,,,
player,201610030min,nyg,TyexWi00,targets,6,,,,,
player,201610030min,nyg,TyexWi00,rec,4,,,,,
player,201610030min,nyg,TyexWi00,rec_yds,43,,,,,
player,201610030min,nyg,TyexWi00,rec_td,0,,,,,
player,201610030min,nyg,TyexWi00,rec_long,18,,,,,
player,201610030min,nyg,TyexWi00,fumbles,0,,,,,
player,201610030min,nyg,TyexWi00,fumbles_lost,0,,,,,
player,201610030min,nyg,ShepSt00,pass_cmp,0,,,,,
player,201610030min,nyg,ShepSt00,pass_att,0,,,,,
player,201610030min,nyg,ShepSt00,pass_yds,0,,,,,
player,201610030min,nyg,ShepSt00,pass_td,0,,,,,
player,201610030min,nyg,ShepSt00,pass_int,0,,,,,
player,201610030min,nyg,ShepSt00,pass_sacked,0,,,,,
player,201610030min,nyg,ShepSt00,pass_sacked_yds,0,,,,,
player,201610030min,nyg,ShepSt00,pass_long,0,,,,,
player,201610030min,nyg,ShepSt00,pass_rating,,,,,,
player,201610030min,nyg,ShepSt00,rush_att,0,,,,,
player,201610030min,nyg,ShepSt00,rush_yds,0,,,,,
player,201610030min,nyg,ShepSt00,rush_td,0,,,,,
player,201610030min,nyg,ShepSt00,rush_long,0,,,,,
player,201610030min,nyg,ShepSt00,targets,7,,,,,
player,201610030min,nyg,ShepSt00,rec,4,,,,,
player,201610030min,nyg,ShepSt00,rec_yds,30,,,,,
player,201610030min,nyg,ShepSt00,rec_td,0,,,,,
player,201610030min,nyg,ShepSt00,rec_long,12,,,,,
player,201610030min,nyg,ShepSt00,fumbles,0,,,,,
player,201610030min,nyg,ShepSt00,fumbles_lost,0,,,,,
player,201610030min,nyg,BeckOd00,pass_cmp,0,,,,,
player,201610030min,nyg,BeckOd00,pass_att,0,,,,,
player,201610030min,nyg,BeckOd00,pass_yds,0,,,,,
player,201610030min,nyg,BeckOd00,pass_td,0,,,,,
player,201610030min,nyg,BeckOd00,pass_int,0,,,,,
player,201610030min,nyg,BeckOd00,pass_sacked,0,,,,,
player,201610030min,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201610030min,nyg,BeckOd00,pass_long,0,,,,,
player,201610030min,nyg,BeckOd00,pass_rating,,,,,,
player,201610030min,nyg,BeckOd00,rush_att,0,,,,,
player,201610030min,nyg,BeckOd00,rush_yds,0,,,,,
player,201610030min,nyg,BeckOd00,rush_td,0,,,,,
player,201610030min,nyg,BeckOd00,rush_long,0,,,,,
player,201610030min,nyg,BeckOd00,targets,9,,,,,
player,201610030min,nyg,BeckOd00,rec,3,,,,,
player,201610030min,nyg,BeckOd00,rec_yds,23,,,,,
player,201610030min,nyg,BeckOd00,rec_td,0,,,,,
player,201610030min,nyg,BeckOd00,rec_long,10,,,,,
player,201610030min,nyg,BeckOd00,fumbles,0,,,,,
player,201610030min,nyg,BeckOd00,fumbles_lost,0,,,,,
player,201610030min,min,BradSa00,pass_cmp,26,,,,,
player,201610030min,min,BradSa00,pass_att,36,,,,,
player,201610030min,min,BradSa00,pass_yds,262,,,,,
player,201610030min,min,BradSa00,pass_td,1,,,,,
player,201610030min,min,BradSa00,pass_int,0,,,,,
player,201610030min,min,BradSa00,pass_sacked,0,,,,,
player,201610030min,min,BradSa00,pass_sacked_yds,0,,,,,
player,201610030min,min,BradSa00,pass_long,40,,,,,
player,201610030min,min,BradSa00,pass_rating,101.9,,,,,
player,201610030min,min,BradSa00,rush_att,4,,,,,
player,201610030min,min,BradSa00,rush_yds,6,,,,,
player,201610030min,min,BradSa00,rush_td,0,,,,,
player,201610030min,min,BradSa00,rush_long,5,,,,,
player,201610030min,min,BradSa00,targets,0,,,,,
player,201610030min,min,BradSa00,rec,0,,,,,
player,201610030min,min,BradSa00,rec_yds,0,,,,,
player,201610030min,min,BradSa00,rec_td,0,,,,,
player,201610030min,min,BradSa00,rec_long,0,,,,,
player,201610030min,min,BradSa00,fumbles,0,,,,,
player,201610030min,min,BradSa00,fumbles_lost,0,,,,,
player,201610030min,min,McKiJe00,pass_cmp,0,,,,,
player,201610030min,min,McKiJe00,pass_att,0,,,,,
player,201610030min,min,McKiJe00,pass_yds,0,,,,,
player,201610030min,min,McKiJe00,pass_td,0,,,,,
player,201610030min,min,McKiJe00,pass_int,0,,,,,
player,201610030min,min,McKiJe00,pass_sacked,0,,,,,
player,201610030min,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201610030min,min,McKiJe00,pass_long,0,,,,,
player,201610030min,min,McKiJe00,pass_rating,,,,,,
player,201610030min,min,McKiJe00,rush_att,18,,,,,
player,201610030min,min,McKiJe00,rush_yds,85,,,,,
player,201610030min,min,McKiJe00,rush_td,1,,,,,
player,201610030min,min,McKiJe00,rush_long,25,,,,,
player,201610030min,min,McKiJe00,targets,5,,,,,
player,201610030min,min,McKiJe00,rec,3,,,,,
player,201610030min,min,McKiJe00,rec_yds,10,,,,,
player,201610030min,min,McKiJe00,rec_td,0,,,,,
player,201610030min,min,McKiJe00,rec_long,6,,,,,
player,201610030min,min,McKiJe00,fumbles,0,,,,,
player,201610030min,min,McKiJe00,fumbles_lost,0,,,,,
player,201610030min,min,AsiaMa00,pass_cmp,0,,,,,
player,201610030min,min,AsiaMa00,pass_att,0,,,,,
player,201610030min,min,AsiaMa00,pass_yds,0,,,,,
player,201610030min,min,AsiaMa00,pass_td,0,,,,,
player,201610030min,min,AsiaMa00,pass_int,0,,,,,
player,201610030min,min,AsiaMa00,pass_sacked,0,,,,,
player,201610030min,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201610030min,min,AsiaMa00,pass_long,0,,,,,
player,201610030min,min,AsiaMa00,pass_rating,,,,,,
player,201610030min,min,AsiaMa00,rush_att,6,,,,,
player,201610030min,min,AsiaMa00,rush_yds,6,,,,,
player,201610030min,min,AsiaMa00,rush_td,1,,,,,
player,201610030min,min,AsiaMa00,rush_long,4,,,,,
player,201610030min,min,AsiaMa00,targets,2,,,,,
player,201610030min,min,AsiaMa00,rec,2,,,,,
player,201610030min,min,AsiaMa00,rec_yds,12,,,,,
player,201610030min,min,AsiaMa00,rec_td,0,,,,,
player,201610030min,min,AsiaMa00,rec_long,7,,,,,
player,201610030min,min,AsiaMa00,fumbles,0,,,,,
player,201610030min,min,AsiaMa00,fumbles_lost,0,,,,,
player,201610030min,min,LineZa01,pass_cmp,0,,,,,
player,201610030min,min,LineZa01,pass_att,0,,,,,
player,201610030min,min,LineZa01,pass_yds,0,,,,,
player,201610030min,min,LineZa01,pass_td,0,,,,,
player,201610030min,min,LineZa01,pass_int,0,,,,,
player,201610030min,min,LineZa01,pass_sacked,0,,,,,
player,201610030min,min,LineZa01,pass_sacked_yds,0,,,,,
player,201610030min,min,LineZa01,pass_long,0,,,,,
player,201610030min,min,LineZa01,pass_rating,,,,,,
player,201610030min,min,LineZa01,rush_att,3,,,,,
player,201610030min,min,LineZa01,rush_yds,6,,,,,
player,201610030min,min,LineZa01,rush_td,0,,,,,
player,201610030min,min,LineZa01,rush_long,2,,,,,
player,201610030min,min,LineZa01,targets,0,,,,,
player,201610030min,min,LineZa01,rec,0,,,,,
player,201610030min,min,LineZa01,rec_yds,0,,,,,
player,201610030min,min,LineZa01,rec_td,0,,,,,
player,201610030min,min,LineZa01,rec_long,0,,,,,
player,201610030min,min,LineZa01,fumbles,0,,,,,
player,201610030min,min,LineZa01,fumbles_lost,0,,,,,
player,201610030min,min,PattCo00,pass_cmp,0,,,,,
player,201610030min,min,PattCo00,pass_att,0,,,,,
player,201610030min,min,PattCo00,pass_yds,0,,,,,
player,201610030min,min,PattCo00,pass_td,0,,,,,
player,201610030min,min,PattCo00,pass_int,0,,,,,
player,201610030min,min,PattCo00,pass_sacked,0,,,,,
player,201610030min,min,PattCo00,pass_sacked_yds,0,,,,,
player,201610030min,min,PattCo00,pass_long,0,,,,,
player,201610030min,min,PattCo00,pass_rating,,,,,,
player,201610030min,min,PattCo00,rush_att,1,,,,,
player,201610030min,min,PattCo00,rush_yds,2,,,,,
player,201610030min,min,PattCo00,rush_td,0,,,,,
player,201610030min,min,PattCo00,rush_long,2,,,,,
player,201610030min,min,PattCo00,targets,6,,,,,
player,201610030min,min,PattCo00,rec,5,,,,,
player,201610030min,min,PattCo00,rec_yds,38,,,,,
player,201610030min,min,PattCo00,rec_td,0,,,,,
player,201610030min,min,PattCo00,rec_long,21,,,,,
player,201610030min,min,PattCo00,fumbles,0,,,,,
player,201610030min,min,PattCo00,fumbles_lost,0,,,,,
player,201610030min,min,JohnCh08,pass_cmp,0,,,,,
player,201610030min,min,JohnCh08,pass_att,0,,,,,
player,201610030min,min,JohnCh08,pass_yds,0,,,,,
player,201610030min,min,JohnCh08,pass_td,0,,,,,
player,201610030min,min,JohnCh08,pass_int,0,,,,,
player,201610030min,min,JohnCh08,pass_sacked,0,,,,,
player,201610030min,min,JohnCh08,pass_sacked_yds,0,,,,,
player,201610030min,min,JohnCh08,pass_long,0,,,,,
player,201610030min,min,JohnCh08,pass_rating,,,,,,
player,201610030min,min,JohnCh08,rush_att,0,,,,,
player,201610030min,min,JohnCh08,rush_yds,0,,,,,
player,201610030min,min,JohnCh08,rush_td,0,,,,,
player,201610030min,min,JohnCh08,rush_long,0,,,,,
player,201610030min,min,JohnCh08,targets,4,,,,,
player,201610030min,min,JohnCh08,rec,2,,,,,
player,201610030min,min,JohnCh08,rec_yds,70,,,,,
player,201610030min,min,JohnCh08,rec_td,0,,,,,
player,201610030min,min,JohnCh08,rec_long,40,,,,,
player,201610030min,min,JohnCh08,fumbles,0,,,,,
player,201610030min,min,JohnCh08,fumbles_lost,0,,,,,
player,201610030min,min,RudoKy00,pass_cmp,0,,,,,
player,201610030min,min,RudoKy00,pass_att,0,,,,,
player,201610030min,min,RudoKy00,pass_yds,0,,,,,
player,201610030min,min,RudoKy00,pass_td,0,,,,,
player,201610030min,min,RudoKy00,pass_int,0,,,,,
player,201610030min,min,RudoKy00,pass_sacked,0,,,,,
player,201610030min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201610030min,min,RudoKy00,pass_long,0,,,,,
player,201610030min,min,RudoKy00,pass_rating,,,,,,
player,201610030min,min,RudoKy00,rush_att,0,,,,,
player,201610030min,min,RudoKy00,rush_yds,0,,,,,
player,201610030min,min,RudoKy00,rush_td,0,,,,,
player,201610030min,min,RudoKy00,rush_long,0,,,,,
player,201610030min,min,RudoKy00,targets,7,,,,,
player,201610030min,min,RudoKy00,rec,5,,,,,
player,201610030min,min,RudoKy00,rec_yds,55,,,,,
player,201610030min,min,RudoKy00,rec_td,1,,,,,
player,201610030min,min,RudoKy00,rec_long,16,,,,,
player,201610030min,min,RudoKy00,fumbles,0,,,,,
player,201610030min,min,RudoKy00,fumbles_lost,0,,,,,
player,201610030min,min,ThieAd00,pass_cmp,0,,,,,
player,201610030min,min,ThieAd00,pass_att,0,,,,,
player,201610030min,min,ThieAd00,pass_yds,0,,,,,
player,201610030min,min,ThieAd00,pass_td,0,,,,,
player,201610030min,min,ThieAd00,pass_int,0,,,,,
player,201610030min,min,ThieAd00,pass_sacked,0,,,,,
player,201610030min,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201610030min,min,ThieAd00,pass_long,0,,,,,
player,201610030min,min,ThieAd00,pass_rating,,,,,,
player,201610030min,min,ThieAd00,rush_att,0,,,,,
player,201610030min,min,ThieAd00,rush_yds,0,,,,,
player,201610030min,min,ThieAd00,rush_td,0,,,,,
player,201610030min,min,ThieAd00,rush_long,0,,,,,
player,201610030min,min,ThieAd00,targets,3,,,,,
player,201610030min,min,ThieAd00,rec,2,,,,,
player,201610030min,min,ThieAd00,rec_yds,21,,,,,
player,201610030min,min,ThieAd00,rec_td,0,,,,,
player,201610030min,min,ThieAd00,rec_long,18,,,,,
player,201610030min,min,ThieAd00,fumbles,0,,,,,
player,201610030min,min,ThieAd00,fumbles_lost,0,,,,,
player,201610030min,min,PruiMy00,pass_cmp,0,,,,,
player,201610030min,min,PruiMy00,pass_att,0,,,,,
player,201610030min,min,PruiMy00,pass_yds,0,,,,,
player,201610030min,min,PruiMy00,pass_td,0,,,,,
player,201610030min,min,PruiMy00,pass_int,0,,,,,
player,201610030min,min,PruiMy00,pass_sacked,0,,,,,
player,201610030min,min,PruiMy00,pass_sacked_yds,0,,,,,
player,201610030min,min,PruiMy00,pass_long,0,,,,,
player,201610030min,min,PruiMy00,pass_rating,,,,,,
player,201610030min,min,PruiMy00,rush_att,0,,,,,
player,201610030min,min,PruiMy00,rush_yds,0,,,,,
player,201610030min,min,PruiMy00,rush_td,0,,,,,
player,201610030min,min,PruiMy00,rush_long,0,,,,,
player,201610030min,min,PruiMy00,targets,1,,,,,
