game,2016,10,20161110,201611100rav,cle,"Cleveland Browns",7,rav,"Baltimore Ravens",28
team,201611100rav,cle,First Downs,11,,,,,,
team,201611100rav,rav,First Downs,29,,,,,,
team,201611100rav,cle,Rush-Yds-TDs,13-33-0,,,,,,
team,201611100rav,rav,Rush-Yds-TDs,34-119-0,,,,,,
team,201611100rav,cle,Cmp-Att-Yd-TD-INT,17-31-150-1-2,,,,,,
team,201611100rav,rav,Cmp-Att-Yd-TD-INT,30-41-296-3-2,,,,,,
team,201611100rav,cle,Sacked-Yards,4-39,,,,,,
team,201611100rav,rav,Sacked-Yards,2-19,,,,,,
team,201611100rav,cle,Net Pass Yards,111,,,,,,
team,201611100rav,rav,Net Pass Yards,277,,,,,,
team,201611100rav,cle,Total Yards,144,,,,,,
team,201611100rav,rav,Total Yards,396,,,,,,
team,201611100rav,cle,Fumbles-Lost,2-1,,,,,,
team,201611100rav,rav,Fumbles-Lost,0-0,,,,,,
team,201611100rav,cle,Turnovers,3,,,,,,
team,201611100rav,rav,Turnovers,2,,,,,,
team,201611100rav,cle,Penalties-Yards,3-35,,,,,,
team,201611100rav,rav,Penalties-Yards,6-61,,,,,,
team,201611100rav,cle,Third Down Conv.,2-10,,,,,,
team,201611100rav,rav,Third Down Conv.,7-12,,,,,,
team,201611100rav,cle,Fourth Down Conv.,0-0,,,,,,
team,201611100rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201611100rav,cle,Time of Possession,21:24,,,,,,
team,201611100rav,rav,Time of Possession,38:36,,,,,,
player,201611100rav,cle,KessCo00,pass_cmp,11,,,,,
player,201611100rav,cle,KessCo00,pass_att,18,,,,,
player,201611100rav,cle,KessCo00,pass_yds,91,,,,,
player,201611100rav,cle,KessCo00,pass_td,1,,,,,
player,201611100rav,cle,KessCo00,pass_int,0,,,,,
player,201611100rav,cle,KessCo00,pass_sacked,1,,,,,
player,201611100rav,cle,KessCo00,pass_sacked_yds,10,,,,,
player,201611100rav,cle,KessCo00,pass_long,25,,,,,
player,201611100rav,cle,KessCo00,pass_rating,92.6,,,,,
player,201611100rav,cle,KessCo00,rush_att,1,,,,,
player,201611100rav,cle,KessCo00,rush_yds,3,,,,,
player,201611100rav,cle,KessCo00,rush_td,0,,,,,
player,201611100rav,cle,KessCo00,rush_long,3,,,,,
player,201611100rav,cle,KessCo00,targets,0,,,,,
player,201611100rav,cle,KessCo00,rec,0,,,,,
player,201611100rav,cle,KessCo00,rec_yds,0,,,,,
player,201611100rav,cle,KessCo00,rec_td,0,,,,,
player,201611100rav,cle,KessCo00,rec_long,0,,,,,
player,201611100rav,cle,KessCo00,fumbles,0,,,,,
player,201611100rav,cle,KessCo00,fumbles_lost,0,,,,,
player,201611100rav,cle,McCoJo01,pass_cmp,6,,,,,
player,201611100rav,cle,McCoJo01,pass_att,13,,,,,
player,201611100rav,cle,McCoJo01,pass_yds,59,,,,,
player,201611100rav,cle,McCoJo01,pass_td,0,,,,,
player,201611100rav,cle,McCoJo01,pass_int,2,,,,,
player,201611100rav,cle,McCoJo01,pass_sacked,3,,,,,
player,201611100rav,cle,McCoJo01,pass_sacked_yds,29,,,,,
player,201611100rav,cle,McCoJo01,pass_long,18,,,,,
player,201611100rav,cle,McCoJo01,pass_rating,19.9,,,,,
player,201611100rav,cle,McCoJo01,rush_att,0,,,,,
player,201611100rav,cle,McCoJo01,rush_yds,0,,,,,
player,201611100rav,cle,McCoJo01,rush_td,0,,,,,
player,201611100rav,cle,McCoJo01,rush_long,0,,,,,
player,201611100rav,cle,McCoJo01,targets,0,,,,,
player,201611100rav,cle,McCoJo01,rec,0,,,,,
player,201611100rav,cle,McCoJo01,rec_yds,0,,,,,
player,201611100rav,cle,McCoJo01,rec_td,0,,,,,
player,201611100rav,cle,McCoJo01,rec_long,0,,,,,
player,201611100rav,cle,McCoJo01,fumbles,2,,,,,
player,201611100rav,cle,McCoJo01,fumbles_lost,1,,,,,
player,201611100rav,cle,CrowIs00,pass_cmp,0,,,,,
player,201611100rav,cle,CrowIs00,pass_att,0,,,,,
