game,2016,11,20161120,201611200sfo,nwe,"New England Patriots",30,sfo,"San Francisco 49ers",17
team,201611200sfo,nwe,First Downs,28,,,,,,
team,201611200sfo,sfo,First Downs,20,,,,,,
team,201611200sfo,nwe,Rush-Yds-TDs,30-171-0,,,,,,
team,201611200sfo,sfo,Rush-Yds-TDs,27-122-0,,,,,,
team,201611200sfo,nwe,Cmp-Att-Yd-TD-INT,24-40-280-4-0,,,,,,
team,201611200sfo,sfo,Cmp-Att-Yd-TD-INT,16-30-206-2-0,,,,,,
team,201611200sfo,nwe,Sacked-Yards,1-7,,,,,,
team,201611200sfo,sfo,Sacked-Yards,5-29,,,,,,
team,201611200sfo,nwe,Net Pass Yards,273,,,,,,
team,201611200sfo,sfo,Net Pass Yards,177,,,,,,
team,201611200sfo,nwe,Total Yards,444,,,,,,
team,201611200sfo,sfo,Total Yards,299,,,,,,
team,201611200sfo,nwe,Fumbles-Lost,1-0,,,,,,
team,201611200sfo,sfo,Fumbles-Lost,5-0,,,,,,
team,201611200sfo,nwe,Turnovers,0,,,,,,
team,201611200sfo,sfo,Turnovers,0,,,,,,
team,201611200sfo,nwe,Penalties-Yards,5-40,,,,,,
team,201611200sfo,sfo,Penalties-Yards,10-68,,,,,,
team,201611200sfo,nwe,Third Down Conv.,8-16,,,,,,
team,201611200sfo,sfo,Third Down Conv.,5-14,,,,,,
team,201611200sfo,nwe,Fourth Down Conv.,1-1,,,,,,
team,201611200sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201611200sfo,nwe,Time of Possession,29:12,,,,,,
team,201611200sfo,sfo,Time of Possession,30:48,,,,,,
player,201611200sfo,nwe,BradTo00,pass_cmp,24,,,,,
player,201611200sfo,nwe,BradTo00,pass_att,40,,,,,
player,201611200sfo,nwe,BradTo00,pass_yds,280,,,,,
player,201611200sfo,nwe,BradTo00,pass_td,4,,,,,
player,201611200sfo,nwe,BradTo00,pass_int,0,,,,,
player,201611200sfo,nwe,BradTo00,pass_sacked,1,,,,,
player,201611200sfo,nwe,BradTo00,pass_sacked_yds,7,,,,,
player,201611200sfo,nwe,BradTo00,pass_long,56,,,,,
player,201611200sfo,nwe,BradTo00,pass_rating,114.6,,,,,
player,201611200sfo,nwe,BradTo00,rush_att,4,,,,,
player,201611200sfo,nwe,BradTo00,rush_yds,12,,,,,
player,201611200sfo,nwe,BradTo00,rush_td,0,,,,,
player,201611200sfo,nwe,BradTo00,rush_long,7,,,,,
player,201611200sfo,nwe,BradTo00,targets,0,,,,,
player,201611200sfo,nwe,BradTo00,rec,0,,,,,
player,201611200sfo,nwe,BradTo00,rec_yds,0,,,,,
player,201611200sfo,nwe,BradTo00,rec_td,0,,,,,
player,201611200sfo,nwe,BradTo00,rec_long,0,,,,,
player,201611200sfo,nwe,BradTo00,fumbles,0,,,,,
player,201611200sfo,nwe,BradTo00,fumbles_lost,0,,,,,
player,201611200sfo,nwe,BlouLe00,pass_cmp,0,,,,,
player,201611200sfo,nwe,BlouLe00,pass_att,0,,,,,
player,201611200sfo,nwe,BlouLe00,pass_yds,0,,,,,
player,201611200sfo,nwe,BlouLe00,pass_td,0,,,,,
player,201611200sfo,nwe,BlouLe00,pass_int,0,,,,,
player,201611200sfo,nwe,BlouLe00,pass_sacked,0,,,,,
player,201611200sfo,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201611200sfo,nwe,BlouLe00,pass_long,0,,,,,
player,201611200sfo,nwe,BlouLe00,pass_rating,,,,,,
player,201611200sfo,nwe,BlouLe00,rush_att,19,,,,,
player,201611200sfo,nwe,BlouLe00,rush_yds,124,,,,,
player,201611200sfo,nwe,BlouLe00,rush_td,0,,,,,
player,201611200sfo,nwe,BlouLe00,rush_long,44,,,,,
player,201611200sfo,nwe,BlouLe00,targets,0,,,,,
player,201611200sfo,nwe,BlouLe00,rec,0,,,,,
player,201611200sfo,nwe,BlouLe00,rec_yds,0,,,,,
player,201611200sfo,nwe,BlouLe00,rec_td,0,,,,,
player,201611200sfo,nwe,BlouLe00,rec_long,0,,,,,
player,201611200sfo,nwe,BlouLe00,fumbles,0,,,,,
player,201611200sfo,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201611200sfo,nwe,LewiDi00,pass_cmp,0,,,,,
player,201611200sfo,nwe,LewiDi00,pass_att,0,,,,,
player,201611200sfo,nwe,LewiDi00,pass_yds,0,,,,,
player,201611200sfo,nwe,LewiDi00,pass_td,0,,,,,
player,201611200sfo,nwe,LewiDi00,pass_int,0,,,,,
player,201611200sfo,nwe,LewiDi00,pass_sacked,0,,,,,
player,201611200sfo,nwe,LewiDi00,pass_sacked_yds,0,,,,,
player,201611200sfo,nwe,LewiDi00,pass_long,0,,,,,
player,201611200sfo,nwe,LewiDi00,pass_rating,,,,,,
player,201611200sfo,nwe,LewiDi00,rush_att,5,,,,,
player,201611200sfo,nwe,LewiDi00,rush_yds,23,,,,,
player,201611200sfo,nwe,LewiDi00,rush_td,0,,,,,
player,201611200sfo,nwe,LewiDi00,rush_long,12,,,,,
player,201611200sfo,nwe,LewiDi00,targets,5,,,,,
player,201611200sfo,nwe,LewiDi00,rec,3,,,,,
player,201611200sfo,nwe,LewiDi00,rec_yds,26,,,,,
player,201611200sfo,nwe,LewiDi00,rec_td,0,,,,,
player,201611200sfo,nwe,LewiDi00,rec_long,9,,,,,
player,201611200sfo,nwe,LewiDi00,fumbles,0,,,,,
player,201611200sfo,nwe,LewiDi00,fumbles_lost,0,,,,,
player,201611200sfo,nwe,EdelJu00,pass_cmp,0,,,,,
player,201611200sfo,nwe,EdelJu00,pass_att,0,,,,,
player,201611200sfo,nwe,EdelJu00,pass_yds,0,,,,,
player,201611200sfo,nwe,EdelJu00,pass_td,0,,,,,
player,201611200sfo,nwe,EdelJu00,pass_int,0,,,,,
player,201611200sfo,nwe,EdelJu00,pass_sacked,0,,,,,
player,201611200sfo,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201611200sfo,nwe,EdelJu00,pass_long,0,,,,,
player,201611200sfo,nwe,EdelJu00,pass_rating,,,,,,
player,201611200sfo,nwe,EdelJu00,rush_att,2,,,,,
player,201611200sfo,nwe,EdelJu00,rush_yds,12,,,,,
player,201611200sfo,nwe,EdelJu00,rush_td,0,,,,,
player,201611200sfo,nwe,EdelJu00,rush_long,7,,,,,
player,201611200sfo,nwe,EdelJu00,targets,17,,,,,
player,201611200sfo,nwe,EdelJu00,rec,8,,,,,
player,201611200sfo,nwe,EdelJu00,rec_yds,77,,,,,
player,201611200sfo,nwe,EdelJu00,rec_td,1,,,,,
player,201611200sfo,nwe,EdelJu00,rec_long,21,,,,,
player,201611200sfo,nwe,EdelJu00,fumbles,0,,,,,
player,201611200sfo,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201611200sfo,nwe,MitcMa01,pass_cmp,0,,,,,
player,201611200sfo,nwe,MitcMa01,pass_att,0,,,,,
player,201611200sfo,nwe,MitcMa01,pass_yds,0,,,,,
player,201611200sfo,nwe,MitcMa01,pass_td,0,,,,,
player,201611200sfo,nwe,MitcMa01,pass_int,0,,,,,
player,201611200sfo,nwe,MitcMa01,pass_sacked,0,,,,,
player,201611200sfo,nwe,MitcMa01,pass_sacked_yds,0,,,,,
player,201611200sfo,nwe,MitcMa01,pass_long,0,,,,,
player,201611200sfo,nwe,MitcMa01,pass_rating,,,,,,
player,201611200sfo,nwe,MitcMa01,rush_att,0,,,,,
player,201611200sfo,nwe,MitcMa01,rush_yds,0,,,,,
player,201611200sfo,nwe,MitcMa01,rush_td,0,,,,,
player,201611200sfo,nwe,MitcMa01,rush_long,0,,,,,
player,201611200sfo,nwe,MitcMa01,targets,5,,,,,
player,201611200sfo,nwe,MitcMa01,rec,4,,,,,
player,201611200sfo,nwe,MitcMa01,rec_yds,98,,,,,
player,201611200sfo,nwe,MitcMa01,rec_td,1,,,,,
player,201611200sfo,nwe,MitcMa01,rec_long,56,,,,,
player,201611200sfo,nwe,MitcMa01,fumbles,0,,,,,
player,201611200sfo,nwe,MitcMa01,fumbles_lost,0,,,,,
player,201611200sfo,nwe,WhitJa02,pass_cmp,0,,,,,
player,201611200sfo,nwe,WhitJa02,pass_att,0,,,,,
player,201611200sfo,nwe,WhitJa02,pass_yds,0,,,,,
player,201611200sfo,nwe,WhitJa02,pass_td,0,,,,,
player,201611200sfo,nwe,WhitJa02,pass_int,0,,,,,
player,201611200sfo,nwe,WhitJa02,pass_sacked,0,,,,,
player,201611200sfo,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201611200sfo,nwe,WhitJa02,pass_long,0,,,,,
player,201611200sfo,nwe,WhitJa02,pass_rating,,,,,,
player,201611200sfo,nwe,WhitJa02,rush_att,0,,,,,
player,201611200sfo,nwe,WhitJa02,rush_yds,0,,,,,
player,201611200sfo,nwe,WhitJa02,rush_td,0,,,,,
player,201611200sfo,nwe,WhitJa02,rush_long,0,,,,,
player,201611200sfo,nwe,WhitJa02,targets,6,,,,,
player,201611200sfo,nwe,WhitJa02,rec,6,,,,,
player,201611200sfo,nwe,WhitJa02,rec_yds,63,,,,,
player,201611200sfo,nwe,WhitJa02,rec_td,1,,,,,
player,201611200sfo,nwe,WhitJa02,rec_long,25,,,,,
player,201611200sfo,nwe,WhitJa02,fumbles,0,,,,,
player,201611200sfo,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201611200sfo,nwe,BennMa00,pass_cmp,0,,,,,
player,201611200sfo,nwe,BennMa00,pass_att,0,,,,,
player,201611200sfo,nwe,BennMa00,pass_yds,0,,,,,
player,201611200sfo,nwe,BennMa00,pass_td,0,,,,,
player,201611200sfo,nwe,BennMa00,pass_int,0,,,,,
player,201611200sfo,nwe,BennMa00,pass_sacked,0,,,,,
player,201611200sfo,nwe,BennMa00,pass_sacked_yds,0,,,,,
player,201611200sfo,nwe,BennMa00,pass_long,0,,,,,
player,201611200sfo,nwe,BennMa00,pass_rating,,,,,,
player,201611200sfo,nwe,BennMa00,rush_att,0,,,,,
