game,2016,4,20161002,201610020tam,den,"Denver Broncos",27,tam,"Tampa Bay Buccaneers",7
team,201610020tam,den,First Downs,22,,,,,,
team,201610020tam,tam,First Downs,15,,,,,,
team,201610020tam,den,Rush-Yds-TDs,32-89-1,,,,,,
team,201610020tam,tam,Rush-Yds-TDs,26-72-1,,,,,,
team,201610020tam,den,Cmp-Att-Yd-TD-INT,19-31-238-2-0,,,,,,
team,201610020tam,tam,Cmp-Att-Yd-TD-INT,17-35-179-0-2,,,,,,
team,201610020tam,den,Sacked-Yards,4-20,,,,,,
team,201610020tam,tam,Sacked-Yards,5-36,,,,,,
team,201610020tam,den,Net Pass Yards,218,,,,,,
team,201610020tam,tam,Net Pass Yards,143,,,,,,
team,201610020tam,den,Total Yards,307,,,,,,
team,201610020tam,tam,Total Yards,215,,,,,,
team,201610020tam,den,Fumbles-Lost,0-0,,,,,,
team,201610020tam,tam,Fumbles-Lost,2-1,,,,,,
team,201610020tam,den,Turnovers,0,,,,,,
team,201610020tam,tam,Turnovers,3,,,,,,
team,201610020tam,den,Penalties-Yards,9-88,,,,,,
team,201610020tam,tam,Penalties-Yards,9-69,,,,,,
team,201610020tam,den,Third Down Conv.,3-13,,,,,,
team,201610020tam,tam,Third Down Conv.,5-16,,,,,,
team,201610020tam,den,Fourth Down Conv.,0-0,,,,,,
team,201610020tam,tam,Fourth Down Conv.,0-1,,,,,,
team,201610020tam,den,Time of Possession,31:24,,,,,,
team,201610020tam,tam,Time of Possession,28:36,,,,,,
player,201610020tam,den,LyncPa00,pass_cmp,14,,,,,
player,201610020tam,den,LyncPa00,pass_att,24,,,,,
player,201610020tam,den,LyncPa00,pass_yds,170,,,,,
player,201610020tam,den,LyncPa00,pass_td,1,,,,,
player,201610020tam,den,LyncPa00,pass_int,0,,,,,
player,201610020tam,den,LyncPa00,pass_sacked,1,,,,,
player,201610020tam,den,LyncPa00,pass_sacked_yds,0,,,,,
player,201610020tam,den,LyncPa00,pass_long,31,,,,,
player,201610020tam,den,LyncPa00,pass_rating,94.1,,,,,
