game,2016,13,20161204,201612040nor,det,"Detroit Lions",28,nor,"New Orleans Saints",13
team,201612040nor,det,First Downs,24,,,,,,
team,201612040nor,nor,First Downs,20,,,,,,
team,201612040nor,det,Rush-Yds-TDs,23-85-0,,,,,,
team,201612040nor,nor,Rush-Yds-TDs,12-50-1,,,,,,
team,201612040nor,det,Cmp-Att-Yd-TD-INT,30-42-341-2-0,,,,,,
team,201612040nor,nor,Cmp-Att-Yd-TD-INT,31-44-326-0-3,,,,,,
team,201612040nor,det,Sacked-Yards,2-4,,,,,,
team,201612040nor,nor,Sacked-Yards,1-7,,,,,,
team,201612040nor,det,Net Pass Yards,337,,,,,,
team,201612040nor,nor,Net Pass Yards,319,,,,,,
team,201612040nor,det,Total Yards,422,,,,,,
team,201612040nor,nor,Total Yards,369,,,,,,
team,201612040nor,det,Fumbles-Lost,0-0,,,,,,
team,201612040nor,nor,Fumbles-Lost,1-0,,,,,,
team,201612040nor,det,Turnovers,0,,,,,,
team,201612040nor,nor,Turnovers,3,,,,,,
team,201612040nor,det,Penalties-Yards,6-39,,,,,,
team,201612040nor,nor,Penalties-Yards,10-83,,,,,,
team,201612040nor,det,Third Down Conv.,5-12,,,,,,
team,201612040nor,nor,Third Down Conv.,6-13,,,,,,
team,201612040nor,det,Fourth Down Conv.,0-0,,,,,,
team,201612040nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201612040nor,det,Time of Possession,36:52,,,,,,
team,201612040nor,nor,Time of Possession,23:08,,,,,,
player,201612040nor,det,StafMa00,pass_cmp,30,,,,,
player,201612040nor,det,StafMa00,pass_att,42,,,,,
player,201612040nor,det,StafMa00,pass_yds,341,,,,,
player,201612040nor,det,StafMa00,pass_td,2,,,,,
player,201612040nor,det,StafMa00,pass_int,0,,,,,
player,201612040nor,det,StafMa00,pass_sacked,2,,,,,
player,201612040nor,det,StafMa00,pass_sacked_yds,4,,,,,
player,201612040nor,det,StafMa00,pass_long,66,,,,,
player,201612040nor,det,StafMa00,pass_rating,111.3,,,,,
player,201612040nor,det,StafMa00,rush_att,3,,,,,
player,201612040nor,det,StafMa00,rush_yds,22,,,,,
player,201612040nor,det,StafMa00,rush_td,0,,,,,
player,201612040nor,det,StafMa00,rush_long,11,,,,,
player,201612040nor,det,StafMa00,targets,0,,,,,
player,201612040nor,det,StafMa00,rec,0,,,,,
player,201612040nor,det,StafMa00,rec_yds,0,,,,,
player,201612040nor,det,StafMa00,rec_td,0,,,,,
player,201612040nor,det,StafMa00,rec_long,0,,,,,
player,201612040nor,det,StafMa00,fumbles,0,,,,,
player,201612040nor,det,StafMa00,fumbles_lost,0,,,,,
player,201612040nor,det,ZennZa00,pass_cmp,0,,,,,
player,201612040nor,det,ZennZa00,pass_att,0,,,,,
player,201612040nor,det,ZennZa00,pass_yds,0,,,,,
player,201612040nor,det,ZennZa00,pass_td,0,,,,,
player,201612040nor,det,ZennZa00,pass_int,0,,,,,
player,201612040nor,det,ZennZa00,pass_sacked,0,,,,,
player,201612040nor,det,ZennZa00,pass_sacked_yds,0,,,,,
player,201612040nor,det,ZennZa00,pass_long,0,,,,,
player,201612040nor,det,ZennZa00,pass_rating,,,,,,
player,201612040nor,det,ZennZa00,rush_att,9,,,,,
player,201612040nor,det,ZennZa00,rush_yds,40,,,,,
player,201612040nor,det,ZennZa00,rush_td,0,,,,,
player,201612040nor,det,ZennZa00,rush_long,9,,,,,
player,201612040nor,det,ZennZa00,targets,0,,,,,
player,201612040nor,det,ZennZa00,rec,0,,,,,
player,201612040nor,det,ZennZa00,rec_yds,0,,,,,
player,201612040nor,det,ZennZa00,rec_td,0,,,,,
player,201612040nor,det,ZennZa00,rec_long,0,,,,,
player,201612040nor,det,ZennZa00,fumbles,0,,,,,
player,201612040nor,det,ZennZa00,fumbles_lost,0,,,,,
player,201612040nor,det,WashDw00,pass_cmp,0,,,,,
player,201612040nor,det,WashDw00,pass_att,0,,,,,
player,201612040nor,det,WashDw00,pass_yds,0,,,,,
player,201612040nor,det,WashDw00,pass_td,0,,,,,
player,201612040nor,det,WashDw00,pass_int,0,,,,,
player,201612040nor,det,WashDw00,pass_sacked,0,,,,,
player,201612040nor,det,WashDw00,pass_sacked_yds,0,,,,,
player,201612040nor,det,WashDw00,pass_long,0,,,,,
player,201612040nor,det,WashDw00,pass_rating,,,,,,
player,201612040nor,det,WashDw00,rush_att,7,,,,,
player,201612040nor,det,WashDw00,rush_yds,21,,,,,
player,201612040nor,det,WashDw00,rush_td,0,,,,,
player,201612040nor,det,WashDw00,rush_long,5,,,,,
player,201612040nor,det,WashDw00,targets,2,,,,,
player,201612040nor,det,WashDw00,rec,2,,,,,
player,201612040nor,det,WashDw00,rec_yds,19,,,,,
player,201612040nor,det,WashDw00,rec_td,0,,,,,
player,201612040nor,det,WashDw00,rec_long,11,,,,,
player,201612040nor,det,WashDw00,fumbles,0,,,,,
player,201612040nor,det,WashDw00,fumbles_lost,0,,,,,
player,201612040nor,det,RiddTh00,pass_cmp,0,,,,,
player,201612040nor,det,RiddTh00,pass_att,0,,,,,
player,201612040nor,det,RiddTh00,pass_yds,0,,,,,
player,201612040nor,det,RiddTh00,pass_td,0,,,,,
player,201612040nor,det,RiddTh00,pass_int,0,,,,,
player,201612040nor,det,RiddTh00,pass_sacked,0,,,,,
player,201612040nor,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201612040nor,det,RiddTh00,pass_long,0,,,,,
player,201612040nor,det,RiddTh00,pass_rating,,,,,,
player,201612040nor,det,RiddTh00,rush_att,4,,,,,
player,201612040nor,det,RiddTh00,rush_yds,2,,,,,
player,201612040nor,det,RiddTh00,rush_td,0,,,,,
player,201612040nor,det,RiddTh00,rush_long,6,,,,,
player,201612040nor,det,RiddTh00,targets,6,,,,,
player,201612040nor,det,RiddTh00,rec,5,,,,,
player,201612040nor,det,RiddTh00,rec_yds,15,,,,,
player,201612040nor,det,RiddTh00,rec_td,1,,,,,
player,201612040nor,det,RiddTh00,rec_long,7,,,,,
player,201612040nor,det,RiddTh00,fumbles,0,,,,,
player,201612040nor,det,RiddTh00,fumbles_lost,0,,,,,
player,201612040nor,det,TateGo00,pass_cmp,0,,,,,
player,201612040nor,det,TateGo00,pass_att,0,,,,,
player,201612040nor,det,TateGo00,pass_yds,0,,,,,
player,201612040nor,det,TateGo00,pass_td,0,,,,,
player,201612040nor,det,TateGo00,pass_int,0,,,,,
