game,2016,3,20160925,201609250phi,pit,"Pittsburgh Steelers",3,phi,"Philadelphia Eagles",34
player,201609250phi,pit,WheaMa00,fumbles_lost,0,,,,,
player,201609250phi,pit,HeywDa00,pass_cmp,0,,,,,
player,201609250phi,pit,HeywDa00,pass_att,0,,,,,
player,201609250phi,pit,HeywDa00,pass_yds,0,,,,,
player,201609250phi,pit,HeywDa00,pass_td,0,,,,,
player,201609250phi,pit,HeywDa00,pass_int,0,,,,,
player,201609250phi,pit,HeywDa00,pass_sacked,0,,,,,
player,201609250phi,pit,HeywDa00,pass_sacked_yds,0,,,,,
player,201609250phi,pit,HeywDa00,pass_long,0,,,,,
player,201609250phi,pit,HeywDa00,pass_rating,,,,,,
player,201609250phi,pit,HeywDa00,rush_att,0,,,,,
player,201609250phi,pit,HeywDa00,rush_yds,0,,,,,
player,201609250phi,pit,HeywDa00,rush_td,0,,,,,
player,201609250phi,pit,HeywDa00,rush_long,0,,,,,
player,201609250phi,pit,HeywDa00,targets,1,,,,,
player,201609250phi,pit,HeywDa00,rec,0,,,,,
player,201609250phi,pit,HeywDa00,rec_yds,0,,,,,
player,201609250phi,pit,HeywDa00,rec_td,0,,,,,
player,201609250phi,pit,HeywDa00,rec_long,0,,,,,
player,201609250phi,pit,HeywDa00,fumbles,0,,,,,
player,201609250phi,pit,HeywDa00,fumbles_lost,0,,,,,
player,201609250phi,phi,WentCa00,pass_cmp,23,,,,,
player,201609250phi,phi,WentCa00,pass_att,31,,,,,
player,201609250phi,phi,WentCa00,pass_yds,301,,,,,
player,201609250phi,phi,WentCa00,pass_td,2,,,,,
player,201609250phi,phi,WentCa00,pass_int,0,,,,,
player,201609250phi,phi,WentCa00,pass_sacked,0,,,,,
player,201609250phi,phi,WentCa00,pass_sacked_yds,0,,,,,
player,201609250phi,phi,WentCa00,pass_long,73,,,,,
player,201609250phi,phi,WentCa00,pass_rating,125.9,,,,,
player,201609250phi,phi,WentCa00,rush_att,1,,,,,
player,201609250phi,phi,WentCa00,rush_yds,10,,,,,
player,201609250phi,phi,WentCa00,rush_td,0,,,,,
player,201609250phi,phi,WentCa00,rush_long,10,,,,,
player,201609250phi,phi,WentCa00,targets,0,,,,,
player,201609250phi,phi,WentCa00,rec,0,,,,,
player,201609250phi,phi,WentCa00,rec_yds,0,,,,,
player,201609250phi,phi,WentCa00,rec_td,0,,,,,
player,201609250phi,phi,WentCa00,rec_long,0,,,,,
player,201609250phi,phi,WentCa00,fumbles,1,,,,,
player,201609250phi,phi,WentCa00,fumbles_lost,0,,,,,
player,201609250phi,phi,SmalWe00,pass_cmp,0,,,,,
player,201609250phi,phi,SmalWe00,pass_att,0,,,,,
player,201609250phi,phi,SmalWe00,pass_yds,0,,,,,
player,201609250phi,phi,SmalWe00,pass_td,0,,,,,
player,201609250phi,phi,SmalWe00,pass_int,0,,,,,
player,201609250phi,phi,SmalWe00,pass_sacked,0,,,,,
player,201609250phi,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201609250phi,phi,SmalWe00,pass_long,0,,,,,
player,201609250phi,phi,SmalWe00,pass_rating,,,,,,
player,201609250phi,phi,SmalWe00,rush_att,17,,,,,
player,201609250phi,phi,SmalWe00,rush_yds,79,,,,,
player,201609250phi,phi,SmalWe00,rush_td,1,,,,,
player,201609250phi,phi,SmalWe00,rush_long,14,,,,,
player,201609250phi,phi,SmalWe00,targets,0,,,,,
