game,2016,2,20160918,201609180det,oti,"Tennessee Titans",16,det,"Detroit Lions",15
team,201609180det,oti,First Downs,22,,,,,,
team,201609180det,det,First Downs,22,,,,,,
team,201609180det,oti,Rush-Yds-TDs,24-139-0,,,,,,
team,201609180det,det,Rush-Yds-TDs,23-137-0,,,,,,
team,201609180det,oti,Cmp-Att-Yd-TD-INT,25-33-238-2-1,,,,,,
team,201609180det,det,Cmp-Att-Yd-TD-INT,22-40-260-1-1,,,,,,
team,201609180det,oti,Sacked-Yards,3-14,,,,,,
team,201609180det,det,Sacked-Yards,4-22,,,,,,
team,201609180det,oti,Net Pass Yards,224,,,,,,
team,201609180det,det,Net Pass Yards,238,,,,,,
team,201609180det,oti,Total Yards,363,,,,,,
team,201609180det,det,Total Yards,375,,,,,,
team,201609180det,oti,Fumbles-Lost,1-0,,,,,,
team,201609180det,det,Fumbles-Lost,0-0,,,,,,
team,201609180det,oti,Turnovers,1,,,,,,
team,201609180det,det,Turnovers,1,,,,,,
team,201609180det,oti,Penalties-Yards,12-83,,,,,,
team,201609180det,det,Penalties-Yards,17-138,,,,,,
team,201609180det,oti,Third Down Conv.,5-12,,,,,,
team,201609180det,det,Third Down Conv.,7-16,,,,,,
team,201609180det,oti,Fourth Down Conv.,1-1,,,,,,
team,201609180det,det,Fourth Down Conv.,0-0,,,,,,
team,201609180det,oti,Time of Possession,30:51,,,,,,
team,201609180det,det,Time of Possession,29:09,,,,,,
player,201609180det,oti,MariMa01,pass_cmp,25,,,,,
player,201609180det,oti,MariMa01,pass_att,33,,,,,
player,201609180det,oti,MariMa01,pass_yds,238,,,,,
player,201609180det,oti,MariMa01,pass_td,2,,,,,
player,201609180det,oti,MariMa01,pass_int,1,,,,,
player,201609180det,oti,MariMa01,pass_sacked,3,,,,,
player,201609180det,oti,MariMa01,pass_sacked_yds,14,,,,,
player,201609180det,oti,MariMa01,pass_long,32,,,,,
player,201609180det,oti,MariMa01,pass_rating,102.8,,,,,
player,201609180det,oti,MariMa01,rush_att,2,,,,,
player,201609180det,oti,MariMa01,rush_yds,11,,,,,
player,201609180det,oti,MariMa01,rush_td,0,,,,,
player,201609180det,oti,MariMa01,rush_long,6,,,,,
player,201609180det,oti,MariMa01,targets,0,,,,,
player,201609180det,oti,MariMa01,rec,0,,,,,
player,201609180det,oti,MariMa01,rec_yds,0,,,,,
player,201609180det,oti,MariMa01,rec_td,0,,,,,
player,201609180det,oti,MariMa01,rec_long,0,,,,,
player,201609180det,oti,MariMa01,fumbles,0,,,,,
player,201609180det,oti,MariMa01,fumbles_lost,0,,,,,
player,201609180det,oti,MurrDe00,pass_cmp,0,,,,,
player,201609180det,oti,MurrDe00,pass_att,0,,,,,
