game,2016,15,20161215,201612150sea,ram,"Los Angeles Rams",3,sea,"Seattle Seahawks",24
team,201612150sea,ram,First Downs,13,,,,,,
team,201612150sea,sea,First Downs,19,,,,,,
team,201612150sea,ram,Rush-Yds-TDs,17-47-0,,,,,,
team,201612150sea,sea,Rush-Yds-TDs,30-72-0,,,,,,
team,201612150sea,ram,Cmp-Att-Yd-TD-INT,18-35-167-0-0,,,,,,
team,201612150sea,sea,Cmp-Att-Yd-TD-INT,19-26-229-3-1,,,,,,
team,201612150sea,ram,Sacked-Yards,4-31,,,,,,
team,201612150sea,sea,Sacked-Yards,2-2,,,,,,
team,201612150sea,ram,Net Pass Yards,136,,,,,,
team,201612150sea,sea,Net Pass Yards,227,,,,,,
team,201612150sea,ram,Total Yards,183,,,,,,
team,201612150sea,sea,Total Yards,299,,,,,,
team,201612150sea,ram,Fumbles-Lost,1-0,,,,,,
team,201612150sea,sea,Fumbles-Lost,1-0,,,,,,
team,201612150sea,ram,Turnovers,0,,,,,,
team,201612150sea,sea,Turnovers,1,,,,,,
team,201612150sea,ram,Penalties-Yards,8-76,,,,,,
team,201612150sea,sea,Penalties-Yards,13-86,,,,,,
team,201612150sea,ram,Third Down Conv.,3-12,,,,,,
team,201612150sea,sea,Third Down Conv.,7-15,,,,,,
team,201612150sea,ram,Fourth Down Conv.,0-4,,,,,,
team,201612150sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201612150sea,ram,Time of Possession,27:29,,,,,,
team,201612150sea,sea,Time of Possession,32:31,,,,,,
player,201612150sea,ram,GoffJa00,pass_cmp,13,,,,,
player,201612150sea,ram,GoffJa00,pass_att,25,,,,,
player,201612150sea,ram,GoffJa00,pass_yds,135,,,,,
player,201612150sea,ram,GoffJa00,pass_td,0,,,,,
player,201612150sea,ram,GoffJa00,pass_int,0,,,,,
player,201612150sea,ram,GoffJa00,pass_sacked,4,,,,,
player,201612150sea,ram,GoffJa00,pass_sacked_yds,31,,,,,
player,201612150sea,ram,GoffJa00,pass_long,25,,,,,
player,201612150sea,ram,GoffJa00,pass_rating,67.9,,,,,
player,201612150sea,ram,GoffJa00,rush_att,0,,,,,
player,201612150sea,ram,GoffJa00,rush_yds,0,,,,,
player,201612150sea,ram,GoffJa00,rush_td,0,,,,,
player,201612150sea,ram,GoffJa00,rush_long,0,,,,,
player,201612150sea,ram,GoffJa00,targets,0,,,,,
player,201612150sea,ram,GoffJa00,rec,0,,,,,
player,201612150sea,ram,GoffJa00,rec_yds,0,,,,,
player,201612150sea,ram,GoffJa00,rec_td,0,,,,,
player,201612150sea,ram,GoffJa00,rec_long,0,,,,,
player,201612150sea,ram,GoffJa00,fumbles,1,,,,,
player,201612150sea,ram,GoffJa00,fumbles_lost,0,,,,,
player,201612150sea,ram,KeenCa00,pass_cmp,5,,,,,
player,201612150sea,ram,KeenCa00,pass_att,9,,,,,
player,201612150sea,ram,KeenCa00,pass_yds,32,,,,,
player,201612150sea,ram,KeenCa00,pass_td,0,,,,,
player,201612150sea,ram,KeenCa00,pass_int,0,,,,,
player,201612150sea,ram,KeenCa00,pass_sacked,0,,,,,
player,201612150sea,ram,KeenCa00,pass_sacked_yds,0,,,,,
player,201612150sea,ram,KeenCa00,pass_long,16,,,,,
player,201612150sea,ram,KeenCa00,pass_rating,63.2,,,,,
player,201612150sea,ram,KeenCa00,rush_att,0,,,,,
player,201612150sea,ram,KeenCa00,rush_yds,0,,,,,
player,201612150sea,ram,KeenCa00,rush_td,0,,,,,
player,201612150sea,ram,KeenCa00,rush_long,0,,,,,
player,201612150sea,ram,KeenCa00,targets,0,,,,,
player,201612150sea,ram,KeenCa00,rec,0,,,,,
player,201612150sea,ram,KeenCa00,rec_yds,0,,,,,
player,201612150sea,ram,KeenCa00,rec_td,0,,,,,
player,201612150sea,ram,KeenCa00,rec_long,0,,,,,
player,201612150sea,ram,KeenCa00,fumbles,0,,,,,
player,201612150sea,ram,KeenCa00,fumbles_lost,0,,,,,
player,201612150sea,ram,HekkJo00,pass_cmp,0,,,,,
player,201612150sea,ram,HekkJo00,pass_att,1,,,,,
player,201612150sea,ram,HekkJo00,pass_yds,0,,,,,
player,201612150sea,ram,HekkJo00,pass_td,0,,,,,
player,201612150sea,ram,HekkJo00,pass_int,0,,,,,
player,201612150sea,ram,HekkJo00,pass_sacked,0,,,,,
player,201612150sea,ram,HekkJo00,pass_sacked_yds,0,,,,,
player,201612150sea,ram,HekkJo00,pass_long,0,,,,,
player,201612150sea,ram,HekkJo00,pass_rating,39.6,,,,,
player,201612150sea,ram,HekkJo00,rush_att,0,,,,,
player,201612150sea,ram,HekkJo00,rush_yds,0,,,,,
player,201612150sea,ram,HekkJo00,rush_td,0,,,,,
player,201612150sea,ram,HekkJo00,rush_long,0,,,,,
player,201612150sea,ram,HekkJo00,targets,0,,,,,
player,201612150sea,ram,HekkJo00,rec,0,,,,,
player,201612150sea,ram,HekkJo00,rec_yds,0,,,,,
player,201612150sea,ram,HekkJo00,rec_td,0,,,,,
player,201612150sea,ram,HekkJo00,rec_long,0,,,,,
player,201612150sea,ram,HekkJo00,fumbles,0,,,,,
player,201612150sea,ram,HekkJo00,fumbles_lost,0,,,,,
player,201612150sea,ram,GurlTo01,pass_cmp,0,,,,,
player,201612150sea,ram,GurlTo01,pass_att,0,,,,,
player,201612150sea,ram,GurlTo01,pass_yds,0,,,,,
player,201612150sea,ram,GurlTo01,pass_td,0,,,,,
player,201612150sea,ram,GurlTo01,pass_int,0,,,,,
player,201612150sea,ram,GurlTo01,pass_sacked,0,,,,,
