game,2019,16,20191222,201912220sdg,rai,"Oakland Raiders",24,sdg,"Los Angeles Chargers",17
team,201912220sdg,rai,First Downs,19,,,,,,
team,201912220sdg,sdg,First Downs,21,,,,,,
team,201912220sdg,rai,Rush-Yds-TDs,29-99-2,,,,,,
team,201912220sdg,sdg,Rush-Yds-TDs,16-19-2,,,,,,
team,201912220sdg,rai,Cmp-Att-Yd-TD-INT,26-30-291-1-0,,,,,,
team,201912220sdg,sdg,Cmp-Att-Yd-TD-INT,27-39-279-0-0,,,,,,
team,201912220sdg,rai,Sacked-Yards,3-24,,,,,,
team,201912220sdg,sdg,Sacked-Yards,1-14,,,,,,
team,201912220sdg,rai,Net Pass Yards,267,,,,,,
team,201912220sdg,sdg,Net Pass Yards,265,,,,,,
team,201912220sdg,rai,Total Yards,366,,,,,,
team,201912220sdg,sdg,Total Yards,284,,,,,,
team,201912220sdg,rai,Fumbles-Lost,0-0,,,,,,
team,201912220sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201912220sdg,rai,Turnovers,0,,,,,,
team,201912220sdg,sdg,Turnovers,0,,,,,,
team,201912220sdg,rai,Penalties-Yards,5-47,,,,,,
team,201912220sdg,sdg,Penalties-Yards,2-15,,,,,,
team,201912220sdg,rai,Third Down Conv.,7-14,,,,,,
team,201912220sdg,sdg,Third Down Conv.,3-11,,,,,,
team,201912220sdg,rai,Fourth Down Conv.,1-1,,,,,,
team,201912220sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201912220sdg,rai,Time of Possession,33:24,,,,,,
team,201912220sdg,sdg,Time of Possession,26:36,,,,,,
player,201912220sdg,rai,CarrDe02,pass_cmp,26,,,,,
player,201912220sdg,rai,CarrDe02,pass_att,30,,,,,
player,201912220sdg,rai,CarrDe02,pass_yds,291,,,,,
player,201912220sdg,rai,CarrDe02,pass_td,1,,,,,
player,201912220sdg,rai,CarrDe02,pass_int,0,,,,,
player,201912220sdg,rai,CarrDe02,pass_sacked,3,,,,,
player,201912220sdg,rai,CarrDe02,pass_sacked_yds,24,,,,,
player,201912220sdg,rai,CarrDe02,pass_long,56,,,,,
player,201912220sdg,rai,CarrDe02,pass_rating,118.2,,,,,
player,201912220sdg,rai,CarrDe02,rush_att,1,,,,,
player,201912220sdg,rai,CarrDe02,rush_yds,3,,,,,
player,201912220sdg,rai,CarrDe02,rush_td,1,,,,,
player,201912220sdg,rai,CarrDe02,rush_long,3,,,,,
player,201912220sdg,rai,CarrDe02,targets,0,,,,,
player,201912220sdg,rai,CarrDe02,rec,0,,,,,
player,201912220sdg,rai,CarrDe02,rec_yds,0,,,,,
player,201912220sdg,rai,CarrDe02,rec_td,0,,,,,
player,201912220sdg,rai,CarrDe02,rec_long,0,,,,,
player,201912220sdg,rai,CarrDe02,fumbles,0,,,,,
player,201912220sdg,rai,CarrDe02,fumbles_lost,0,,,,,
player,201912220sdg,rai,WashDe00,pass_cmp,0,,,,,
player,201912220sdg,rai,WashDe00,pass_att,0,,,,,
player,201912220sdg,rai,WashDe00,pass_yds,0,,,,,
player,201912220sdg,rai,WashDe00,pass_td,0,,,,,
player,201912220sdg,rai,WashDe00,pass_int,0,,,,,
player,201912220sdg,rai,WashDe00,pass_sacked,0,,,,,
player,201912220sdg,rai,WashDe00,pass_sacked_yds,0,,,,,
player,201912220sdg,rai,WashDe00,pass_long,0,,,,,
player,201912220sdg,rai,WashDe00,pass_rating,,,,,,
player,201912220sdg,rai,WashDe00,rush_att,23,,,,,
player,201912220sdg,rai,WashDe00,rush_yds,85,,,,,
player,201912220sdg,rai,WashDe00,rush_td,1,,,,,
player,201912220sdg,rai,WashDe00,rush_long,13,,,,,
player,201912220sdg,rai,WashDe00,targets,3,,,,,
player,201912220sdg,rai,WashDe00,rec,2,,,,,
player,201912220sdg,rai,WashDe00,rec_yds,21,,,,,
player,201912220sdg,rai,WashDe00,rec_td,0,,,,,
player,201912220sdg,rai,WashDe00,rec_long,13,,,,,
player,201912220sdg,rai,WashDe00,fumbles,0,,,,,
player,201912220sdg,rai,WashDe00,fumbles_lost,0,,,,,
player,201912220sdg,rai,RichJa01,pass_cmp,0,,,,,
player,201912220sdg,rai,RichJa01,pass_att,0,,,,,
player,201912220sdg,rai,RichJa01,pass_yds,0,,,,,
player,201912220sdg,rai,RichJa01,pass_td,0,,,,,
player,201912220sdg,rai,RichJa01,pass_int,0,,,,,
player,201912220sdg,rai,RichJa01,pass_sacked,0,,,,,
player,201912220sdg,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201912220sdg,rai,RichJa01,pass_long,0,,,,,
player,201912220sdg,rai,RichJa01,pass_rating,,,,,,
player,201912220sdg,rai,RichJa01,rush_att,5,,,,,
