game,2019,7,20191020,201910200sea,rav,"Baltimore Ravens",30,sea,"Seattle Seahawks",16
team,201910200sea,rav,First Downs,14,,,,,,
team,201910200sea,sea,First Downs,20,,,,,,
team,201910200sea,rav,Rush-Yds-TDs,35-199-1,,,,,,
team,201910200sea,sea,Rush-Yds-TDs,26-106-0,,,,,,
team,201910200sea,rav,Cmp-Att-Yd-TD-INT,9-20-143-0-0,,,,,,
team,201910200sea,sea,Cmp-Att-Yd-TD-INT,20-41-241-1-1,,,,,,
team,201910200sea,rav,Sacked-Yards,1-2,,,,,,
team,201910200sea,sea,Sacked-Yards,1-0,,,,,,
team,201910200sea,rav,Net Pass Yards,141,,,,,,
team,201910200sea,sea,Net Pass Yards,241,,,,,,
team,201910200sea,rav,Total Yards,340,,,,,,
team,201910200sea,sea,Total Yards,347,,,,,,
team,201910200sea,rav,Fumbles-Lost,2-0,,,,,,
team,201910200sea,sea,Fumbles-Lost,1-1,,,,,,
team,201910200sea,rav,Turnovers,0,,,,,,
team,201910200sea,sea,Turnovers,2,,,,,,
team,201910200sea,rav,Penalties-Yards,8-75,,,,,,
team,201910200sea,sea,Penalties-Yards,2-18,,,,,,
team,201910200sea,rav,Third Down Conv.,5-13,,,,,,
team,201910200sea,sea,Third Down Conv.,10-17,,,,,,
team,201910200sea,rav,Fourth Down Conv.,1-1,,,,,,
team,201910200sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201910200sea,rav,Time of Possession,29:54,,,,,,
team,201910200sea,sea,Time of Possession,30:06,,,,,,
player,201910200sea,rav,JackLa00,pass_cmp,9,,,,,
player,201910200sea,rav,JackLa00,pass_att,20,,,,,
player,201910200sea,rav,JackLa00,pass_yds,143,,,,,
player,201910200sea,rav,JackLa00,pass_td,0,,,,,
player,201910200sea,rav,JackLa00,pass_int,0,,,,,
player,201910200sea,rav,JackLa00,pass_sacked,1,,,,,
player,201910200sea,rav,JackLa00,pass_sacked_yds,2,,,,,
player,201910200sea,rav,JackLa00,pass_long,50,,,,,
player,201910200sea,rav,JackLa00,pass_rating,69.4,,,,,
player,201910200sea,rav,JackLa00,rush_att,14,,,,,
player,201910200sea,rav,JackLa00,rush_yds,116,,,,,
player,201910200sea,rav,JackLa00,rush_td,1,,,,,
player,201910200sea,rav,JackLa00,rush_long,30,,,,,
player,201910200sea,rav,JackLa00,targets,0,,,,,
player,201910200sea,rav,JackLa00,rec,0,,,,,
player,201910200sea,rav,JackLa00,rec_yds,0,,,,,
player,201910200sea,rav,JackLa00,rec_td,0,,,,,
player,201910200sea,rav,JackLa00,rec_long,0,,,,,
player,201910200sea,rav,JackLa00,fumbles,2,,,,,
player,201910200sea,rav,JackLa00,fumbles_lost,0,,,,,
player,201910200sea,rav,IngrMa01,pass_cmp,0,,,,,
player,201910200sea,rav,IngrMa01,pass_att,0,,,,,
player,201910200sea,rav,IngrMa01,pass_yds,0,,,,,
player,201910200sea,rav,IngrMa01,pass_td,0,,,,,
player,201910200sea,rav,IngrMa01,pass_int,0,,,,,
player,201910200sea,rav,IngrMa01,pass_sacked,0,,,,,
player,201910200sea,rav,IngrMa01,pass_sacked_yds,0,,,,,
player,201910200sea,rav,IngrMa01,pass_long,0,,,,,
player,201910200sea,rav,IngrMa01,pass_rating,,,,,,
player,201910200sea,rav,IngrMa01,rush_att,12,,,,,
player,201910200sea,rav,IngrMa01,rush_yds,46,,,,,
player,201910200sea,rav,IngrMa01,rush_td,0,,,,,
player,201910200sea,rav,IngrMa01,rush_long,8,,,,,
player,201910200sea,rav,IngrMa01,targets,1,,,,,
player,201910200sea,rav,IngrMa01,rec,1,,,,,
player,201910200sea,rav,IngrMa01,rec_yds,7,,,,,
player,201910200sea,rav,IngrMa01,rec_td,0,,,,,
player,201910200sea,rav,IngrMa01,rec_long,7,,,,,
player,201910200sea,rav,IngrMa01,fumbles,0,,,,,
player,201910200sea,rav,IngrMa01,fumbles_lost,0,,,,,
player,201910200sea,rav,EdwaGu00,pass_cmp,0,,,,,
player,201910200sea,rav,EdwaGu00,pass_att,0,,,,,
player,201910200sea,rav,EdwaGu00,pass_yds,0,,,,,
player,201910200sea,rav,EdwaGu00,pass_td,0,,,,,
player,201910200sea,rav,EdwaGu00,pass_int,0,,,,,
player,201910200sea,rav,EdwaGu00,pass_sacked,0,,,,,
