game,2019,16,20191222,201912220oti,nor,"New Orleans Saints",38,oti,"Tennessee Titans",28
team,201912220oti,nor,First Downs,23,,,,,,
team,201912220oti,oti,First Downs,17,,,,,,
team,201912220oti,nor,Rush-Yds-TDs,23-102-2,,,,,,
team,201912220oti,oti,Rush-Yds-TDs,26-149-1,,,,,,
team,201912220oti,nor,Cmp-Att-Yd-TD-INT,28-40-299-3-0,,,,,,
team,201912220oti,oti,Cmp-Att-Yd-TD-INT,17-27-272-3-0,,,,,,
team,201912220oti,nor,Sacked-Yards,3-24,,,,,,
team,201912220oti,oti,Sacked-Yards,5-24,,,,,,
team,201912220oti,nor,Net Pass Yards,275,,,,,,
team,201912220oti,oti,Net Pass Yards,248,,,,,,
team,201912220oti,nor,Total Yards,377,,,,,,
team,201912220oti,oti,Total Yards,397,,,,,,
team,201912220oti,nor,Fumbles-Lost,1-0,,,,,,
team,201912220oti,oti,Fumbles-Lost,1-1,,,,,,
team,201912220oti,nor,Turnovers,0,,,,,,
team,201912220oti,oti,Turnovers,1,,,,,,
team,201912220oti,nor,Penalties-Yards,11-70,,,,,,
team,201912220oti,oti,Penalties-Yards,6-56,,,,,,
team,201912220oti,nor,Third Down Conv.,4-12,,,,,,
team,201912220oti,oti,Third Down Conv.,5-13,,,,,,
team,201912220oti,nor,Fourth Down Conv.,0-1,,,,,,
team,201912220oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201912220oti,nor,Time of Possession,31:04,,,,,,
team,201912220oti,oti,Time of Possession,28:56,,,,,,
player,201912220oti,nor,BreeDr00,pass_cmp,27,,,,,
player,201912220oti,nor,BreeDr00,pass_att,38,,,,,
player,201912220oti,nor,BreeDr00,pass_yds,279,,,,,
player,201912220oti,nor,BreeDr00,pass_td,3,,,,,
player,201912220oti,nor,BreeDr00,pass_int,0,,,,,
player,201912220oti,nor,BreeDr00,pass_sacked,3,,,,,
player,201912220oti,nor,BreeDr00,pass_sacked_yds,24,,,,,
player,201912220oti,nor,BreeDr00,pass_long,61,,,,,
player,201912220oti,nor,BreeDr00,pass_rating,118.2,,,,,
player,201912220oti,nor,BreeDr00,rush_att,3,,,,,
player,201912220oti,nor,BreeDr00,rush_yds,-3,,,,,
player,201912220oti,nor,BreeDr00,rush_td,0,,,,,
player,201912220oti,nor,BreeDr00,rush_long,-1,,,,,
player,201912220oti,nor,BreeDr00,targets,0,,,,,
player,201912220oti,nor,BreeDr00,rec,0,,,,,
player,201912220oti,nor,BreeDr00,rec_yds,0,,,,,
player,201912220oti,nor,BreeDr00,rec_td,0,,,,,
player,201912220oti,nor,BreeDr00,rec_long,0,,,,,
player,201912220oti,nor,BreeDr00,fumbles,0,,,,,
player,201912220oti,nor,BreeDr00,fumbles_lost,0,,,,,
player,201912220oti,nor,HillTa00,pass_cmp,1,,,,,
player,201912220oti,nor,HillTa00,pass_att,2,,,,,
player,201912220oti,nor,HillTa00,pass_yds,20,,,,,
player,201912220oti,nor,HillTa00,pass_td,0,,,,,
player,201912220oti,nor,HillTa00,pass_int,0,,,,,
player,201912220oti,nor,HillTa00,pass_sacked,0,,,,,
player,201912220oti,nor,HillTa00,pass_sacked_yds,0,,,,,
player,201912220oti,nor,HillTa00,pass_long,20,,,,,
player,201912220oti,nor,HillTa00,pass_rating,85.4,,,,,
player,201912220oti,nor,HillTa00,rush_att,2,,,,,
player,201912220oti,nor,HillTa00,rush_yds,11,,,,,
player,201912220oti,nor,HillTa00,rush_td,0,,,,,
player,201912220oti,nor,HillTa00,rush_long,7,,,,,
player,201912220oti,nor,HillTa00,targets,2,,,,,
player,201912220oti,nor,HillTa00,rec,2,,,,,
player,201912220oti,nor,HillTa00,rec_yds,21,,,,,
player,201912220oti,nor,HillTa00,rec_td,0,,,,,
player,201912220oti,nor,HillTa00,rec_long,23,,,,,
player,201912220oti,nor,HillTa00,fumbles,0,,,,,
player,201912220oti,nor,HillTa00,fumbles_lost,0,,,,,
player,201912220oti,nor,KamaAl00,pass_cmp,0,,,,,
player,201912220oti,nor,KamaAl00,pass_att,0,,,,,
player,201912220oti,nor,KamaAl00,pass_yds,0,,,,,
player,201912220oti,nor,KamaAl00,pass_td,0,,,,,
player,201912220oti,nor,KamaAl00,pass_int,0,,,,,
