game,2019,10,20191110,201911100clt,mia,"Miami Dolphins",16,clt,"Indianapolis Colts",12
team,201911100clt,mia,First Downs,13,,,,,,
team,201911100clt,clt,First Downs,19,,,,,,
team,201911100clt,mia,Rush-Yds-TDs,26-70-1,,,,,,
team,201911100clt,clt,Rush-Yds-TDs,29-109-0,,,,,,
team,201911100clt,mia,Cmp-Att-Yd-TD-INT,21-33-169-0-1,,,,,,
team,201911100clt,clt,Cmp-Att-Yd-TD-INT,18-39-204-1-3,,,,,,
team,201911100clt,mia,Sacked-Yards,3-10,,,,,,
team,201911100clt,clt,Sacked-Yards,1-13,,,,,,
team,201911100clt,mia,Net Pass Yards,159,,,,,,
team,201911100clt,clt,Net Pass Yards,191,,,,,,
team,201911100clt,mia,Total Yards,229,,,,,,
team,201911100clt,clt,Total Yards,300,,,,,,
team,201911100clt,mia,Fumbles-Lost,1-1,,,,,,
team,201911100clt,clt,Fumbles-Lost,1-0,,,,,,
team,201911100clt,mia,Turnovers,2,,,,,,
team,201911100clt,clt,Turnovers,3,,,,,,
team,201911100clt,mia,Penalties-Yards,4-30,,,,,,
team,201911100clt,clt,Penalties-Yards,3-25,,,,,,
team,201911100clt,mia,Third Down Conv.,6-16,,,,,,
team,201911100clt,clt,Third Down Conv.,5-13,,,,,,
team,201911100clt,mia,Fourth Down Conv.,1-2,,,,,,
team,201911100clt,clt,Fourth Down Conv.,0-2,,,,,,
team,201911100clt,mia,Time of Possession,31:28,,,,,,
team,201911100clt,clt,Time of Possession,28:32,,,,,,
player,201911100clt,mia,FitzRy00,pass_cmp,21,,,,,
player,201911100clt,mia,FitzRy00,pass_att,33,,,,,
player,201911100clt,mia,FitzRy00,pass_yds,169,,,,,
player,201911100clt,mia,FitzRy00,pass_td,0,,,,,
player,201911100clt,mia,FitzRy00,pass_int,1,,,,,
player,201911100clt,mia,FitzRy00,pass_sacked,3,,,,,
player,201911100clt,mia,FitzRy00,pass_sacked_yds,10,,,,,
player,201911100clt,mia,FitzRy00,pass_long,21,,,,,
player,201911100clt,mia,FitzRy00,pass_rating,63.8,,,,,
player,201911100clt,mia,FitzRy00,rush_att,4,,,,,
player,201911100clt,mia,FitzRy00,rush_yds,23,,,,,
player,201911100clt,mia,FitzRy00,rush_td,1,,,,,
player,201911100clt,mia,FitzRy00,rush_long,11,,,,,
player,201911100clt,mia,FitzRy00,targets,0,,,,,
player,201911100clt,mia,FitzRy00,rec,0,,,,,
player,201911100clt,mia,FitzRy00,rec_yds,0,,,,,
player,201911100clt,mia,FitzRy00,rec_td,0,,,,,
player,201911100clt,mia,FitzRy00,rec_long,0,,,,,
player,201911100clt,mia,FitzRy00,fumbles,0,,,,,
player,201911100clt,mia,FitzRy00,fumbles_lost,0,,,,,
player,201911100clt,mia,BallKa00,pass_cmp,0,,,,,
player,201911100clt,mia,BallKa00,pass_att,0,,,,,
player,201911100clt,mia,BallKa00,pass_yds,0,,,,,
player,201911100clt,mia,BallKa00,pass_td,0,,,,,
player,201911100clt,mia,BallKa00,pass_int,0,,,,,
player,201911100clt,mia,BallKa00,pass_sacked,0,,,,,
player,201911100clt,mia,BallKa00,pass_sacked_yds,0,,,,,
player,201911100clt,mia,BallKa00,pass_long,0,,,,,
player,201911100clt,mia,BallKa00,pass_rating,,,,,,
player,201911100clt,mia,BallKa00,rush_att,20,,,,,
player,201911100clt,mia,BallKa00,rush_yds,43,,,,,
player,201911100clt,mia,BallKa00,rush_td,0,,,,,
player,201911100clt,mia,BallKa00,rush_long,7,,,,,
player,201911100clt,mia,BallKa00,targets,4,,,,,
player,201911100clt,mia,BallKa00,rec,4,,,,,
player,201911100clt,mia,BallKa00,rec_yds,2,,,,,
player,201911100clt,mia,BallKa00,rec_td,0,,,,,
player,201911100clt,mia,BallKa00,rec_long,3,,,,,
player,201911100clt,mia,BallKa00,fumbles,0,,,,,
player,201911100clt,mia,BallKa00,fumbles_lost,0,,,,,
player,201911100clt,mia,LairPa00,pass_cmp,0,,,,,
player,201911100clt,mia,LairPa00,pass_att,0,,,,,
player,201911100clt,mia,LairPa00,pass_yds,0,,,,,
player,201911100clt,mia,LairPa00,pass_td,0,,,,,
player,201911100clt,mia,LairPa00,pass_int,0,,,,,
player,201911100clt,mia,LairPa00,pass_sacked,0,,,,,
player,201911100clt,mia,LairPa00,pass_sacked_yds,0,,,,,
player,201911100clt,mia,LairPa00,pass_long,0,,,,,
player,201911100clt,mia,LairPa00,pass_rating,,,,,,
player,201911100clt,mia,LairPa00,rush_att,2,,,,,
player,201911100clt,mia,LairPa00,rush_yds,4,,,,,
player,201911100clt,mia,LairPa00,rush_td,0,,,,,
player,201911100clt,mia,LairPa00,rush_long,3,,,,,
player,201911100clt,mia,LairPa00,targets,2,,,,,
player,201911100clt,mia,LairPa00,rec,2,,,,,
player,201911100clt,mia,LairPa00,rec_yds,15,,,,,
player,201911100clt,mia,LairPa00,rec_td,0,,,,,
player,201911100clt,mia,LairPa00,rec_long,9,,,,,
player,201911100clt,mia,LairPa00,fumbles,0,,,,,
player,201911100clt,mia,LairPa00,fumbles_lost,0,,,,,
player,201911100clt,mia,ParkDe01,pass_cmp,0,,,,,
player,201911100clt,mia,ParkDe01,pass_att,0,,,,,
player,201911100clt,mia,ParkDe01,pass_yds,0,,,,,
player,201911100clt,mia,ParkDe01,pass_td,0,,,,,
player,201911100clt,mia,ParkDe01,pass_int,0,,,,,
player,201911100clt,mia,ParkDe01,pass_sacked,0,,,,,
player,201911100clt,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201911100clt,mia,ParkDe01,pass_long,0,,,,,
player,201911100clt,mia,ParkDe01,pass_rating,,,,,,
player,201911100clt,mia,ParkDe01,rush_att,0,,,,,
player,201911100clt,mia,ParkDe01,rush_yds,0,,,,,
player,201911100clt,mia,ParkDe01,rush_td,0,,,,,
player,201911100clt,mia,ParkDe01,rush_long,0,,,,,
player,201911100clt,mia,ParkDe01,targets,10,,,,,
player,201911100clt,mia,ParkDe01,rec,5,,,,,
player,201911100clt,mia,ParkDe01,rec_yds,69,,,,,
player,201911100clt,mia,ParkDe01,rec_td,0,,,,,
player,201911100clt,mia,ParkDe01,rec_long,21,,,,,
player,201911100clt,mia,ParkDe01,fumbles,0,,,,,
player,201911100clt,mia,ParkDe01,fumbles_lost,0,,,,,
player,201911100clt,mia,HurnAl01,pass_cmp,0,,,,,
player,201911100clt,mia,HurnAl01,pass_att,0,,,,,
player,201911100clt,mia,HurnAl01,pass_yds,0,,,,,
player,201911100clt,mia,HurnAl01,pass_td,0,,,,,
player,201911100clt,mia,HurnAl01,pass_int,0,,,,,
player,201911100clt,mia,HurnAl01,pass_sacked,0,,,,,
player,201911100clt,mia,HurnAl01,pass_sacked_yds,0,,,,,
player,201911100clt,mia,HurnAl01,pass_long,0,,,,,
player,201911100clt,mia,HurnAl01,pass_rating,,,,,,
player,201911100clt,mia,HurnAl01,rush_att,0,,,,,
player,201911100clt,mia,HurnAl01,rush_yds,0,,,,,
player,201911100clt,mia,HurnAl01,rush_td,0,,,,,
