game,2019,17,20191229,201912290sea,sfo,"San Francisco 49ers",26,sea,"Seattle Seahawks",21
team,201912290sea,sfo,First Downs,18,,,,,,
team,201912290sea,sea,First Downs,27,,,,,,
team,201912290sea,sfo,Rush-Yds-TDs,24-128-3,,,,,,
team,201912290sea,sea,Rush-Yds-TDs,30-125-1,,,,,,
team,201912290sea,sfo,Cmp-Att-Yd-TD-INT,18-22-285-0-0,,,,,,
team,201912290sea,sea,Cmp-Att-Yd-TD-INT,25-40-233-2-0,,,,,,
team,201912290sea,sfo,Sacked-Yards,2-15,,,,,,
team,201912290sea,sea,Sacked-Yards,1-10,,,,,,
team,201912290sea,sfo,Net Pass Yards,270,,,,,,
team,201912290sea,sea,Net Pass Yards,223,,,,,,
team,201912290sea,sfo,Total Yards,398,,,,,,
team,201912290sea,sea,Total Yards,348,,,,,,
team,201912290sea,sfo,Fumbles-Lost,1-0,,,,,,
team,201912290sea,sea,Fumbles-Lost,1-0,,,,,,
team,201912290sea,sfo,Turnovers,0,,,,,,
team,201912290sea,sea,Turnovers,0,,,,,,
team,201912290sea,sfo,Penalties-Yards,8-57,,,,,,
team,201912290sea,sea,Penalties-Yards,5-29,,,,,,
team,201912290sea,sfo,Third Down Conv.,4-8,,,,,,
team,201912290sea,sea,Third Down Conv.,8-14,,,,,,
team,201912290sea,sfo,Fourth Down Conv.,0-0,,,,,,
team,201912290sea,sea,Fourth Down Conv.,1-3,,,,,,
team,201912290sea,sfo,Time of Possession,27:04,,,,,,
team,201912290sea,sea,Time of Possession,32:56,,,,,,
player,201912290sea,sfo,GaroJi00,pass_cmp,18,,,,,
player,201912290sea,sfo,GaroJi00,pass_att,22,,,,,
player,201912290sea,sfo,GaroJi00,pass_yds,285,,,,,
player,201912290sea,sfo,GaroJi00,pass_td,0,,,,,
player,201912290sea,sfo,GaroJi00,pass_int,0,,,,,
player,201912290sea,sfo,GaroJi00,pass_sacked,2,,,,,
player,201912290sea,sfo,GaroJi00,pass_sacked_yds,15,,,,,
player,201912290sea,sfo,GaroJi00,pass_long,49,,,,,
player,201912290sea,sfo,GaroJi00,pass_rating,118.7,,,,,
player,201912290sea,sfo,GaroJi00,rush_att,2,,,,,
player,201912290sea,sfo,GaroJi00,rush_yds,4,,,,,
player,201912290sea,sfo,GaroJi00,rush_td,0,,,,,
player,201912290sea,sfo,GaroJi00,rush_long,2,,,,,
player,201912290sea,sfo,GaroJi00,targets,0,,,,,
player,201912290sea,sfo,GaroJi00,rec,0,,,,,
player,201912290sea,sfo,GaroJi00,rec_yds,0,,,,,
player,201912290sea,sfo,GaroJi00,rec_td,0,,,,,
player,201912290sea,sfo,GaroJi00,rec_long,0,,,,,
player,201912290sea,sfo,GaroJi00,fumbles,0,,,,,
player,201912290sea,sfo,GaroJi00,fumbles_lost,0,,,,,
player,201912290sea,sfo,MostRa00,pass_cmp,0,,,,,
player,201912290sea,sfo,MostRa00,pass_att,0,,,,,
player,201912290sea,sfo,MostRa00,pass_yds,0,,,,,
player,201912290sea,sfo,MostRa00,pass_td,0,,,,,
player,201912290sea,sfo,MostRa00,pass_int,0,,,,,
player,201912290sea,sfo,MostRa00,pass_sacked,0,,,,,
player,201912290sea,sfo,MostRa00,pass_sacked_yds,0,,,,,
player,201912290sea,sfo,MostRa00,pass_long,0,,,,,
player,201912290sea,sfo,MostRa00,pass_rating,,,,,,
player,201912290sea,sfo,MostRa00,rush_att,10,,,,,
player,201912290sea,sfo,MostRa00,rush_yds,57,,,,,
player,201912290sea,sfo,MostRa00,rush_td,2,,,,,
player,201912290sea,sfo,MostRa00,rush_long,17,,,,,
player,201912290sea,sfo,MostRa00,targets,2,,,,,
player,201912290sea,sfo,MostRa00,rec,1,,,,,
player,201912290sea,sfo,MostRa00,rec_yds,16,,,,,
player,201912290sea,sfo,MostRa00,rec_td,0,,,,,
player,201912290sea,sfo,MostRa00,rec_long,16,,,,,
player,201912290sea,sfo,MostRa00,fumbles,0,,,,,
player,201912290sea,sfo,MostRa00,fumbles_lost,0,,,,,
player,201912290sea,sfo,SamuDe00,pass_cmp,0,,,,,
player,201912290sea,sfo,SamuDe00,pass_att,0,,,,,
player,201912290sea,sfo,SamuDe00,pass_yds,0,,,,,
player,201912290sea,sfo,SamuDe00,pass_td,0,,,,,
player,201912290sea,sfo,SamuDe00,pass_int,0,,,,,
player,201912290sea,sfo,SamuDe00,pass_sacked,0,,,,,
player,201912290sea,sfo,SamuDe00,pass_sacked_yds,0,,,,,
player,201912290sea,sfo,SamuDe00,pass_long,0,,,,,
player,201912290sea,sfo,SamuDe00,pass_rating,,,,,,
player,201912290sea,sfo,SamuDe00,rush_att,2,,,,,
player,201912290sea,sfo,SamuDe00,rush_yds,33,,,,,
player,201912290sea,sfo,SamuDe00,rush_td,1,,,,,
player,201912290sea,sfo,SamuDe00,rush_long,30,,,,,
player,201912290sea,sfo,SamuDe00,targets,5,,,,,
player,201912290sea,sfo,SamuDe00,rec,5,,,,,
player,201912290sea,sfo,SamuDe00,rec_yds,102,,,,,
player,201912290sea,sfo,SamuDe00,rec_td,0,,,,,
player,201912290sea,sfo,SamuDe00,rec_long,30,,,,,
player,201912290sea,sfo,SamuDe00,fumbles,1,,,,,
player,201912290sea,sfo,SamuDe00,fumbles_lost,0,,,,,
player,201912290sea,sfo,BreiMa00,pass_cmp,0,,,,,
