game,2019,6,20191013,201910130den,oti,"Tennessee Titans",0,den,"Denver Broncos",16
team,201910130den,oti,First Downs,12,,,,,,
team,201910130den,den,First Downs,11,,,,,,
team,201910130den,oti,Rush-Yds-TDs,21-39-0,,,,,,
team,201910130den,den,Rush-Yds-TDs,30-103-1,,,,,,
team,201910130den,oti,Cmp-Att-Yd-TD-INT,20-34-207-0-3,,,,,,
team,201910130den,den,Cmp-Att-Yd-TD-INT,18-28-177-0-1,,,,,,
team,201910130den,oti,Sacked-Yards,7-42,,,,,,
team,201910130den,den,Sacked-Yards,1-10,,,,,,
team,201910130den,oti,Net Pass Yards,165,,,,,,
team,201910130den,den,Net Pass Yards,167,,,,,,
team,201910130den,oti,Total Yards,204,,,,,,
team,201910130den,den,Total Yards,270,,,,,,
team,201910130den,oti,Fumbles-Lost,1-0,,,,,,
team,201910130den,den,Fumbles-Lost,2-0,,,,,,
team,201910130den,oti,Turnovers,3,,,,,,
team,201910130den,den,Turnovers,1,,,,,,
team,201910130den,oti,Penalties-Yards,6-40,,,,,,
team,201910130den,den,Penalties-Yards,8-51,,,,,,
team,201910130den,oti,Third Down Conv.,2-14,,,,,,
team,201910130den,den,Third Down Conv.,2-14,,,,,,
team,201910130den,oti,Fourth Down Conv.,0-2,,,,,,
team,201910130den,den,Fourth Down Conv.,0-0,,,,,,
team,201910130den,oti,Time of Possession,30:14,,,,,,
team,201910130den,den,Time of Possession,29:46,,,,,,
player,201910130den,oti,MariMa01,pass_cmp,7,,,,,
player,201910130den,oti,MariMa01,pass_att,18,,,,,
player,201910130den,oti,MariMa01,pass_yds,63,,,,,
player,201910130den,oti,MariMa01,pass_td,0,,,,,
player,201910130den,oti,MariMa01,pass_int,2,,,,,
player,201910130den,oti,MariMa01,pass_sacked,3,,,,,
player,201910130den,oti,MariMa01,pass_sacked_yds,7,,,,,
player,201910130den,oti,MariMa01,pass_long,17,,,,,
player,201910130den,oti,MariMa01,pass_rating,9.5,,,,,
player,201910130den,oti,MariMa01,rush_att,2,,,,,
player,201910130den,oti,MariMa01,rush_yds,4,,,,,
player,201910130den,oti,MariMa01,rush_td,0,,,,,
player,201910130den,oti,MariMa01,rush_long,5,,,,,
player,201910130den,oti,MariMa01,targets,0,,,,,
player,201910130den,oti,MariMa01,rec,0,,,,,
player,201910130den,oti,MariMa01,rec_yds,0,,,,,
player,201910130den,oti,MariMa01,rec_td,0,,,,,
player,201910130den,oti,MariMa01,rec_long,0,,,,,
player,201910130den,oti,MariMa01,fumbles,0,,,,,
player,201910130den,oti,MariMa01,fumbles_lost,0,,,,,
player,201910130den,oti,TannRy00,pass_cmp,13,,,,,
player,201910130den,oti,TannRy00,pass_att,16,,,,,
player,201910130den,oti,TannRy00,pass_yds,144,,,,,
player,201910130den,oti,TannRy00,pass_td,0,,,,,
player,201910130den,oti,TannRy00,pass_int,1,,,,,
player,201910130den,oti,TannRy00,pass_sacked,4,,,,,
player,201910130den,oti,TannRy00,pass_sacked_yds,35,,,,,
player,201910130den,oti,TannRy00,pass_long,25,,,,,
player,201910130den,oti,TannRy00,pass_rating,78.1,,,,,
player,201910130den,oti,TannRy00,rush_att,1,,,,,
player,201910130den,oti,TannRy00,rush_yds,6,,,,,
player,201910130den,oti,TannRy00,rush_td,0,,,,,
player,201910130den,oti,TannRy00,rush_long,6,,,,,
player,201910130den,oti,TannRy00,targets,0,,,,,
player,201910130den,oti,TannRy00,rec,0,,,,,
player,201910130den,oti,TannRy00,rec_yds,0,,,,,
player,201910130den,oti,TannRy00,rec_td,0,,,,,
player,201910130den,oti,TannRy00,rec_long,0,,,,,
player,201910130den,oti,TannRy00,fumbles,0,,,,,
player,201910130den,oti,TannRy00,fumbles_lost,0,,,,,
player,201910130den,oti,HenrDe00,pass_cmp,0,,,,,
player,201910130den,oti,HenrDe00,pass_att,0,,,,,
player,201910130den,oti,HenrDe00,pass_yds,0,,,,,
player,201910130den,oti,HenrDe00,pass_td,0,,,,,
player,201910130den,oti,HenrDe00,pass_int,0,,,,,
player,201910130den,oti,HenrDe00,pass_sacked,0,,,,,
player,201910130den,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201910130den,oti,HenrDe00,pass_long,0,,,,,
player,201910130den,oti,HenrDe00,pass_rating,,,,,,
player,201910130den,oti,HenrDe00,rush_att,15,,,,,
player,201910130den,oti,HenrDe00,rush_yds,28,,,,,
player,201910130den,oti,HenrDe00,rush_td,0,,,,,
player,201910130den,oti,HenrDe00,rush_long,6,,,,,
player,201910130den,oti,HenrDe00,targets,3,,,,,
player,201910130den,oti,HenrDe00,rec,1,,,,,
player,201910130den,oti,HenrDe00,rec_yds,5,,,,,
player,201910130den,oti,HenrDe00,rec_td,0,,,,,
player,201910130den,oti,HenrDe00,rec_long,5,,,,,
player,201910130den,oti,HenrDe00,fumbles,0,,,,,
player,201910130den,oti,HenrDe00,fumbles_lost,0,,,,,
player,201910130den,oti,DawkDa01,pass_cmp,0,,,,,
player,201910130den,oti,DawkDa01,pass_att,0,,,,,
player,201910130den,oti,DawkDa01,pass_yds,0,,,,,
