game,2019,15,20191215,201912150crd,cle,"Cleveland Browns",24,crd,"Arizona Cardinals",38
team,201912150crd,cle,First Downs,25,,,,,,
team,201912150crd,crd,First Downs,26,,,,,,
team,201912150crd,cle,Rush-Yds-TDs,23-152-1,,,,,,
team,201912150crd,crd,Rush-Yds-TDs,35-226-4,,,,,,
team,201912150crd,cle,Cmp-Att-Yd-TD-INT,30-43-247-2-1,,,,,,
team,201912150crd,crd,Cmp-Att-Yd-TD-INT,19-25-219-1-1,,,,,,
team,201912150crd,cle,Sacked-Yards,1-6,,,,,,
team,201912150crd,crd,Sacked-Yards,0-0,,,,,,
team,201912150crd,cle,Net Pass Yards,241,,,,,,
team,201912150crd,crd,Net Pass Yards,219,,,,,,
team,201912150crd,cle,Total Yards,393,,,,,,
team,201912150crd,crd,Total Yards,445,,,,,,
team,201912150crd,cle,Fumbles-Lost,1-1,,,,,,
team,201912150crd,crd,Fumbles-Lost,0-0,,,,,,
team,201912150crd,cle,Turnovers,2,,,,,,
team,201912150crd,crd,Turnovers,1,,,,,,
team,201912150crd,cle,Penalties-Yards,6-55,,,,,,
team,201912150crd,crd,Penalties-Yards,5-34,,,,,,
team,201912150crd,cle,Third Down Conv.,9-14,,,,,,
team,201912150crd,crd,Third Down Conv.,4-8,,,,,,
team,201912150crd,cle,Fourth Down Conv.,1-1,,,,,,
team,201912150crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201912150crd,cle,Time of Possession,30:49,,,,,,
team,201912150crd,crd,Time of Possession,29:11,,,,,,
player,201912150crd,cle,MayfBa00,pass_cmp,30,,,,,
player,201912150crd,cle,MayfBa00,pass_att,43,,,,,
player,201912150crd,cle,MayfBa00,pass_yds,247,,,,,
player,201912150crd,cle,MayfBa00,pass_td,2,,,,,
player,201912150crd,cle,MayfBa00,pass_int,1,,,,,
player,201912150crd,cle,MayfBa00,pass_sacked,1,,,,,
player,201912150crd,cle,MayfBa00,pass_sacked_yds,6,,,,,
player,201912150crd,cle,MayfBa00,pass_long,26,,,,,
player,201912150crd,cle,MayfBa00,pass_rating,90.0,,,,,
player,201912150crd,cle,MayfBa00,rush_att,2,,,,,
player,201912150crd,cle,MayfBa00,rush_yds,11,,,,,
player,201912150crd,cle,MayfBa00,rush_td,0,,,,,
player,201912150crd,cle,MayfBa00,rush_long,7,,,,,
player,201912150crd,cle,MayfBa00,targets,0,,,,,
player,201912150crd,cle,MayfBa00,rec,0,,,,,
player,201912150crd,cle,MayfBa00,rec_yds,0,,,,,
player,201912150crd,cle,MayfBa00,rec_td,0,,,,,
player,201912150crd,cle,MayfBa00,rec_long,0,,,,,
player,201912150crd,cle,MayfBa00,fumbles,0,,,,,
player,201912150crd,cle,MayfBa00,fumbles_lost,0,,,,,
player,201912150crd,cle,ChubNi00,pass_cmp,0,,,,,
player,201912150crd,cle,ChubNi00,pass_att,0,,,,,
player,201912150crd,cle,ChubNi00,pass_yds,0,,,,,
player,201912150crd,cle,ChubNi00,pass_td,0,,,,,
player,201912150crd,cle,ChubNi00,pass_int,0,,,,,
player,201912150crd,cle,ChubNi00,pass_sacked,0,,,,,
player,201912150crd,cle,ChubNi00,pass_sacked_yds,0,,,,,
player,201912150crd,cle,ChubNi00,pass_long,0,,,,,
player,201912150crd,cle,ChubNi00,pass_rating,,,,,,
player,201912150crd,cle,ChubNi00,rush_att,17,,,,,
player,201912150crd,cle,ChubNi00,rush_yds,127,,,,,
player,201912150crd,cle,ChubNi00,rush_td,1,,,,,
player,201912150crd,cle,ChubNi00,rush_long,33,,,,,
player,201912150crd,cle,ChubNi00,targets,3,,,,,
player,201912150crd,cle,ChubNi00,rec,3,,,,,
player,201912150crd,cle,ChubNi00,rec_yds,21,,,,,
player,201912150crd,cle,ChubNi00,rec_td,0,,,,,
player,201912150crd,cle,ChubNi00,rec_long,17,,,,,
player,201912150crd,cle,ChubNi00,fumbles,0,,,,,
player,201912150crd,cle,ChubNi00,fumbles_lost,0,,,,,
player,201912150crd,cle,HuntKa00,pass_cmp,0,,,,,
player,201912150crd,cle,HuntKa00,pass_att,0,,,,,
player,201912150crd,cle,HuntKa00,pass_yds,0,,,,,
player,201912150crd,cle,HuntKa00,pass_td,0,,,,,
player,201912150crd,cle,HuntKa00,pass_int,0,,,,,
player,201912150crd,cle,HuntKa00,pass_sacked,0,,,,,
player,201912150crd,cle,HuntKa00,pass_sacked_yds,0,,,,,
player,201912150crd,cle,HuntKa00,pass_long,0,,,,,
player,201912150crd,cle,HuntKa00,pass_rating,,,,,,
player,201912150crd,cle,HuntKa00,rush_att,4,,,,,
player,201912150crd,cle,HuntKa00,rush_yds,14,,,,,
player,201912150crd,cle,HuntKa00,rush_td,0,,,,,
player,201912150crd,cle,HuntKa00,rush_long,6,,,,,
player,201912150crd,cle,HuntKa00,targets,9,,,,,
player,201912150crd,cle,HuntKa00,rec,8,,,,,
player,201912150crd,cle,HuntKa00,rec_yds,62,,,,,
player,201912150crd,cle,HuntKa00,rec_td,0,,,,,
player,201912150crd,cle,HuntKa00,rec_long,16,,,,,
player,201912150crd,cle,HuntKa00,fumbles,0,,,,,
player,201912150crd,cle,HuntKa00,fumbles_lost,0,,,,,
player,201912150crd,cle,BeckOd00,pass_cmp,0,,,,,
player,201912150crd,cle,BeckOd00,pass_att,0,,,,,
player,201912150crd,cle,BeckOd00,pass_yds,0,,,,,
player,201912150crd,cle,BeckOd00,pass_td,0,,,,,
player,201912150crd,cle,BeckOd00,pass_int,0,,,,,
player,201912150crd,cle,BeckOd00,pass_sacked,0,,,,,
player,201912150crd,cle,BeckOd00,pass_sacked_yds,0,,,,,
player,201912150crd,cle,BeckOd00,pass_long,0,,,,,
