game,2019,11,20191117,201911170car,atl,"Atlanta Falcons",29,car,"Carolina Panthers",3
team,201911170car,atl,First Downs,20,,,,,,
team,201911170car,car,First Downs,17,,,,,,
team,201911170car,atl,Rush-Yds-TDs,26-54-1,,,,,,
team,201911170car,car,Rush-Yds-TDs,15-77-0,,,,,,
team,201911170car,atl,Cmp-Att-Yd-TD-INT,22-32-314-1-0,,,,,,
team,201911170car,car,Cmp-Att-Yd-TD-INT,31-50-325-0-4,,,,,,
team,201911170car,atl,Sacked-Yards,3-19,,,,,,
team,201911170car,car,Sacked-Yards,5-55,,,,,,
team,201911170car,atl,Net Pass Yards,295,,,,,,
team,201911170car,car,Net Pass Yards,270,,,,,,
team,201911170car,atl,Total Yards,349,,,,,,
team,201911170car,car,Total Yards,347,,,,,,
team,201911170car,atl,Fumbles-Lost,2-0,,,,,,
team,201911170car,car,Fumbles-Lost,0-0,,,,,,
team,201911170car,atl,Turnovers,0,,,,,,
team,201911170car,car,Turnovers,4,,,,,,
team,201911170car,atl,Penalties-Yards,3-20,,,,,,
team,201911170car,car,Penalties-Yards,8-68,,,,,,
team,201911170car,atl,Third Down Conv.,6-14,,,,,,
team,201911170car,car,Third Down Conv.,2-14,,,,,,
team,201911170car,atl,Fourth Down Conv.,1-1,,,,,,
team,201911170car,car,Fourth Down Conv.,3-5,,,,,,
team,201911170car,atl,Time of Possession,31:26,,,,,,
team,201911170car,car,Time of Possession,28:34,,,,,,
player,201911170car,atl,RyanMa00,pass_cmp,21,,,,,
player,201911170car,atl,RyanMa00,pass_att,31,,,,,
player,201911170car,atl,RyanMa00,pass_yds,311,,,,,
player,201911170car,atl,RyanMa00,pass_td,1,,,,,
player,201911170car,atl,RyanMa00,pass_int,0,,,,,
player,201911170car,atl,RyanMa00,pass_sacked,3,,,,,
player,201911170car,atl,RyanMa00,pass_sacked_yds,19,,,,,
player,201911170car,atl,RyanMa00,pass_long,48,,,,,
player,201911170car,atl,RyanMa00,pass_rating,111.1,,,,,
