game,2019,2,20190915,201909150den,chi,"Chicago Bears",16,den,"Denver Broncos",14
team,201909150den,chi,First Downs,18,,,,,,
team,201909150den,den,First Downs,27,,,,,,
team,201909150den,chi,Rush-Yds-TDs,29-153-1,,,,,,
team,201909150den,den,Rush-Yds-TDs,24-90-0,,,,,,
team,201909150den,chi,Cmp-Att-Yd-TD-INT,16-27-120-0-0,,,,,,
team,201909150den,den,Cmp-Att-Yd-TD-INT,35-50-292-1-1,,,,,,
team,201909150den,chi,Sacked-Yards,0-0,,,,,,
team,201909150den,den,Sacked-Yards,2-10,,,,,,
team,201909150den,chi,Net Pass Yards,120,,,,,,
team,201909150den,den,Net Pass Yards,282,,,,,,
team,201909150den,chi,Total Yards,273,,,,,,
team,201909150den,den,Total Yards,372,,,,,,
team,201909150den,chi,Fumbles-Lost,0-0,,,,,,
team,201909150den,den,Fumbles-Lost,0-0,,,,,,
team,201909150den,chi,Turnovers,0,,,,,,
team,201909150den,den,Turnovers,1,,,,,,
team,201909150den,chi,Penalties-Yards,7-65,,,,,,
team,201909150den,den,Penalties-Yards,10-81,,,,,,
team,201909150den,chi,Third Down Conv.,3-11,,,,,,
team,201909150den,den,Third Down Conv.,3-14,,,,,,
team,201909150den,chi,Fourth Down Conv.,1-1,,,,,,
team,201909150den,den,Fourth Down Conv.,3-3,,,,,,
team,201909150den,chi,Time of Possession,27:01,,,,,,
team,201909150den,den,Time of Possession,32:59,,,,,,
player,201909150den,chi,TrubMi00,pass_cmp,16,,,,,
player,201909150den,chi,TrubMi00,pass_att,27,,,,,
player,201909150den,chi,TrubMi00,pass_yds,120,,,,,
player,201909150den,chi,TrubMi00,pass_td,0,,,,,
player,201909150den,chi,TrubMi00,pass_int,0,,,,,
player,201909150den,chi,TrubMi00,pass_sacked,0,,,,,
player,201909150den,chi,TrubMi00,pass_sacked_yds,0,,,,,
player,201909150den,chi,TrubMi00,pass_long,25,,,,,
player,201909150den,chi,TrubMi00,pass_rating,70.0,,,,,
player,201909150den,chi,TrubMi00,rush_att,1,,,,,
player,201909150den,chi,TrubMi00,rush_yds,8,,,,,
player,201909150den,chi,TrubMi00,rush_td,0,,,,,
