game,2019,5,20191006,201910060rai,chi,"Chicago Bears",21,rai,"Oakland Raiders",24
team,201910060rai,chi,First Downs,15,,,,,,
team,201910060rai,rai,First Downs,25,,,,,,
team,201910060rai,chi,Rush-Yds-TDs,17-42-1,,,,,,
team,201910060rai,rai,Rush-Yds-TDs,39-169-3,,,,,,
team,201910060rai,chi,Cmp-Att-Yd-TD-INT,22-30-231-2-2,,,,,,
team,201910060rai,rai,Cmp-Att-Yd-TD-INT,25-32-229-0-0,,,,,,
team,201910060rai,chi,Sacked-Yards,4-37,,,,,,
team,201910060rai,rai,Sacked-Yards,0-0,,,,,,
team,201910060rai,chi,Net Pass Yards,194,,,,,,
team,201910060rai,rai,Net Pass Yards,229,,,,,,
team,201910060rai,chi,Total Yards,236,,,,,,
team,201910060rai,rai,Total Yards,398,,,,,,
team,201910060rai,chi,Fumbles-Lost,0-0,,,,,,
team,201910060rai,rai,Fumbles-Lost,2-2,,,,,,
team,201910060rai,chi,Turnovers,2,,,,,,
team,201910060rai,rai,Turnovers,2,,,,,,
team,201910060rai,chi,Penalties-Yards,10-75,,,,,,
team,201910060rai,rai,Penalties-Yards,6-69,,,,,,
team,201910060rai,chi,Third Down Conv.,4-11,,,,,,
team,201910060rai,rai,Third Down Conv.,6-12,,,,,,
team,201910060rai,chi,Fourth Down Conv.,0-0,,,,,,
team,201910060rai,rai,Fourth Down Conv.,1-1,,,,,,
team,201910060rai,chi,Time of Possession,25:17,,,,,,
team,201910060rai,rai,Time of Possession,34:43,,,,,,
player,201910060rai,chi,DaniCh00,pass_cmp,22,,,,,
player,201910060rai,chi,DaniCh00,pass_att,30,,,,,
player,201910060rai,chi,DaniCh00,pass_yds,231,,,,,
player,201910060rai,chi,DaniCh00,pass_td,2,,,,,
player,201910060rai,chi,DaniCh00,pass_int,2,,,,,
player,201910060rai,chi,DaniCh00,pass_sacked,4,,,,,
player,201910060rai,chi,DaniCh00,pass_sacked_yds,37,,,,,
player,201910060rai,chi,DaniCh00,pass_long,32,,,,,
player,201910060rai,chi,DaniCh00,pass_rating,89.7,,,,,
player,201910060rai,chi,DaniCh00,rush_att,1,,,,,
player,201910060rai,chi,DaniCh00,rush_yds,2,,,,,
player,201910060rai,chi,DaniCh00,rush_td,0,,,,,
player,201910060rai,chi,DaniCh00,rush_long,2,,,,,
player,201910060rai,chi,DaniCh00,targets,0,,,,,
player,201910060rai,chi,DaniCh00,rec,0,,,,,
player,201910060rai,chi,DaniCh00,rec_yds,0,,,,,
player,201910060rai,chi,DaniCh00,rec_td,0,,,,,
player,201910060rai,chi,DaniCh00,rec_long,0,,,,,
player,201910060rai,chi,DaniCh00,fumbles,0,,,,,
player,201910060rai,chi,DaniCh00,fumbles_lost,0,,,,,
player,201910060rai,chi,MontDa01,pass_cmp,0,,,,,
player,201910060rai,chi,MontDa01,pass_att,0,,,,,
player,201910060rai,chi,MontDa01,pass_yds,0,,,,,
player,201910060rai,chi,MontDa01,pass_td,0,,,,,
player,201910060rai,chi,MontDa01,pass_int,0,,,,,
player,201910060rai,chi,MontDa01,pass_sacked,0,,,,,
player,201910060rai,chi,MontDa01,pass_sacked_yds,0,,,,,
player,201910060rai,chi,MontDa01,pass_long,0,,,,,
player,201910060rai,chi,MontDa01,pass_rating,,,,,,
player,201910060rai,chi,MontDa01,rush_att,11,,,,,
player,201910060rai,chi,MontDa01,rush_yds,25,,,,,
player,201910060rai,chi,MontDa01,rush_td,1,,,,,
player,201910060rai,chi,MontDa01,rush_long,6,,,,,
player,201910060rai,chi,MontDa01,targets,1,,,,,
player,201910060rai,chi,MontDa01,rec,1,,,,,
player,201910060rai,chi,MontDa01,rec_yds,11,,,,,
player,201910060rai,chi,MontDa01,rec_td,0,,,,,
player,201910060rai,chi,MontDa01,rec_long,11,,,,,
player,201910060rai,chi,MontDa01,fumbles,0,,,,,
player,201910060rai,chi,MontDa01,fumbles_lost,0,,,,,
player,201910060rai,chi,CoheTa00,pass_cmp,0,,,,,
player,201910060rai,chi,CoheTa00,pass_att,0,,,,,
player,201910060rai,chi,CoheTa00,pass_yds,0,,,,,
player,201910060rai,chi,CoheTa00,pass_td,0,,,,,
player,201910060rai,chi,CoheTa00,pass_int,0,,,,,
player,201910060rai,chi,CoheTa00,pass_sacked,0,,,,,
