game,2019,10,20191111,201911110sfo,sea,"Seattle Seahawks",27,sfo,"San Francisco 49ers",24
team,201911110sfo,sea,First Downs,19,,,,,,
team,201911110sfo,sfo,First Downs,21,,,,,,
team,201911110sfo,sea,Rush-Yds-TDs,34-147-1,,,,,,
team,201911110sfo,sfo,Rush-Yds-TDs,27-87-0,,,,,,
team,201911110sfo,sea,Cmp-Att-Yd-TD-INT,24-34-232-1-1,,,,,,
team,201911110sfo,sfo,Cmp-Att-Yd-TD-INT,24-46-248-1-1,,,,,,
team,201911110sfo,sea,Sacked-Yards,5-43,,,,,,
team,201911110sfo,sfo,Sacked-Yards,5-33,,,,,,
team,201911110sfo,sea,Net Pass Yards,189,,,,,,
team,201911110sfo,sfo,Net Pass Yards,215,,,,,,
team,201911110sfo,sea,Total Yards,336,,,,,,
team,201911110sfo,sfo,Total Yards,302,,,,,,
team,201911110sfo,sea,Fumbles-Lost,5-3,,,,,,
team,201911110sfo,sfo,Fumbles-Lost,2-2,,,,,,
team,201911110sfo,sea,Turnovers,4,,,,,,
team,201911110sfo,sfo,Turnovers,3,,,,,,
team,201911110sfo,sea,Penalties-Yards,9-75,,,,,,
team,201911110sfo,sfo,Penalties-Yards,5-40,,,,,,
team,201911110sfo,sea,Third Down Conv.,7-15,,,,,,
team,201911110sfo,sfo,Third Down Conv.,6-15,,,,,,
team,201911110sfo,sea,Fourth Down Conv.,0-0,,,,,,
team,201911110sfo,sfo,Fourth Down Conv.,0-1,,,,,,
team,201911110sfo,sea,Time of Possession,35:19,,,,,,
team,201911110sfo,sfo,Time of Possession,34:41,,,,,,
player,201911110sfo,sea,WilsRu00,pass_cmp,24,,,,,
player,201911110sfo,sea,WilsRu00,pass_att,34,,,,,
player,201911110sfo,sea,WilsRu00,pass_yds,232,,,,,
player,201911110sfo,sea,WilsRu00,pass_td,1,,,,,
player,201911110sfo,sea,WilsRu00,pass_int,1,,,,,
player,201911110sfo,sea,WilsRu00,pass_sacked,5,,,,,
player,201911110sfo,sea,WilsRu00,pass_sacked_yds,43,,,,,
player,201911110sfo,sea,WilsRu00,pass_long,28,,,,,
player,201911110sfo,sea,WilsRu00,pass_rating,86.9,,,,,
player,201911110sfo,sea,WilsRu00,rush_att,6,,,,,
player,201911110sfo,sea,WilsRu00,rush_yds,53,,,,,
player,201911110sfo,sea,WilsRu00,rush_td,0,,,,,
player,201911110sfo,sea,WilsRu00,rush_long,18,,,,,
player,201911110sfo,sea,WilsRu00,targets,0,,,,,
player,201911110sfo,sea,WilsRu00,rec,0,,,,,
player,201911110sfo,sea,WilsRu00,rec_yds,0,,,,,
player,201911110sfo,sea,WilsRu00,rec_td,0,,,,,
player,201911110sfo,sea,WilsRu00,rec_long,0,,,,,
player,201911110sfo,sea,WilsRu00,fumbles,1,,,,,
player,201911110sfo,sea,WilsRu00,fumbles_lost,0,,,,,
player,201911110sfo,sea,CarsCh00,pass_cmp,0,,,,,
player,201911110sfo,sea,CarsCh00,pass_att,0,,,,,
player,201911110sfo,sea,CarsCh00,pass_yds,0,,,,,
player,201911110sfo,sea,CarsCh00,pass_td,0,,,,,
player,201911110sfo,sea,CarsCh00,pass_int,0,,,,,
player,201911110sfo,sea,CarsCh00,pass_sacked,0,,,,,
player,201911110sfo,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201911110sfo,sea,CarsCh00,pass_long,0,,,,,
player,201911110sfo,sea,CarsCh00,pass_rating,,,,,,
player,201911110sfo,sea,CarsCh00,rush_att,25,,,,,
player,201911110sfo,sea,CarsCh00,rush_yds,89,,,,,
player,201911110sfo,sea,CarsCh00,rush_td,1,,,,,
player,201911110sfo,sea,CarsCh00,rush_long,9,,,,,
player,201911110sfo,sea,CarsCh00,targets,4,,,,,
player,201911110sfo,sea,CarsCh00,rec,3,,,,,
player,201911110sfo,sea,CarsCh00,rec_yds,12,,,,,
player,201911110sfo,sea,CarsCh00,rec_td,0,,,,,
player,201911110sfo,sea,CarsCh00,rec_long,5,,,,,
player,201911110sfo,sea,CarsCh00,fumbles,1,,,,,
player,201911110sfo,sea,CarsCh00,fumbles_lost,0,,,,,
player,201911110sfo,sea,LockTy00,pass_cmp,0,,,,,
player,201911110sfo,sea,LockTy00,pass_att,0,,,,,
player,201911110sfo,sea,LockTy00,pass_yds,0,,,,,
player,201911110sfo,sea,LockTy00,pass_td,0,,,,,
player,201911110sfo,sea,LockTy00,pass_int,0,,,,,
