game,2019,2,20190915,201909150was,dal,"Dallas Cowboys",31,was,"Washington Redskins",21
team,201909150was,dal,First Downs,25,,,,,,
team,201909150was,was,First Downs,19,,,,,,
team,201909150was,dal,Rush-Yds-TDs,34-213-1,,,,,,
team,201909150was,was,Rush-Yds-TDs,17-47-1,,,,,,
team,201909150was,dal,Cmp-Att-Yd-TD-INT,26-30-269-3-1,,,,,,
team,201909150was,was,Cmp-Att-Yd-TD-INT,26-37-221-2-0,,,,,,
team,201909150was,dal,Sacked-Yards,1-8,,,,,,
team,201909150was,was,Sacked-Yards,1-13,,,,,,
team,201909150was,dal,Net Pass Yards,261,,,,,,
team,201909150was,was,Net Pass Yards,208,,,,,,
team,201909150was,dal,Total Yards,474,,,,,,
team,201909150was,was,Total Yards,255,,,,,,
team,201909150was,dal,Fumbles-Lost,0-0,,,,,,
team,201909150was,was,Fumbles-Lost,0-0,,,,,,
team,201909150was,dal,Turnovers,1,,,,,,
team,201909150was,was,Turnovers,0,,,,,,
team,201909150was,dal,Penalties-Yards,8-67,,,,,,
team,201909150was,was,Penalties-Yards,6-44,,,,,,
team,201909150was,dal,Third Down Conv.,7-11,,,,,,
team,201909150was,was,Third Down Conv.,2-9,,,,,,
team,201909150was,dal,Fourth Down Conv.,0-0,,,,,,
team,201909150was,was,Fourth Down Conv.,2-3,,,,,,
team,201909150was,dal,Time of Possession,33:22,,,,,,
team,201909150was,was,Time of Possession,26:38,,,,,,
player,201909150was,dal,PresDa01,pass_cmp,26,,,,,
player,201909150was,dal,PresDa01,pass_att,30,,,,,
player,201909150was,dal,PresDa01,pass_yds,269,,,,,
player,201909150was,dal,PresDa01,pass_td,3,,,,,
player,201909150was,dal,PresDa01,pass_int,1,,,,,
player,201909150was,dal,PresDa01,pass_sacked,1,,,,,
player,201909150was,dal,PresDa01,pass_sacked_yds,8,,,,,
player,201909150was,dal,PresDa01,pass_long,51,,,,,
player,201909150was,dal,PresDa01,pass_rating,123.5,,,,,
player,201909150was,dal,PresDa01,rush_att,5,,,,,
player,201909150was,dal,PresDa01,rush_yds,69,,,,,
player,201909150was,dal,PresDa01,rush_td,0,,,,,
player,201909150was,dal,PresDa01,rush_long,42,,,,,
player,201909150was,dal,PresDa01,targets,0,,,,,
player,201909150was,dal,PresDa01,rec,0,,,,,
player,201909150was,dal,PresDa01,rec_yds,0,,,,,
player,201909150was,dal,PresDa01,rec_td,0,,,,,
player,201909150was,dal,PresDa01,rec_long,0,,,,,
player,201909150was,dal,PresDa01,fumbles,0,,,,,
player,201909150was,dal,PresDa01,fumbles_lost,0,,,,,
player,201909150was,dal,ElliEz00,pass_cmp,0,,,,,
player,201909150was,dal,ElliEz00,pass_att,0,,,,,
player,201909150was,dal,ElliEz00,pass_yds,0,,,,,
player,201909150was,dal,ElliEz00,pass_td,0,,,,,
player,201909150was,dal,ElliEz00,pass_int,0,,,,,
player,201909150was,dal,ElliEz00,pass_sacked,0,,,,,
player,201909150was,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201909150was,dal,ElliEz00,pass_long,0,,,,,
player,201909150was,dal,ElliEz00,pass_rating,,,,,,
player,201909150was,dal,ElliEz00,rush_att,23,,,,,
player,201909150was,dal,ElliEz00,rush_yds,111,,,,,
player,201909150was,dal,ElliEz00,rush_td,1,,,,,
player,201909150was,dal,ElliEz00,rush_long,27,,,,,
player,201909150was,dal,ElliEz00,targets,2,,,,,
player,201909150was,dal,ElliEz00,rec,2,,,,,
player,201909150was,dal,ElliEz00,rec_yds,9,,,,,
player,201909150was,dal,ElliEz00,rec_td,0,,,,,
player,201909150was,dal,ElliEz00,rec_long,9,,,,,
player,201909150was,dal,ElliEz00,fumbles,0,,,,,
player,201909150was,dal,ElliEz00,fumbles_lost,0,,,,,
player,201909150was,dal,PollTo00,pass_cmp,0,,,,,
player,201909150was,dal,PollTo00,pass_att,0,,,,,
player,201909150was,dal,PollTo00,pass_yds,0,,,,,
player,201909150was,dal,PollTo00,pass_td,0,,,,,
player,201909150was,dal,PollTo00,pass_int,0,,,,,
player,201909150was,dal,PollTo00,pass_sacked,0,,,,,
player,201909150was,dal,PollTo00,pass_sacked_yds,0,,,,,
player,201909150was,dal,PollTo00,pass_long,0,,,,,
player,201909150was,dal,PollTo00,pass_rating,,,,,,
player,201909150was,dal,PollTo00,rush_att,4,,,,,
player,201909150was,dal,PollTo00,rush_yds,22,,,,,
player,201909150was,dal,PollTo00,rush_td,0,,,,,
player,201909150was,dal,PollTo00,rush_long,10,,,,,
player,201909150was,dal,PollTo00,targets,1,,,,,
player,201909150was,dal,PollTo00,rec,1,,,,,
player,201909150was,dal,PollTo00,rec_yds,3,,,,,
player,201909150was,dal,PollTo00,rec_td,0,,,,,
player,201909150was,dal,PollTo00,rec_long,3,,,,,
player,201909150was,dal,PollTo00,fumbles,0,,,,,
player,201909150was,dal,PollTo00,fumbles_lost,0,,,,,
player,201909150was,dal,CobbRa00,pass_cmp,0,,,,,
player,201909150was,dal,CobbRa00,pass_att,0,,,,,
player,201909150was,dal,CobbRa00,pass_yds,0,,,,,
player,201909150was,dal,CobbRa00,pass_td,0,,,,,
player,201909150was,dal,CobbRa00,pass_int,0,,,,,
player,201909150was,dal,CobbRa00,pass_sacked,0,,,,,
player,201909150was,dal,CobbRa00,pass_sacked_yds,0,,,,,
player,201909150was,dal,CobbRa00,pass_long,0,,,,,
player,201909150was,dal,CobbRa00,pass_rating,,,,,,
player,201909150was,dal,CobbRa00,rush_att,2,,,,,
player,201909150was,dal,CobbRa00,rush_yds,11,,,,,
player,201909150was,dal,CobbRa00,rush_td,0,,,,,
player,201909150was,dal,CobbRa00,rush_long,7,,,,,
player,201909150was,dal,CobbRa00,targets,6,,,,,
player,201909150was,dal,CobbRa00,rec,5,,,,,
player,201909150was,dal,CobbRa00,rec_yds,24,,,,,
player,201909150was,dal,CobbRa00,rec_td,0,,,,,
player,201909150was,dal,CobbRa00,rec_long,9,,,,,
player,201909150was,dal,CobbRa00,fumbles,0,,,,,
player,201909150was,dal,CobbRa00,fumbles_lost,0,,,,,
player,201909150was,dal,SmitDe04,pass_cmp,0,,,,,
player,201909150was,dal,SmitDe04,pass_att,0,,,,,
player,201909150was,dal,SmitDe04,pass_yds,0,,,,,
player,201909150was,dal,SmitDe04,pass_td,0,,,,,
player,201909150was,dal,SmitDe04,pass_int,0,,,,,
player,201909150was,dal,SmitDe04,pass_sacked,0,,,,,
player,201909150was,dal,SmitDe04,pass_sacked_yds,0,,,,,
player,201909150was,dal,SmitDe04,pass_long,0,,,,,
player,201909150was,dal,SmitDe04,pass_rating,,,,,,
player,201909150was,dal,SmitDe04,rush_att,0,,,,,
player,201909150was,dal,SmitDe04,rush_yds,0,,,,,
player,201909150was,dal,SmitDe04,rush_td,0,,,,,
player,201909150was,dal,SmitDe04,rush_long,0,,,,,
player,201909150was,dal,SmitDe04,targets,3,,,,,
player,201909150was,dal,SmitDe04,rec,3,,,,,
player,201909150was,dal,SmitDe04,rec_yds,74,,,,,
player,201909150was,dal,SmitDe04,rec_td,1,,,,,
player,201909150was,dal,SmitDe04,rec_long,51,,,,,
player,201909150was,dal,SmitDe04,fumbles,0,,,,,
player,201909150was,dal,SmitDe04,fumbles_lost,0,,,,,
player,201909150was,dal,GallMi00,pass_cmp,0,,,,,
player,201909150was,dal,GallMi00,pass_att,0,,,,,
player,201909150was,dal,GallMi00,pass_yds,0,,,,,
player,201909150was,dal,GallMi00,pass_td,0,,,,,
player,201909150was,dal,GallMi00,pass_int,0,,,,,
player,201909150was,dal,GallMi00,pass_sacked,0,,,,,
player,201909150was,dal,GallMi00,pass_sacked_yds,0,,,,,
player,201909150was,dal,GallMi00,pass_long,0,,,,,
player,201909150was,dal,GallMi00,pass_rating,,,,,,
player,201909150was,dal,GallMi00,rush_att,0,,,,,
player,201909150was,dal,GallMi00,rush_yds,0,,,,,
player,201909150was,dal,GallMi00,rush_td,0,,,,,
player,201909150was,dal,GallMi00,rush_long,0,,,,,
player,201909150was,dal,GallMi00,targets,8,,,,,
player,201909150was,dal,GallMi00,rec,6,,,,,
player,201909150was,dal,GallMi00,rec_yds,68,,,,,
player,201909150was,dal,GallMi00,rec_td,0,,,,,
player,201909150was,dal,GallMi00,rec_long,16,,,,,
player,201909150was,dal,GallMi00,fumbles,0,,,,,
player,201909150was,dal,GallMi00,fumbles_lost,0,,,,,
player,201909150was,dal,CoopAm00,pass_cmp,0,,,,,
player,201909150was,dal,CoopAm00,pass_att,0,,,,,
player,201909150was,dal,CoopAm00,pass_yds,0,,,,,
player,201909150was,dal,CoopAm00,pass_td,0,,,,,
player,201909150was,dal,CoopAm00,pass_int,0,,,,,
player,201909150was,dal,CoopAm00,pass_sacked,0,,,,,
player,201909150was,dal,CoopAm00,pass_sacked_yds,0,,,,,
player,201909150was,dal,CoopAm00,pass_long,0,,,,,
player,201909150was,dal,CoopAm00,pass_rating,,,,,,
player,201909150was,dal,CoopAm00,rush_att,0,,,,,
player,201909150was,dal,CoopAm00,rush_yds,0,,,,,
player,201909150was,dal,CoopAm00,rush_td,0,,,,,
player,201909150was,dal,CoopAm00,rush_long,0,,,,,
