game,2019,14,20191208,201912080ram,sea,"Seattle Seahawks",12,ram,"Los Angeles Rams",28
team,201912080ram,sea,First Downs,16,,,,,,
team,201912080ram,ram,First Downs,26,,,,,,
team,201912080ram,sea,Rush-Yds-TDs,21-106-0,,,,,,
team,201912080ram,ram,Rush-Yds-TDs,35-162-2,,,,,,
team,201912080ram,sea,Cmp-Att-Yd-TD-INT,22-36-245-0-1,,,,,,
team,201912080ram,ram,Cmp-Att-Yd-TD-INT,22-32-293-2-2,,,,,,
team,201912080ram,sea,Sacked-Yards,5-43,,,,,,
team,201912080ram,ram,Sacked-Yards,0-0,,,,,,
team,201912080ram,sea,Net Pass Yards,202,,,,,,
team,201912080ram,ram,Net Pass Yards,293,,,,,,
team,201912080ram,sea,Total Yards,308,,,,,,
team,201912080ram,ram,Total Yards,455,,,,,,
team,201912080ram,sea,Fumbles-Lost,2-0,,,,,,
team,201912080ram,ram,Fumbles-Lost,0-0,,,,,,
team,201912080ram,sea,Turnovers,1,,,,,,
team,201912080ram,ram,Turnovers,2,,,,,,
team,201912080ram,sea,Penalties-Yards,8-64,,,,,,
team,201912080ram,ram,Penalties-Yards,3-20,,,,,,
team,201912080ram,sea,Third Down Conv.,5-14,,,,,,
team,201912080ram,ram,Third Down Conv.,7-13,,,,,,
team,201912080ram,sea,Fourth Down Conv.,1-2,,,,,,
team,201912080ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201912080ram,sea,Time of Possession,28:56,,,,,,
team,201912080ram,ram,Time of Possession,31:04,,,,,,
player,201912080ram,sea,WilsRu00,pass_cmp,22,,,,,
player,201912080ram,sea,WilsRu00,pass_att,36,,,,,
player,201912080ram,sea,WilsRu00,pass_yds,245,,,,,
player,201912080ram,sea,WilsRu00,pass_td,0,,,,,
player,201912080ram,sea,WilsRu00,pass_int,1,,,,,
player,201912080ram,sea,WilsRu00,pass_sacked,5,,,,,
player,201912080ram,sea,WilsRu00,pass_sacked_yds,43,,,,,
player,201912080ram,sea,WilsRu00,pass_long,35,,,,,
player,201912080ram,sea,WilsRu00,pass_rating,69.8,,,,,
player,201912080ram,sea,WilsRu00,rush_att,5,,,,,
player,201912080ram,sea,WilsRu00,rush_yds,28,,,,,
player,201912080ram,sea,WilsRu00,rush_td,0,,,,,
player,201912080ram,sea,WilsRu00,rush_long,17,,,,,
player,201912080ram,sea,WilsRu00,targets,0,,,,,
player,201912080ram,sea,WilsRu00,rec,0,,,,,
player,201912080ram,sea,WilsRu00,rec_yds,0,,,,,
player,201912080ram,sea,WilsRu00,rec_td,0,,,,,
player,201912080ram,sea,WilsRu00,rec_long,0,,,,,
player,201912080ram,sea,WilsRu00,fumbles,1,,,,,
player,201912080ram,sea,WilsRu00,fumbles_lost,0,,,,,
player,201912080ram,sea,CarsCh00,pass_cmp,0,,,,,
player,201912080ram,sea,CarsCh00,pass_att,0,,,,,
player,201912080ram,sea,CarsCh00,pass_yds,0,,,,,
player,201912080ram,sea,CarsCh00,pass_td,0,,,,,
player,201912080ram,sea,CarsCh00,pass_int,0,,,,,
player,201912080ram,sea,CarsCh00,pass_sacked,0,,,,,
player,201912080ram,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201912080ram,sea,CarsCh00,pass_long,0,,,,,
player,201912080ram,sea,CarsCh00,pass_rating,,,,,,
player,201912080ram,sea,CarsCh00,rush_att,15,,,,,
player,201912080ram,sea,CarsCh00,rush_yds,76,,,,,
player,201912080ram,sea,CarsCh00,rush_td,0,,,,,
player,201912080ram,sea,CarsCh00,rush_long,13,,,,,
player,201912080ram,sea,CarsCh00,targets,4,,,,,
player,201912080ram,sea,CarsCh00,rec,3,,,,,
player,201912080ram,sea,CarsCh00,rec_yds,15,,,,,
player,201912080ram,sea,CarsCh00,rec_td,0,,,,,
player,201912080ram,sea,CarsCh00,rec_long,5,,,,,
player,201912080ram,sea,CarsCh00,fumbles,0,,,,,
player,201912080ram,sea,CarsCh00,fumbles_lost,0,,,,,
player,201912080ram,sea,ProsC.00,pass_cmp,0,,,,,
player,201912080ram,sea,ProsC.00,pass_att,0,,,,,
player,201912080ram,sea,ProsC.00,pass_yds,0,,,,,
player,201912080ram,sea,ProsC.00,pass_td,0,,,,,
player,201912080ram,sea,ProsC.00,pass_int,0,,,,,
player,201912080ram,sea,ProsC.00,pass_sacked,0,,,,,
player,201912080ram,sea,ProsC.00,pass_sacked_yds,0,,,,,
player,201912080ram,sea,ProsC.00,pass_long,0,,,,,
player,201912080ram,sea,ProsC.00,pass_rating,,,,,,
player,201912080ram,sea,ProsC.00,rush_att,1,,,,,
player,201912080ram,sea,ProsC.00,rush_yds,2,,,,,
player,201912080ram,sea,ProsC.00,rush_td,0,,,,,
